Q,label,layer,mean,median,q25,q75
E,0,1,0.25745043,0.25992087,0.2243817001581192,0.28918978571891785
E,0,2,0.2307133,0.22907099,0.19972186908125877,0.26050926744937897
E,0,3,0.16810992,0.16679962,0.146798986941576,0.1863146610558033
E,0,4,0.16624673,0.16348836,0.14247484132647514,0.18682559952139854
E,0,5,0.15367718,0.14929275,0.13132253289222717,0.17181504517793655
E,0,6,0.12640376,0.11880832,0.10144050233066082,0.14174091070890427
E,0,7,0.127676,0.1251688,0.10676451027393341,0.1455223336815834
E,0,8,0.104629755,0.10106887,0.08717365749180317,0.11868931353092194
E,0,9,0.16526891,0.13319522,0.11100825108587742,0.1665174849331379
E,0,10,0.18983835,0.137657,0.11359437741339207,0.19695589691400528
E,0,11,0.13009457,0.12691918,0.10808880440890789,0.14668041840195656
E,0,12,0.16899812,0.1487163,0.12216810882091522,0.18186822161078453
E,0,13,0.19111757,0.15723385,0.12729035690426826,0.21043383702635765
E,0,14,0.16814512,0.15572625,0.1315600462257862,0.1868906058371067
E,0,15,0.3052883,0.27087843,0.1795550473034382,0.4311777576804161
E,0,16,0.21192195,0.19284463,0.1605571247637272,0.23396319150924683
E,0,17,0.29693112,0.27069676,0.2124333269894123,0.3743485286831856
E,0,18,0.2354302,0.21167809,0.179749995470047,0.25669290870428085
E,0,19,0.22974221,0.20632073,0.16810015216469765,0.2584828957915306
E,0,20,0.34007254,0.35361302,0.23606722429394722,0.42864132672548294
E,0,21,0.3136398,0.2894491,0.21492841839790344,0.40314291417598724
E,0,22,0.3949351,0.42250913,0.3218054100871086,0.4854154512286186
E,0,23,0.35227033,0.3691256,0.24690339714288712,0.44471677392721176
E,0,24,0.3795277,0.40291283,0.2534465491771698,0.49432025849819183
E,0,25,0.32226092,0.31448472,0.22016339004039764,0.41920794546604156
E,0,26,0.3119373,0.27853268,0.21749290078878403,0.40836201608181
E,0,27,0.4119263,0.4381279,0.3353283554315567,0.5045365393161774
E,0,28,0.42396292,0.45717302,0.35244549065828323,0.519967645406723
E,1,1,0.22832559,0.22754699,0.19103212654590607,0.264155775308609
E,1,2,0.21656217,0.21437815,0.18645454943180084,0.2449427843093872
E,1,3,0.1695281,0.16726163,0.14867988228797913,0.1880793422460556
E,1,4,0.17140166,0.16766904,0.14550907909870148,0.19290190935134888
E,1,5,0.16561061,0.16127795,0.1390821933746338,0.18711720407009125
E,1,6,0.13355203,0.1252536,0.10667014122009277,0.14927951991558075
E,1,7,0.13482355,0.13404828,0.11332890391349792,0.15425142645835876
E,1,8,0.110601835,0.10672879,0.09077753871679306,0.12544754147529602
E,1,9,0.17441535,0.13958289,0.11666414141654968,0.17335949838161469
E,1,10,0.18204628,0.1271834,0.10608890652656555,0.18570220470428467
E,1,11,0.13557039,0.13373922,0.11444590240716934,0.1540398746728897
E,1,12,0.16459736,0.14837548,0.12320725619792938,0.1777181327342987
E,1,13,0.18241024,0.15128595,0.12560582160949707,0.19192548096179962
E,1,14,0.15573303,0.1454233,0.12549559772014618,0.1710778921842575
E,1,15,0.2646435,0.1987631,0.14610962569713593,0.3994632065296173
E,1,16,0.20282215,0.18297336,0.15348397195339203,0.21952097117900848
E,1,17,0.27962986,0.2411337,0.19203174114227295,0.3602161109447479
E,1,18,0.22898042,0.2077013,0.1781993806362152,0.24591177701950073
E,1,19,0.21691425,0.19163918,0.16136875748634338,0.23385430872440338
E,1,20,0.3283571,0.33895862,0.20539581775665283,0.43595054745674133
E,1,21,0.3224944,0.30427974,0.20245516300201416,0.4370640814304352
E,1,22,0.33811232,0.3656573,0.18219198286533356,0.4691198170185089
E,1,23,0.38082072,0.41173574,0.288911908864975,0.47986751794815063
E,1,24,0.3799765,0.4161525,0.23136523365974426,0.5046994090080261
E,1,25,0.3179972,0.29664728,0.1975248157978058,0.43365660309791565
E,1,26,0.34178376,0.32968894,0.22296328842639923,0.4569781720638275
E,1,27,0.43278024,0.47548378,0.3571145832538605,0.5331868529319763
E,1,28,0.47001198,0.5047363,0.4200800657272339,0.5588798522949219
C,0,1,0.27760363,0.2785989,0.24284972995519638,0.31210503727197647
C,0,2,0.22349559,0.22116181,0.19182301312685013,0.2537072151899338
C,0,3,0.17097673,0.16869491,0.14824822545051575,0.18893856927752495
C,0,4,0.17090607,0.16652611,0.14513664320111275,0.1908206231892109
C,0,5,0.15788716,0.15201318,0.1332399882376194,0.17599593102931976
C,0,6,0.13630913,0.1269185,0.10749099589884281,0.15549686178565025
C,0,7,0.13365991,0.12985559,0.1095774918794632,0.1529461368918419
C,0,8,0.1146335,0.10939197,0.09314282611012459,0.13152533024549484
C,0,9,0.16029742,0.15463147,0.1259402297437191,0.18857735767960548
C,0,10,0.1644977,0.1541405,0.1331414431333542,0.1826464757323265
C,0,11,0.14119002,0.1368355,0.11608775146305561,0.16075153648853302
C,0,12,0.18601592,0.18288708,0.1476914882659912,0.2172539010643959
C,0,13,0.18684909,0.18334304,0.15102647617459297,0.219065822660923
C,0,14,0.19029492,0.18582596,0.15402720123529434,0.22023092210292816
C,0,15,0.25029185,0.24279109,0.20050642639398575,0.2848880887031555
C,0,16,0.23533784,0.23124057,0.18814367428421974,0.2781459912657738
C,0,17,0.28923923,0.28447276,0.2509475201368332,0.32676035165786743
C,0,18,0.24939227,0.24750608,0.21089895069599152,0.28431103378534317
C,0,19,0.26379064,0.26392925,0.22473440319299698,0.2999863997101784
C,0,20,0.29560664,0.29998446,0.2565273717045784,0.3366576209664345
C,0,21,0.2922231,0.2920187,0.25613682717084885,0.3295155018568039
C,0,22,0.25625223,0.24791154,0.21184193342924118,0.2864007279276848
