model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,F_E,43,fixed_0.5,0.5,0.8746414926605213,0.44001472872324426,0.5444444444444444,0.2677595628415301,0.358974358974359
qwen2_5_vl_7b,F_E,43,train_f1,0.4882247745990753,0.8746414926605213,0.44001472872324426,0.5287356321839081,0.25136612021857924,0.34074074074074073
qwen2_5_vl_7b,F_E,44,fixed_0.5,0.5,0.8733856145512529,0.4191787498405885,0.4514285714285714,0.43169398907103823,0.441340782122905
qwen2_5_vl_7b,F_E,44,train_f1,0.4292242228984833,0.8733856145512529,0.4191787498405885,0.4796747967479675,0.3224043715846995,0.38562091503267976
qwen2_5_vl_7b,F_E,45,fixed_0.5,0.5,0.8754387635950569,0.4602703155692483,0.5865384615384616,0.3333333333333333,0.4250871080139373
qwen2_5_vl_7b,F_E,45,train_f1,0.5090934038162231,0.8754387635950569,0.4602703155692483,0.5575221238938053,0.3442622950819672,0.42567567567567566
qwen2_5_vl_7b,F_E_Q02,43,fixed_0.5,0.5,0.873059297907693,0.45723273501453326,0.5803571428571429,0.3551912568306011,0.4406779661016949
qwen2_5_vl_7b,F_E_Q02,43,train_f1,0.6426637768745422,0.873059297907693,0.45723273501453326,0.525974025974026,0.4426229508196721,0.4807121661721068
qwen2_5_vl_7b,F_E_Q02,44,fixed_0.5,0.5,0.8570521436357671,0.42397888645216547,0.5510204081632653,0.29508196721311475,0.38434163701067614
qwen2_5_vl_7b,F_E_Q02,44,train_f1,0.6137221455574036,0.8570521436357671,0.42397888645216547,0.5,0.3442622950819672,0.4077669902912621
qwen2_5_vl_7b,F_E_Q02,45,fixed_0.5,0.5,0.8708950248177038,0.4305991861454615,0.5242718446601942,0.29508196721311475,0.3776223776223776
qwen2_5_vl_7b,F_E_Q02,45,train_f1,0.5667502880096436,0.8708950248177038,0.4305991861454615,0.47619047619047616,0.3825136612021858,0.42424242424242425
qwen2_5_vl_7b,F_C,43,fixed_0.5,0.5,0.8759326482447694,0.4579413805597009,0.5666666666666667,0.2786885245901639,0.37362637362637363
qwen2_5_vl_7b,F_C,43,train_f1,0.49174702167510986,0.8759326482447694,0.4579413805597009,0.5783132530120482,0.26229508196721313,0.3609022556390977
qwen2_5_vl_7b,F_C,44,fixed_0.5,0.5,0.8685949334490435,0.4530011297014148,0.631578947368421,0.13114754098360656,0.2171945701357466
qwen2_5_vl_7b,F_C,44,train_f1,0.7609571218490601,0.8685949334490435,0.4530011297014148,0.5373134328358209,0.39344262295081966,0.45425867507886436
qwen2_5_vl_7b,F_C,45,fixed_0.5,0.5,0.8709197190501893,0.45609391092322665,0.5769230769230769,0.32786885245901637,0.4181184668989547
qwen2_5_vl_7b,F_C,45,train_f1,0.5214765667915344,0.8709197190501893,0.45609391092322665,0.5892857142857143,0.36065573770491804,0.44745762711864406
qwen2_5_vl_7b,F_C_Q02,43,fixed_0.5,0.5,0.8698155340833325,0.45826768725725914,0.5170068027210885,0.41530054644808745,0.46060606060606063
qwen2_5_vl_7b,F_C_Q02,43,train_f1,0.4661817252635956,0.8698155340833325,0.45826768725725914,0.5251798561151079,0.3989071038251366,0.453416149068323
