image_id,response_index,label,layer,strategy,region,log_probability_delta,absolute_log_probability_delta,target_logit_delta
12959,173,0,9,WRITE,1,0.031063377857208252,0.031063377857208252,0.0
12959,173,0,9,conditional,1,0.031063377857208252,0.031063377857208252,0.0
12959,173,0,9,composition,1,0.031063377857208252,0.031063377857208252,0.0
12959,173,0,9,random,7,0.05812734365463257,0.05812734365463257,0.125
12959,173,0,18,WRITE,2,-0.025869429111480713,0.025869429111480713,-0.125
12959,173,0,18,conditional,2,-0.025869429111480713,0.025869429111480713,-0.125
12959,173,0,18,composition,2,-0.025869429111480713,0.025869429111480713,-0.125
12959,173,0,18,random,5,0.012443006038665771,0.012443006038665771,0.0
12959,173,0,27,WRITE,1,0.020796775817871094,0.020796775817871094,0.0
12959,173,0,27,conditional,1,0.020796775817871094,0.020796775817871094,0.0
12959,173,0,27,composition,1,0.020796775817871094,0.020796775817871094,0.0
12959,173,0,27,random,6,-0.013051033020019531,0.013051033020019531,0.0
12959,173,0,36,WRITE,2,-0.0024870634078979492,0.0024870634078979492,0.0
12959,173,0,36,conditional,0,0.02268904447555542,0.02268904447555542,0.0
12959,173,0,36,composition,0,0.02268904447555542,0.02268904447555542,0.0
12959,173,0,36,random,2,-0.0024870634078979492,0.0024870634078979492,0.0
13232,223,0,9,WRITE,1,0.03891754150390625,0.03891754150390625,0.25
13232,223,0,9,conditional,1,0.03891754150390625,0.03891754150390625,0.25
13232,223,0,9,composition,1,0.03891754150390625,0.03891754150390625,0.25
13232,223,0,9,random,1,0.03891754150390625,0.03891754150390625,0.25
13232,223,0,18,WRITE,0,0.010404109954833984,0.010404109954833984,0.0
13232,223,0,18,conditional,0,0.010404109954833984,0.010404109954833984,0.0
13232,223,0,18,composition,0,0.010404109954833984,0.010404109954833984,0.0
13232,223,0,18,random,2,0.04061555862426758,0.04061555862426758,0.25
13232,223,0,27,WRITE,1,-0.012269735336303711,0.012269735336303711,0.125
13232,223,0,27,conditional,1,-0.012269735336303711,0.012269735336303711,0.125
13232,223,0,27,composition,1,-0.012269735336303711,0.012269735336303711,0.125
13232,223,0,27,random,5,0.05660659074783325,0.05660659074783325,0.125
13232,223,0,36,WRITE,0,-0.01774585247039795,0.01774585247039795,-0.125
13232,223,0,36,conditional,0,-0.01774585247039795,0.01774585247039795,-0.125
13232,223,0,36,composition,0,-0.01774585247039795,0.01774585247039795,-0.125
13232,223,0,36,random,6,-0.05342739820480347,0.05342739820480347,-0.125
13605,308,0,9,WRITE,0,-2.8121168725192547e-05,2.8121168725192547e-05,-0.25
13605,308,0,9,conditional,0,-2.8121168725192547e-05,2.8121168725192547e-05,-0.25
13605,308,0,9,composition,0,-2.8121168725192547e-05,2.8121168725192547e-05,-0.25
13605,308,0,9,random,2,-2.335492172278464e-05,2.335492172278464e-05,0.0
13605,308,0,18,WRITE,0,2.704947837628424e-05,2.704947837628424e-05,0.0
13605,308,0,18,conditional,0,2.704947837628424e-05,2.704947837628424e-05,0.0
13605,308,0,18,composition,0,2.704947837628424e-05,2.704947837628424e-05,0.0
13605,308,0,18,random,1,5.838810466229916e-06,5.838810466229916e-06,0.0
13605,308,0,27,WRITE,5,-0.00011748398537747562,0.00011748398537747562,-0.25
13605,308,0,27,conditional,5,-0.00011748398537747562,0.00011748398537747562,-0.25
13605,308,0,27,composition,5,-0.00011748398537747562,0.00011748398537747562,-0.25
13605,308,0,27,random,7,0.0,0.0,0.0
13605,308,0,36,WRITE,0,2.7168658562004566e-05,2.7168658562004566e-05,0.0
13605,308,0,36,conditional,0,2.7168658562004566e-05,2.7168658562004566e-05,0.0
13605,308,0,36,composition,0,2.7168658562004566e-05,2.7168658562004566e-05,0.0
13605,308,0,36,random,1,0.0,0.0,0.0
14038,93,1,9,WRITE,1,-0.01235121488571167,0.01235121488571167,-0.5
14038,93,1,9,conditional,1,-0.01235121488571167,0.01235121488571167,-0.5
14038,93,1,9,composition,1,-0.01235121488571167,0.01235121488571167,-0.5
14038,93,1,9,random,6,0.07052570581436157,0.07052570581436157,-0.25
14038,93,1,18,WRITE,0,-0.2963411509990692,0.2963411509990692,-0.25
14038,93,1,18,conditional,0,-0.2963411509990692,0.2963411509990692,-0.25
14038,93,1,18,composition,0,-0.2963411509990692,0.2963411509990692,-0.25
14038,93,1,18,random,5,0.0710844099521637,0.0710844099521637,0.0
14038,93,1,27,WRITE,0,0.26770132780075073,0.26770132780075073,1.0
14038,93,1,27,conditional,0,0.26770132780075073,0.26770132780075073,1.0
14038,93,1,27,composition,0,0.26770132780075073,0.26770132780075073,1.0
14038,93,1,27,random,0,0.26770132780075073,0.26770132780075073,1.0
14038,93,1,36,WRITE,4,-0.012289047241210938,0.012289047241210938,-0.25
14038,93,1,36,conditional,0,-0.012308239936828613,0.012308239936828613,-0.5
14038,93,1,36,composition,0,-0.012308239936828613,0.012308239936828613,-0.5
14038,93,1,36,random,3,-0.011884808540344238,0.011884808540344238,-0.25
21503,115,0,9,WRITE,1,0.0011879205703735352,0.0011879205703735352,0.0
21503,115,0,9,conditional,1,0.0011879205703735352,0.0011879205703735352,0.0
21503,115,0,9,composition,1,0.0011879205703735352,0.0011879205703735352,0.0
21503,115,0,9,random,1,0.0011879205703735352,0.0011879205703735352,0.0
21503,115,0,18,WRITE,1,-0.04099029302597046,0.04099029302597046,0.0
21503,115,0,18,conditional,1,-0.04099029302597046,0.04099029302597046,0.0
21503,115,0,18,composition,1,-0.04099029302597046,0.04099029302597046,0.0
21503,115,0,18,random,6,0.07457733154296875,0.07457733154296875,0.0
21503,115,0,27,WRITE,1,-0.037826716899871826,0.037826716899871826,0.25
21503,115,0,27,conditional,1,-0.037826716899871826,0.037826716899871826,0.25
21503,115,0,27,composition,1,-0.037826716899871826,0.037826716899871826,0.25
21503,115,0,27,random,3,-0.04260551929473877,0.04260551929473877,0.0
21503,115,0,36,WRITE,1,3.9517879486083984e-05,3.9517879486083984e-05,0.0
21503,115,0,36,conditional,0,0.07382488250732422,0.07382488250732422,0.0
21503,115,0,36,composition,0,0.07382488250732422,0.07382488250732422,0.0
21503,115,0,36,random,2,-0.041889071464538574,0.041889071464538574,0.0
22341,221,1,9,WRITE,0,0.03233444690704346,0.03233444690704346,0.0
22341,221,1,9,conditional,0,0.03233444690704346,0.03233444690704346,0.0
22341,221,1,9,composition,0,0.03233444690704346,0.03233444690704346,0.0
22341,221,1,9,random,2,-0.015440702438354492,0.015440702438354492,-0.125
22341,221,1,18,WRITE,0,-0.014086365699768066,0.014086365699768066,-0.25
22341,221,1,18,conditional,0,-0.014086365699768066,0.014086365699768066,-0.25
22341,221,1,18,composition,0,-0.014086365699768066,0.014086365699768066,-0.25
22341,221,1,18,random,5,-0.016659021377563477,0.016659021377563477,0.0
22341,221,1,27,WRITE,0,0.0069696903228759766,0.0069696903228759766,0.0
22341,221,1,27,conditional,0,0.0069696903228759766,0.0069696903228759766,0.0
22341,221,1,27,composition,0,0.0069696903228759766,0.0069696903228759766,0.0
22341,221,1,27,random,1,-0.0010830163955688477,0.0010830163955688477,0.0
22341,221,1,36,WRITE,3,0.019013643264770508,0.019013643264770508,0.0
22341,221,1,36,conditional,0,0.04028117656707764,0.04028117656707764,0.0
22341,221,1,36,composition,0,0.04028117656707764,0.04028117656707764,0.0
22341,221,1,36,random,0,0.04028117656707764,0.04028117656707764,0.0
26200,34,1,9,WRITE,5,-0.0001499660429544747,0.0001499660429544747,-0.25
26200,34,1,9,conditional,5,-0.0001499660429544747,0.0001499660429544747,-0.25
26200,34,1,9,composition,5,-0.0001499660429544747,0.0001499660429544747,-0.25
26200,34,1,9,random,0,3.371265484020114e-05,3.371265484020114e-05,0.0
26200,34,1,18,WRITE,5,0.00014629506040364504,0.00014629506040364504,0.25
26200,34,1,18,conditional,5,0.00014629506040364504,0.00014629506040364504,0.25
26200,34,1,18,composition,5,0.00014629506040364504,0.00014629506040364504,0.25
26200,34,1,18,random,5,0.00014629506040364504,0.00014629506040364504,0.25
26200,34,1,27,WRITE,5,-2.6921741664409637e-05,2.6921741664409637e-05,-0.25
26200,34,1,27,conditional,5,-2.6921741664409637e-05,2.6921741664409637e-05,-0.25
26200,34,1,27,composition,5,-2.6921741664409637e-05,2.6921741664409637e-05,-0.25
26200,34,1,27,random,4,3.335473593324423e-06,3.335473593324423e-06,0.0
26200,34,1,36,WRITE,5,5.3130730520933867e-05,5.3130730520933867e-05,0.0
26200,34,1,36,conditional,0,-9.75579023361206e-05,9.75579023361206e-05,-0.25
26200,34,1,36,composition,0,-9.75579023361206e-05,9.75579023361206e-05,-0.25
26200,34,1,36,random,7,-5.95638994127512e-07,5.95638994127512e-07,0.0
34080,190,0,9,WRITE,0,0.014447212219238281,0.014447212219238281,0.0
34080,190,0,9,conditional,0,0.014447212219238281,0.014447212219238281,0.0
34080,190,0,9,composition,0,0.014447212219238281,0.014447212219238281,0.0
34080,190,0,9,random,4,-0.0014412403106689453,0.0014412403106689453,0.0
34080,190,0,18,WRITE,0,0.02163684368133545,0.02163684368133545,0.0
34080,190,0,18,conditional,0,0.02163684368133545,0.02163684368133545,0.0
34080,190,0,18,composition,0,0.02163684368133545,0.02163684368133545,0.0
34080,190,0,18,random,0,0.02163684368133545,0.02163684368133545,0.0
34080,190,0,27,WRITE,3,-0.07400733232498169,0.07400733232498169,0.0
34080,190,0,27,conditional,0,-0.08634400367736816,0.08634400367736816,0.0
34080,190,0,27,composition,0,-0.08634400367736816,0.08634400367736816,0.0
34080,190,0,27,random,3,-0.07400733232498169,0.07400733232498169,0.0
34080,190,0,36,WRITE,0,0.007538735866546631,0.007538735866546631,0.0
34080,190,0,36,conditional,0,0.007538735866546631,0.007538735866546631,0.0
34080,190,0,36,composition,0,0.007538735866546631,0.007538735866546631,0.0
34080,190,0,36,random,0,0.007538735866546631,0.007538735866546631,0.0
34471,57,1,9,WRITE,0,-9.328126907348633e-06,9.328126907348633e-06,0.0
34471,57,1,9,conditional,0,-9.328126907348633e-06,9.328126907348633e-06,0.0
34471,57,1,9,composition,0,-9.328126907348633e-06,9.328126907348633e-06,0.0
