model,group,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,B,43,fixed_0.5,0.5,0.8722461521094166,0.44556765415814137,0.5522388059701493,0.40437158469945356,0.4668769716088328
qwen2_5_vl_7b,B,43,train_f1,0.49231889843940735,0.8722461521094166,0.44556765415814137,0.5625,0.39344262295081966,0.4630225080385852
qwen2_5_vl_7b,B,44,fixed_0.5,0.5,0.8757597886173699,0.4379074692786177,0.576271186440678,0.18579234972677597,0.2809917355371901
qwen2_5_vl_7b,B,44,train_f1,0.6568276286125183,0.8757597886173699,0.4379074692786177,0.5045871559633027,0.3005464480874317,0.3767123287671233
qwen2_5_vl_7b,B,45,fixed_0.5,0.5,0.8637901413568423,0.4007658117848204,0.372,0.5081967213114754,0.4295612009237875
qwen2_5_vl_7b,B,45,train_f1,0.3451470732688904,0.8637901413568423,0.4007658117848204,0.48148148148148145,0.28415300546448086,0.35738831615120276
qwen2_5_vl_7b,raw_AE_top32,43,fixed_0.5,0.5,0.6288421579936995,0.1635666294502506,0.0,0.0,0.0
qwen2_5_vl_7b,raw_AE_top32,43,train_f1,0.6792159676551819,0.6288421579936995,0.1635666294502506,0.2727272727272727,0.01639344262295082,0.030927835051546393
qwen2_5_vl_7b,raw_AE_top32,44,fixed_0.5,0.5,0.6482377137374016,0.17359176010292715,0.0,0.0,0.0
qwen2_5_vl_7b,raw_AE_top32,44,train_f1,0.6555656790733337,0.6482377137374016,0.17359176010292715,0.3333333333333333,0.04371584699453552,0.07729468599033816
qwen2_5_vl_7b,raw_AE_top32,45,fixed_0.5,0.5,0.6471511675080344,0.17596650734832384,0.0,0.0,0.0
qwen2_5_vl_7b,raw_AE_top32,45,train_f1,0.6122339367866516,0.6471511675080344,0.17596650734832384,0.23809523809523808,0.0273224043715847,0.049019607843137254
qwen2_5_vl_7b,B_raw_AE_top32,43,fixed_0.5,0.5,0.8473966987338915,0.4152487945831357,0.5689655172413793,0.18032786885245902,0.27385892116182575
qwen2_5_vl_7b,B_raw_AE_top32,43,train_f1,0.6865255236625671,0.8473966987338915,0.4152487945831357,0.4854368932038835,0.273224043715847,0.34965034965034963
qwen2_5_vl_7b,B_raw_AE_top32,44,fixed_0.5,0.5,0.8445445148818028,0.3932310119278015,0.6111111111111112,0.060109289617486336,0.10945273631840796
qwen2_5_vl_7b,B_raw_AE_top32,44,train_f1,0.8573123216629028,0.8445445148818028,0.3932310119278015,0.5636363636363636,0.16939890710382513,0.2605042016806723
qwen2_5_vl_7b,B_raw_AE_top32,45,fixed_0.5,0.5,0.8305728709161913,0.3395858888241331,0.28509719222462204,0.7213114754098361,0.4086687306501548
qwen2_5_vl_7b,B_raw_AE_top32,45,train_f1,0.2151499092578888,0.8305728709161913,0.3395858888241331,0.36036036036036034,0.2185792349726776,0.272108843537415
llava_1_5_7b,B,43,fixed_0.5,0.5,0.9037227556135343,0.7104157656106413,0.6619915848527349,0.6657263751763046,0.6638537271448663
llava_1_5_7b,B,43,train_f1,0.46560138463974,0.9037227556135343,0.7104157656106413,0.6742770167427702,0.6248236953455572,0.6486090775988287
llava_1_5_7b,B,44,fixed_0.5,0.5,0.9027255527588604,0.708770994302726,0.6446700507614214,0.7165021156558533,0.678690714762859
llava_1_5_7b,B,44,train_f1,0.48844265937805176,0.9027255527588604,0.708770994302726,0.6519480519480519,0.7080394922425952,0.6788370520622042
llava_1_5_7b,B,45,fixed_0.5,0.5,0.8949863788919414,0.7007646655711877,0.7155963302752294,0.5500705218617772,0.6220095693779905
llava_1_5_7b,B,45,train_f1,0.5778083801269531,0.8949863788919414,0.7007646655711877,0.6751497005988024,0.6361071932299013,0.6550472040668119
llava_1_5_7b,raw_AE_top32,43,fixed_0.5,0.5,0.7471156066587453,0.4499063600509649,0.562015503875969,0.20451339915373765,0.2998965873836608
llava_1_5_7b,raw_AE_top32,43,train_f1,0.49131545424461365,0.7471156066587453,0.4499063600509649,0.5829787234042553,0.19322990126939352,0.2902542372881356
llava_1_5_7b,raw_AE_top32,44,fixed_0.5,0.5,0.7499712067080557,0.4503235965850929,0.5404411764705882,0.2073342736248237,0.2996941896024465
llava_1_5_7b,raw_AE_top32,44,train_f1,0.47610774636268616,0.7499712067080557,0.4503235965850929,0.5721153846153846,0.16784203102961917,0.2595419847328244
llava_1_5_7b,raw_AE_top32,45,fixed_0.5,0.5,0.7388868021388642,0.4315240175377486,0.5285714285714286,0.2609308885754584,0.3493862134088763
llava_1_5_7b,raw_AE_top32,45,train_f1,0.5077510476112366,0.7388868021388642,0.4315240175377486,0.5216216216216216,0.27221438645980256,0.3577386468952734
llava_1_5_7b,B_raw_AE_top32,43,fixed_0.5,0.5,0.9007213081356821,0.7006419288493697,0.672360248447205,0.610719322990127,0.6400591278640059
llava_1_5_7b,B_raw_AE_top32,43,train_f1,0.5722114443778992,0.9007213081356821,0.7006419288493697,0.6528704939919893,0.689703808180536,0.6707818930041153
llava_1_5_7b,B_raw_AE_top32,44,fixed_0.5,0.5,0.8935093842981352,0.6839965126612456,0.6915708812260536,0.5091678420310296,0.586515028432169
llava_1_5_7b,B_raw_AE_top32,44,train_f1,0.6227169036865234,0.8935093842981352,0.6839965126612456,0.656060606060606,0.610719322990127,0.6325785244704164
llava_1_5_7b,B_raw_AE_top32,45,fixed_0.5,0.5,0.8910334505707439,0.6962531895852166,0.6967509025270758,0.5444287729196051,0.611243072050673
llava_1_5_7b,B_raw_AE_top32,45,train_f1,0.5121034979820251,0.8910334505707439,0.6962531895852166,0.6859649122807018,0.5514809590973202,0.6114151681000782
qwen3_vl_8b,B,43,fixed_0.5,0.5,0.8686843778845945,0.5999133183011702,0.469281045751634,0.6957364341085271,0.5604996096799375
qwen3_vl_8b,B,43,train_f1,0.19608928263187408,0.8686843778845945,0.5999133183011702,0.6634304207119741,0.39728682170542634,0.49696969696969695
