model,group,classifier,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,attention_visual,fixed_three_hidden,43,fixed_0.5,0.5,0.8476330578162538,0.37272863361653974,0.4318181818181818,0.10382513661202186,0.16740088105726872
qwen2_5_vl_7b,attention_visual,fixed_three_hidden,43,train_f1,0.5307554602622986,0.8476330578162538,0.37272863361653974,0.4696969696969697,0.16939890710382513,0.24899598393574296
qwen2_5_vl_7b,attention_visual,fixed_three_hidden,44,fixed_0.5,0.5,0.8511960827891782,0.4004071302434321,0.5813953488372093,0.1366120218579235,0.22123893805309736
qwen2_5_vl_7b,attention_visual,fixed_three_hidden,44,train_f1,0.596285343170166,0.8511960827891782,0.4004071302434321,0.4528301886792453,0.26229508196721313,0.33217993079584773
qwen2_5_vl_7b,attention_visual,fixed_three_hidden,45,fixed_0.5,0.5,0.839901999174507,0.37765813585437963,0.45714285714285713,0.26229508196721313,0.3333333333333333
qwen2_5_vl_7b,attention_visual,fixed_three_hidden,45,train_f1,0.5330763459205627,0.839901999174507,0.37765813585437963,0.43846153846153846,0.3114754098360656,0.36421725239616615
qwen2_5_vl_7b,attention_visual,searched_one_hidden,43,fixed_0.5,0.5,0.8334620961170083,0.35560593388900263,0.4482758620689655,0.14207650273224043,0.2157676348547718
qwen2_5_vl_7b,attention_visual,searched_one_hidden,43,train_f1,0.47052615880966187,0.8334620961170083,0.35560593388900263,0.46,0.12568306010928962,0.19742489270386265
qwen2_5_vl_7b,attention_visual,searched_one_hidden,44,fixed_0.5,0.5,0.8301742354489234,0.353680850539462,0.4857142857142857,0.09289617486338798,0.1559633027522936
qwen2_5_vl_7b,attention_visual,searched_one_hidden,44,train_f1,0.5384069681167603,0.8301742354489234,0.353680850539462,0.45454545454545453,0.1092896174863388,0.1762114537444934
qwen2_5_vl_7b,attention_visual,searched_one_hidden,45,fixed_0.5,0.5,0.8237854847301449,0.3431718081670937,0.42857142857142855,0.04918032786885246,0.08823529411764706
qwen2_5_vl_7b,attention_visual,searched_one_hidden,45,train_f1,0.5545403361320496,0.8237854847301449,0.3431718081670937,0.4166666666666667,0.08196721311475409,0.136986301369863
