model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
qwen2_5_vl_7b,attention_visual,xgb,three_hidden,-0.02743411637568638,-0.04506271426601216
qwen2_5_vl_7b,attention_visual,xgb,one_hidden,-0.010331008547732168,-0.012284278559747897
qwen2_5_vl_7b,attention_visual,rf,three_hidden,-0.04620408489641947,-0.05808383319222721
qwen2_5_vl_7b,attention_visual,rf,one_hidden,-0.02910097706846526,-0.025305397485962944
qwen2_5_vl_7b,attention_visual_prompt_sum,xgb,three_hidden,-0.003258462772268711,-0.005647590473426223
qwen2_5_vl_7b,attention_visual_prompt_sum,xgb,one_hidden,0.015115222112861981,0.05010920193716678
qwen2_5_vl_7b,attention_visual_prompt_sum,rf,three_hidden,-0.019249154222537368,-0.012129372563029928
qwen2_5_vl_7b,attention_visual_prompt_sum,rf,one_hidden,-0.0008754693374066758,0.043627419847563076
qwen2_5_vl_7b,attention_generation,xgb,three_hidden,-0.008299613946832096,-0.03806506613952754
qwen2_5_vl_7b,attention_generation,xgb,one_hidden,0.030080514957061433,0.04816900743715291
qwen2_5_vl_7b,attention_generation,rf,three_hidden,-0.01196317972344818,-0.03643635905963266
qwen2_5_vl_7b,attention_generation,rf,one_hidden,0.026416949180445348,0.049797714517047786
qwen2_5_vl_7b,attention_vp_generation,xgb,three_hidden,0.007253048855775268,-0.007344917994094424
qwen2_5_vl_7b,attention_vp_generation,xgb,one_hidden,0.031934346267231684,0.0645647581560278
qwen2_5_vl_7b,attention_vp_generation,rf,three_hidden,-0.022567588702270935,-0.03523366795381527
qwen2_5_vl_7b,attention_vp_generation,rf,one_hidden,0.00211370870918548,0.03667600819630695
qwen2_5_vl_7b,gated_visual,xgb,three_hidden,-0.022104865822123898,-0.051066280793707675
qwen2_5_vl_7b,gated_visual,xgb,one_hidden,0.00043861660557797943,0.0029734187529932288
qwen2_5_vl_7b,gated_visual,rf,three_hidden,-0.04533978675942285,-0.07481370725239844
qwen2_5_vl_7b,gated_visual,rf,one_hidden,-0.022796304331720973,-0.02077400770569754
qwen2_5_vl_7b,gated_visual_prompt_sum,xgb,three_hidden,-0.006849121767260491,-0.02660023142823653
qwen2_5_vl_7b,gated_visual_prompt_sum,xgb,one_hidden,0.020787252131641343,0.04336161158060975
qwen2_5_vl_7b,gated_visual_prompt_sum,rf,three_hidden,-0.030266309658619983,-0.021921353462774962
qwen2_5_vl_7b,gated_visual_prompt_sum,rf,one_hidden,-0.0026299357597181494,0.04804048954607132
qwen2_5_vl_7b,gated_generation,xgb,three_hidden,0.009748930210571216,-0.01561317383080596
qwen2_5_vl_7b,gated_generation,xgb,one_hidden,0.05592773291658881,0.09438236242760961
qwen2_5_vl_7b,gated_generation,rf,three_hidden,-0.020363922431888004,-0.053845260671771644
qwen2_5_vl_7b,gated_generation,rf,one_hidden,0.025814880274129592,0.05615027558664393
qwen2_5_vl_7b,gated_vp_generation,xgb,three_hidden,-0.0005109354292855972,-0.00997047006079882
qwen2_5_vl_7b,gated_vp_generation,xgb,one_hidden,0.03472949820143678,0.06776213163323058
qwen2_5_vl_7b,gated_vp_generation,rf,three_hidden,-0.03218246450792017,-0.053670378824797804
qwen2_5_vl_7b,gated_vp_generation,rf,one_hidden,0.0030579691228022066,0.024062222869231598
llava_1_5_7b,attention_visual,xgb,three_hidden,-0.009542974735791687,-0.03708319464948595
llava_1_5_7b,attention_visual,xgb,one_hidden,-0.005840167037748145,-0.024169278263409977
llava_1_5_7b,attention_visual,rf,three_hidden,-0.010591397818346393,-0.016364647886575767
llava_1_5_7b,attention_visual,rf,one_hidden,-0.006888590120302851,-0.003450731500499793
llava_1_5_7b,attention_visual_prompt_sum,xgb,three_hidden,-0.003037234115411347,-0.010896893377407624
llava_1_5_7b,attention_visual_prompt_sum,xgb,one_hidden,0.016000871226173774,0.00041651773490747335
llava_1_5_7b,attention_visual_prompt_sum,rf,three_hidden,-0.0065142290950575,-0.006114874815358107
llava_1_5_7b,attention_visual_prompt_sum,rf,one_hidden,0.012523876246527621,0.00519853629695699
