model,left,right,AUROC_delta,HALL_AUPR_delta
qwen2_5_vl_7b,log1p_prompt,raw_prompt,0.009182726737151037,0.013140248023477241
qwen2_5_vl_7b,log1p_generation,raw_generation,0.009249753939612027,0.014099127990245819
qwen2_5_vl_7b,log1p_visual,raw_visual,0.003832309698601044,0.011785921136211297
qwen2_5_vl_7b,log1p_concat,raw_concat,0.0008090300928622618,-0.00020689320271205514
qwen2_5_vl_7b,log1p_visual_prompt_sum,raw_visual_prompt_sum,0.00359947836373653,-0.0002121018404233621
qwen2_5_vl_7b,raw_visual_prompt_sum,raw_visual,-0.012260686429107936,-0.021331603996257165
qwen2_5_vl_7b,raw_concat,raw_visual,0.011449304504580815,0.047318152788365764
qwen2_5_vl_7b,raw_concat,share_concat,-0.002372410192368224,-0.006222454427688762
qwen2_5_vl_7b,log1p_visual_prompt_sum,log1p_visual,-0.01249351776397245,-0.033329626972891824
qwen2_5_vl_7b,log1p_concat,log1p_visual,0.008426024898842033,0.03532533844944241
qwen2_5_vl_7b,log1p_concat,share_concat,-0.0015633800995059621,-0.006429347630400817
llava_1_5_7b,log1p_prompt,raw_prompt,0.00167309765083401,0.0019483476370668606
llava_1_5_7b,log1p_generation,raw_generation,0.0010947238535207182,-0.004570376582705871
llava_1_5_7b,log1p_visual,raw_visual,0.005228803941121574,0.006057356127259883
llava_1_5_7b,log1p_concat,raw_concat,-0.0007829653290181149,-0.005604628959090752
llava_1_5_7b,log1p_visual_prompt_sum,raw_visual_prompt_sum,0.004357095467752536,0.003560492589524067
llava_1_5_7b,raw_visual_prompt_sum,raw_visual,0.0049622851282502545,0.015223731544884322
llava_1_5_7b,raw_concat,raw_visual,0.01631330497025285,0.02680521444119688
llava_1_5_7b,raw_concat,share_concat,0.0044538447870831055,0.021208559413091632
llava_1_5_7b,log1p_visual_prompt_sum,log1p_visual,0.004090576654881217,0.012726868007148506
llava_1_5_7b,log1p_concat,log1p_visual,0.010301535700113162,0.015143229354846244
llava_1_5_7b,log1p_concat,share_concat,0.0036708794580649906,0.01560393045400088
qwen3_vl_8b,log1p_prompt,raw_prompt,0.018105992547519545,0.029913257712482877
qwen3_vl_8b,log1p_generation,raw_generation,-0.0008981154753708864,0.0036901791834895725
qwen3_vl_8b,log1p_visual,raw_visual,0.005068653994774408,0.012526814598428304
qwen3_vl_8b,log1p_concat,raw_concat,-0.0006107493951678089,-0.006113095867124052
qwen3_vl_8b,log1p_visual_prompt_sum,raw_visual_prompt_sum,0.0028170622902639053,0.01712871012883055
qwen3_vl_8b,raw_visual_prompt_sum,raw_visual,-0.003679546429817271,0.011530745024090572
qwen3_vl_8b,raw_concat,raw_visual,0.03803419990800183,0.10646982867897758
qwen3_vl_8b,raw_concat,share_concat,0.007982705552931457,0.01639899600163508
qwen3_vl_8b,log1p_visual_prompt_sum,log1p_visual,-0.005931138134327774,0.016132640554492816
qwen3_vl_8b,log1p_concat,log1p_visual,0.032354796518059614,0.08782991821342523
qwen3_vl_8b,log1p_concat,share_concat,0.007371956157763648,0.010285900134511028
internvl_2_5_8b,log1p_prompt,raw_prompt,0.003090186172201137,0.004174779396376338
internvl_2_5_8b,log1p_generation,raw_generation,0.00441442451819174,0.012874973576557591
internvl_2_5_8b,log1p_visual,raw_visual,0.008760311746757177,0.013377302288419712
internvl_2_5_8b,log1p_concat,raw_concat,-0.002538550000177997,-0.02042351220538352
internvl_2_5_8b,log1p_visual_prompt_sum,raw_visual_prompt_sum,-0.0015892640341229614,-0.004821308799258628
internvl_2_5_8b,raw_visual_prompt_sum,raw_visual,0.006148773983600919,-0.004157486507405994
internvl_2_5_8b,raw_concat,raw_visual,0.03193726434743582,0.06566122373805727
internvl_2_5_8b,raw_concat,share_concat,0.0056601120095132185,0.05099015484393421
internvl_2_5_8b,log1p_visual_prompt_sum,log1p_visual,-0.004200801797279219,-0.022356097595084334
internvl_2_5_8b,log1p_concat,log1p_visual,0.02063840260050065,0.03186040924425404
internvl_2_5_8b,log1p_concat,share_concat,0.0031215620093352214,0.03056664263855069
