model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,prompt,0,1,916,1.085827257695677,0.8793342709541321,0.6382980346679688,1.360015869140625
qwen2_5_vl_7b,raw,prompt,0,2,916,9.690899658931915,8.620045185089111,6.817999720573425,11.684178113937378
qwen2_5_vl_7b,raw,prompt,0,3,916,4.557566763662355,4.141550064086914,3.3160181641578674,5.298412799835205
qwen2_5_vl_7b,raw,prompt,0,4,916,4.706179988306162,4.306556940078735,3.4378780722618103,5.423669815063477
qwen2_5_vl_7b,raw,prompt,0,5,916,10.48335938500525,9.870878219604492,7.983835935592651,12.31422472000122
qwen2_5_vl_7b,raw,prompt,0,6,916,10.131562799345458,9.379601955413818,7.8828123807907104,11.43895936012268
qwen2_5_vl_7b,raw,prompt,0,7,916,5.614251176863258,5.334376573562622,4.813269853591919,6.114525318145752
qwen2_5_vl_7b,raw,prompt,0,8,916,3.003583109144561,2.8495452404022217,2.514620542526245,3.244893491268158
qwen2_5_vl_7b,raw,prompt,0,9,916,3.6072898702329943,3.3636807203292847,2.9865349531173706,3.930954098701477
qwen2_5_vl_7b,raw,prompt,0,10,916,9.394231322030313,8.61778736114502,7.547432780265808,10.238925695419312
qwen2_5_vl_7b,raw,prompt,0,11,916,3.8427817498752646,3.713475227355957,3.318849742412567,4.181960463523865
qwen2_5_vl_7b,raw,prompt,0,12,916,4.349947703197013,4.214136123657227,3.7333987951278687,4.818266034126282
qwen2_5_vl_7b,raw,prompt,0,13,916,4.581282861368105,4.339967489242554,3.8348355889320374,5.023020505905151
qwen2_5_vl_7b,raw,prompt,0,14,916,4.75074930794895,4.606464624404907,4.064871072769165,5.261082649230957
qwen2_5_vl_7b,raw,prompt,0,15,916,4.172704726327455,3.9441492557525635,3.4207156896591187,4.798685669898987
qwen2_5_vl_7b,raw,prompt,0,16,916,3.270169972462425,3.1448267698287964,2.7800301909446716,3.624351441860199
qwen2_5_vl_7b,raw,prompt,0,17,916,2.762662919587964,2.594428300857544,2.129348397254944,3.265533685684204
qwen2_5_vl_7b,raw,prompt,0,18,916,2.6697284761474642,2.564935803413391,2.2319238781929016,2.9787715673446655
qwen2_5_vl_7b,raw,prompt,0,19,916,3.7774155666994735,3.652372121810913,3.1258727312088013,4.332384705543518
qwen2_5_vl_7b,raw,prompt,0,20,916,4.289094456028209,4.208113431930542,3.5788047313690186,4.863391280174255
qwen2_5_vl_7b,raw,prompt,0,21,916,2.0974348574616504,2.0014644861221313,1.7130445539951324,2.35248726606369
qwen2_5_vl_7b,raw,prompt,0,22,916,2.4900346406162046,2.3559051752090454,2.0041401386260986,2.8275161385536194
qwen2_5_vl_7b,raw,prompt,0,23,916,3.2187388043476504,3.0089938640594482,2.5990716218948364,3.5584044456481934
qwen2_5_vl_7b,raw,prompt,0,24,916,11.35780438949968,11.312333583831787,9.971548080444336,12.549622058868408
qwen2_5_vl_7b,raw,prompt,0,25,916,9.349129869948309,9.44763994216919,8.4142484664917,10.377405881881714
qwen2_5_vl_7b,raw,prompt,0,26,916,12.67218562088679,12.527965068817139,10.929757356643677,14.430379867553711
qwen2_5_vl_7b,raw,prompt,0,27,916,23.278075143239384,23.17178726196289,20.897709846496582,25.6102294921875
qwen2_5_vl_7b,raw,prompt,0,28,916,37.50785102386141,36.58505630493164,29.63919496536255,43.82012748718262
qwen2_5_vl_7b,raw,prompt,1,1,7801,1.8683190031580978,1.650719404220581,0.9265868067741394,2.7082433700561523
qwen2_5_vl_7b,raw,prompt,1,2,7801,14.041738763006508,14.08215045928955,9.067206382751465,18.95701789855957
qwen2_5_vl_7b,raw,prompt,1,3,7801,6.188344477079049,6.035386085510254,4.262521743774414,7.988790988922119
qwen2_5_vl_7b,raw,prompt,1,4,7801,6.932148226162299,6.500659942626953,4.582849025726318,8.959660530090332
qwen2_5_vl_7b,raw,prompt,1,5,7801,12.51917019826818,11.523738861083984,9.146714210510254,15.272867202758789
qwen2_5_vl_7b,raw,prompt,1,6,7801,11.921894000900233,10.739518165588379,8.833431243896484,14.912254333496094
qwen2_5_vl_7b,raw,prompt,1,7,7801,6.24539488842053,6.102344512939453,5.322895526885986,7.178995609283447
qwen2_5_vl_7b,raw,prompt,1,8,7801,3.5548624313728823,3.3142802715301514,2.8097174167633057,4.331684112548828
qwen2_5_vl_7b,raw,prompt,1,9,7801,4.45576703387978,3.9350039958953857,3.3349525928497314,5.413815498352051
qwen2_5_vl_7b,raw,prompt,1,10,7801,11.357671905214886,10.37630844116211,8.618809700012207,13.353937149047852
qwen2_5_vl_7b,raw,prompt,1,11,7801,4.411684377149746,4.2359843254089355,3.661637544631958,5.113339424133301
qwen2_5_vl_7b,raw,prompt,1,12,7801,4.968487763646291,4.827698230743408,4.1247735023498535,5.732510089874268
qwen2_5_vl_7b,raw,prompt,1,13,7801,5.49033596683444,5.180030345916748,4.243409633636475,6.472858428955078
qwen2_5_vl_7b,raw,prompt,1,14,7801,5.801971334614,5.451228618621826,4.690579891204834,6.599297523498535
qwen2_5_vl_7b,raw,prompt,1,15,7801,4.869397800590057,4.510633945465088,3.6855227947235107,5.788415908813477
qwen2_5_vl_7b,raw,prompt,1,16,7801,4.2155219798454215,3.9876415729522705,3.2924153804779053,4.8428568840026855
qwen2_5_vl_7b,raw,prompt,1,17,7801,3.392234111463331,3.1364634037017822,2.4390366077423096,4.153590679168701
qwen2_5_vl_7b,raw,prompt,1,18,7801,3.2858525455464096,2.9932353496551514,2.473827600479126,3.8489134311676025
qwen2_5_vl_7b,raw,prompt,1,19,7801,4.649733428052871,4.389209747314453,3.589106798171997,5.499985218048096
qwen2_5_vl_7b,raw,prompt,1,20,7801,5.041708748824412,4.773782253265381,3.970284938812256,5.903844356536865
