model,group,seed,threshold_rule,threshold,auc,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
llava_1_5_7b,full/schedule_off/min_train_loss,43,fixed_0.5,0.5,0.8806175133823697,0.9608181557535107,0.8933609958506225,0.8834632745178498,0.8883845677738808,0.656817253606387,0.6141304347826086,0.6375176304654443,0.62560553633218
llava_1_5_7b,full/schedule_off/min_train_loss,43,train_f1,0.38109609484672546,0.8806175133823697,0.9608181557535107,0.8839712918660287,0.9097250718096019,0.8966632962588473,0.656817253606387,0.6551724137931034,0.5895627644569816,0.6206384558277654
llava_1_5_7b,full/schedule_off/min_train_loss,44,fixed_0.5,0.5,0.8796287025424332,0.9613793767884096,0.8716452742123687,0.919573245794009,0.8949680511182109,0.6748140712816392,0.6591304347826087,0.5345557122708039,0.5903426791277259
llava_1_5_7b,full/schedule_off/min_train_loss,44,train_f1,0.605654776096344,0.8796287025424332,0.9613793767884096,0.881952781112445,0.9043906442347148,0.893030794165316,0.6748140712816392,0.6398763523956723,0.5839210155148096,0.6106194690265486
llava_1_5_7b,full/schedule_off/min_train_loss,45,fixed_0.5,0.5,0.8754732083482606,0.9601690484180254,0.8831908831908832,0.8904390644234714,0.886800163465468,0.6630216746104811,0.6124818577648766,0.5952045133991537,0.6037195994277539
llava_1_5_7b,full/schedule_off/min_train_loss,45,train_f1,0.46621590852737427,0.8754732083482606,0.9601690484180254,0.8808373590982287,0.8978251949117768,0.8892501524080472,0.6630216746104811,0.6238670694864048,0.5825105782792666,0.6024799416484318
llava_1_5_7b,full/schedule_off/min_train_loss,ensemble,fixed_0.5,0.5,0.8924184223822557,0.9653153576314379,0.8845081640780565,0.9113664341403365,0.8977364591754244,0.6995266156303692,0.6598425196850394,0.5909732016925247,0.6235119047619048
llava_1_5_7b,full/schedule_off/min_train_loss,ensemble,train_f1,0.5367649793624878,0.8924184223822557,0.9653153576314379,0.8928136419001218,0.9023389413212967,0.8975510204081633,0.6995266156303692,0.6515373352855052,0.6276445698166432,0.639367816091954
internvl_2_5_8b,full/schedule_off/min_train_loss,43,fixed_0.5,0.5,0.8394338196810613,0.9639906939178758,0.8971734892787524,0.9168326693227091,0.906896551724138,0.4859885638837864,0.49240121580547114,0.4343163538873995,0.46153846153846156
internvl_2_5_8b,full/schedule_off/min_train_loss,43,train_f1,0.4341253638267517,0.8394338196810613,0.9639906939178758,0.8957528957528957,0.9243027888446215,0.9098039215686274,0.4859885638837864,0.5080906148867314,0.42091152815013405,0.4604105571847507
internvl_2_5_8b,full/schedule_off/min_train_loss,44,fixed_0.5,0.5,0.8202171207929676,0.9569621618455191,0.8930276981852913,0.9312749003984063,0.9117503656752803,0.4660095649702647,0.519163763066202,0.39946380697050937,0.45151515151515154
internvl_2_5_8b,full/schedule_off/min_train_loss,44,train_f1,0.6570611000061035,0.8202171207929676,0.9569621618455191,0.9007820136852395,0.9178286852589641,0.9092254563394179,0.4660095649702647,0.5074626865671642,0.45576407506702415,0.480225988700565
internvl_2_5_8b,full/schedule_off/min_train_loss,45,fixed_0.5,0.5,0.8340732245281608,0.9609402210196007,0.8989751098096632,0.9173306772908366,0.9080601429627804,0.46464880660896235,0.5,0.4450402144772118,0.47092198581560285
internvl_2_5_8b,full/schedule_off/min_train_loss,45,train_f1,0.51957768201828,0.8340732245281608,0.9609402210196007,0.9001956947162426,0.9163346613545816,0.9081934846989141,0.46464880660896235,0.5014836795252225,0.45308310991957107,0.476056338028169
internvl_2_5_8b,full/schedule_off/min_train_loss,ensemble,fixed_0.5,0.5,0.8474680367003835,0.9657146902184031,0.8953655040611562,0.9332669322709163,0.913923433308949,0.5075600937778396,0.5347222222222222,0.4128686327077748,0.4659606656580938
internvl_2_5_8b,full/schedule_off/min_train_loss,ensemble,train_f1,0.44629916548728943,0.8474680367003835,0.9657146902184031,0.8900375939849624,0.9432270916334662,0.9158607350096711,0.5075600937778396,0.549407114624506,0.3726541554959786,0.4440894568690096
qwen2_5_vl_7b,full/schedule_off/min_train_loss,43,fixed_0.5,0.5,0.8578300119590639,0.9784227922369553,0.9263420724094882,0.9580374435119432,0.9419231989844494,0.46089977885304556,0.5,0.3551912568306011,0.41533546325878595
qwen2_5_vl_7b,full/schedule_off/min_train_loss,43,train_f1,0.696924090385437,0.8578300119590639,0.9784227922369553,0.9324410452517528,0.9444803098773402,0.9384220654265555,0.46089977885304556,0.4723926380368098,0.4207650273224044,0.44508670520231214
qwen2_5_vl_7b,full/schedule_off/min_train_loss,44,fixed_0.5,0.5,0.8635361435369902,0.9808647539278003,0.9221260815822002,0.9632020658489348,0.9422166087780234,0.4160008668625529,0.5,0.3114754098360656,0.3838383838383838
qwen2_5_vl_7b,full/schedule_off/min_train_loss,44,train_f1,0.4849162995815277,0.8635361435369902,0.9808647539278003,0.9221741815935763,0.9638476436410588,0.9425505050505051,0.4160008668625529,0.504424778761062,0.3114754098360656,0.38513513513513514
