model,group,classifier,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,visual,three_hidden,43,0.8565260966772029,0.3655621652248534
qwen2_5_vl_7b,visual,three_hidden,44,0.8689075630252101,0.3945991523608696
qwen2_5_vl_7b,visual,three_hidden,45,0.8695551615141469,0.37958933983559096
qwen2_5_vl_7b,visual,one_hidden,43,0.8286947806645594,0.3229356591516712
qwen2_5_vl_7b,visual,one_hidden,44,0.8254876262431579,0.3143933567278673
qwen2_5_vl_7b,visual,one_hidden,45,0.8532881042325188,0.3747407894850012
qwen2_5_vl_7b,visual,xgb,43,0.8589931385398195,0.4448535364624907
qwen2_5_vl_7b,visual,xgb,44,0.8589931385398195,0.4448535364624907
qwen2_5_vl_7b,visual,xgb,45,0.8589931385398195,0.4448535364624907
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,43,0.8520083262662863,0.38036458388487854
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,44,0.8458715596330275,0.37301141929002135
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,45,0.8486624007401126,0.3846693846868171
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,43,0.814817670187341,0.33845905003088433
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,44,0.8117338678590702,0.3444780323539346
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,45,0.8104386708811966,0.323497693461146
qwen2_5_vl_7b,visual_prompt_sum,xgb,43,0.8504664251021509,0.4182623405631606
qwen2_5_vl_7b,visual_prompt_sum,xgb,44,0.8504664251021509,0.4182623405631606
qwen2_5_vl_7b,visual_prompt_sum,xgb,45,0.8504664251021509,0.4182623405631606
qwen2_5_vl_7b,generation,three_hidden,43,0.830853442294349,0.36450058618445713
qwen2_5_vl_7b,generation,three_hidden,44,0.8376840644514686,0.34750126683819044
qwen2_5_vl_7b,generation,three_hidden,45,0.8259810346156812,0.3834872654563189
qwen2_5_vl_7b,generation,one_hidden,43,0.810068614601804,0.2927297237927451
qwen2_5_vl_7b,generation,one_hidden,44,0.8156811348392569,0.30466470239164983
qwen2_5_vl_7b,generation,one_hidden,45,0.8134916351861847,0.3039832624220958
qwen2_5_vl_7b,generation,xgb,43,0.833975792151723,0.34629804286663407
qwen2_5_vl_7b,generation,xgb,44,0.833975792151723,0.34629804286663407
qwen2_5_vl_7b,generation,xgb,45,0.833975792151723,0.34629804286663407
qwen2_5_vl_7b,vp_generation,three_hidden,43,0.8647906869169686,0.45344084013691427
qwen2_5_vl_7b,vp_generation,three_hidden,44,0.8698943797702566,0.4496373960292033
qwen2_5_vl_7b,vp_generation,three_hidden,45,0.8689692390717754,0.4651476414414422
qwen2_5_vl_7b,vp_generation,one_hidden,43,0.8360111016883818,0.3536645579401203
qwen2_5_vl_7b,vp_generation,one_hidden,44,0.8333821602035308,0.3704342063286187
qwen2_5_vl_7b,vp_generation,one_hidden,45,0.8405365816051191,0.37282148988588193
qwen2_5_vl_7b,vp_generation,xgb,43,0.858337830545062,0.4641811796833118
qwen2_5_vl_7b,vp_generation,xgb,44,0.858337830545062,0.4641811796833118
qwen2_5_vl_7b,vp_generation,xgb,45,0.858337830545062,0.4641811796833118
