model,group,classifier,AUROC_true_mean,HALL_AUPR_true_mean,AUROC_frozen_mean,HALL_AUPR_frozen_mean,AUROC_delta_pp,HALL_AUPR_delta_pp
qwen3_vl_8b,visual,three_hidden,0.9012000000000001,0.6650607073949311,0.8994898071625345,0.6644548670552989,-0.17101928374656516,-0.06058403396321799
qwen3_vl_8b,visual,one_hidden,0.8802038567493112,0.617989774982118,0.8900143250688707,0.643977923377248,0.9810468319559451,2.5988148395129973
qwen3_vl_8b,visual,xgb,0.9031173553719007,0.6615198399237752,0.899705785123967,0.650439458511609,-0.3411570247933704,-1.1080381412166163
qwen3_vl_8b,visual_prompt_sum,three_hidden,0.8988055096418733,0.6637512847273871,0.8967944903581268,0.6598940444644291,-0.20110192837465846,-0.3857240262957973
qwen3_vl_8b,visual_prompt_sum,one_hidden,0.8635878787878788,0.6086549119432235,0.8699966942148761,0.6160380802549733,0.6408815426997339,0.7383168311749788
qwen3_vl_8b,visual_prompt_sum,xgb,0.9145256198347106,0.7043792138301724,0.9222347107438017,0.7114257010740636,0.770909090909111,0.704648724389112
qwen3_vl_8b,generation,three_hidden,0.8811955922865015,0.6057054248806452,0.8902743801652893,0.6286289512950091,0.9078787878787797,2.2923526414363904
qwen3_vl_8b,generation,one_hidden,0.8291592286501377,0.5058313742165764,0.8399305785123966,0.5098927714662663,1.0771349862258917,0.4061397249689902
qwen3_vl_8b,generation,xgb,0.8814396694214875,0.5947505292393244,0.8784495867768594,0.6108245462849189,-0.2990082644628189,1.6074017045594524
qwen3_vl_8b,vp_generation,three_hidden,0.9228892561983472,0.7003746762787088,0.9257101928374656,0.7099280903780621,0.2820936639118421,0.9553414099353397
qwen3_vl_8b,vp_generation,one_hidden,0.8889785123966942,0.6401404578426432,0.8944666666666666,0.6570598307464429,0.5488154269972401,1.6919372903799745
qwen3_vl_8b,vp_generation,xgb,0.9192760330578512,0.7077355401351116,0.9321752066115702,0.7384622650327061,1.2899173553718946,3.0726724897594426
