comparison,difference,high,low,metric,model,replicates
S_G_per_position minus S_G,-0.0028833551769330557,0.015631204165166498,-0.020861848474853652,AUROC,qwen2_5_vl_7b,2000
S_G_per_position minus S_G,-0.036493564719432825,0.008648939622182624,-0.08478149091252386,HALL_AUPR,qwen2_5_vl_7b,2000
S_G_per_position minus position,0.06860432246293013,0.11083937142206073,0.033070157089514246,AUROC,qwen2_5_vl_7b,2000
S_G_per_position minus position,0.09689865681476337,0.17216863871126933,0.032665025842123704,HALL_AUPR,qwen2_5_vl_7b,2000
S_G minus position,0.07148767763986319,0.11429125907124098,0.030819217487302927,AUROC,qwen2_5_vl_7b,2000
S_G minus position,0.1333922215341962,0.23206413993068176,0.050117189908163454,HALL_AUPR,qwen2_5_vl_7b,2000
S_G_per_position minus S_G,-0.005576015755168751,0.002812061739469957,-0.013698887036127563,AUROC,llava_1_5_7b,2000
S_G_per_position minus S_G,0.0010880045378660608,0.033200082412865865,-0.030399727889418658,HALL_AUPR,llava_1_5_7b,2000
S_G_per_position minus position,0.05173292184692835,0.068332261991328,0.037295323261709507,AUROC,llava_1_5_7b,2000
S_G_per_position minus position,0.10861774438115324,0.15484317266909314,0.06546795865508157,HALL_AUPR,llava_1_5_7b,2000
S_G minus position,0.0573089376020971,0.07647184796294443,0.038793715082194785,AUROC,llava_1_5_7b,2000
S_G minus position,0.10752973984328718,0.16646726499568357,0.05429392007984611,HALL_AUPR,llava_1_5_7b,2000
S_G_per_position minus S_G,-0.011985674931129564,0.000786058759952419,-0.024824153572227788,AUROC,qwen3_vl_8b,2000
S_G_per_position minus S_G,-0.03738988948507249,-0.005622149724153677,-0.07217573968448118,HALL_AUPR,qwen3_vl_8b,2000
S_G_per_position minus position,0.18077961432506884,0.21868789827249954,0.1465165839699221,AUROC,qwen3_vl_8b,2000
S_G_per_position minus position,0.27967658700679,0.3416076745801215,0.2214414772246706,HALL_AUPR,qwen3_vl_8b,2000
S_G minus position,0.1927652892561984,0.23145563632491184,0.15770849440289147,AUROC,qwen3_vl_8b,2000
S_G minus position,0.3170664764918625,0.37812835202100886,0.25543147819653955,HALL_AUPR,qwen3_vl_8b,2000
S_G_per_position minus S_G,-0.024017736649315724,-0.00749547591757643,-0.04053117474403209,AUROC,internvl_2_5_8b,2000
S_G_per_position minus S_G,-0.06294514960606096,-0.015573592988505356,-0.10782175661958225,HALL_AUPR,internvl_2_5_8b,2000
S_G_per_position minus position,0.11351166377482158,0.1537327130146633,0.07823647357770086,AUROC,internvl_2_5_8b,2000
S_G_per_position minus position,0.16092215072406668,0.23362431529706493,0.08917586180215205,HALL_AUPR,internvl_2_5_8b,2000
S_G minus position,0.1375294004241373,0.17718316585710941,0.10107959394255235,AUROC,internvl_2_5_8b,2000
S_G minus position,0.22386730033012764,0.29569090486539595,0.14908802454209372,HALL_AUPR,internvl_2_5_8b,2000
