model,feature,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,S_G,0.8072520751419834,0.0034433414527050674,0.33694468264309263,0.005414293376100448
qwen2_5_vl_7b,S_G_per_position,0.8043687199650503,0.0034089695513220765,0.3004511179236598,0.01193824033150991
qwen2_5_vl_7b,position,0.7357643975021202,0.0,0.20355246110889644,2.7755575615628914e-17
llava_1_5_7b,S_G,0.8716411851591004,0.0008300490264446245,0.6152093218951499,0.0002628110347168116
llava_1_5_7b,S_G_per_position,0.8660651694039316,0.0010297278284259008,0.6162973264330159,0.002000352894820198
llava_1_5_7b,position,0.8143322475570033,0.0,0.5076795820518627,0.0
qwen3_vl_8b,S_G,0.8518953168044078,0.0023248082576905332,0.5416502443596103,0.0059208044939243675
qwen3_vl_8b,S_G_per_position,0.8399096418732782,0.0028908674559036825,0.5042603548745378,0.006569478872909754
qwen3_vl_8b,position,0.6591300275482094,0.00044102472056528966,0.22458376786774784,0.0008935678792638933
internvl_2_5_8b,S_G,0.8424050510892617,0.0008542170524694733,0.4954544854317789,0.003679710277324191
internvl_2_5_8b,S_G_per_position,0.818387314439946,0.0027674672909153283,0.43250933582571793,0.00753884811889194
internvl_2_5_8b,position,0.7048756506651244,0.0,0.27158718510165125,0.0
