model,scope,label,layer,valid,undefined,mean,q25,median,q75
internvl_2_5_8b,all,REAL,1,9993,0,0.22898133379518706,0.06073660095614835,0.12990127195819065,0.3312803143635392
internvl_2_5_8b,all,REAL,2,9993,0,0.2226162234770427,0.044741705337531,0.10420923018589234,0.3609413859935907
internvl_2_5_8b,all,REAL,3,9993,0,0.035572117675696624,0.01077001789048208,0.024387344255277856,0.05055113297633149
internvl_2_5_8b,all,REAL,4,9993,0,0.11076074747852874,0.02684008732560473,0.06273736633054579,0.16940153017640114
internvl_2_5_8b,all,REAL,5,9993,0,0.12700925483474051,0.042037415476307384,0.09242264159317863,0.19090238896509013
internvl_2_5_8b,all,REAL,6,9993,0,0.1829219387948878,0.06372853723955871,0.12882815175239118,0.2592782573058055
internvl_2_5_8b,all,REAL,7,9993,0,0.23716633695676137,0.06512926803246709,0.1436920136797662,0.3780201613903046
internvl_2_5_8b,all,REAL,8,9993,0,0.21430506889934092,0.07535710811185149,0.15126671168234265,0.33261243253946304
internvl_2_5_8b,all,REAL,9,9993,0,0.2812231379687202,0.08197487106771914,0.1759446384743429,0.4494168542325497
internvl_2_5_8b,all,REAL,10,9993,0,0.19620835531660646,0.06942117333804307,0.13755288735152252,0.3062927619450622
internvl_2_5_8b,all,REAL,11,9993,0,0.3451955215116154,0.10568748241466647,0.2309315031078378,0.5883492243786653
internvl_2_5_8b,all,REAL,12,9993,0,0.27202564055040734,0.09824296580821586,0.19462726585740267,0.43577302909559673
internvl_2_5_8b,all,REAL,13,9993,0,0.3122036932040688,0.10568337049335241,0.21874147251520942,0.5196990941006404
internvl_2_5_8b,all,REAL,14,9993,0,0.4694128843825192,0.13265865951988792,0.2806230442880025,0.7213579932848613
internvl_2_5_8b,all,REAL,15,9993,0,0.5833568795633789,0.1593207144139645,0.32921090206274617,0.8453733934597536
internvl_2_5_8b,all,REAL,16,9993,0,0.22537402844474583,0.08768580123552516,0.1804865745889058,0.3347638383169066
internvl_2_5_8b,all,REAL,17,9993,0,0.426117664351319,0.1364848299655227,0.28691286213982564,0.6650059865239788
internvl_2_5_8b,all,REAL,18,9993,0,0.5982641375348161,0.14739835820687205,0.3393324440541236,0.9543479424383905
internvl_2_5_8b,all,REAL,19,9993,0,0.6784439446738136,0.1755205935415342,0.3951774876083383,1.0092554715546695
internvl_2_5_8b,all,REAL,20,9993,0,0.5094945339248919,0.13394361586225303,0.3126472594837348,0.8204183945698398
internvl_2_5_8b,all,REAL,21,9993,0,0.4112109617702717,0.1227970527847194,0.26512458609825335,0.6130216556290785
internvl_2_5_8b,all,REAL,22,9993,0,0.41757714420666137,0.1296843555481995,0.28287040920884804,0.6280698835849762
internvl_2_5_8b,all,REAL,23,9993,0,0.19819103778317815,0.05557046834775041,0.1140016766494491,0.26382864862680433
internvl_2_5_8b,all,REAL,24,9993,0,0.3056827554646755,0.07261510235680775,0.1700813079550557,0.46678885471607956
internvl_2_5_8b,all,REAL,25,9993,0,0.13711839003989512,0.04614765517413616,0.08967304907603497,0.15989466753671877
internvl_2_5_8b,all,REAL,26,9993,0,0.19772586551301186,0.05595038423780352,0.11465645154208146,0.2725063107515636
internvl_2_5_8b,all,REAL,27,9993,0,0.17482244712566714,0.0464434958670194,0.09516994693075065,0.2278274202888662
internvl_2_5_8b,all,REAL,28,9993,0,0.4492378789256671,0.08889896248499107,0.22086078947936388,0.7134529054164886
internvl_2_5_8b,all,REAL,29,9993,0,0.44612603802226913,0.12387040438810111,0.28030264475543437,0.704129171743989
internvl_2_5_8b,all,REAL,30,9993,0,0.8241578439887078,0.1905071117553713,0.44914503921304016,1.3017655868421902
internvl_2_5_8b,all,REAL,31,9993,0,0.667745063293728,0.16916340429868018,0.3889786540285537,0.9972693584859371
internvl_2_5_8b,all,REAL,32,9993,0,5.246779469444055,1.0968815822280564,2.6126673656540946,8.223056023771113
internvl_2_5_8b,all,HALL,1,1766,0,0.09782382022007498,0.042292269574286286,0.0629830387065822,0.10872615783564037
internvl_2_5_8b,all,HALL,2,1766,0,0.08795503970564975,0.03241505095968132,0.04919399005097157,0.09198312876227605
internvl_2_5_8b,all,HALL,3,1766,0,0.01762464845646037,0.00696073848928643,0.010955086732620689,0.0204942384729963
internvl_2_5_8b,all,HALL,4,1766,0,0.05349853921673721,0.02083220146846765,0.031037379755542164,0.056371372342983866
internvl_2_5_8b,all,HALL,5,1766,0,0.06995115756393486,0.03125151250934001,0.046736695759610626,0.08270967927373325
internvl_2_5_8b,all,HALL,6,1766,0,0.1089710252048846,0.047836848660760246,0.07151707082297658,0.12914022899491687
internvl_2_5_8b,all,HALL,7,1766,0,0.11549758350906196,0.048334390917706985,0.07214988300564382,0.13185358290580126
internvl_2_5_8b,all,HALL,8,1766,0,0.12133826165469458,0.05787268086621614,0.08588307794939468,0.1414528896039762
internvl_2_5_8b,all,HALL,9,1766,0,0.13616571751566972,0.05918220882251096,0.08800526988251928,0.15403766077187664
internvl_2_5_8b,all,HALL,10,1766,0,0.11126065894112654,0.05322916585191727,0.0775018766023911,0.13198532396678458
internvl_2_5_8b,all,HALL,11,1766,0,0.18082417026043446,0.07658266631862413,0.11421683313912898,0.21151310896898956
internvl_2_5_8b,all,HALL,12,1766,0,0.14840691137886744,0.07127067843697595,0.10403903709226284,0.17702661039261047
internvl_2_5_8b,all,HALL,13,1766,0,0.17306836957172164,0.07764211844683792,0.11561658114454798,0.2078570657005816
internvl_2_5_8b,all,HALL,14,1766,0,0.21913573119635682,0.09175398494419532,0.13723868000361128,0.24463366891171917
internvl_2_5_8b,all,HALL,15,1766,0,0.254804263043144,0.11667168236965507,0.16752969755586655,0.2893753697903937
internvl_2_5_8b,all,HALL,16,1766,0,0.1498929860934982,0.07189312651976543,0.1096906524933651,0.18456983155176654
internvl_2_5_8b,all,HALL,17,1766,0,0.20987300784405163,0.09348982302608065,0.13755178464793605,0.24885965855607506
internvl_2_5_8b,all,HALL,18,1766,0,0.2581202658942675,0.10198519403449775,0.15371898786204227,0.27846187883013046
internvl_2_5_8b,all,HALL,19,1766,0,0.2864739723716673,0.11991026522074613,0.18034958391182643,0.3203040945450387
internvl_2_5_8b,all,HALL,20,1766,0,0.24942724845996941,0.09921191465011957,0.15522101800115276,0.28114365017593806
internvl_2_5_8b,all,HALL,21,1766,0,0.2068245023291718,0.08790296340236552,0.13222287362222923,0.23459354741084906
internvl_2_5_8b,all,HALL,22,1766,0,0.2242023595604031,0.09307542617210127,0.14517235474075174,0.25518906481203185
internvl_2_5_8b,all,HALL,23,1766,0,0.0958966364868614,0.04278354549699829,0.06204745341346202,0.11085233580333653
internvl_2_5_8b,all,HALL,24,1766,0,0.14321671100654718,0.0523557368179973,0.08014668633858424,0.1481686297634769
internvl_2_5_8b,all,HALL,25,1766,0,0.08487229888881058,0.03663402666792692,0.056989285221600045,0.09936020438871783
internvl_2_5_8b,all,HALL,26,1766,0,0.09079105554293845,0.03789172335178591,0.057614275038245136,0.1014270213285135
internvl_2_5_8b,all,HALL,27,1766,0,0.08664263161321772,0.03430928506035302,0.05295542454074682,0.0959156045030688
internvl_2_5_8b,all,HALL,28,1766,0,0.18907275730044418,0.05914935287913606,0.09913013989285202,0.19116256511675686
internvl_2_5_8b,all,HALL,29,1766,0,0.2240723134781695,0.09009862304930201,0.13799747166051374,0.2507047135273266
internvl_2_5_8b,all,HALL,30,1766,0,0.34728019029600865,0.1276289107158998,0.2030289308394282,0.36861713615869596
internvl_2_5_8b,all,HALL,31,1766,0,0.3036796570437755,0.11803379461141116,0.17929377404979188,0.33932100187845715
internvl_2_5_8b,all,HALL,32,1766,0,2.0223621803755525,0.7557842263175504,1.140091463545062,2.1458069175818255
internvl_2_5_8b,train,REAL,1,7985,0,0.22992165212995208,0.061919441877572395,0.13136000053750144,0.3303575785830617
internvl_2_5_8b,train,REAL,2,7985,0,0.22388795000642733,0.045484874512882786,0.10501869328113066,0.36245772668293547
internvl_2_5_8b,train,REAL,3,7985,0,0.035702979946847214,0.010950280222459696,0.024596686157747173,0.05051670575267053
internvl_2_5_8b,train,REAL,4,7985,0,0.11109297255864134,0.02700170299216901,0.06343435018206947,0.17003676375108107
internvl_2_5_8b,train,REAL,5,7985,0,0.12730546573326137,0.04255613892793565,0.09386959515752331,0.19071038030087947
internvl_2_5_8b,train,REAL,6,7985,0,0.18351551884712963,0.06473869917196377,0.13004558607935907,0.2582345095773538
internvl_2_5_8b,train,REAL,7,7985,0,0.23816204946249714,0.0658764111926662,0.14506178623280272,0.37866691703146155
internvl_2_5_8b,train,REAL,8,7985,0,0.21499024446229212,0.0759347306239769,0.1525141421432902,0.3317006565630436
internvl_2_5_8b,train,REAL,9,7985,0,0.28242601693463637,0.08294221645675946,0.17816384251908227,0.4494168542325497
internvl_2_5_8b,train,REAL,10,7985,0,0.19662262440697253,0.0700390308976925,0.1384062551728943,0.3090478775019829
internvl_2_5_8b,train,REAL,11,7985,0,0.34617910919899947,0.10680975147988647,0.2333219544596824,0.5904864470163981
internvl_2_5_8b,train,REAL,12,7985,0,0.27260824142058426,0.09930814997185299,0.19586253210025675,0.43664075881242753
internvl_2_5_8b,train,REAL,13,7985,0,0.3133829738186148,0.10710579835044189,0.21904297970902564,0.5202964196602503
internvl_2_5_8b,train,REAL,14,7985,0,0.4712021840054647,0.13463032682540704,0.2834426682908088,0.7214940637350082
internvl_2_5_8b,train,REAL,15,7985,0,0.5860622738464041,0.16064818562724842,0.33139672299677675,0.8480533038576444
internvl_2_5_8b,train,REAL,16,7985,0,0.22612780517410408,0.08887910718331113,0.18165179318748415,0.3349280219658145
internvl_2_5_8b,train,REAL,17,7985,0,0.4276601780716332,0.1376868073354313,0.28863626640410195,0.6648653671145439
internvl_2_5_8b,train,REAL,18,7985,0,0.6016897634148652,0.14938624770576625,0.34158374974504113,0.9566483602804297
internvl_2_5_8b,train,REAL,19,7985,0,0.6817060228878584,0.17777193706579408,0.3988031481130747,1.011455323351057
internvl_2_5_8b,train,REAL,20,7985,0,0.5125306007758538,0.13553219839798802,0.31626154961799025,0.8206793949007988
internvl_2_5_8b,train,REAL,21,7985,0,0.4132538408832759,0.1237620580590941,0.26510045505487,0.6153291431255639
internvl_2_5_8b,train,REAL,22,7985,0,0.4207785031077244,0.13096773395103947,0.2839959224996467,0.6334776262874189
internvl_2_5_8b,train,REAL,23,7985,0,0.19973699937495631,0.05638397059848775,0.11510828696191311,0.2661090644874743
internvl_2_5_8b,train,REAL,24,7985,0,0.3073873526848215,0.07332627327494913,0.1719880850869231,0.46622456644069066
internvl_2_5_8b,train,REAL,25,7985,0,0.13708071408224395,0.04647244561818384,0.09012957208324224,0.15965563356876372
internvl_2_5_8b,train,REAL,26,7985,0,0.19876882564599865,0.056444768503983965,0.11582965550145932,0.27212942329545814
internvl_2_5_8b,train,REAL,27,7985,0,0.17497131921720066,0.04694773970792691,0.09573997780680657,0.22854273731354624
internvl_2_5_8b,train,REAL,28,7985,0,0.45290422670131086,0.08943640376258243,0.223226605379885,0.7161702456719735
internvl_2_5_8b,train,REAL,29,7985,0,0.4487746802493905,0.12603486177868375,0.2818750942773793,0.7072098838786284
internvl_2_5_8b,train,REAL,30,7985,0,0.8316121519211892,0.1920040561449959,0.4567857561085154,1.306055873632431
internvl_2_5_8b,train,REAL,31,7985,0,0.670694652632009,0.17232608556835435,0.389507287958016,1.0016235498090584
internvl_2_5_8b,train,REAL,32,7985,0,5.26705651817605,1.1046024630777538,2.659623828406135,8.2786674676463
internvl_2_5_8b,train,HALL,1,1393,0,0.09853373930875303,0.042299836059100926,0.06349395715245386,0.10847682973531925
internvl_2_5_8b,train,HALL,2,1393,0,0.08833814401457779,0.03253291530150769,0.05007925393081016,0.09075732131711614
internvl_2_5_8b,train,HALL,3,1393,0,0.017912852654140513,0.006981398095746753,0.01097659106049428,0.020199422724545002
internvl_2_5_8b,train,HALL,4,1393,0,0.05365630548323899,0.020877803173673798,0.030698096343298127,0.056197585619520395
internvl_2_5_8b,train,HALL,5,1393,0,0.07024083482805328,0.03151678937381785,0.04679999828193581,0.08255385471364626
internvl_2_5_8b,train,HALL,6,1393,0,0.1100452340867493,0.048429788531003784,0.07161582996497669,0.12869998670860447
internvl_2_5_8b,train,HALL,7,1393,0,0.11588525868666602,0.048070490259901975,0.07237427013492441,0.13172488771779564
internvl_2_5_8b,train,HALL,8,1393,0,0.12172512824150507,0.05843894619165974,0.08627839470990813,0.14146217942999845
internvl_2_5_8b,train,HALL,9,1393,0,0.13648076977613136,0.05941029606522837,0.08902840282233362,0.15360737439460945
internvl_2_5_8b,train,HALL,10,1393,0,0.1117026834881902,0.053626340564707636,0.07797457336515091,0.13099923616068232
internvl_2_5_8b,train,HALL,11,1393,0,0.18158954760118542,0.07636482351498872,0.1155637899406008,0.20924060274779366
internvl_2_5_8b,train,HALL,12,1393,0,0.14880570329405313,0.07150153055495062,0.10485962805013811,0.1757622608237646
internvl_2_5_8b,train,HALL,13,1393,0,0.17442124867324835,0.07761834473476732,0.11754151523763419,0.20735734595853667
internvl_2_5_8b,train,HALL,14,1393,0,0.22096730052100882,0.09186673122475364,0.13917203426826746,0.24257423839217027
internvl_2_5_8b,train,HALL,15,1393,0,0.25705342424498184,0.11745537401983495,0.16863893788434903,0.2858700675454426
internvl_2_5_8b,train,HALL,16,1393,0,0.15039382022854864,0.07160991244565915,0.11094667076428502,0.18464575141567635
internvl_2_5_8b,train,HALL,17,1393,0,0.2116305248500673,0.09454242919682794,0.13821974398028528,0.24579087764454577
internvl_2_5_8b,train,HALL,18,1393,0,0.26069726588439956,0.10198474277676077,0.1540271247504279,0.273560454805364
internvl_2_5_8b,train,HALL,19,1393,0,0.289058999939907,0.11987005861287582,0.1829460333711784,0.3171633035163669
internvl_2_5_8b,train,HALL,20,1393,0,0.2508753673783074,0.10017293929605388,0.15641290805932065,0.2776536108453719
internvl_2_5_8b,train,HALL,21,1393,0,0.20673667807108365,0.08758320077061792,0.13341923437957817,0.236119571215074
internvl_2_5_8b,train,HALL,22,1393,0,0.2255472278196802,0.09311310128580653,0.14635544328592476,0.2552295489066809
internvl_2_5_8b,train,HALL,23,1393,0,0.0969305540139741,0.04281734876144169,0.06269850608152457,0.1094163515591535
internvl_2_5_8b,train,HALL,24,1393,0,0.1439639033111936,0.052483066491296755,0.08185080917406908,0.1469594639807289
internvl_2_5_8b,train,HALL,25,1393,0,0.08580807923437302,0.03711711044835296,0.05753695653555425,0.10070642755766
internvl_2_5_8b,train,HALL,26,1393,0,0.09130431828213893,0.03847947951246479,0.05827677288393983,0.10162273929479422
internvl_2_5_8b,train,HALL,27,1393,0,0.08763588554648213,0.03475232517622335,0.05313980908540543,0.09540734290266814
