model,scope,label,layer,valid,undefined,mean,q25,median,q75
llava_1_5_7b,all,REAL,1,11976,0,0.08741363819862473,0.032807564560763586,0.06526550333946943,0.12069559244749448
llava_1_5_7b,all,REAL,2,11976,0,0.14551060445491495,0.04569775350421715,0.10409254610963296,0.2235692369618586
llava_1_5_7b,all,REAL,3,11976,0,0.27272473814833575,0.0629117897339505,0.18296827262799653,0.4471450933049638
llava_1_5_7b,all,REAL,4,11976,0,0.20342555644342014,0.05679495435536162,0.14342073197083474,0.2863247422143244
llava_1_5_7b,all,REAL,5,11976,0,0.2512989311623823,0.0804366487360036,0.19245585147291422,0.3903521500916325
llava_1_5_7b,all,REAL,6,11976,0,0.2729828729225398,0.08994814944204363,0.22183913342179912,0.4150182862248686
llava_1_5_7b,all,REAL,7,11976,0,0.21855507732146137,0.0995426464138187,0.19240840230080664,0.29936484596692026
llava_1_5_7b,all,REAL,8,11976,0,0.28955350926893597,0.10778825273397619,0.23178064848403804,0.42201481262842816
llava_1_5_7b,all,REAL,9,11976,0,0.3296560342432627,0.14103511610716982,0.2960999283337391,0.4994897395372391
llava_1_5_7b,all,REAL,10,11976,0,0.36029976991891943,0.13985480303637365,0.30428485082319146,0.5451832361829778
llava_1_5_7b,all,REAL,11,11976,0,0.5048464132746685,0.20075316186846148,0.4138451926992275,0.7429835881505694
llava_1_5_7b,all,REAL,12,11976,0,0.37199700395750906,0.16984021769690952,0.3131639140927674,0.5594276649611337
llava_1_5_7b,all,REAL,13,11976,0,0.3898312941907203,0.17908739192538797,0.3346825133224851,0.5680517295142635
llava_1_5_7b,all,REAL,14,11976,0,0.3978483771223714,0.1740770724070007,0.33963180063671655,0.600804021788968
llava_1_5_7b,all,REAL,15,11976,0,0.48141700236102547,0.19717903223601949,0.3888272294222865,0.6963384543146406
llava_1_5_7b,all,REAL,16,11976,0,0.6207749456159325,0.2387823576065619,0.49028050029162495,0.910312902847571
llava_1_5_7b,all,REAL,17,11976,0,0.5916271599217167,0.22395133364842842,0.4698196862058864,0.8954463545233011
llava_1_5_7b,all,REAL,18,11976,0,0.3687715571808035,0.12592442510291363,0.2906609688497459,0.5488307229089704
llava_1_5_7b,all,REAL,19,11976,0,0.42572744105243854,0.13641221279497504,0.3222046503660716,0.6663100095909267
llava_1_5_7b,all,REAL,20,11976,0,0.46979677079849524,0.16436081151113624,0.34381256260288257,0.6732151638716459
llava_1_5_7b,all,REAL,21,11976,0,0.3593955116188709,0.12765692257661404,0.29185093919901794,0.5471775492399253
llava_1_5_7b,all,REAL,22,11976,0,0.18824691993788903,0.06328974670874844,0.1300846956527004,0.2592762224327288
llava_1_5_7b,all,REAL,23,11976,0,0.3748109834035534,0.1169331883469766,0.25530128061726665,0.5487236690358259
llava_1_5_7b,all,REAL,24,11976,0,0.26725681458825506,0.0943846361843317,0.1794287424316831,0.34900954002902534
llava_1_5_7b,all,REAL,25,11976,0,0.1533209724197911,0.06280960959215476,0.12655064924019238,0.21203562402381348
