model,scope,label,layer,valid,undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,REAL,1,7801,0,7.414893431411073,2.110633179996953,4.475190827721043,11.526056700282627
qwen2_5_vl_7b,all,REAL,2,7801,0,0.6976604375177691,0.18805191344051045,0.4053932779601642,1.0717667085783822
qwen2_5_vl_7b,all,REAL,3,7801,0,0.477682599642767,0.15241377845051743,0.3165283327087246,0.7196171462535859
qwen2_5_vl_7b,all,REAL,4,7801,0,0.7828512992362523,0.1922421593729767,0.42598940811764735,1.2168854288756847
qwen2_5_vl_7b,all,REAL,5,7801,0,0.5348512763223735,0.19195818296896341,0.34038480633700435,0.7183891560294127
qwen2_5_vl_7b,all,REAL,6,7801,0,0.6953344041367512,0.2615489646910675,0.4766217540292179,1.0005269083711836
qwen2_5_vl_7b,all,REAL,7,7801,0,1.2428164551718064,0.3905539812047535,0.793646514415741,1.9697293281555175
qwen2_5_vl_7b,all,REAL,8,7801,0,1.1898261071545237,0.4565389222412739,0.8467541246310525,1.799355842850425
qwen2_5_vl_7b,all,REAL,9,7801,0,1.2302595328943116,0.47092796909827284,0.8889581548670927,1.6878930181264877
qwen2_5_vl_7b,all,REAL,10,7801,0,1.4434977999029073,0.605835774335368,1.1194850099273026,2.258855566382408
qwen2_5_vl_7b,all,REAL,11,7801,0,1.2385460248453155,0.43389681328295004,0.8867972966502694,1.9519619670781223
qwen2_5_vl_7b,all,REAL,12,7801,0,0.9918602639123855,0.4499072608622638,0.8298407420516014,1.4630446704951199
qwen2_5_vl_7b,all,REAL,13,7801,0,1.2278147707461355,0.5248766181264388,0.9867825404457424,1.919382651646932
qwen2_5_vl_7b,all,REAL,14,7801,0,1.1029947773936455,0.4901720110439893,0.9173954526583353,1.6733153462409973
qwen2_5_vl_7b,all,REAL,15,7801,0,1.1416254004615713,0.4284819304359271,0.8544117311636606,1.7554675824940205
qwen2_5_vl_7b,all,REAL,16,7801,0,1.461557249148845,0.5495238554900261,1.1149833254516124,2.357745921611786
qwen2_5_vl_7b,all,REAL,17,7801,0,0.9663687258113852,0.44926417434795035,0.8386432379484177,1.3573018729686737
qwen2_5_vl_7b,all,REAL,18,7801,0,1.711790932931439,0.609055295446009,1.2359052087579454,2.5206496894359587
qwen2_5_vl_7b,all,REAL,19,7801,0,2.4870216482182945,0.8189482502281092,1.7342351801467664,3.7221844366618564
qwen2_5_vl_7b,all,REAL,20,7801,0,3.08435587265518,0.9734382872780164,2.1454922722445593,4.6963153055735996
qwen2_5_vl_7b,all,REAL,21,7801,0,2.2217021458101294,0.8010729208973975,1.6912667106371373,3.2184721171855926
qwen2_5_vl_7b,all,REAL,22,7801,0,2.2437879281795503,0.8312759727475719,1.7789130521317322,3.4871647159258523
qwen2_5_vl_7b,all,REAL,23,7801,0,1.1254897352851885,0.5568492240391862,1.0142361149191856,1.4959486424922943
qwen2_5_vl_7b,all,REAL,24,7801,0,2.9010024582699048,0.890044161414897,2.0048429201478544,4.21758060157299
qwen2_5_vl_7b,all,REAL,25,7801,0,2.700827603995645,0.8927912381203735,1.8022985534081537,3.9566019111209445
qwen2_5_vl_7b,all,REAL,26,7801,0,2.718848794584647,0.9916023596218138,2.0592115834976235,4.050745844841003
qwen2_5_vl_7b,all,REAL,27,7801,0,2.8829131569013495,1.1211518550823842,2.18389061614871,4.258275809032576
qwen2_5_vl_7b,all,REAL,28,7801,0,21.95882783030671,7.08077312606786,14.556122812959883,33.35020035505295
qwen2_5_vl_7b,all,HALL,1,916,0,3.026109772662328,1.3777266518722928,2.04477738273407,3.5165117156790515
qwen2_5_vl_7b,all,HALL,2,916,0,0.2896252982165309,0.12205601457871298,0.18611255266593507,0.33442286155186596
qwen2_5_vl_7b,all,HALL,3,916,0,0.2174656540682832,0.10443065656222333,0.152910018650194,0.24632659927010536
qwen2_5_vl_7b,all,HALL,4,916,0,0.311421004536338,0.13219404740162127,0.20534434518179834,0.3451608223530153
qwen2_5_vl_7b,all,HALL,5,916,0,0.2644812425461202,0.13322076448373774,0.1975580512134374,0.3136284366173553
qwen2_5_vl_7b,all,HALL,6,916,0,0.3279766901336621,0.1735123191368923,0.24939183958896272,0.3974436068575573
qwen2_5_vl_7b,all,HALL,7,916,0,0.5515244742695541,0.25859298801885816,0.38030209275091004,0.6404564780833457
qwen2_5_vl_7b,all,HALL,8,916,0,0.6565414336174755,0.3374521894198441,0.48192700410143385,0.8076602621929523
qwen2_5_vl_7b,all,HALL,9,916,0,0.6488699007848925,0.3348956663682187,0.4904106654573117,0.7987083814845287
qwen2_5_vl_7b,all,HALL,10,916,0,0.823697983805677,0.43278030822229346,0.6219113491136918,1.0231989897612948
qwen2_5_vl_7b,all,HALL,11,916,0,0.6072196112300396,0.29411139202910863,0.4442101640461553,0.7241202893703829
qwen2_5_vl_7b,all,HALL,12,916,0,0.5837348385102655,0.3135677975454995,0.44360696346368783,0.7293040983737089
qwen2_5_vl_7b,all,HALL,13,916,0,0.6788206609558549,0.3577157698054793,0.5162157337380839,0.8285146371492154
qwen2_5_vl_7b,all,HALL,14,916,0,0.6451219975532124,0.3362410004990688,0.5023078953797245,0.826149498532508
qwen2_5_vl_7b,all,HALL,15,916,0,0.5739677842154847,0.28325546908132543,0.41678965081965286,0.698026562096079
qwen2_5_vl_7b,all,HALL,16,916,0,0.7325857301120733,0.3610457237276326,0.5350676581830791,0.9079350699289029
qwen2_5_vl_7b,all,HALL,17,916,0,0.5638780501561484,0.2836688104664315,0.4328376137238593,0.7206842885572278
qwen2_5_vl_7b,all,HALL,18,916,0,0.7643255371750428,0.36218755730121993,0.5408152872142492,0.9476829161144104
qwen2_5_vl_7b,all,HALL,19,916,0,1.0661979149231593,0.5018218860728079,0.7515015784048823,1.2659659920859019
qwen2_5_vl_7b,all,HALL,20,916,0,1.3417786450285647,0.6168638500756212,0.9184203486358131,1.5395797734530248
qwen2_5_vl_7b,all,HALL,21,916,0,1.0986117451128197,0.5088605534718715,0.7632908718737064,1.3557440128765608
qwen2_5_vl_7b,all,HALL,22,916,0,1.1257173864620817,0.517707209185478,0.7970105912609564,1.346067651436015
qwen2_5_vl_7b,all,HALL,23,916,0,0.6879930859194433,0.3630794509550303,0.5222848678435499,0.8489892408162212
qwen2_5_vl_7b,all,HALL,24,916,0,1.243008694577705,0.5578501388129286,0.8315354928970169,1.4274142276235398
qwen2_5_vl_7b,all,HALL,25,916,0,1.2722434933799074,0.5873895197295702,0.8790046239576557,1.445456207708595
qwen2_5_vl_7b,all,HALL,26,916,0,1.3186312806317966,0.6567072161051328,0.9584709161104592,1.5395048184648017
qwen2_5_vl_7b,all,HALL,27,916,0,1.4517123504147713,0.7210432132950143,1.0382884991590915,1.6657080463961849
qwen2_5_vl_7b,all,HALL,28,916,0,10.139982866562283,4.599544721706178,6.808389862820768,11.083936358444275
qwen2_5_vl_7b,train,REAL,1,6252,0,7.387088979103766,2.1108418337976653,4.483288364807764,11.463267424371507
qwen2_5_vl_7b,train,REAL,2,6252,0,0.6946139381483882,0.18857205894404844,0.405640968547927,1.0663355461188724
qwen2_5_vl_7b,train,REAL,3,6252,0,0.4786636559210104,0.15271955094697798,0.32010771192920706,0.7171288622277123
qwen2_5_vl_7b,train,REAL,4,6252,0,0.782853879451514,0.19282744014456582,0.4275672351061981,1.210999757051468
qwen2_5_vl_7b,train,REAL,5,6252,0,0.5354073754080806,0.19210868592946664,0.3438159885505835,0.7179437501948666
qwen2_5_vl_7b,train,REAL,6,6252,0,0.6948826547077095,0.26231439807719004,0.4794011037600668,0.9970597665224756
qwen2_5_vl_7b,train,REAL,7,6252,0,1.2431730691430958,0.39021770646270154,0.7945797831456258,1.9568453976618392
qwen2_5_vl_7b,train,REAL,8,6252,0,1.1922477404074756,0.4584218358244266,0.8514218923344622,1.7993019914085215
qwen2_5_vl_7b,train,REAL,9,6252,0,1.232238595716959,0.4763145749975846,0.8943709247244693,1.6863958390222655
qwen2_5_vl_7b,train,REAL,10,6252,0,1.4423134515597762,0.6060184091237854,1.1204361465005648,2.248376596160233
qwen2_5_vl_7b,train,REAL,11,6252,0,1.2406846726307563,0.4389669187245168,0.886880944493939,1.9533158327851976
qwen2_5_vl_7b,train,REAL,12,6252,0,0.9955363299176817,0.4533451125149968,0.8362753908105549,1.464700312167406
qwen2_5_vl_7b,train,REAL,13,6252,0,1.2286375423758613,0.5273430823059404,0.9887296116816249,1.9173898641907035
qwen2_5_vl_7b,train,REAL,14,6252,0,1.1049089753284635,0.493424829733105,0.9213129551046424,1.6719784264763196
qwen2_5_vl_7b,train,REAL,15,6252,0,1.143029490929826,0.4308949746763391,0.8567720526119783,1.7454353158672649
qwen2_5_vl_7b,train,REAL,16,6252,0,1.4611627087569823,0.5504674798098027,1.1189982671901664,2.344857177564076
qwen2_5_vl_7b,train,REAL,17,6252,0,0.9685575975717267,0.4528789992865856,0.8399881926412154,1.3572737601603948
qwen2_5_vl_7b,train,REAL,18,6252,0,1.71149682007038,0.6110597450205708,1.2409785299081038,2.503439536903586
qwen2_5_vl_7b,train,REAL,19,6252,0,2.4831490052280967,0.8216600640422226,1.7411096124599377,3.6788295134902
qwen2_5_vl_7b,train,REAL,20,6252,0,3.079058332175159,0.9731274159166408,2.153522035435719,4.667207391533468
qwen2_5_vl_7b,train,REAL,21,6252,0,2.2247249788085255,0.8065237679151802,1.7008845591862851,3.216630452179483
qwen2_5_vl_7b,train,REAL,22,6252,0,2.2419704463752144,0.8362912124447415,1.778658208126823,3.4724580629004373
qwen2_5_vl_7b,train,REAL,23,6252,0,1.1239928893518014,0.5618005425406929,1.011687934724614,1.4983924774492121
qwen2_5_vl_7b,train,REAL,24,6252,0,2.895919870060431,0.8978309425335829,1.9961884023585155,4.217906291463546
qwen2_5_vl_7b,train,REAL,25,6252,0,2.6977817494469383,0.8958702216030292,1.7935031524135008,3.9386024832725526
qwen2_5_vl_7b,train,REAL,26,6252,0,2.7222880822715485,0.9974613548091957,2.059738917060433,4.042212772369385
qwen2_5_vl_7b,train,REAL,27,6252,0,2.877635187340796,1.1274647020921624,2.1810892902229995,4.238259755839993
qwen2_5_vl_7b,train,REAL,28,6252,0,21.942529315077838,7.140483854193095,14.602124883660249,33.141774117946625
qwen2_5_vl_7b,train,HALL,1,733,0,2.9502623934757213,1.3870941743254661,2.0541229065921573,3.450698824489818
qwen2_5_vl_7b,train,HALL,2,733,0,0.28005004185717153,0.12341000173199043,0.18646937676864425,0.3346974849700928
qwen2_5_vl_7b,train,HALL,3,733,0,0.21233808477344365,0.10442933204583824,0.15318988578329826,0.2450684896286796
qwen2_5_vl_7b,train,HALL,4,733,0,0.3016249840667061,0.13302296168375305,0.2036285293288529,0.342536558508873
qwen2_5_vl_7b,train,HALL,5,733,0,0.26233005971118706,0.13615880474551684,0.1962001843377948,0.31598684150311684
qwen2_5_vl_7b,train,HALL,6,733,0,0.32488417018524496,0.17337117854078285,0.2521393925857705,0.39413547585718334
qwen2_5_vl_7b,train,HALL,7,733,0,0.5423280263039677,0.2593471593140523,0.38604493921055744,0.6314349775352786
qwen2_5_vl_7b,train,HALL,8,733,0,0.6509253414633689,0.3432370033611854,0.48504826273111734,0.8030787327072837
qwen2_5_vl_7b,train,HALL,9,733,0,0.6434928794937024,0.3381878378598067,0.49283181478814136,0.7914954817720822
qwen2_5_vl_7b,train,HALL,10,733,0,0.8173747254150407,0.4340270118584402,0.6227548813278024,1.0102599624382413
qwen2_5_vl_7b,train,HALL,11,733,0,0.60004676082892,0.29707524251414114,0.4439825671724975,0.7168251011039941
qwen2_5_vl_7b,train,HALL,12,733,0,0.5798337140430423,0.3151475447115063,0.4439995826170262,0.7314744006842375
qwen2_5_vl_7b,train,HALL,13,733,0,0.6714965799497712,0.35528855108110824,0.515554861205497,0.8175267065288844
qwen2_5_vl_7b,train,HALL,14,733,0,0.6399685184347538,0.3368010300358659,0.5048372721409097,0.8229618520708755
qwen2_5_vl_7b,train,HALL,15,733,0,0.5682404019144455,0.2848058875358656,0.4261302321629469,0.6967757747580225
qwen2_5_vl_7b,train,HALL,16,733,0,0.7251550233121423,0.3571674983985232,0.5311420347899771,0.892314282485417
qwen2_5_vl_7b,train,HALL,17,733,0,0.5608817777296999,0.28549298029313586,0.4359213043935597,0.7225969884883273
qwen2_5_vl_7b,train,HALL,18,733,0,0.7493769351019263,0.36178858802000535,0.5344695343993344,0.9452237972900981
qwen2_5_vl_7b,train,HALL,19,733,0,1.0480723423304192,0.5020906135821378,0.751496296881114,1.2654865698681936
qwen2_5_vl_7b,train,HALL,20,733,0,1.3231520089575528,0.6177774095191405,0.9208713777972242,1.537412544945255
qwen2_5_vl_7b,train,HALL,21,733,0,1.0852085657871682,0.5096868845226055,0.7657424242465527,1.352601414353683
qwen2_5_vl_7b,train,HALL,22,733,0,1.1005552689853035,0.5194304095484413,0.8107961661545402,1.3335291555267759
qwen2_5_vl_7b,train,HALL,23,733,0,0.6903989709281164,0.36335041007469243,0.5258242756826803,0.8552082028239966
qwen2_5_vl_7b,train,HALL,24,733,0,1.21367752483657,0.5642063468694687,0.8267247791207114,1.4229096557045806
qwen2_5_vl_7b,train,HALL,25,733,0,1.2596816023795532,0.5899053472094238,0.8843553716658937,1.437594465835362
qwen2_5_vl_7b,train,HALL,26,733,0,1.2990644049234512,0.6575132571160793,0.9712877756701066,1.5356415455582841
qwen2_5_vl_7b,train,HALL,27,733,0,1.4400672783628126,0.7166833196323915,1.0416797603619226,1.665957951652152
qwen2_5_vl_7b,train,HALL,28,733,0,10.153091583628933,4.604655804155871,6.825873431992596,11.0452886515043
qwen2_5_vl_7b,validation,REAL,1,786,0,7.388770358599189,2.12337794743502,4.19027065527108,11.305960163888004
qwen2_5_vl_7b,validation,REAL,2,786,0,0.7042236046941538,0.19191017978997144,0.41699480772286235,1.0928988282879195
qwen2_5_vl_7b,validation,REAL,3,786,0,0.46676153556483413,0.15266299738413502,0.30351605418730865,0.7036560633116298
qwen2_5_vl_7b,validation,REAL,4,786,0,0.7619804712619336,0.19028402725757684,0.42085132473148407,1.1981214494222685
qwen2_5_vl_7b,validation,REAL,5,786,0,0.5195547109400696,0.19236666745686484,0.319919886191686,0.681679137609899
qwen2_5_vl_7b,validation,REAL,6,786,0,0.6872665685679061,0.2647040089449057,0.47456133677926543,0.9908992302204882
qwen2_5_vl_7b,validation,REAL,7,786,0,1.2252586834953727,0.39842702128841145,0.7788113601919677,1.9633922547101974
qwen2_5_vl_7b,validation,REAL,8,786,0,1.1558321984278646,0.44954334308809424,0.8038139773356119,1.7600776606167738
qwen2_5_vl_7b,validation,REAL,9,786,0,1.2046999469252304,0.4642130138398737,0.8735954921281095,1.674479064689233
qwen2_5_vl_7b,validation,REAL,10,786,0,1.4408706585164088,0.6029200312225338,1.0955382561460332,2.270848921872675
qwen2_5_vl_7b,validation,REAL,11,786,0,1.2175900153091013,0.4146793707054477,0.8862709480828206,1.8808802579130446
qwen2_5_vl_7b,validation,REAL,12,786,0,0.9706177641669258,0.44433509599136184,0.8009686383108298,1.4534854157827795
qwen2_5_vl_7b,validation,REAL,13,786,0,1.2095159641354696,0.526155703005006,0.9649211178811921,1.8868277029444773
qwen2_5_vl_7b,validation,REAL,14,786,0,1.0940163326387249,0.4654309593059257,0.8819787981161349,1.6475916751793453
qwen2_5_vl_7b,validation,REAL,15,786,0,1.1199334403143635,0.41992947560347094,0.8136268231396874,1.775158195714043
qwen2_5_vl_7b,validation,REAL,16,786,0,1.4475106612509452,0.5418105758848001,1.065288996460537,2.3558222247795624
qwen2_5_vl_7b,validation,REAL,17,786,0,0.9463624225862267,0.4382009057429869,0.7986820050976192,1.338421955704689
qwen2_5_vl_7b,validation,REAL,18,786,0,1.6919193517748579,0.6051311777546696,1.1651770561360397,2.535702159628272
qwen2_5_vl_7b,validation,REAL,19,786,0,2.4609362808308917,0.8084713207369638,1.7052564521630604,3.769445851445198
qwen2_5_vl_7b,validation,REAL,20,786,0,3.050594376905909,0.977081891519633,2.0653242656692146,4.738823912682988
qwen2_5_vl_7b,validation,REAL,21,786,0,2.157444402003163,0.7698153676933341,1.57177143013387,3.1214195325438467
qwen2_5_vl_7b,validation,REAL,22,786,0,2.2224957152174554,0.8028181349449517,1.7446700867679383,3.460093079755704
qwen2_5_vl_7b,validation,REAL,23,786,0,1.1432885393441015,0.5440504271244037,1.032126819012971,1.5195043274822335
qwen2_5_vl_7b,validation,REAL,24,786,0,2.868757381504281,0.8371268489992243,1.9963909642059696,4.115814856972014
qwen2_5_vl_7b,validation,REAL,25,786,0,2.6748119878963976,0.876528285540449,1.8647721680129568,3.8296919721913967
qwen2_5_vl_7b,validation,REAL,26,786,0,2.67986023765445,0.9609553310690998,1.9996059681167946,3.965345310668151
qwen2_5_vl_7b,validation,REAL,27,786,0,2.8883763846968638,1.098058336530812,2.185938125467813,4.193018380228592
qwen2_5_vl_7b,validation,REAL,28,786,0,21.963742867796434,6.997489067746107,14.46819132566452,33.08194253179762
qwen2_5_vl_7b,validation,HALL,1,98,0,3.3942836833887604,1.325720458974441,2.036720536155907,4.176978070579179
qwen2_5_vl_7b,validation,HALL,2,98,0,0.34922380062035524,0.12235881611218385,0.19874368153723432,0.3454833070243088
qwen2_5_vl_7b,validation,HALL,3,98,0,0.24031785325096247,0.10770459226036948,0.15987393101512914,0.2527019122619891
qwen2_5_vl_7b,validation,HALL,4,98,0,0.3585800685765281,0.13508416850832844,0.21112657502974946,0.3801592029107269
qwen2_5_vl_7b,validation,HALL,5,98,0,0.2770209620080585,0.130267681476543,0.22157633617623812,0.3457788586163109
