model,source_mode,label,layer,n_samples,n_tokens,n_visual_mean,n_visual_min,n_visual_max,token_mean,token_std,max_row_sum_error,p50_mean,p50_std,p50_sem,p90_mean,p90_std,p90_sem,p99_mean,p99_std,p99_sem,pmax_mean,pmax_std,pmax_sem,relative_p50_mean,relative_p50_std,relative_p50_sem,relative_p90_mean,relative_p90_std,relative_p90_sem,relative_p99_mean,relative_p99_std,relative_p99_sem,relative_pmax_mean,relative_pmax_std,relative_pmax_sem,top1_mass_mean,top1_mass_std,top1_mass_sem,top5_mass_mean,top5_mass_std,top5_mass_sem,top10_mass_mean,top10_mass_std,top10_mass_sem,top32_mass_mean,top32_mass_std,top32_mass_sem,normalized_entropy_mean,normalized_entropy_std,normalized_entropy_sem,effective_token_fraction_mean,effective_token_fraction_std,effective_token_fraction_sem,mass_above_uniform_mean,mass_above_uniform_std,mass_above_uniform_sem,fraction_above_uniform_mean,fraction_above_uniform_std,fraction_above_uniform_sem
internvl_2_5_8b,hmid_cos,hall,1,1766,452096,256,256,256,0.00390625,0.001386796772,1.331791282e-07,0.00375745688,0.0001532362043,3.646414513e-06,0.005623275681,0.0004549409747,1.082579264e-05,0.007653194249,0.001606826453,3.823610304e-05,0.009103337631,0.002997677736,7.133285276e-05,0.9619089612,0.03922846831,0.0009334821153,1.439558574,0.1164648895,0.002771402915,1.959217728,0.411347572,0.009788442379,2.330454434,0.7674055005,0.01826121031,0.009103337631,0.002997677736,7.133285276e-05,0.04000191168,0.009338714775,0.0002222244099,0.07407725624,0.01362033489,0.0003241100041,0.2033737834,0.02392566439,0.0005693360145,0.9891693287,0.004998385303,0.0001189417657,0.9420684182,0.02578218703,0.0006135138974,0.590976269,0.03356868442,0.0007988016838,0.457829753,0.04023312395,0.0009573889389
internvl_2_5_8b,hmid_cos,hall,2,1766,452096,256,256,256,0.00390625,0.001212163862,1.547159627e-07,0.003763486564,0.000128474343,3.057180323e-06,0.005434623421,0.0004699200182,1.118223452e-05,0.00715267326,0.001187041598,2.824688676e-05,0.008334105346,0.001995855224,4.749344639e-05,0.9634525603,0.0328894318,0.0007826381627,1.391263596,0.1202995247,0.002862652038,1.831084355,0.3038826491,0.00723120301,2.133530968,0.5109389374,0.01215832227,0.008334105346,0.001995855224,4.749344639e-05,0.03716509074,0.006649758372,0.0001582379017,0.06956436982,0.01077691075,0.0002564477758,0.1941104204,0.02209714648,0.0005258245333,0.9916488471,0.004448983658,0.0001058681834,0.9550350485,0.02324520103,0.0005531436828,0.569262948,0.03623260359,0.0008621924051,0.4526671326,0.03747467098,0.0008917486878
internvl_2_5_8b,hmid_cos,hall,3,1766,452096,256,256,256,0.00390625,0.001470296402,1.407461241e-07,0.003781417207,0.0001404055902,3.341096734e-06,0.005730011031,0.0003964019214,9.43279511e-06,0.007798039672,0.001557358341,3.705895796e-05,0.009319362238,0.003210293088,7.639225571e-05,0.968042805,0.03594383109,0.0008553207638,1.466882824,0.1014788919,0.002414795548,1.996298156,0.3986837352,0.009487093238,2.385756733,0.8218350304,0.01955641746,0.009319362238,0.003210293088,7.639225571e-05,0.04081796999,0.009418296492,0.0002241181395,0.07549197753,0.01324650463,0.000315214325,0.2071963047,0.02178223162,0.0005183308073,0.9876108053,0.004956089389,0.0001179352905,0.9339536453,0.02511157027,0.0005975558758,0.6086181999,0.03286870631,0.0007821449783,0.4658169946,0.03639844105,0.0008661386795
internvl_2_5_8b,hmid_cos,hall,4,1766,452096,256,256,256,0.00390625,0.001243574469,1.303851604e-07,0.003763718013,0.0001312692023,3.123686902e-06,0.005423692303,0.0004295615936,1.022186392e-05,0.007367101504,0.001492576966,3.551741792e-05,0.008700541166,0.002686394087,6.392553527e-05,0.9635118114,0.0336049158,0.000799663847,1.38846523,0.109967768,0.002616797165,1.885977985,0.3820997033,0.009092458988,2.227338539,0.6877168862,0.01636493703,0.008700541166,0.002686394087,6.392553527e-05,0.03845079071,0.008651929729,0.000205881647,0.0712460855,0.01286196665,0.0003060638449,0.1957884684,0.02243129676,0.000533775986,0.9913943067,0.004652979394,0.0001107224736,0.9537108164,0.02382249365,0.0005668809597,0.5683767038,0.04151628586,0.0009879231083,0.4505989878,0.04069060965,0.000968275286
internvl_2_5_8b,hmid_cos,hall,5,1766,452096,256,256,256,0.00390625,0.001664221956,1.433654688e-07,0.003692430208,0.0001904325987,4.53154132e-06,0.005736805456,0.0004859154862,1.156286328e-05,0.00886391368,0.002832524416,6.740285812e-05,0.01166756168,0.005922716432,0.0001409371842,0.9452621333,0.04875074527,0.001160074578,1.468622197,0.1243943645,0.002960093,2.269161902,0.7251262506,0.01725513168,2.986895791,1.516215407,0.03607991915,0.01166756168,0.005922716432,0.0001409371842,0.04770734459,0.01721888154,0.0004097411563,0.08485479104,0.0234797329,0.0005587246119,0.2183340812,0.03303268938,0.0007860471255,0.9858208681,0.007757049809,0.0001845870506,0.9252207559,0.03844065075,0.0009147351787,0.5852236637,0.04635674304,0.00110310681,0.4381149136,0.05273789857,0.001254953029
internvl_2_5_8b,hmid_cos,hall,6,1766,452096,256,256,256,0.00390625,0.001552974011,1.372536644e-07,0.003707952253,0.0001585288006,3.772357334e-06,0.005802083135,0.0004908443461,1.168015062e-05,0.008367615307,0.001874632141,4.460881732e-05,0.01016099555,0.00335765809,7.989895887e-05,0.9492357768,0.04058337296,0.0009657234775,1.485333282,0.1256561526,0.002990118559,2.142109519,0.4799058281,0.01141985723,2.601214862,0.859560471,0.02045413347,0.01016099555,0.00335765809,7.989895887e-05,0.0440035666,0.01076402642,0.0002561411797,0.08045867695,0.01596463336,0.000379895019,0.2148260412,0.02687241902,0.0006394570991,0.9866897463,0.006287168228,0.0001496096929,0.9294070586,0.03176894473,0.0007559750102,0.5903573836,0.04249415992,0.001011192636,0.4437265537,0.04162204581,0.0009904397761
internvl_2_5_8b,hmid_cos,hall,7,1766,452096,256,256,256,0.00390625,0.001460991119,1.21886842e-07,0.003680161514,0.0001714618463,4.080112579e-06,0.005666631614,0.0005317253104,1.265295559e-05,0.008206668038,0.002079068576,4.947359445e-05,0.009884708186,0.00345295845,8.216672984e-05,0.9421213475,0.04389423266,0.00104450882,1.450657693,0.1361216795,0.003239156632,2.100907018,0.5322415554,0.01266524018,2.530485296,0.8839573631,0.02103468284,0.009884708186,0.00345295845,8.216672984e-05,0.0430753142,0.01177591959,0.0002802202279,0.07881771098,0.01786546503,0.0004251272813,0.2102729885,0.03078523535,0.0007325666244,0.9885953,0.006886571156,0.0001638731076,0.9393848596,0.03460502685,0.0008234625275,0.5671885018,0.03719567583,0.0008851097086,0.4325784789,0.04164362156,0.0009909531933
internvl_2_5_8b,hmid_cos,hall,8,1766,452096,256,256,256,0.00390625,0.001423011291,1.303851604e-07,0.003754002058,0.0001317231194,3.13448833e-06,0.005730641321,0.0004403699927,1.0479061e-05,0.007703351854,0.001212466797,2.885190574e-05,0.008982334764,0.001967337283,4.681483237e-05,0.9610245269,0.03372111857,0.0008024290126,1.467044178,0.1127347181,0.002682639616,1.972058075,0.3103914999,0.00738608787,2.2994777,0.5036383444,0.01198459709,0.008982334764,0.001967337283,4.681483237e-05,0.04003587419,0.006715437729,0.0001598008101,0.07466066445,0.01073236507,0.000255387765,0.2064091126,0.02133331117,0.0005076482793,0.9883751771,0.004957713678,0.0001179739422,0.9379235399,0.02550263006,0.0006068615492,0.5987193031,0.03502179361,0.0008333799251,0.4581084548,0.03268397685,0.0007777491489
internvl_2_5_8b,hmid_cos,hall,9,1766,452096,256,256,256,0.00390625,0.001608647453,1.401640475e-07,0.00369137384,0.0001876100874,4.464376734e-06,0.005929551277,0.0007120174462,1.694319407e-05,0.008224734962,0.001877207424,4.467009884e-05,0.009668253124,0.002738925735,6.517558037e-05,0.9449917031,0.04802818237,0.001142880444,1.517965127,0.1822764662,0.004337457683,2.10553215,0.4805651005,0.0114355453,2.4750728,0.7011649882,0.01668494857,0.009668253124,0.002738925735,6.517558037e-05,0.04280264273,0.01018378738,0.0002423337895,0.07942366667,0.01699286154,0.0004043627757,0.2164750891,0.03500883207,0.0008330714918,0.9854292332,0.009530105923,0.0002267787609,0.9236344649,0.04694769786,0.001117169194,0.6024427166,0.04401961096,0.001047492327,0.4486281675,0.03427892375,0.0008157025658
internvl_2_5_8b,hmid_cos,hall,10,1766,452096,256,256,256,0.00390625,0.001305004037,1.373700798e-07,0.003791999164,0.0001216570145,2.894954917e-06,0.005563329732,0.000511924795,1.218178178e-05,0.0072003782,0.001163104399,2.767727626e-05,0.008226189046,0.001714721581,4.080357957e-05,0.970751786,0.03114419571,0.0007411084587,1.424212411,0.1310527475,0.003118536136,1.843296819,0.2977547262,0.007085382723,2.105904396,0.4389687246,0.01044571637,0.008226189046,0.001714721581,4.080357957e-05,0.03723000897,0.006345059338,0.0001509872719,0.07011276254,0.01065708202,0.0002535963268,0.1973529362,0.02313290306,0.000550471436,0.9900733489,0.005851728207,0.0001392479457,0.9469316322,0.02992071156,0.0007119943838,0.5945729738,0.04028618206,0.0009586515117,0.4666000142,0.02926790717,0.0006964602258
