model,source_mode,category,layer,n_pairs,n_images,pair_raw_cosine_mean,pair_raw_cosine_std,pair_raw_cosine_sem,pair_centered_cosine_mean,pair_centered_cosine_std,pair_centered_cosine_sem,pair_js_normalized_mean,pair_js_normalized_std,pair_js_normalized_sem,pair_total_variation_mean,pair_total_variation_std,pair_total_variation_sem,pair_topk_overlap_fraction_mean,pair_topk_overlap_fraction_std,pair_topk_overlap_fraction_sem,image_raw_cosine_mean,image_raw_cosine_std,image_raw_cosine_sem,image_centered_cosine_mean,image_centered_cosine_std,image_centered_cosine_sem,image_js_normalized_mean,image_js_normalized_std,image_js_normalized_sem,image_total_variation_mean,image_total_variation_std,image_total_variation_sem,image_topk_overlap_fraction_mean,image_topk_overlap_fraction_std,image_topk_overlap_fraction_sem,specificity_pair_js_mean,specificity_pair_js_std,specificity_pair_js_sem,specificity_uniform_js_mean,specificity_uniform_js_std,specificity_uniform_js_sem,specificity_ratio_mean,specificity_ratio_std,specificity_ratio_sem,specificity_random_overlap_mean,specificity_random_overlap_std,specificity_random_overlap_sem
internvl_2_5_8b,hmid_cos,all,1,16860,3231,0.9382515792,0.0456913269,0.0003518884281,0.5043373887,0.292466976,0.002252413126,0.02166565968,0.01502388009,0.0001157053189,0.1272738686,0.04955622163,0.0003816536335,0.3693097568,0.2523939427,0.001943793577,0.936423209,0.03774522637,0.0006640389517,0.5124800152,0.2219731924,0.003905099007,0.02232763238,0.01213593484,0.000213503381,0.1286048398,0.03915505543,0.0006888415956,0.3729953366,0.1988997326,0.003499175463,0.02232763238,0.01213593484,0.000213503381,0.02529026503,0.007885323073,0.0001387238115,0.9192985841,0.4083721415,0.007184352429,0.125,0,0
internvl_2_5_8b,hmid_cos,all,2,16860,3231,0.9395941937,0.04843408008,0.000373011542,0.3433656027,0.4240300346,0.003265636445,0.02226353085,0.01787201335,0.0001376400098,0.1303382618,0.0523194868,0.0004029347191,0.3160587189,0.2546720821,0.001961338502,0.939832646,0.03698331833,0.0006506349623,0.3665153205,0.3255359948,0.005727044226,0.02230061817,0.01363893329,0.0002399451225,0.1302190889,0.0405321102,0.0007130676527,0.3276793658,0.2061950486,0.00362751948,0.02230061817,0.01363893329,0.0002399451225,0.01925631721,0.007058866596,0.0001241842433,1.247675149,0.6300979128,0.01108509864,0.125,0,0
internvl_2_5_8b,hmid_cos,all,3,16860,3231,0.9443690072,0.04591571301,0.0003536165214,0.603552827,0.2439930108,0.001879094412,0.01895079565,0.01392441985,0.0001072379059,0.1185763716,0.0425441639,0.0003276507813,0.4098105724,0.2121071029,0.001633527413,0.9424418913,0.03985373656,0.0007011332556,0.6035338925,0.2019239755,0.00355237994,0.01964717688,0.01194117744,0.0002100770802,0.1199712931,0.03613983195,0.0006357957929,0.4145559128,0.1708639094,0.003005950745,0.01964717688,0.01194117744,0.0002100770802,0.02715181315,0.007319782425,0.0001287744469,0.7208058922,0.356998389,0.006280551445,0.125,0,0
internvl_2_5_8b,hmid_cos,all,4,16860,3231,0.9410312719,0.03890714429,0.0002996405396,0.4210703599,0.3022573487,0.002327812968,0.02055569972,0.01229190499,9.466521153e-05,0.127173628,0.03878033369,0.0002986639169,0.3215321026,0.2162451453,0.001665396245,0.9384422613,0.03248502289,0.000571497978,0.4296753842,0.2393732239,0.004211211853,0.02143888533,0.01009274754,0.0001775582807,0.1295011382,0.03181032083,0.0005596281736,0.3293751981,0.174220051,0.003064994203,0.02143888533,0.01009274754,0.0001775582807,0.02071981758,0.006584881686,0.0001158455877,1.086126276,0.4489587106,0.007898378159,0.125,0,0
internvl_2_5_8b,hmid_cos,all,5,16860,3231,0.8954789178,0.0897888827,0.0006915025441,0.4560488581,0.3240892064,0.002495949432,0.03291802579,0.02505230855,0.0001929385307,0.1550101633,0.05997173976,0.0004618679882,0.34858578,0.2351848048,0.001811258654,0.8892689428,0.07958995506,0.001400199056,0.4636699752,0.2634188755,0.004634238836,0.0349083802,0.02194098643,0.0003860003245,0.1590231296,0.05097113249,0.0008967178275,0.3623839682,0.1932407484,0.003399618875,0.0349083802,0.02194098643,0.0003860003245,0.0358653481,0.01284576279,0.0002259911431,0.9964599224,0.4771617838,0.008394545249,0.125,0,0
internvl_2_5_8b,hmid_cos,all,6,16860,3231,0.9215131849,0.06057494174,0.0004665135044,0.5321989607,0.2851460361,0.00219603144,0.02662216301,0.01873046752,0.0001442513322,0.142277316,0.05066377673,0.0003901833885,0.392083704,0.2178128817,0.001677470053,0.919174011,0.05067063131,0.0008914312123,0.5322603618,0.234135186,0.004119060831,0.02757270198,0.01564715607,0.0002752751039,0.1442800634,0.04211156338,0.0007408544362,0.398522877,0.1768880692,0.003111931742,0.02757270198,0.01564715607,0.0002752751039,0.03279472117,0.009607324223,0.000169018393,0.8666977178,0.4308071257,0.007579043488,0.125,0,0
internvl_2_5_8b,hmid_cos,all,7,16860,3231,0.9290311196,0.04911457884,0.0003782523537,0.4978225817,0.2677203407,0.002061828715,0.02475261202,0.01611680817,0.000124122425,0.1394547155,0.04422760382,0.0003406156714,0.3867345047,0.2021566667,0.001556894853,0.9271784982,0.04128231418,0.0007262657366,0.5159479011,0.2173100917,0.00382306266,0.02560641342,0.01357131545,0.0002387555447,0.1414047105,0.03699556284,0.0006508503757,0.4028014701,0.1714747642,0.003016697305,0.02560641342,0.01357131545,0.0002387555447,0.02927265804,0.01117955056,0.0001966780372,0.9333749165,0.4109962954,0.007230518278,0.125,0,0
internvl_2_5_8b,hmid_cos,all,8,16860,3231,0.9446102783,0.03440092656,0.0002649362317,0.5366926223,0.2639049323,0.002032444626,0.02059415549,0.01265337774,9.74490676e-05,0.1277474024,0.03929358014,0.0003026166472,0.3730482651,0.1861723219,0.001433792585,0.9445433645,0.02684214323,0.0004722247121,0.5606243974,0.2075006525,0.003650488526,0.02070879057,0.009880954165,0.0001738322717,0.1278272031,0.03150832219,0.0005543152142,0.3942412219,0.1548627074,0.002724447031,0.02070879057,0.009880954165,0.0001738322717,0.02589368249,0.008602758708,0.000151345413,0.8522980145,0.3995322427,0.00702883509,0.125,0,0
internvl_2_5_8b,hmid_cos,all,9,16860,3231,0.9398771589,0.04245936138,0.0003269976809,0.5834693143,0.2930857036,0.002257178212,0.02393035079,0.01790104647,0.0001378636063,0.1375032142,0.04751617482,0.0003659423615,0.4253373369,0.1994090703,0.00153573444,0.9391945734,0.0338159318,0.0005949122065,0.6192283257,0.2266088586,0.003986652708,0.02438005466,0.01419681516,0.0002497597489,0.1383569068,0.03745959474,0.0006590139315,0.4536658184,0.1649721018,0.002902298173,0.02438005466,0.01419681516,0.0002497597489,0.03561804695,0.01588493499,0.0002794582678,0.7759584225,0.4346423295,0.007646514927,0.125,0,0
internvl_2_5_8b,hmid_cos,all,10,16860,3231,0.9547015718,0.0291669666,0.0002246272701,0.5734883752,0.2614016215,0.00201316556,0.01764871691,0.01198153536,9.227492242e-05,0.1198050549,0.03551305433,0.0002735012028,0.3959056198,0.1762121235,0.001357084842,0.9548000052,0.02499245012,0.0004396836892,0.6033126421,0.2152646528,0.003787077947,0.01768875679,0.01029116291,0.0001810489349,0.1193452256,0.02983679569,0.0005249086159,0.4199357355,0.1491202497,0.002623421921,0.01768875679,0.01029116291,0.0001810489349,0.02467307078,0.008842591552,0.0001555647108,0.7853243561,0.4186769046,0.007365640627,0.125,0,0
