model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_real_auroc
internvl_2_5_8b,HALL,1,1766,0.4488522410392761,0.41090089082717896,0.44863802194595337,0.48477044701576233,0.4992530161826756
internvl_2_5_8b,HALL,2,1766,0.4455128610134125,0.3978780508041382,0.4434305429458618,0.4905681908130646,0.4785955491607432
internvl_2_5_8b,HALL,3,1766,0.4427283704280853,0.3930933177471161,0.4409524202346802,0.4897146224975586,0.5016875062827105
internvl_2_5_8b,HALL,4,1766,0.43988537788391113,0.4006105065345764,0.4384911060333252,0.47849762439727783,0.5138666432301024
internvl_2_5_8b,HALL,5,1766,0.45081233978271484,0.41780441999435425,0.4474717378616333,0.4811631441116333,0.5497367693058981
internvl_2_5_8b,HALL,6,1766,0.4675453305244446,0.42999792098999023,0.4621613919734955,0.5036391019821167,0.6357360401431624
internvl_2_5_8b,HALL,7,1766,0.48569798469543457,0.4495505690574646,0.48167505860328674,0.5175145864486694,0.6242247546102204
internvl_2_5_8b,HALL,8,1766,0.5074977278709412,0.4641541838645935,0.5020380020141602,0.5478847026824951,0.6021091887764244
internvl_2_5_8b,HALL,9,1766,0.5014691352844238,0.4651205241680145,0.497178852558136,0.5348722338676453,0.6583481313476625
internvl_2_5_8b,HALL,10,1766,0.5480937957763672,0.4973335862159729,0.5461626052856445,0.5964483022689819,0.5918683565472048
internvl_2_5_8b,HALL,11,1766,0.5283090472221375,0.4830637574195862,0.5268779993057251,0.5718238353729248,0.5764524408308919
internvl_2_5_8b,HALL,12,1766,0.5409274697303772,0.4933715760707855,0.5383250713348389,0.5876202583312988,0.5841390785554418
internvl_2_5_8b,HALL,13,1766,0.5610740184783936,0.5043774843215942,0.5583282709121704,0.619099497795105,0.5340599971508935
internvl_2_5_8b,HALL,14,1766,0.5518686175346375,0.5044774413108826,0.5477422475814819,0.5979098081588745,0.640097048681529
internvl_2_5_8b,HALL,15,1766,0.582059383392334,0.5296945571899414,0.5806189179420471,0.6340091228485107,0.5680333254795911
internvl_2_5_8b,HALL,16,1766,0.6114934682846069,0.5583821535110474,0.6135200262069702,0.6676332354545593,0.5287293971011872
internvl_2_5_8b,HALL,17,1766,0.5981992483139038,0.5458381175994873,0.5986655950546265,0.6542657017707825,0.5711198858453466
internvl_2_5_8b,HALL,18,1766,0.6194444894790649,0.5574576258659363,0.6179074645042419,0.6846963167190552,0.6021178584918844
internvl_2_5_8b,HALL,19,1766,0.6111050248146057,0.555762767791748,0.6132587194442749,0.6698131561279297,0.6003794388801493
internvl_2_5_8b,HALL,20,1766,0.6332440376281738,0.5739226341247559,0.6345244646072388,0.7002725005149841,0.5851555601945144
internvl_2_5_8b,HALL,21,1766,0.6302162408828735,0.5730467438697815,0.633237361907959,0.6901265978813171,0.6274431456492933
internvl_2_5_8b,HALL,22,1766,0.6474787592887878,0.58360755443573,0.6517026424407959,0.7126753926277161,0.6186672686735755
internvl_2_5_8b,HALL,23,1766,0.6547388434410095,0.5866643190383911,0.6492714285850525,0.7248899936676025,0.629041801514741
internvl_2_5_8b,HALL,24,1766,0.6400481462478638,0.5773503184318542,0.6380600333213806,0.6976460218429565,0.6430456019100119
internvl_2_5_8b,HALL,25,1766,0.6787879467010498,0.6108548045158386,0.6822463274002075,0.7539406418800354,0.6186222201520679
internvl_2_5_8b,HALL,26,1766,0.6787752509117126,0.604219913482666,0.6800559759140015,0.7574909925460815,0.664314708857922
internvl_2_5_8b,HALL,27,1766,0.662478506565094,0.589073896408081,0.6612545251846313,0.7341384291648865,0.6168719292632816
internvl_2_5_8b,HALL,28,1766,0.6315683722496033,0.5602043271064758,0.6249651908874512,0.7023180723190308,0.6257433431034793
internvl_2_5_8b,HALL,29,1766,0.6977300643920898,0.623602569103241,0.7049443125724792,0.7807149887084961,0.6378548506038032
internvl_2_5_8b,HALL,30,1766,0.6971928477287292,0.6354222297668457,0.7050955295562744,0.7696985602378845,0.6168672827491134
internvl_2_5_8b,HALL,31,1766,0.6796430349349976,0.6168172955513,0.6844127774238586,0.7469741106033325,0.6534450106014187
internvl_2_5_8b,HALL,32,1766,0.5960896611213684,0.5429892539978027,0.5928847193717957,0.6508985757827759,0.6906420847934438
internvl_2_5_8b,REAL,1,9993,0.4489904046058655,0.4135194420814514,0.4475136399269104,0.4826739430427551,0.4992530161826756
internvl_2_5_8b,REAL,2,9993,0.4409550130367279,0.3957573175430298,0.438229501247406,0.48376497626304626,0.4785955491607432
internvl_2_5_8b,REAL,3,9993,0.44328001141548157,0.39588648080825806,0.4406043589115143,0.48728013038635254,0.5016875062827105
internvl_2_5_8b,REAL,4,9993,0.44319868087768555,0.4021134078502655,0.4403594732284546,0.48206353187561035,0.5138666432301024
internvl_2_5_8b,REAL,5,9993,0.46111446619033813,0.42070668935775757,0.4576002359390259,0.4981420636177063,0.5497367693058981
internvl_2_5_8b,REAL,6,9993,0.4980045258998871,0.4520913362503052,0.4930106997489929,0.539543628692627,0.6357360401431624
internvl_2_5_8b,REAL,7,9993,0.5121525526046753,0.4685306251049042,0.5079129338264465,0.5527595281600952,0.6242247546102204
internvl_2_5_8b,REAL,8,9993,0.5315431356430054,0.48372548818588257,0.5296761989593506,0.5769779086112976,0.6021091887764244
internvl_2_5_8b,REAL,9,9993,0.5320045351982117,0.494600772857666,0.5305631160736084,0.5700008273124695,0.6583481313476625
internvl_2_5_8b,REAL,10,9993,0.5707346796989441,0.5220829248428345,0.571468710899353,0.6226120591163635,0.5918683565472048
internvl_2_5_8b,REAL,11,9993,0.5457777380943298,0.5015069246292114,0.5461412668228149,0.5936185121536255,0.5764524408308919
internvl_2_5_8b,REAL,12,9993,0.5609468221664429,0.5144319534301758,0.5632245540618896,0.6106317639350891,0.5841390785554418
internvl_2_5_8b,REAL,13,9993,0.5699560046195984,0.5172474384307861,0.5701320767402649,0.6243789196014404,0.5340599971508935
internvl_2_5_8b,REAL,14,9993,0.5865140557289124,0.5399432182312012,0.5876627564430237,0.6362035274505615,0.640097048681529
internvl_2_5_8b,REAL,15,9993,0.6001148223876953,0.5499048233032227,0.6013648509979248,0.6523457765579224,0.5680333254795911
