model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_top32_real_auroc
internvl_2_5_8b,HALL,1,1766,0.2316260188817978,0.19144301116466522,0.22499138116836548,0.26337820291519165,0.5143053138329333
internvl_2_5_8b,HALL,2,1766,0.2789042294025421,0.23130878806114197,0.27460986375808716,0.32057055830955505,0.48930854089368786
internvl_2_5_8b,HALL,3,1766,0.2819867432117462,0.2292601317167282,0.2747499346733093,0.32282713055610657,0.5120886432507286
internvl_2_5_8b,HALL,4,1766,0.25274187326431274,0.2106107473373413,0.2461642473936081,0.284771203994751,0.553073731453467
internvl_2_5_8b,HALL,5,1766,0.24175572395324707,0.20590044558048248,0.2339985966682434,0.27059417963027954,0.604876981270808
internvl_2_5_8b,HALL,6,1766,0.2652997672557831,0.2228332757949829,0.2562158703804016,0.29985758662223816,0.6202172494698723
internvl_2_5_8b,HALL,7,1766,0.25985753536224365,0.21568380296230316,0.2482696771621704,0.2947991192340851,0.6276610501643336
internvl_2_5_8b,HALL,8,1766,0.3035997748374939,0.2464938461780548,0.29254740476608276,0.35100847482681274,0.5707246488170259
internvl_2_5_8b,HALL,9,1766,0.2575610876083374,0.21415609121322632,0.24662521481513977,0.2907988131046295,0.6383567307987619
internvl_2_5_8b,HALL,10,1766,0.35193753242492676,0.2873230576515198,0.3430490493774414,0.41141238808631897,0.5403379477752208
internvl_2_5_8b,HALL,11,1766,0.3208788335323334,0.25546517968177795,0.30931973457336426,0.3796762228012085,0.5326898704517851
internvl_2_5_8b,HALL,12,1766,0.3569110929965973,0.2891206443309784,0.34908628463745117,0.41895216703414917,0.5247691504098169
internvl_2_5_8b,HALL,13,1766,0.4126364290714264,0.3342990279197693,0.40371376276016235,0.4854167103767395,0.4528084438268736
internvl_2_5_8b,HALL,14,1766,0.3626430630683899,0.2986593544483185,0.35374969244003296,0.4190712571144104,0.592388652804415
internvl_2_5_8b,HALL,15,1766,0.41354137659072876,0.34145939350128174,0.4077821969985962,0.48105254769325256,0.5036251026907963
internvl_2_5_8b,HALL,16,1766,0.47048893570899963,0.39016231894493103,0.4656890630722046,0.547191858291626,0.42801232096895914
internvl_2_5_8b,HALL,17,1766,0.4468928277492523,0.37449023127555847,0.4402886927127838,0.517967939376831,0.495531639984909
internvl_2_5_8b,HALL,18,1766,0.4761859178543091,0.3843805491924286,0.4711843729019165,0.5611431002616882,0.5670096190776353
internvl_2_5_8b,HALL,19,1766,0.45920997858047485,0.3878338634967804,0.45529747009277344,0.5302772521972656,0.5320054729137124
internvl_2_5_8b,HALL,20,1766,0.508727490901947,0.42606234550476074,0.5058350563049316,0.5888050198554993,0.5035469619220432
internvl_2_5_8b,HALL,21,1766,0.4695478081703186,0.3895588517189026,0.4637708067893982,0.5439900159835815,0.5440625255345787
internvl_2_5_8b,HALL,22,1766,0.4979156255722046,0.4103987216949463,0.492989182472229,0.5832810401916504,0.5467331945498882
internvl_2_5_8b,HALL,23,1766,0.4983256161212921,0.39566758275032043,0.4839399456977844,0.5995951890945435,0.5742893751560407
internvl_2_5_8b,HALL,24,1766,0.4705911874771118,0.3713976740837097,0.45702171325683594,0.5605023503303528,0.5687604199496838
internvl_2_5_8b,HALL,25,1766,0.5539615154266357,0.45905500650405884,0.5561903715133667,0.6565198302268982,0.5411612307550733
internvl_2_5_8b,HALL,26,1766,0.5416983962059021,0.44057250022888184,0.5376085638999939,0.6537530422210693,0.6112359342366384
