model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,native_vs_fp32_gauss_k64,0.999991416800183,8.205026244160213e-08,1.0,0.0009098251530585078,0.0939476490020752,4.819601963390596e-05
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.1768307661370954e-15,1.0,0.0,0.0,4.817309672944248e-05
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,native_vs_fp32_gauss_k64,0.9999999999999998,1.6135208964543911e-09,1.0,0.00024041985052638282,0.00019913911819458008,2.810463683999842e-06
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.3196261223112477e-14,1.0,1.016091387711007e-06,4.76837158203125e-07,3.941954219044419e-06
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,native_vs_fp32_gauss_k64,0.9999985694666971,6.67482008456693e-09,1.0,0.0007047862172339561,0.037863731384277344,3.7749116017948836e-05
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.1507465769070733e-16,1.0,0.0,0.0,3.774842116399668e-05
internvl_2_5_8b,internvl_2_5_8b:120475:118:32,32,native_vs_fp32_gauss_k64,0.99999499313344,3.277315796823136e-08,1.0,0.0013871486765541822,0.09921273589134216,3.2564232242293656e-05
internvl_2_5_8b,internvl_2_5_8b:120475:118:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.758759718056057e-16,1.0,0.0,0.0,3.258013020968065e-05
internvl_2_5_8b,internvl_2_5_8b:120475:129:24,24,native_vs_fp32_gauss_k64,0.9999999999999998,1.4523971021707184e-08,1.0,0.0010025936998018436,0.11058935523033142,9.457593114348128e-05
internvl_2_5_8b,internvl_2_5_8b:120475:129:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.2042530029842496e-16,1.0,0.0,0.0,9.45665524341166e-05
internvl_2_5_8b,internvl_2_5_8b:13061:7:24,24,native_vs_fp32_gauss_k64,0.9999992847333484,1.1577754295120262e-08,1.0,0.0011710473255277369,0.026079535484313965,1.1651623026409652e-05
internvl_2_5_8b,internvl_2_5_8b:13061:7:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,6.25620294048394e-16,1.0,6.920759586584274e-08,0.0,1.1665499187074602e-05
internvl_2_5_8b,internvl_2_5_8b:151338:118:8,8,native_vs_fp32_gauss_k64,0.9999992847333484,1.2856556986325052e-09,1.0,0.0009727656602158495,0.00013619661331176758,3.3473722851340426e-06
internvl_2_5_8b,internvl_2_5_8b:151338:118:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,8.389198860218696e-15,1.0,6.040371730516668e-07,3.5762786865234375e-07,3.722838073372259e-06
internvl_2_5_8b,internvl_2_5_8b:15345:22:16,16,native_vs_fp32_gauss_k64,0.9999999999999998,1.3840923474503711e-09,1.0,3.329761720185103e-05,0.0012610852718353271,2.0294933165132534e-06
internvl_2_5_8b,internvl_2_5_8b:15345:22:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,5.3451619869115456e-14,1.0,2.1457412916281757e-06,1.0728836059570312e-06,5.767064521933207e-06
internvl_2_5_8b,internvl_2_5_8b:160855:58:16,16,native_vs_fp32_gauss_k64,0.9999999999999998,8.611218007115335e-10,1.0,0.001988167317932813,0.0002537667751312256,1.301144379795005e-06
internvl_2_5_8b,internvl_2_5_8b:160855:58:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,5.131386617400137e-14,1.0,2.7751361565052465e-06,1.0728836059570312e-06,8.347531547769904e-06
internvl_2_5_8b,internvl_2_5_8b:16193:202:8,8,native_vs_fp32_gauss_k64,0.9999992847333484,1.5196277578395837e-09,1.0,0.0008826676907946159,0.0009055137634277344,7.618214112881105e-06
internvl_2_5_8b,internvl_2_5_8b:16193:202:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,5.893965838839775e-16,1.0,1.1070666276979214e-07,5.960464477539063e-08,7.633183486177586e-06
internvl_2_5_8b,internvl_2_5_8b:167486:73:32,32,native_vs_fp32_gauss_k64,0.9999957084000913,1.2937656123039717e-08,1.0,0.0003183518750678657,0.016777873039245605,1.2821192285628058e-05
internvl_2_5_8b,internvl_2_5_8b:167486:73:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.2151045052443878e-13,1.0,5.693212153945216e-07,2.384185791015625e-07,1.3586327440862078e-05
internvl_2_5_8b,internvl_2_5_8b:194595:44:24,24,native_vs_fp32_gauss_k64,0.9999999999999998,3.053635220185781e-08,1.0,0.0004903942513118791,0.035616666078567505,3.408281918382272e-05
internvl_2_5_8b,internvl_2_5_8b:194595:44:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.158926338906375e-16,1.0,0.0,0.0,3.407979602343403e-05
