feature_set,seed,threshold_rule,decision_threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
AE,43,fixed_0.5,0.5,0.8326352765880178,0.9614770453767306,0.8762466001813236,0.9626494023904383,0.9174181300427148,0.4754253895581192,0.5714285714285714,0.2680965147453083,0.36496350364963503
AE,43,train_f1,0.511777400970459,0.8326352765880178,0.9614770453767306,0.8785388127853881,0.9581673306772909,0.9166269652215341,0.4754253895581192,0.5602094240837696,0.2868632707774799,0.37943262411347517
AE,44,fixed_0.5,0.5,0.8310905172874186,0.9621547662946048,0.8739800543970988,0.9601593625498008,0.9150450878025629,0.455223900828882,0.5428571428571428,0.2546916890080429,0.3467153284671533
AE,44,train_f1,0.5397403836250305,0.8310905172874186,0.9621547662946048,0.8867041198501873,0.9432270916334662,0.9140926640926641,0.455223900828882,0.5346938775510204,0.3512064343163539,0.42394822006472493
AE,45,fixed_0.5,0.5,0.8288808572679791,0.9610017568875131,0.8752276867030966,0.9571713147410359,0.9143672692673644,0.4628422082152303,0.5351351351351351,0.26541554959785524,0.3548387096774194
AE,45,train_f1,0.5257799029350281,0.8288808572679791,0.9610017568875131,0.8806660499537465,0.9482071713147411,0.913189448441247,0.4628422082152303,0.5251141552511416,0.30831099195710454,0.3885135135135135
AE+I,43,fixed_0.5,0.5,0.8373670198562317,0.9623120366494059,0.9006815968841285,0.9213147410358565,0.9108813392417529,0.5020425095194744,0.5168195718654435,0.45308310991957107,0.4828571428571429
AE+I,43,train_f1,0.4536697268486023,0.8373670198562317,0.9623120366494059,0.8857276119402985,0.9457171314741036,0.9147398843930635,0.5020425095194744,0.540084388185654,0.34316353887399464,0.419672131147541
AE+I,44,fixed_0.5,0.5,0.8413430727492176,0.9631094392919626,0.872093023255814,0.9711155378486056,0.9189443920829407,0.5180225104928122,0.6,0.23324396782841822,0.3359073359073359
AE+I,44,train_f1,0.5264905691146851,0.8413430727492176,0.9631094392919626,0.8841044434264773,0.9611553784860558,0.9210212359818659,0.5180225104928122,0.6060606060606061,0.32171581769436997,0.4203152364273205
AE+I,45,fixed_0.5,0.5,0.8479126389882827,0.9646268789133856,0.8838709677419355,0.9551792828685259,0.9181426519865965,0.5234550645794648,0.5734597156398105,0.32439678284182305,0.4143835616438356
AE+I,45,train_f1,0.5415936708450317,0.8479126389882827,0.9646268789133856,0.894235350166746,0.9347609561752988,0.9140491843194546,0.5234550645794648,0.5354609929078015,0.40482573726541554,0.46106870229007635
AE+S,43,fixed_0.5,0.5,0.8461148702776027,0.965069039826561,0.8971348050728042,0.951195219123506,0.923374425912497,0.5253485756542529,0.6111111111111112,0.4128686327077748,0.4928
AE+S,43,train_f1,0.46681657433509827,0.8461148702776027,0.965069039826561,0.8831583751711547,0.9636454183266933,0.9216480114312932,0.5253485756542529,0.6157894736842106,0.3136729222520107,0.41563055062166965
AE+S,44,fixed_0.5,0.5,0.8551637952212598,0.9677581172586724,0.8956197576887233,0.9571713147410359,0.9253731343283582,0.5354747464155843,0.6340425531914894,0.39946380697050937,0.4901315789473684
AE+S,44,train_f1,0.5235414505004883,0.8551637952212598,0.9677581172586724,0.9028896257697774,0.9492031872509961,0.9254673464433115,0.5354747464155843,0.6222222222222222,0.450402144772118,0.5225505443234837
AE+S,45,fixed_0.5,0.5,0.8489587227497517,0.9657258602823413,0.8853444290337494,0.9536852589641435,0.9182450251738192,0.5143887746425423,0.573394495412844,0.3351206434316354,0.4230118443316413
AE+S,45,train_f1,0.5166105628013611,0.8489587227497517,0.9657258602823413,0.8899297423887588,0.9462151394422311,0.9172097513878832,0.5143887746425423,0.5609756097560976,0.3699731903485255,0.4458804523424879
AE+I+S,43,fixed_0.5,0.5,0.8584822906764364,0.968960372893369,0.8936170212765957,0.9412350597609562,0.9168081494057725,0.5218443584106904,0.556390977443609,0.3967828418230563,0.46322378716744916
AE+I+S,43,train_f1,0.5356796979904175,0.8584822906764364,0.968960372893369,0.9039301310043668,0.9277888446215139,0.9157041042025068,0.5218443584106904,0.546875,0.4691689008042895,0.5050505050505051
AE+I+S,44,fixed_0.5,0.5,0.8570897375644874,0.9681677510058975,0.9000478240076518,0.9372509960159362,0.9182727494510856,0.5318276779881053,0.5655172413793104,0.43967828418230565,0.4947209653092006
AE+I+S,44,train_f1,0.4984476566314697,0.8570897375644874,0.9681677510058975,0.8996655518394648,0.9377490039840638,0.9183126066812972,0.5318276779881053,0.5659722222222222,0.43699731903485256,0.49319213313161875
AE+I+S,45,fixed_0.5,0.5,0.864216058019931,0.9693825787947646,0.8922211808809747,0.9482071713147411,0.9193626267503622,0.5412124246683377,0.5789473684210527,0.38337801608579086,0.4612903225806452
AE+I+S,45,train_f1,0.5486598610877991,0.864216058019931,0.9693825787947646,0.9057515708071532,0.9332669322709163,0.9193034093696345,0.5412124246683377,0.5705128205128205,0.4772117962466488,0.5197080291970803
AE+N,43,fixed_0.5,0.5,0.8499627495380409,0.9676327213555302,0.9100050276520865,0.901394422310757,0.9056792594445834,0.5056966733476009,0.49489795918367346,0.5201072386058981,0.5071895424836601
AE+N,43,train_f1,0.4429767429828644,0.8499627495380409,0.9676327213555302,0.8894117647058823,0.9412350597609562,0.9145898862811517,0.5056966733476009,0.5390625,0.3699731903485255,0.43879173290937995
AE+N,44,fixed_0.5,0.5,0.8514928222765774,0.9674185199559653,0.8995260663507109,0.9452191235059761,0.9218067022826615,0.5306816933748134,0.5940959409594095,0.4316353887399464,0.5
AE+N,44,train_f1,0.5127788782119751,0.8514928222765774,0.9674185199559653,0.9013409961685823,0.9372509960159362,0.9189453125,0.5306816933748134,0.5699658703071673,0.4477211796246649,0.5015015015015015
AE+N,45,fixed_0.5,0.5,0.8456509084306207,0.9661882775609173,0.8936372269705603,0.9372509960159362,0.9149246475449684,0.5030072941583563,0.5418181818181819,0.39946380697050937,0.45987654320987653
AE+N,45,train_f1,0.49783000349998474,0.8456509084306207,0.9661882775609173,0.8933143669985776,0.9382470119521913,0.9152295360699538,0.5030072941583563,0.5441176470588235,0.3967828418230563,0.45891472868217054
AE+S+kappa,43,fixed_0.5,0.5,0.8618254862587185,0.9699448102472635,0.8995695839311334,0.9367529880478087,0.9177848255672115,0.5363537759130242,0.5620689655172414,0.43699731903485256,0.4917043740573152
AE+S+kappa,43,train_f1,0.5318412184715271,0.8618254862587185,0.9699448102472635,0.90869140625,0.9267928286852589,0.9176528599605522,0.5363537759130242,0.5585585585585585,0.49865951742627346,0.5269121813031161
AE+S+kappa,44,fixed_0.5,0.5,0.8629770462386379,0.9691491630558462,0.8900138057984354,0.9631474103585658,0.9251375269074384,0.5467608931887518,0.6442307692307693,0.35924932975871315,0.4612736660929432
AE+S+kappa,44,train_f1,0.5718568563461304,0.8629770462386379,0.9691491630558462,0.9050572519083969,0.9447211155378487,0.9244639376218323,0.5467608931887518,0.6105263157894737,0.46648793565683644,0.5288753799392097
AE+S+kappa,45,fixed_0.5,0.5,0.866095270392959,0.9699717077442771,0.904510556621881,0.9387450199203188,0.9213098729227761,0.5544710379802987,0.5858585858585859,0.46648793565683644,0.5194029850746269
AE+S+kappa,45,train_f1,0.49642878770828247,0.866095270392959,0.9699717077442771,0.9046934865900383,0.9407370517928287,0.92236328125,0.5544710379802987,0.5938566552901023,0.46648793565683644,0.5225225225225225
AE+S+N,43,fixed_0.5,0.5,0.8605704527733571,0.9693463996306824,0.9023569023569024,0.9342629482071713,0.9180327868852459,0.5315219735584485,0.5629139072847682,0.45576407506702415,0.5037037037037037
AE+S+N,43,train_f1,0.5066195130348206,0.8605704527733571,0.9693463996306824,0.9035214664737096,0.9327689243027888,0.9179122764028425,0.5315219735584485,0.5616883116883117,0.46380697050938335,0.5080763582966226
AE+S+N,44,fixed_0.5,0.5,0.8570630347243733,0.9677463567090756,0.9034749034749034,0.9322709163346613,0.9176470588235294,0.5219181464193066,0.5598705501618123,0.46380697050938335,0.5073313782991202
AE+S+N,44,train_f1,0.45327264070510864,0.8570630347243733,0.9677463567090756,0.8936170212765957,0.9412350597609562,0.9168081494057725,0.5219181464193066,0.556390977443609,0.3967828418230563,0.46322378716744916
AE+S+N,45,fixed_0.5,0.5,0.8638882806575306,0.9698608950368535,0.9051059730250481,0.9357569721115537,0.9201762977473066,0.543563142485983,0.5770491803278689,0.4718498659517426,0.5191740412979351
AE+S+N,45,train_f1,0.539643406867981,0.8638882806575306,0.9698608950368535,0.9135618479880775,0.9158366533864541,0.9146978363591146,0.543563142485983,0.5407608695652174,0.5335120643431636,0.5371120107962213
U,43,fixed_0.5,0.5,0.869718178225436,0.9710683238614598,0.9079396005845105,0.9282868525896414,0.9180004924895346,0.5508776910901686,0.5609756097560976,0.4932975871313673,0.5249643366619116
U,43,train_f1,0.4992610514163971,0.869718178225436,0.9710683238614598,0.9079396005845105,0.9282868525896414,0.9180004924895346,0.5508776910901686,0.5609756097560976,0.4932975871313673,0.5249643366619116
U,44,fixed_0.5,0.5,0.8703850816572849,0.9715564269826594,0.9085188770571152,0.9347609561752988,0.9214531173294059,0.546363890282682,0.5841269841269842,0.4932975871313673,0.5348837209302325
U,44,train_f1,0.5818638801574707,0.8703850816572849,0.9715564269826594,0.91991991991992,0.9153386454183267,0.9176235646530204,0.546363890282682,0.556135770234987,0.5710455764075067,0.5634920634920635
U,45,fixed_0.5,0.5,0.8721501393888255,0.9726240351530377,0.8959212376933896,0.9516932270916335,0.9229654672784352,0.5498309388931819,0.6088709677419355,0.40482573726541554,0.4863123993558776
U,45,train_f1,0.5751611590385437,0.8721501393888255,0.9726240351530377,0.9092233009708738,0.9327689243027888,0.9208456243854474,0.5498309388931819,0.5794392523364486,0.49865951742627346,0.5360230547550432
H_OT,43,fixed_0.5,0.5,0.876694962776241,0.9748076491549978,0.9233933161953728,0.8944223107569721,0.9086769542119909,0.5448713831804195,0.5137614678899083,0.6005361930294906,0.553770086526576
H_OT,43,train_f1,0.4165709614753723,0.876694962776241,0.9748076491549978,0.9016393442622951,0.9312749003984063,0.916217540421362,0.5448713831804195,0.5504885993485342,0.45308310991957107,0.4970588235294118
H_OT,44,fixed_0.5,0.5,0.875328444933403,0.9740050181406967,0.9019323671497584,0.9297808764940239,0.9156449239823443,0.5399726554204369,0.5466237942122186,0.45576407506702415,0.49707602339181284
H_OT,44,train_f1,0.5365638136863708,0.875328444933403,0.9740050181406967,0.9085127201565558,0.924800796812749,0.9165844027640672,0.5399726554204369,0.5519287833827893,0.49865951742627346,0.523943661971831
H_OT,45,fixed_0.5,0.5,0.8813245676810186,0.9745349475535103,0.896037296037296,0.9571713147410359,0.9255959547315193,0.5641845349616806,0.635593220338983,0.40214477211796246,0.49261083743842365
