model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_union_topk_real_auroc
internvl_2_5_8b,HALL,1,1766,0.003891696222126484,0.0022277445532381535,0.003254020120948553,0.004765654448419809,0.4802843870664165
internvl_2_5_8b,HALL,2,1766,0.0032304483465850353,0.002373172203078866,0.0030037113465368748,0.003851192770525813,0.5466543738034518
internvl_2_5_8b,HALL,3,1766,0.0013632678892463446,0.0007446067756973207,0.0010588491568341851,0.0015504584880545735,0.5456632213330759
internvl_2_5_8b,HALL,4,1766,0.0021825789008289576,0.0014998686965554953,0.0020282564219087362,0.0027601150795817375,0.5405176602103918
internvl_2_5_8b,HALL,5,1766,0.0014321348862722516,0.0009239393984898925,0.0012615593150258064,0.0017408686690032482,0.41905047009690477
internvl_2_5_8b,HALL,6,1766,0.0012320484966039658,0.0005674161948263645,0.0009006641339510679,0.0015125370118767023,0.49904284641378066
internvl_2_5_8b,HALL,7,1766,0.0018262685043737292,0.001145735732279718,0.0016107719857245684,0.002247198950499296,0.38966560284158136
internvl_2_5_8b,HALL,8,1766,0.0016379229491576552,0.0007640767726115882,0.0012567215599119663,0.0021126680076122284,0.4663366564976004
internvl_2_5_8b,HALL,9,1766,0.0009426905889995396,0.0006046431371942163,0.000816905521787703,0.0011295367730781436,0.4597811049841345
internvl_2_5_8b,HALL,10,1766,0.0012781949480995536,0.000787543598562479,0.00114538858179003,0.0016459758626297116,0.5225065530015971
internvl_2_5_8b,HALL,11,1766,0.0012773056514561176,0.0007731059449724853,0.0011089802719652653,0.0015903122257441282,0.40658724413998065
internvl_2_5_8b,HALL,12,1766,0.0008033153135329485,0.00047841324703767896,0.0006786484736949205,0.0010165845742449164,0.6005027131676205
internvl_2_5_8b,HALL,13,1766,0.0010172630427405238,0.0005560016143135726,0.0008252554107457399,0.0012365105794742703,0.6254985228051482
internvl_2_5_8b,HALL,14,1766,0.0006521736504510045,0.0003989968972746283,0.0005615008412860334,0.0008160106372088194,0.5425316691106198
internvl_2_5_8b,HALL,15,1766,0.0008073949138633907,0.000523064227309078,0.0007175860810093582,0.0009946798672899604,0.5574028093731297
internvl_2_5_8b,HALL,16,1766,0.001468723057769239,0.0008893539197742939,0.0012583862990140915,0.0018325517885386944,0.6039832639359443
internvl_2_5_8b,HALL,17,1766,0.0009441315778531134,0.000520308269187808,0.000777977635152638,0.0011825633700937033,0.4920574923397681
internvl_2_5_8b,HALL,18,1766,0.001200868166051805,0.0005818716017529368,0.0009141904884018004,0.0014372093137353659,0.6289144190287674
internvl_2_5_8b,HALL,19,1766,0.0021530266385525465,0.0012629006523638964,0.0018466056790202856,0.0026505328714847565,0.6846370318792805
internvl_2_5_8b,HALL,20,1766,0.004909861367195845,0.002034035511314869,0.0032641422003507614,0.005577772855758667,0.4893905632017158
internvl_2_5_8b,HALL,21,1766,0.0020149671472609043,0.0010744734900072217,0.0016068271361291409,0.002380524994805455,0.42798387523588144
internvl_2_5_8b,HALL,22,1766,0.004116815980523825,0.0016471673734486103,0.0029625052120536566,0.005492008291184902,0.5364530652770643
internvl_2_5_8b,HALL,23,1766,0.0016372051322832704,0.0007314837421290576,0.0012228841660544276,0.002051478484645486,0.4824349581513402
internvl_2_5_8b,HALL,24,1766,0.0016439581522718072,0.00042782616219483316,0.0009374440996907651,0.002112120855599642,0.5110173100785499
internvl_2_5_8b,HALL,25,1766,0.002517177490517497,0.0007046631071716547,0.0014091597404330969,0.0028677014634013176,0.5431671082555071
internvl_2_5_8b,HALL,26,1766,0.0007866526721045375,0.0002205663622589782,0.0003904377808794379,0.0007680327398702502,0.5622206212525438
internvl_2_5_8b,HALL,27,1766,0.0022452049888670444,0.00021215269225649536,0.00041717069689184427,0.001384875737130642,0.5686088415911523
internvl_2_5_8b,HALL,28,1766,0.0012113457778468728,0.0002566582406871021,0.0005494445213116705,0.0014366523828357458,0.5565213599689658
internvl_2_5_8b,HALL,29,1766,0.002054232405498624,0.0008970024646259844,0.0013899547047913074,0.0022894898429512978,0.6477381279013089
internvl_2_5_8b,HALL,30,1766,0.003576292423531413,0.001108386553823948,0.002211378887295723,0.00448123924434185,0.5964503011677823
internvl_2_5_8b,HALL,31,1766,0.00210989429615438,0.0007216305239126086,0.0012768988963216543,0.0024811646435409784,0.5621978986649657
internvl_2_5_8b,HALL,32,1766,0.011855813674628735,0.005130656994879246,0.009599580429494381,0.016709843650460243,0.41055885212513993
internvl_2_5_8b,REAL,1,9993,0.0036213696002960205,0.002168240025639534,0.0031728846952319145,0.004481364041566849,0.4802843870664165
internvl_2_5_8b,REAL,2,9993,0.003458579070866108,0.0024820647668093443,0.003168839029967785,0.0041778916493058205,0.5466543738034518
internvl_2_5_8b,REAL,3,9993,0.001492633018642664,0.0008172585512511432,0.0011579958954825997,0.0017174030654132366,0.5456632213330759
internvl_2_5_8b,REAL,4,9993,0.0022904728539288044,0.0016221620608121157,0.002199413487687707,0.002818678505718708,0.5405176602103918
internvl_2_5_8b,REAL,5,9993,0.001264872495085001,0.0007763243047520518,0.0011008692672476172,0.001556789968162775,0.41905047009690477
internvl_2_5_8b,REAL,6,9993,0.0013776968698948622,0.0005294671864248812,0.0008642330067232251,0.001648590201511979,0.49904284641378066
internvl_2_5_8b,REAL,7,9993,0.001555594615638256,0.0009066446800716221,0.001291937893256545,0.0018491498194634914,0.38966560284158136
internvl_2_5_8b,REAL,8,9993,0.0015578774036839604,0.0006643032538704574,0.0011206406634300947,0.002008928218856454,0.4663366564976004
internvl_2_5_8b,REAL,9,9993,0.0009979285532608628,0.0005095123196952045,0.0007538079516962171,0.001131779165007174,0.4597811049841345
internvl_2_5_8b,REAL,10,9993,0.0013332553207874298,0.0008206138154491782,0.0011988484766334295,0.0017138227121904492,0.5225065530015971
internvl_2_5_8b,REAL,11,9993,0.0010837445734068751,0.0006364225992001593,0.0009252909803763032,0.001333499327301979,0.40658724413998065
internvl_2_5_8b,REAL,12,9993,0.0009702774113975465,0.0005790019640699029,0.000842363981064409,0.0012204402592033148,0.6005027131676205
internvl_2_5_8b,REAL,13,9993,0.0012899187859147787,0.0007323645986616611,0.0010985961416736245,0.0016318911220878363,0.6254985228051482
internvl_2_5_8b,REAL,14,9993,0.0007114735781215131,0.000431364169344306,0.0006131755071692169,0.0008712250855751336,0.5425316691106198
internvl_2_5_8b,REAL,15,9993,0.000879271887242794,0.0005817798664793372,0.0007898463518358767,0.001081082969903946,0.5574028093731297
internvl_2_5_8b,REAL,16,9993,0.0017834677128121257,0.001082544680684805,0.0015552644617855549,0.0022290381602942944,0.6039832639359443
internvl_2_5_8b,REAL,17,9993,0.0008968781330622733,0.0005438265507109463,0.0007731926161795855,0.0010933189187198877,0.4920574923397681
internvl_2_5_8b,REAL,18,9993,0.0014624500181525946,0.0008244633791036904,0.001261531375348568,0.0018459989223629236,0.6289144190287674
internvl_2_5_8b,REAL,19,9993,0.0031755671370774508,0.0018020439893007278,0.0027819820679724216,0.00413914117962122,0.6846370318792805
internvl_2_5_8b,REAL,20,9993,0.004419346340000629,0.002024181419983506,0.003225193126127124,0.005223225336521864,0.4893905632017158
internvl_2_5_8b,REAL,21,9993,0.0017012425232678652,0.0008903212728910148,0.001381077105179429,0.002131062326952815,0.42798387523588144
internvl_2_5_8b,REAL,22,9993,0.004519079811871052,0.0018563554622232914,0.00337418750859797,0.006022433750331402,0.5364530652770643
internvl_2_5_8b,REAL,23,9993,0.0015252291923388839,0.000688752974383533,0.0011821737280115485,0.001961406785994768,0.4824349581513402
internvl_2_5_8b,REAL,24,9993,0.001629506004974246,0.00046385257155634463,0.0010041542118415236,0.00212383596226573,0.5110173100785499
