model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_cosine_js_real_auroc
internvl_2_5_8b,HALL,1,1766,0.14956636726856232,0.11940784752368927,0.14485645294189453,0.17379114031791687,0.5209871428686378
internvl_2_5_8b,HALL,2,1766,0.21549686789512634,0.18804523348808289,0.2137996256351471,0.24215197563171387,0.4930841453116842
internvl_2_5_8b,HALL,3,1766,0.2110079675912857,0.17804734408855438,0.20677292346954346,0.240736722946167,0.501575819948256
internvl_2_5_8b,HALL,4,1766,0.17151859402656555,0.14555548131465912,0.16777151823043823,0.19444085657596588,0.5508894164760179
internvl_2_5_8b,HALL,5,1766,0.14869233965873718,0.12326966226100922,0.1456243395805359,0.1705286055803299,0.6141277093285799
internvl_2_5_8b,HALL,6,1766,0.15592293441295624,0.130804181098938,0.15385308861732483,0.17721055448055267,0.5745767223919711
internvl_2_5_8b,HALL,7,1766,0.14550507068634033,0.1199086457490921,0.14135141670703888,0.1664009541273117,0.606954029768743
internvl_2_5_8b,HALL,8,1766,0.1692216992378235,0.1356063336133957,0.16341951489448547,0.19602516293525696,0.5305049888262667
internvl_2_5_8b,HALL,9,1766,0.13361860811710358,0.10954918712377548,0.12885773181915283,0.1542733758687973,0.6047333643176498
internvl_2_5_8b,HALL,10,1766,0.18801569938659668,0.15016315877437592,0.18399980664253235,0.22202996909618378,0.482250485872387
internvl_2_5_8b,HALL,11,1766,0.17824377119541168,0.13729342818260193,0.17307835817337036,0.21545861661434174,0.49248737989752506
internvl_2_5_8b,HALL,12,1766,0.19504843652248383,0.1532772183418274,0.1910073161125183,0.23429447412490845,0.47836999489676746
internvl_2_5_8b,HALL,13,1766,0.25125473737716675,0.2013985514640808,0.24950416386127472,0.2974485754966736,0.39198891659042423
internvl_2_5_8b,HALL,14,1766,0.20138908922672272,0.16281002759933472,0.19778764247894287,0.23373883962631226,0.5320965615908486
internvl_2_5_8b,HALL,15,1766,0.22715885937213898,0.18426841497421265,0.22548925876617432,0.2673972249031067,0.43756079425473254
internvl_2_5_8b,HALL,16,1766,0.2749031186103821,0.22317108511924744,0.27182745933532715,0.3220970034599304,0.3547785828335781
internvl_2_5_8b,HALL,17,1766,0.2569867670536041,0.21355530619621277,0.253362238407135,0.30021440982818604,0.4198862476666849
internvl_2_5_8b,HALL,18,1766,0.2709306478500366,0.2166776806116104,0.26607003808021545,0.321678102016449,0.5029858953362484
internvl_2_5_8b,HALL,19,1766,0.26350897550582886,0.22183504700660706,0.2620067298412323,0.3024159371852875,0.4285458767909904
internvl_2_5_8b,HALL,20,1766,0.29324445128440857,0.24184586107730865,0.29120147228240967,0.3406737148761749,0.3934520302377009
internvl_2_5_8b,HALL,21,1766,0.26870661973953247,0.223575621843338,0.2629077136516571,0.3127182722091675,0.44517297442297943
internvl_2_5_8b,HALL,22,1766,0.28234779834747314,0.2323724329471588,0.2782156467437744,0.3318542242050171,0.43980619389404974
internvl_2_5_8b,HALL,23,1766,0.28800448775291443,0.22973671555519104,0.2823624610900879,0.34440773725509644,0.4881231414651638
internvl_2_5_8b,HALL,24,1766,0.2707448899745941,0.2072572112083435,0.2654491066932678,0.3307313323020935,0.48501833503157765
internvl_2_5_8b,HALL,25,1766,0.3111037611961365,0.25303447246551514,0.31053611636161804,0.3694833517074585,0.43448225195915735
internvl_2_5_8b,HALL,26,1766,0.303082138299942,0.24174466729164124,0.3011660575866699,0.36293479800224304,0.509980230782159
internvl_2_5_8b,HALL,27,1766,0.28027307987213135,0.21656754612922668,0.2758682072162628,0.340080201625824,0.44889528559006026
internvl_2_5_8b,HALL,28,1766,0.25138822197914124,0.18912377953529358,0.2482142597436905,0.3096054792404175,0.4860325500783731
internvl_2_5_8b,HALL,29,1766,0.3104005753993988,0.2593455910682678,0.31238865852355957,0.3660658597946167,0.4945512538278493
internvl_2_5_8b,HALL,30,1766,0.285148948431015,0.23868229985237122,0.28599828481674194,0.3344513773918152,0.43346149212716173
internvl_2_5_8b,HALL,31,1766,0.2763672173023224,0.2311650514602661,0.27729666233062744,0.3237115740776062,0.4927447514505907
internvl_2_5_8b,HALL,32,1766,0.2232356071472168,0.17678846418857574,0.22437360882759094,0.2662046551704407,0.5683803124248129
internvl_2_5_8b,REAL,1,9993,0.1521417647600174,0.12281011044979095,0.1468076854944229,0.17672275006771088,0.5209871428686378
internvl_2_5_8b,REAL,2,9993,0.21497416496276855,0.18712376058101654,0.21231555938720703,0.24017363786697388,0.4930841453116842
internvl_2_5_8b,REAL,3,9993,0.2116607129573822,0.17630229890346527,0.20694291591644287,0.24189302325248718,0.501575819948256
internvl_2_5_8b,REAL,4,9993,0.1785060167312622,0.1509506106376648,0.17500261962413788,0.2023041844367981,0.5508894164760179
internvl_2_5_8b,REAL,5,9993,0.16319943964481354,0.1371372938156128,0.1592182070016861,0.18515506386756897,0.6141277093285799
internvl_2_5_8b,REAL,6,9993,0.16549824178218842,0.13935832679271698,0.16230669617652893,0.18767760694026947,0.5745767223919711
internvl_2_5_8b,REAL,7,9993,0.1607183963060379,0.1310824602842331,0.1541232466697693,0.18295516073703766,0.606954029768743
internvl_2_5_8b,REAL,8,9993,0.17389222979545593,0.14046241343021393,0.16706614196300507,0.20147764682769775,0.5305049888262667
internvl_2_5_8b,REAL,9,9993,0.14598384499549866,0.12061639130115509,0.14300303161144257,0.16800160706043243,0.6047333643176498
internvl_2_5_8b,REAL,10,9993,0.18455719947814941,0.14874471724033356,0.180393248796463,0.21664100885391235,0.482250485872387
internvl_2_5_8b,REAL,11,9993,0.17659364640712738,0.13736185431480408,0.1706410050392151,0.2113482803106308,0.49248737989752506
internvl_2_5_8b,REAL,12,9993,0.19007889926433563,0.1524844467639923,0.1865905374288559,0.22484123706817627,0.47836999489676746
