model,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,HALL,1,1766,0.13951589167118073,0.13439053297042847,0.11010429263114929,0.16236668825149536
internvl_2_5_8b,HALL,2,1766,0.20592114329338074,0.20469745993614197,0.1787414252758026,0.23163743317127228
internvl_2_5_8b,HALL,3,1766,0.2141859084367752,0.2108752429485321,0.17953035235404968,0.24540475010871887
internvl_2_5_8b,HALL,4,1766,0.17624658346176147,0.17208698391914368,0.14898161590099335,0.20115846395492554
internvl_2_5_8b,HALL,5,1766,0.15436917543411255,0.15133048593997955,0.1273289918899536,0.17666654288768768
internvl_2_5_8b,HALL,6,1766,0.17030930519104004,0.16659218072891235,0.142837256193161,0.19303733110427856
internvl_2_5_8b,HALL,7,1766,0.14931568503379822,0.1444498598575592,0.12250968813896179,0.17252975702285767
internvl_2_5_8b,HALL,8,1766,0.1751478761434555,0.17152933776378632,0.14329427480697632,0.20231473445892334
internvl_2_5_8b,HALL,9,1766,0.14254868030548096,0.1376417577266693,0.11504191160202026,0.16560906171798706
internvl_2_5_8b,HALL,10,1766,0.19391104578971863,0.18160855770111084,0.15223228931427002,0.22093504667282104
internvl_2_5_8b,HALL,11,1766,0.182293102145195,0.17856284976005554,0.14513714611530304,0.2177591323852539
internvl_2_5_8b,HALL,12,1766,0.1972193419933319,0.19330249726772308,0.15854337811470032,0.23150190711021423
internvl_2_5_8b,HALL,13,1766,0.24903498589992523,0.22870200872421265,0.18416276574134827,0.2961394190788269
internvl_2_5_8b,HALL,14,1766,0.2146323174238205,0.21332339942455292,0.1776719093322754,0.24810563027858734
internvl_2_5_8b,HALL,15,1766,0.2184961885213852,0.21766704320907593,0.18005266785621643,0.2539437413215637
internvl_2_5_8b,HALL,16,1766,0.26661643385887146,0.24630481004714966,0.1825760304927826,0.3328087627887726
internvl_2_5_8b,HALL,17,1766,0.23956507444381714,0.22677886486053467,0.18266288936138153,0.2818572521209717
internvl_2_5_8b,HALL,18,1766,0.23684246838092804,0.23756182193756104,0.1950015127658844,0.27679112553596497
internvl_2_5_8b,HALL,19,1766,0.2519126236438751,0.23420998454093933,0.19099241495132446,0.2918815612792969
internvl_2_5_8b,HALL,20,1766,0.3064226806163788,0.2847561240196228,0.20867303013801575,0.3988451063632965
internvl_2_5_8b,HALL,21,1766,0.2409418225288391,0.23195405304431915,0.1971636563539505,0.27535414695739746
internvl_2_5_8b,HALL,22,1766,0.2642861604690552,0.26518821716308594,0.22201965749263763,0.3017314076423645
internvl_2_5_8b,HALL,23,1766,0.27503538131713867,0.27550289034843445,0.225503608584404,0.328143835067749
internvl_2_5_8b,HALL,24,1766,0.26286694407463074,0.2612420320510864,0.20946213603019714,0.3180685043334961
internvl_2_5_8b,HALL,25,1766,0.2837458550930023,0.2785729765892029,0.23082347214221954,0.3268475830554962
internvl_2_5_8b,HALL,26,1766,0.27239280939102173,0.2727537751197815,0.22673334181308746,0.31890353560447693
