model,layer,k,cases,median_spearman,median_js,median_top32_overlap,p90_gross_relative_error,p90_kappa_difference
internvl_2_5_8b,8,1,345,0.9999413481345844,1.3244909798647807e-05,1.0,0.03940791561533445,0.01917520761489869
internvl_2_5_8b,8,4,345,0.9999992847333484,2.9460027583168465e-09,1.0,0.0006155969779992682,0.0003211617469787598
internvl_2_5_8b,8,8,345,0.9999992847333484,1.3052409842347563e-09,1.0,0.001815503041761346,0.0009499967098236085
internvl_2_5_8b,8,16,345,0.9999999999999998,5.693926239157629e-10,1.0,0.0007748023426525526,0.00040768384933471686
internvl_2_5_8b,8,32,345,0.9999999999999998,2.817718063917955e-10,1.0,0.00039912910948030147,0.0002047181129455567
internvl_2_5_8b,16,1,345,0.9999277580682076,4.6289332891126045e-05,1.0,0.06118004586891282,0.027786588668823248
internvl_2_5_8b,16,4,345,0.9999992847333484,3.6995317109814096e-09,1.0,0.0008892823785657967,0.0004333138465881349
internvl_2_5_8b,16,8,345,0.9999992847333484,1.8365644558911302e-09,1.0,0.0018977493522368903,0.000919264554977417
internvl_2_5_8b,16,16,345,0.9999999999999998,8.327245735192022e-10,1.0,0.000860257265827054,0.0004019021987915041
internvl_2_5_8b,16,32,345,0.9999999999999998,4.4289275317383985e-10,1.0,0.00045904204294715554,0.00021873712539672866
internvl_2_5_8b,24,1,345,0.9999964236667429,7.248543389812824e-08,1.0,0.0033506823901582614,0.0016981959342956547
internvl_2_5_8b,24,4,345,0.9999992847333484,1.3825853130904128e-09,1.0,0.00030281282900196865,0.0001487135887145996
internvl_2_5_8b,24,8,345,0.9999999999999998,5.38925733892528e-10,1.0,0.0015293597164240844,0.0009561300277709961
internvl_2_5_8b,24,16,345,0.9999999999999998,2.264234714541352e-10,1.0,0.0005943826563360577,0.00035680532455444335
internvl_2_5_8b,24,32,345,0.9999999999999998,1.0999630750838076e-10,1.0,0.0002940739625924274,0.00017303228378295898
internvl_2_5_8b,32,1,345,0.999970674067292,4.190398350703998e-06,1.0,0.007768165519940668,0.0043754935264587414
internvl_2_5_8b,32,4,345,0.9999978542000457,1.4881237780353745e-08,1.0,0.0008612847697304762,0.0004546284675598145
internvl_2_5_8b,32,8,345,0.9999985694666971,6.160510323582832e-09,1.0,0.0018207398760684448,0.0011204361915588378
internvl_2_5_8b,32,16,345,0.9999992847333484,2.629697590496132e-09,1.0,0.0007220062951896567,0.0004443764686584473
internvl_2_5_8b,32,32,345,0.9999992847333484,1.3480784644192827e-09,1.0,0.000375338989160904,0.000224757194519043
llava_1_5_7b,8,1,355,0.9999792781252356,6.89551309631772e-06,1.0,0.024704128924593338,0.014447700977325449
llava_1_5_7b,8,4,355,0.9999997488257605,2.570377488906961e-10,1.0,0.00028382030904378904,0.00015681982040405276
llava_1_5_7b,8,8,355,0.9999998744128804,1.1351408064506143e-10,1.0,0.00021542323606266807,0.00011895895004272462
llava_1_5_7b,8,16,355,0.9999998744128804,5.239781564963894e-11,1.0,4.7788125135413686e-05,2.45809555053711e-05
llava_1_5_7b,8,32,355,0.9999999372064401,2.8585914398360834e-11,1.0,3.2746967858985185e-05,1.789331436157227e-05
llava_1_5_7b,16,1,355,0.9999768919699596,1.3738484763679349e-05,1.0,0.025809768848076342,0.011625134944915776
llava_1_5_7b,16,4,355,0.9999998744128804,9.095182416306253e-11,1.0,0.0002714112917501535,0.00012749433517456055
llava_1_5_7b,16,8,355,0.9999999372064401,4.5151972309427764e-11,1.0,0.00019915382867773457,9.499788284301758e-05
llava_1_5_7b,16,16,355,0.9999999372064401,2.233975450839911e-11,1.0,3.756667295855587e-05,1.6379356384277344e-05
llava_1_5_7b,16,32,355,0.99999998430161,1.2661114907870215e-11,1.0,2.3340072374316243e-05,1.0401010513305664e-05
