model,label,layer,n_mentions,mean,q25,median,q75,raw_net_strength_real_auroc
internvl_2_5_8b,HALL,1,1766,0.36886683106422424,0.2232765555381775,0.3109959363937378,0.4590170383453369,0.6912374619198332
internvl_2_5_8b,HALL,2,1766,0.1246817409992218,0.09272649139165878,0.11786346137523651,0.14719454944133759,0.6662118749262649
internvl_2_5_8b,HALL,3,1766,0.062457721680402756,0.03546573966741562,0.050608325749635696,0.0737738236784935,0.6591110096433301
internvl_2_5_8b,HALL,4,1766,0.14210648834705353,0.08209417760372162,0.11489395797252655,0.16929590702056885,0.6972210105397675
internvl_2_5_8b,HALL,5,1766,0.45234042406082153,0.23550058901309967,0.3547617197036743,0.5514274835586548,0.6964212151223863
internvl_2_5_8b,HALL,6,1766,1.0777562856674194,0.5050145387649536,0.8180930614471436,1.3368780612945557,0.7045241125186272
internvl_2_5_8b,HALL,7,1766,0.8105161786079407,0.42051276564598083,0.6276936531066895,0.9655236005783081,0.7173767956935654
internvl_2_5_8b,HALL,8,1766,1.8593902587890625,1.0664169788360596,1.6763355731964111,2.4643218517303467,0.6940216022110153
internvl_2_5_8b,HALL,9,1766,0.8343393206596375,0.5583171844482422,0.7365659475326538,0.9872931241989136,0.7359124490200899
internvl_2_5_8b,HALL,10,1766,2.569700241088867,1.5433955192565918,2.437363624572754,3.3970847129821777,0.6777399332420577
internvl_2_5_8b,HALL,11,1766,1.3335613012313843,0.770568311214447,1.2347064018249512,1.7940993309020996,0.6718818121722578
internvl_2_5_8b,HALL,12,1766,2.167644500732422,1.3400121927261353,2.138566493988037,2.9051027297973633,0.6888495219586892
internvl_2_5_8b,HALL,13,1766,3.5002963542938232,2.1228060722351074,3.5162014961242676,4.689828872680664,0.6286477827797692
internvl_2_5_8b,HALL,14,1766,1.1633474826812744,0.5933345556259155,1.0251907110214233,1.5978609323501587,0.6778583343561331
internvl_2_5_8b,HALL,15,1766,2.3019988536834717,1.4482202529907227,2.294466257095337,3.0688676834106445,0.6182130435812431
internvl_2_5_8b,HALL,16,1766,5.3963212966918945,3.665005922317505,5.553998947143555,7.082272529602051,0.6057696219743401
internvl_2_5_8b,HALL,17,1766,3.977234363555908,2.4973130226135254,3.9074997901916504,5.284158706665039,0.6670934943248497
internvl_2_5_8b,HALL,18,1766,2.512833595275879,1.122433066368103,2.188903331756592,3.6974666118621826,0.6387541494221494
internvl_2_5_8b,HALL,19,1766,4.161276817321777,2.504457473754883,4.002954006195068,5.597413539886475,0.6849215458748644
internvl_2_5_8b,HALL,20,1766,7.1681084632873535,4.758050918579102,7.153472900390625,9.291128158569336,0.655952569969987
internvl_2_5_8b,HALL,21,1766,3.5335447788238525,2.176806688308716,3.3831043243408203,4.625810623168945,0.635187071493647
internvl_2_5_8b,HALL,22,1766,2.493323802947998,1.35981023311615,2.269765853881836,3.331242322921753,0.6577819365968409
internvl_2_5_8b,HALL,23,1766,1.2778586149215698,0.5897693037986755,1.0209143161773682,1.7333627939224243,0.6305045751731762
internvl_2_5_8b,HALL,24,1766,1.1440640687942505,0.5348620414733887,0.9049973487854004,1.4961824417114258,0.5443574658546373
internvl_2_5_8b,HALL,25,1766,3.435673952102661,1.4173977375030518,2.9770524501800537,4.8382110595703125,0.6141470320277422
internvl_2_5_8b,HALL,26,1766,2.299197196960449,0.8232288360595703,1.9268388748168945,3.4575157165527344,0.643832817740255
internvl_2_5_8b,HALL,27,1766,2.294992446899414,0.6208950877189636,1.341489315032959,2.5991320610046387,0.5903796587396002
internvl_2_5_8b,HALL,28,1766,0.96185302734375,0.4588448405265808,0.776207447052002,1.3232321739196777,0.5942012466484183
internvl_2_5_8b,HALL,29,1766,2.8611600399017334,1.1818147897720337,2.342571258544922,4.059924125671387,0.6307665649080063
internvl_2_5_8b,HALL,30,1766,5.621801376342773,2.616166114807129,4.786388397216797,7.777741432189941,0.6350215819250146
internvl_2_5_8b,HALL,31,1766,3.194134473800659,1.5860481262207031,2.7198081016540527,4.371320724487305,0.6351426179526121
internvl_2_5_8b,HALL,32,1766,5.645277976989746,4.009324073791504,5.261960983276367,6.785171985626221,0.6964563473026816
internvl_2_5_8b,REAL,1,9993,0.5452245473861694,0.301583468914032,0.4906708598136902,0.7826274633407593,0.6912374619198332
internvl_2_5_8b,REAL,2,9993,0.16006308794021606,0.11320798099040985,0.1455243080854416,0.19045589864253998,0.6662118749262649
internvl_2_5_8b,REAL,3,9993,0.09393251687288284,0.0485813207924366,0.07006211578845978,0.10221085697412491,0.6591110096433301
internvl_2_5_8b,REAL,4,9993,0.21988612413406372,0.11740326881408691,0.17707975208759308,0.28217023611068726,0.6972210105397675
