model,label,layer,n_mentions,mean,q25,median,q75,raw_relative_strength_real_auroc
internvl_2_5_8b,HALL,1,1766,0.6233162879943848,0.594982385635376,0.6250200271606445,0.6503760814666748,0.6234641995716368
internvl_2_5_8b,HALL,2,1766,0.4110673666000366,0.389080673456192,0.4136815071105957,0.4327317476272583,0.5122600826240883
internvl_2_5_8b,HALL,3,1766,0.45683446526527405,0.43903255462646484,0.45491182804107666,0.47285494208335876,0.5137265678273772
internvl_2_5_8b,HALL,4,1766,0.4659811556339264,0.44498172402381897,0.46566081047058105,0.48675984144210815,0.5506418762669543
internvl_2_5_8b,HALL,5,1766,0.4657561779022217,0.44852784276008606,0.4649728536605835,0.48148247599601746,0.5590777077362987
internvl_2_5_8b,HALL,6,1766,0.4825938642024994,0.4614408016204834,0.4793265461921692,0.5003318786621094,0.47699179346267184
internvl_2_5_8b,HALL,7,1766,0.41754212975502014,0.4050101935863495,0.41879022121429443,0.43078118562698364,0.5425097681627422
internvl_2_5_8b,HALL,8,1766,0.44497424364089966,0.4294055104255676,0.4434431791305542,0.45887991786003113,0.4750818211479632
internvl_2_5_8b,HALL,9,1766,0.4050753116607666,0.3924448788166046,0.40470415353775024,0.4164707064628601,0.635219512095613
internvl_2_5_8b,HALL,10,1766,0.38831230998039246,0.3751729726791382,0.38745325803756714,0.4000251889228821,0.5974130079050806
internvl_2_5_8b,HALL,11,1766,0.3710388243198395,0.35941070318222046,0.3711298108100891,0.3816095292568207,0.6473237665006502
internvl_2_5_8b,HALL,12,1766,0.377738356590271,0.36621296405792236,0.3771062195301056,0.387550950050354,0.5979051700856511
internvl_2_5_8b,HALL,13,1766,0.38138124346733093,0.3714156150817871,0.38062095642089844,0.3908975124359131,0.612328828367853
internvl_2_5_8b,HALL,14,1766,0.3591104745864868,0.34755420684814453,0.3583758771419525,0.3689109683036804,0.5392887705425509
internvl_2_5_8b,HALL,15,1766,0.35114872455596924,0.3387826681137085,0.35017555952072144,0.3620063066482544,0.47076962934076505
internvl_2_5_8b,HALL,16,1766,0.3481970429420471,0.3345305919647217,0.3453894257545471,0.3579116761684418,0.4086131243172599
internvl_2_5_8b,HALL,17,1766,0.3480449616909027,0.33567705750465393,0.34658098220825195,0.3582494556903839,0.4891491144593968
internvl_2_5_8b,HALL,18,1766,0.31284675002098083,0.3005620837211609,0.3105200529098511,0.3231164515018463,0.49245176606637103
internvl_2_5_8b,HALL,19,1766,0.3233191967010498,0.3098980784416199,0.3216445744037628,0.3340449035167694,0.5140812045215343
internvl_2_5_8b,HALL,20,1766,0.3340132534503937,0.3119509518146515,0.3285098671913147,0.34953200817108154,0.43809018521345466
internvl_2_5_8b,HALL,21,1766,0.28352904319763184,0.2709854245185852,0.2820392847061157,0.294310599565506,0.34714362341294625
internvl_2_5_8b,HALL,22,1766,0.26732751727104187,0.2496623694896698,0.26443278789520264,0.2817373275756836,0.4225685329674147
internvl_2_5_8b,HALL,23,1766,0.2325279414653778,0.21802519261837006,0.23037293553352356,0.2437913715839386,0.3453774097134132
internvl_2_5_8b,HALL,24,1766,0.2354900985956192,0.22133788466453552,0.23212438821792603,0.2476857304573059,0.37533144662192186
internvl_2_5_8b,HALL,25,1766,0.24430708587169647,0.22190429270267487,0.23947018384933472,0.25970762968063354,0.44737921868070957
internvl_2_5_8b,HALL,26,1766,0.21946294605731964,0.20361480116844177,0.21684804558753967,0.2322598248720169,0.43664183274838253
internvl_2_5_8b,HALL,27,1766,0.2193738967180252,0.19286391139030457,0.20676207542419434,0.22767765820026398,0.471980981250862
internvl_2_5_8b,HALL,28,1766,0.20403072237968445,0.1875138282775879,0.20042800903320312,0.2153119295835495,0.4637493414132815
