model,label,layer,n_mentions,mean,q25,median,q75,raw_strength_real_auroc
internvl_2_5_8b,HALL,1,1766,0.46762195229530334,0.28752169013023376,0.38801309466362,0.5847862958908081,0.6973707189596705
internvl_2_5_8b,HALL,2,1766,0.23620030283927917,0.1790388822555542,0.22519487142562866,0.27819615602493286,0.6771084039688485
internvl_2_5_8b,HALL,3,1766,0.1117190271615982,0.06739541888237,0.0938001275062561,0.13418355584144592,0.6615639441380201
internvl_2_5_8b,HALL,4,1766,0.2596641480922699,0.15872567892074585,0.2194889634847641,0.31244346499443054,0.7044858637739508
internvl_2_5_8b,HALL,5,1766,0.8274864554405212,0.45280465483665466,0.6666741371154785,1.0093984603881836,0.6912796205361873
internvl_2_5_8b,HALL,6,1766,1.855238676071167,0.9324069023132324,1.4498157501220703,2.294929027557373,0.7128376046698148
internvl_2_5_8b,HALL,7,1766,1.5253267288208008,0.7907480001449585,1.1817371845245361,1.837478518486023,0.7136367767743197
internvl_2_5_8b,HALL,8,1766,3.6428964138031006,2.1221203804016113,3.3487305641174316,4.784855842590332,0.6999307499394536
internvl_2_5_8b,HALL,9,1766,1.6843961477279663,1.1336432695388794,1.4869998693466187,1.9895449876785278,0.7369385070115332
internvl_2_5_8b,HALL,10,1766,5.348869323730469,3.349900722503662,5.059781074523926,7.073734283447266,0.6964530607438797
internvl_2_5_8b,HALL,11,1766,2.988344192504883,1.750349998474121,2.761718273162842,3.954697847366333,0.6976540146619056
internvl_2_5_8b,HALL,12,1766,4.752444744110107,2.937628984451294,4.581881523132324,6.327475547790527,0.7139599928330352
internvl_2_5_8b,HALL,13,1766,7.7919745445251465,4.931552410125732,7.710556983947754,10.296546936035156,0.655024938748177
internvl_2_5_8b,HALL,14,1766,2.853269338607788,1.6622858047485352,2.6111865043640137,3.7798166275024414,0.7002964362709616
internvl_2_5_8b,HALL,15,1766,4.826269149780273,3.0624067783355713,4.781383037567139,6.39687967300415,0.6741250585489117
internvl_2_5_8b,HALL,16,1766,11.17335033416748,7.332942008972168,11.239034652709961,14.661381721496582,0.6416376514522794
internvl_2_5_8b,HALL,17,1766,7.782477378845215,4.987677574157715,7.734852313995361,10.314981460571289,0.6607383095686801
internvl_2_5_8b,HALL,18,1766,4.765448093414307,2.5436251163482666,4.433947563171387,6.877723693847656,0.6818920469696851
internvl_2_5_8b,HALL,19,1766,8.42328929901123,5.064432144165039,8.141539573669434,11.444169044494629,0.6923342092579188
internvl_2_5_8b,HALL,20,1766,12.839585304260254,8.624123573303223,12.982744216918945,17.05921173095703,0.6686187975977296
internvl_2_5_8b,HALL,21,1766,7.764636039733887,4.727251052856445,7.512611389160156,10.322502136230469,0.6583792686590693
internvl_2_5_8b,HALL,22,1766,5.586761474609375,2.998478889465332,5.023777961730957,7.738875389099121,0.6470775012497423
internvl_2_5_8b,HALL,23,1766,2.515533208847046,1.1541049480438232,2.106405735015869,3.481174945831299,0.6309664500144438
internvl_2_5_8b,HALL,24,1766,2.294527053833008,1.0310280323028564,1.8963172435760498,3.2037434577941895,0.5538475743892752
internvl_2_5_8b,HALL,25,1766,6.832329750061035,2.969719886779785,6.245734214782715,10.078904151916504,0.6215136552551679
internvl_2_5_8b,HALL,26,1766,4.760860919952393,1.8201184272766113,4.2505340576171875,7.191204071044922,0.653406846853953
internvl_2_5_8b,HALL,27,1766,4.064054012298584,1.340393304824829,3.0143117904663086,5.485970497131348,0.5842620978512819
internvl_2_5_8b,HALL,28,1766,1.790712594985962,0.8267707824707031,1.525223970413208,2.565906524658203,0.6000926866246916
internvl_2_5_8b,HALL,29,1766,5.891269207000732,2.6176962852478027,5.00837516784668,8.349332809448242,0.6346465175679601
internvl_2_5_8b,HALL,30,1766,10.37472152709961,5.152867794036865,9.293946266174316,14.3513822555542,0.6319510010348127
internvl_2_5_8b,HALL,31,1766,7.300952911376953,3.6746673583984375,6.351921081542969,9.972537994384766,0.6394486616282588
internvl_2_5_8b,HALL,32,1766,10.232992172241211,6.090742111206055,9.165116310119629,13.148346900939941,0.689287880905082
internvl_2_5_8b,REAL,1,9993,0.6873464584350586,0.38283681869506836,0.6417766213417053,0.9759534597396851,0.6973707189596705
internvl_2_5_8b,REAL,2,9993,0.30395200848579407,0.21924683451652527,0.27770042419433594,0.3616698682308197,0.6771084039688485
