feature_set,variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
A,AE32_cosine,43,fixed_0.5,0.5,0.8527378421968961,0.9664262155493686,0.9153225806451613,0.9043824701195219,0.9098196392785571,0.5224205411662141,0.5163727959697733,0.5495978552278821,0.5324675324675324
A,AE32_cosine,43,train_f1,0.4574453830718994,0.8527378421968961,0.9664262155493686,0.9090909090909091,0.9163346613545816,0.9126984126984127,0.5224205411662141,0.5294117647058824,0.5067024128686327,0.5178082191780822
A,AE32_cosine,44,fixed_0.5,0.5,0.8558774286233084,0.9681746726962164,0.9001919385796545,0.9342629482071713,0.916911045943304,0.534508183056661,0.5555555555555556,0.44235924932975873,0.4925373134328358
A,AE32_cosine,44,train_f1,0.5763893723487854,0.8558774286233084,0.9681746726962164,0.9100899100899101,0.9073705179282868,0.9087281795511222,0.534508183056661,0.5092348284960422,0.517426273458445,0.5132978723404256
A,AE32_cosine,45,fixed_0.5,0.5,0.8565556807622059,0.968031136698395,0.8882244710211592,0.9616533864541833,0.923481587757054,0.5228405594987948,0.6280193236714976,0.3485254691689008,0.4482758620689655
A,AE32_cosine,45,train_f1,0.6642780303955078,0.8565556807622059,0.968031136698395,0.904296875,0.9223107569721115,0.9132149901380671,0.5228405594987948,0.5315315315315315,0.4745308310991957,0.5014164305949008
A,AE32,43,fixed_0.5,0.5,0.8513205889578417,0.9668185797192862,0.9080973671137605,0.9103585657370518,0.9092265605570754,0.5136802165243645,0.5108695652173914,0.5040214477211796,0.5074224021592443
A,AE32,43,train_f1,0.4276231527328491,0.8513205889578417,0.9668185797192862,0.8993320610687023,0.9387450199203188,0.9186159844054581,0.5136802165243645,0.5684210526315789,0.4343163538873995,0.49240121580547114
A,AE32,44,fixed_0.5,0.5,0.8454179261506254,0.9662365238759761,0.9081735620585267,0.896414342629482,0.9022556390977443,0.49836234491141745,0.47869674185463656,0.5120643431635389,0.4948186528497409
A,AE32,44,train_f1,0.4429549276828766,0.8454179261506254,0.9662365238759761,0.89375,0.9257968127490039,0.9094911937377691,0.49836234491141745,0.5049833887043189,0.4075067024128686,0.45103857566765576
A,AE32,45,fixed_0.5,0.5,0.8510922796748663,0.9664098867507616,0.886290692342962,0.9626494023904383,0.9228932919551206,0.5191831583947604,0.625,0.3351206434316354,0.4363001745200698
A,AE32,45,train_f1,0.6745048761367798,0.8510922796748663,0.9664098867507616,0.9063871282301317,0.9257968127490039,0.9159891598915989,0.5191831583947604,0.5484848484848485,0.48525469168900803,0.5149359886201992
B,AE32_cosine,43,fixed_0.5,0.5,0.8452310062698268,0.966258923552595,0.8742703188145488,0.9696215139442231,0.9194805194805195,0.49896333484883226,0.6038961038961039,0.24932975871313673,0.35294117647058826
B,AE32_cosine,43,train_f1,0.5279262661933899,0.8452310062698268,0.966258923552595,0.8795620437956204,0.9601593625498008,0.9180952380952381,0.49896333484883226,0.5767195767195767,0.29222520107238603,0.3879003558718861
B,AE32_cosine,44,fixed_0.5,0.5,0.8414886032278392,0.9652228280801913,0.8960850652489125,0.9233067729083665,0.9094922737306843,0.4757554607204017,0.5064102564102564,0.42359249329758714,0.46131386861313867
B,AE32_cosine,44,train_f1,0.4301561713218689,0.8414886032278392,0.9652228280801913,0.8767685988133272,0.9566733067729084,0.9149797570850202,0.4757554607204017,0.5421052631578948,0.2761394101876676,0.36589698046181174
B,AE32_cosine,45,fixed_0.5,0.5,0.8448992234814094,0.9664834639094299,0.8728737690241719,0.9711155378486056,0.9193776520509194,0.4896957066050144,0.6054421768707483,0.2386058981233244,0.3423076923076923
B,AE32_cosine,45,train_f1,0.5423142313957214,0.8448992234814094,0.9664834639094299,0.8806451612903226,0.9516932270916335,0.9147917663954045,0.4896957066050144,0.5402843601895735,0.30563002680965146,0.3904109589041096
B,AE32,43,fixed_0.5,0.5,0.8440454001687618,0.9655480107114646,0.8777828259881872,0.9621513944223108,0.9180327868852459,0.5028228490231408,0.5777777777777777,0.27882037533512066,0.37613019891500904
