feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,full_ae_ensemble_auroc,top32_minus_full_auroc,ensemble_hall_aupr,full_ae_ensemble_hall_aupr,mean_seed_auroc,std_seed_auroc
A,64,0.8583607927539172,0.9664883301153413,0.5104085732768474,0.5406297632735821,0.44235924932975873,0.48612526003110873,0.8473765794729928,0.01098421328092436,0.5313654798883823,0.4996141987743674,0.8492769315944445,0.00273032031621959
B,32,0.8474012796000983,0.9657309267632203,0.48926944605158534,0.5559511963099955,0.3288650580875782,0.41271800151006116,0.8346259733185222,0.012775306281576082,0.4965970910736063,0.4698446995376835,0.8429694982358322,0.0012874526743445727
F,96,0.8731294660500091,0.9711709749326198,0.5447182313879181,0.5899773795749028,0.42716711349419123,0.49019393862858274,0.8697402080685301,0.0033892579814789325,0.5596098914217021,0.5572641010164515,0.8668620869515681,0.001217650281853241
C_JS,64,0.8544167832690684,0.966530023476862,0.49817799641975197,0.5555053079178038,0.4361036639857015,0.4882193878620568,0.853729185136131,0.0006875981329373948,0.5112058518076247,0.4916298818817568,0.8486696645055168,0.0059755758510296655
D_JS,64,0.862152596050116,0.967216059694537,0.5208026450693948,0.5781727593251959,0.386952636282395,0.4622022063391884,0.8541544278649477,0.007998168185168297,0.5331200225669747,0.5160669496165176,0.8527091366437735,0.004396674724609683
E_JS,64,0.8619349679031862,0.967885726589912,0.5004968194477956,0.5570220972937484,0.46738159070598745,0.5081270925019975,0.8537478771242109,0.008187090778975392,0.5077513439370728,0.4963807711890821,0.854529825292218,0.0020949066855669575
G_JS,192,0.869159421296049,0.9708687383160289,0.5306175520188391,0.547894671471271,0.4110813226094727,0.46963787980911426,0.8742169392136548,-0.0050575179176058915,0.5439832269281555,0.5674797511769568,0.8635949944636111,0.0009039881512213482
H_JS,224,0.8782196949467546,0.972642918055794,0.537530698413101,0.5542228436505378,0.4307417336907953,0.4846906792533376,0.8795935560706237,-0.001373861123869169,0.5571959108234817,0.5554452364672726,0.8689206534006958,0.004244275189467996
C_OT,64,0.854639751984021,0.9654151255042233,0.4955172443438947,0.5249413104155233,0.4352100089365505,0.47523301185671635,0.8488726060903837,0.005767145893637249,0.5052701668885254,0.4842986144697255,0.8475270054723021,0.004203848952814239
D_OT,64,0.8668336039221132,0.968618569064256,0.5243488223819254,0.5716342599565483,0.4781054512957998,0.5190958084865648,0.853423437616825,0.01341016630528813,0.5352390668187589,0.5156712855070824,0.8595528520413431,0.004600069957578729
E_OT,64,0.8538259829315447,0.9649211652826293,0.4904592340820458,0.5363163769641943,0.4798927613941018,0.5061246188849055,0.8485948965531974,0.005231086378347238,0.5054629154844551,0.48702955214121235,0.8461475812567425,0.002433970895099136
G_OT,192,0.8742329609177233,0.971511805424993,0.5375400784546916,0.5418013360680719,0.5192135835567471,0.5298230633043804,0.8770020454375527,-0.002769084519829379,0.550775575882467,0.5731285062305398,0.8673941410408412,0.003642543754708956
H_OT,224,0.8819781196928107,0.9729616436275217,0.5369411416653369,0.5390575808787205,0.4709562109025916,0.5019498797609742,0.8842438556764899,-0.0022657359836791846,0.554835469637212,0.5628772424525963,0.8716790567844797,0.00233296154243795
AE+I,64,0.847217697574314,0.9636730152001082,0.5217906258977086,0.5766983088293803,0.3297587131367292,0.4150831867270224,0.8463712175426981,0.0008464800316159149,0.5311724223709192,0.5232280780905953,0.8429594846707896,0.002289835771650307
AE+S,64,0.8598140948271258,0.9683728118611126,0.5252308099514633,0.561133437218076,0.40661304736371756,0.47152425398397363,0.8543032961985837,0.005510798628542091,0.5364517929492616,0.5350319086665989,0.8551504438012026,0.0007329408749614621
AE+I+S,96,0.8658082148617327,0.9697829310629608,0.5286104986560493,0.5309913734255408,0.41912421805183203,0.46752389369292374,0.8644263428858294,0.001381871975903226,0.5390022920312784,0.5395110470528083,0.8615649110439386,0.0019025766033690808
AE+N,64,0.860570452773357,0.9691703416861385,0.5215862010799256,0.5364970823803344,0.39588918677390533,0.4552427638429523,0.8545122459224763,0.006058206850880654,0.5307360595167988,0.5251769194788325,0.8568307200153807,0.004717188908424989
AE+S+N,96,0.8706534452004315,0.9703942234712658,0.5311552363579425,0.547179078373668,0.4361036639857015,0.4843580184620951,0.8653943208399646,0.005259124360466938,0.5438156303959001,0.5417552534222213,0.8641630973870381,0.001111870897055248
U,128,0.8758177744784935,0.9724468569760872,0.5497065060570979,0.5739356536145745,0.45665773011617516,0.5084361047150995,0.8768418283968683,-0.0010240539183747899,0.5617950063903743,0.560474303172014,0.8708181127144683,0.001718152978294023
D_OT+strength,96,0.8643248720933958,0.9696456171481872,0.5352366081054646,0.5511592756120859,0.40214477211796246,0.4647689411452968,0.8605631094923257,0.0037617626010700844,0.5471157042128214,0.5391683083594532,0.8594137747490823,0.002868516961758158
