model,case_id,layer,regions,permutations,median_path_shapley_cosine,median_path_shapley_norm_relative_error,vector_completeness_relative_error
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,8,128,0.9999998807907104,0.0002154169778805226,0.0
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,16,128,1.0,0.0002728324616327882,0.0
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,8,128,0.9999819993972778,0.0060814740136265755,0.0
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,16,128,0.9999960064888,0.002885843627154827,0.0
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,8,128,0.9999997019767761,0.000678427517414093,0.0
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,16,128,0.9999998807907104,0.0003772894851863384,0.0
internvl_2_5_8b,internvl_2_5_8b:120475:118:32,32,8,128,0.9999997615814209,0.0006194197339937091,0.0
internvl_2_5_8b,internvl_2_5_8b:120475:118:32,32,16,128,0.9999998807907104,0.0004096382181160152,0.0
internvl_2_5_8b,internvl_2_5_8b:120475:129:24,24,8,128,1.0,0.00037593633169308305,0.0
internvl_2_5_8b,internvl_2_5_8b:120475:129:24,24,16,128,1.0,0.0002498492249287665,0.0
internvl_2_5_8b,internvl_2_5_8b:13061:7:24,24,8,128,0.9999936819076538,0.0036073268856853247,0.0
internvl_2_5_8b,internvl_2_5_8b:13061:7:24,24,16,128,0.9999983906745911,0.0017431960441172123,0.0
internvl_2_5_8b,internvl_2_5_8b:151338:118:8,8,8,128,0.9999964237213135,0.00267181359231472,0.0
internvl_2_5_8b,internvl_2_5_8b:151338:118:8,8,16,128,0.9999939203262329,0.003486925270408392,0.0
internvl_2_5_8b,internvl_2_5_8b:15345:22:16,16,8,128,0.9999135732650757,0.013723200187087059,0.0
internvl_2_5_8b,internvl_2_5_8b:15345:22:16,16,16,128,0.9999767541885376,0.007753461133688688,0.0
internvl_2_5_8b,internvl_2_5_8b:160855:58:16,16,8,128,0.9999288320541382,0.012013334780931473,0.0
internvl_2_5_8b,internvl_2_5_8b:160855:58:16,16,16,128,0.9999743700027466,0.007274962030351162,0.0
internvl_2_5_8b,internvl_2_5_8b:16193:202:8,8,8,128,0.9999967813491821,0.002539641922339797,0.0
internvl_2_5_8b,internvl_2_5_8b:16193:202:8,8,16,128,0.9999995827674866,0.0010071300202980638,0.0
internvl_2_5_8b,internvl_2_5_8b:167486:73:32,32,8,128,0.9999978542327881,0.002219819463789463,0.0
internvl_2_5_8b,internvl_2_5_8b:167486:73:32,32,16,128,0.9999984502792358,0.0018204536754637957,0.0
internvl_2_5_8b,internvl_2_5_8b:194595:44:24,24,8,128,0.9999998807907104,0.0003990893892478198,0.0
internvl_2_5_8b,internvl_2_5_8b:194595:44:24,24,16,128,0.9999999403953552,0.0003768601454794407,0.0
internvl_2_5_8b,internvl_2_5_8b:200745:238:8,8,8,128,0.9999990463256836,0.0013737566769123077,0.0
internvl_2_5_8b,internvl_2_5_8b:200745:238:8,8,16,128,0.9999979138374329,0.0020355181768536568,0.0
internvl_2_5_8b,internvl_2_5_8b:204830:115:8,8,8,128,0.9999924898147583,0.0039894720539450645,0.0
internvl_2_5_8b,internvl_2_5_8b:204830:115:8,8,16,128,0.9999948740005493,0.003269669832661748,0.0
internvl_2_5_8b,internvl_2_5_8b:220981:79:24,24,8,128,0.9999998807907104,0.0004608549643307924,0.0
internvl_2_5_8b,internvl_2_5_8b:220981:79:24,24,16,128,0.9999998807907104,0.0004541689995676279,0.0
internvl_2_5_8b,internvl_2_5_8b:240727:38:16,16,8,128,0.9999797344207764,0.007091077044606209,0.0
internvl_2_5_8b,internvl_2_5_8b:240727:38:16,16,16,128,0.9999762773513794,0.007517730817198753,0.0
internvl_2_5_8b,internvl_2_5_8b:262093:45:32,32,8,128,0.9999985098838806,0.0019683914724737406,0.0
internvl_2_5_8b,internvl_2_5_8b:262093:45:32,32,16,128,0.9999997019767761,0.0008233431144617498,0.0
internvl_2_5_8b,internvl_2_5_8b:268390:171:24,24,8,128,0.9999998807907104,0.0005581558216363192,0.0
internvl_2_5_8b,internvl_2_5_8b:268390:171:24,24,16,128,0.9999999403953552,0.0003321769181638956,0.0
internvl_2_5_8b,internvl_2_5_8b:278032:49:32,32,8,128,0.9999988079071045,0.0018650467973202467,0.0
internvl_2_5_8b,internvl_2_5_8b:278032:49:32,32,16,128,0.9999992847442627,0.0012138349702581763,0.0
internvl_2_5_8b,internvl_2_5_8b:280710:36:16,16,8,128,0.9999486207962036,0.01053814310580492,0.0
internvl_2_5_8b,internvl_2_5_8b:280710:36:16,16,16,128,0.9999836683273315,0.006209483835846186,0.0
internvl_2_5_8b,internvl_2_5_8b:28499:111:8,8,8,128,0.9999963045120239,0.0026850630529224873,0.0
internvl_2_5_8b,internvl_2_5_8b:28499:111:8,8,16,128,0.9999972581863403,0.002276497660204768,0.0
internvl_2_5_8b,internvl_2_5_8b:301494:84:16,16,8,128,0.999963104724884,0.008817809633910656,0.0
internvl_2_5_8b,internvl_2_5_8b:301494:84:16,16,16,128,0.9999390840530396,0.01179538480937481,0.0
internvl_2_5_8b,internvl_2_5_8b:301494:8:32,32,8,128,0.9999982118606567,0.002004720037803054,0.0
internvl_2_5_8b,internvl_2_5_8b:301494:8:32,32,16,128,0.9999984502792358,0.0021183621138334274,0.0
internvl_2_5_8b,internvl_2_5_8b:314757:74:16,16,8,128,0.999894380569458,0.015397046692669392,0.0
internvl_2_5_8b,internvl_2_5_8b:314757:74:16,16,16,128,0.9999734163284302,0.0086344163864851,0.0
internvl_2_5_8b,internvl_2_5_8b:315037:5:8,8,8,128,0.9999808073043823,0.006140941753983498,0.0
internvl_2_5_8b,internvl_2_5_8b:315037:5:8,8,16,128,0.9999529123306274,0.009806131944060326,0.0
internvl_2_5_8b,internvl_2_5_8b:331604:11:24,24,8,128,0.9999995827674866,0.0009690588340163231,0.0
internvl_2_5_8b,internvl_2_5_8b:331604:11:24,24,16,128,0.9999996423721313,0.0009255449986085296,0.0
internvl_2_5_8b,internvl_2_5_8b:351183:160:16,16,8,128,0.9999839067459106,0.006140576675534248,0.0
internvl_2_5_8b,internvl_2_5_8b:351183:160:16,16,16,128,0.9999576210975647,0.009242303669452667,0.0
internvl_2_5_8b,internvl_2_5_8b:355777:145:8,8,8,128,0.9999978542327881,0.0020637884736061096,0.0
internvl_2_5_8b,internvl_2_5_8b:355777:145:8,8,16,128,0.9999985694885254,0.0016950827557593584,0.0
internvl_2_5_8b,internvl_2_5_8b:36563:135:24,24,8,128,0.9999992251396179,0.0012066577328369021,0.0
internvl_2_5_8b,internvl_2_5_8b:36563:135:24,24,16,128,0.9999997615814209,0.0007412945851683617,0.0
internvl_2_5_8b,internvl_2_5_8b:373140:159:24,24,8,128,0.9999998807907104,0.0004024931404273957,0.0
internvl_2_5_8b,internvl_2_5_8b:373140:159:24,24,16,128,0.9999999403953552,0.0003356098313815892,0.0
internvl_2_5_8b,internvl_2_5_8b:38865:59:8,8,8,128,0.9999988079071045,0.001568190404213965,0.0
internvl_2_5_8b,internvl_2_5_8b:38865:59:8,8,16,128,0.9999993443489075,0.0011616235133260489,0.0
internvl_2_5_8b,internvl_2_5_8b:396997:117:32,32,8,128,1.0,0.00031734956428408623,0.0
internvl_2_5_8b,internvl_2_5_8b:396997:117:32,32,16,128,0.9999999403953552,0.000561966618988663,0.0
internvl_2_5_8b,internvl_2_5_8b:424975:190:16,16,8,128,0.9999923706054688,0.003844811115413904,0.0
internvl_2_5_8b,internvl_2_5_8b:424975:190:16,16,16,128,0.9999970197677612,0.00250747031532228,0.0
internvl_2_5_8b,internvl_2_5_8b:434159:213:32,32,8,128,0.9999990463256836,0.0015267196577042341,0.0
internvl_2_5_8b,internvl_2_5_8b:434159:213:32,32,16,128,0.9999993443489075,0.001322027645073831,0.0
internvl_2_5_8b,internvl_2_5_8b:435986:5:16,16,8,128,0.9999881982803345,0.004939025267958641,0.0
internvl_2_5_8b,internvl_2_5_8b:435986:5:16,16,16,128,0.9999778270721436,0.006828270852565765,0.0
internvl_2_5_8b,internvl_2_5_8b:438556:239:8,8,8,128,0.9999945759773254,0.003257188480347395,0.0
internvl_2_5_8b,internvl_2_5_8b:438556:239:8,8,16,128,0.9999938607215881,0.0035096879582852125,0.0
internvl_2_5_8b,internvl_2_5_8b:438556:239:16,16,8,128,0.9999868869781494,0.0050927624106407166,0.0
internvl_2_5_8b,internvl_2_5_8b:438556:239:16,16,16,128,0.9999960064888,0.0028257369995117188,0.0
internvl_2_5_8b,internvl_2_5_8b:453824:84:24,24,8,128,0.9999998807907104,0.0005048807943239808,0.0
internvl_2_5_8b,internvl_2_5_8b:453824:84:24,24,16,128,0.9999998807907104,0.0005839104996994138,0.0
internvl_2_5_8b,internvl_2_5_8b:525762:6:16,16,8,128,0.9999687671661377,0.008164172992110252,0.0
internvl_2_5_8b,internvl_2_5_8b:525762:6:16,16,16,128,0.9999631643295288,0.009261311031877995,0.0
internvl_2_5_8b,internvl_2_5_8b:526030:12:32,32,8,128,0.9999995231628418,0.0013411870459094644,0.0
internvl_2_5_8b,internvl_2_5_8b:526030:12:32,32,16,128,0.9999994039535522,0.001451015705242753,0.0
internvl_2_5_8b,internvl_2_5_8b:540697:64:8,8,8,128,0.9999882578849792,0.00491540040820837,0.0
internvl_2_5_8b,internvl_2_5_8b:540697:64:8,8,16,128,0.999997079372406,0.0024965410120785236,0.0
internvl_2_5_8b,internvl_2_5_8b:540697:64:32,32,8,128,0.9999998807907104,0.00026387706748209894,0.0
internvl_2_5_8b,internvl_2_5_8b:540697:64:32,32,16,128,0.9999998807907104,0.0003231266455259174,0.0
internvl_2_5_8b,internvl_2_5_8b:553482:110:16,16,8,128,0.9999561309814453,0.009378422982990742,0.0
internvl_2_5_8b,internvl_2_5_8b:553482:110:16,16,16,128,0.9999812245368958,0.006434915587306023,0.0
internvl_2_5_8b,internvl_2_5_8b:562090:130:24,24,8,128,0.9999996423721313,0.0008298559114336967,0.0
internvl_2_5_8b,internvl_2_5_8b:562090:130:24,24,16,128,0.9999991655349731,0.0012760059908032417,0.0
internvl_2_5_8b,internvl_2_5_8b:571029:37:8,8,8,128,0.9999849796295166,0.005533954128623009,0.0
internvl_2_5_8b,internvl_2_5_8b:571029:37:8,8,16,128,0.9999616146087646,0.00879964791238308,0.0
internvl_2_5_8b,internvl_2_5_8b:65736:5:32,32,8,128,0.9999994039535522,0.0013609819579869509,0.0
internvl_2_5_8b,internvl_2_5_8b:65736:5:32,32,16,128,0.999999463558197,0.001090043457224965,0.0
internvl_2_5_8b,internvl_2_5_8b:7088:16:8,8,8,128,0.9998314380645752,0.018884150311350822,0.0
internvl_2_5_8b,internvl_2_5_8b:7088:16:8,8,16,128,0.9999708533287048,0.00837274082005024,0.0
internvl_2_5_8b,internvl_2_5_8b:7888:12:8,8,8,128,0.9999275207519531,0.012021070346236229,0.0
internvl_2_5_8b,internvl_2_5_8b:7888:12:8,8,16,128,0.9999653100967407,0.008316007442772388,0.0
internvl_2_5_8b,internvl_2_5_8b:94419:7:24,24,8,128,0.9999998807907104,0.00029005110263824463,0.0
internvl_2_5_8b,internvl_2_5_8b:94419:7:24,24,16,128,0.9999998807907104,0.0003306663129478693,0.0
internvl_2_5_8b,internvl_2_5_8b:94419:7:32,32,8,128,0.9999997615814209,0.0006467696512117982,0.0
internvl_2_5_8b,internvl_2_5_8b:94419:7:32,32,16,128,0.9999998807907104,0.0006852252408862114,0.0
