model,metric,label,layer,n_mentions,mean,q25,median,q75
internvl_2_5_8b,spearman,REAL,1,9993,0.982040573972313,0.9785470073243305,0.9855430304417487,0.9907630464637217
internvl_2_5_8b,spearman,REAL,2,9993,0.9938780217777174,0.9925118734264133,0.9944481002517739,0.9958156900892653
internvl_2_5_8b,spearman,REAL,3,9993,0.9964908266517658,0.9959430075532159,0.9972691119249256,0.998036593041886
internvl_2_5_8b,spearman,REAL,4,9993,0.9963245072569548,0.9956197070267796,0.9965667200732433,0.997324187457084
internvl_2_5_8b,spearman,REAL,5,9993,0.9963884767035392,0.9956726367589838,0.9967691405355916,0.9975494964522774
internvl_2_5_8b,spearman,REAL,6,9993,0.9978551422818382,0.9973992904554818,0.9980823701075761,0.9985716124971389
internvl_2_5_8b,spearman,REAL,7,9993,0.9945244443539605,0.993413109407187,0.995074673838407,0.9962019340810254
internvl_2_5_8b,spearman,REAL,8,9993,0.9959501241441314,0.9950374799725338,0.9963664454108492,0.9972784103913939
internvl_2_5_8b,spearman,REAL,9,9993,0.9962397238761795,0.9953357461661707,0.9965280956740673,0.9974493591210803
internvl_2_5_8b,spearman,REAL,10,9993,0.9974287051245674,0.996967984664683,0.9976081483176928,0.9981109807736324
internvl_2_5_8b,spearman,REAL,11,9993,0.9967444533851714,0.9960631723506523,0.9971289196612497,0.9978420405127031
internvl_2_5_8b,spearman,REAL,12,9993,0.9976056684682392,0.9971754119935912,0.9978041313801785,0.9982568951705195
internvl_2_5_8b,spearman,REAL,13,9993,0.9981567628672993,0.997792687113756,0.9983548867017624,0.9987361238269626
internvl_2_5_8b,spearman,REAL,14,9993,0.9979266447538802,0.9975466353856718,0.9980923838406958,0.9984950789654383
internvl_2_5_8b,spearman,REAL,15,9993,0.9964753990125962,0.9957835030899519,0.9967476825360494,0.9974464980544747
internvl_2_5_8b,spearman,REAL,16,9993,0.9975774697803512,0.9970352197299153,0.9977633611810482,0.9982955195696955
internvl_2_5_8b,spearman,REAL,17,9993,0.998130354976063,0.9977790970473792,0.9982940890363927,0.9986781872281987
