layer,metric,count,mean,std,q10,median,q90
1,attention_reconstruction_relative_error,11630,0.002611587097840696,0.0005590450822585616,0.0019443433731794358,0.002577469451352954,0.003305630525574088
1,component_sum_relative_error,11630,0.0029877052824585503,0.0005147269020076751,0.0023684538900852203,0.002942807856015861,0.003636190970428288
2,attention_reconstruction_relative_error,11630,0.003593891824960792,0.0004506403689436641,0.0030709975864738224,0.003557717544026673,0.004136368911713362
2,component_sum_relative_error,11630,0.004278522582547715,0.00041551857330403643,0.003815658623352647,0.004237338434904814,0.004771695472300053
3,attention_reconstruction_relative_error,11630,0.011825379566549742,0.0024712575034649092,0.008564734365791082,0.011834900826215744,0.015008335933089256
3,component_sum_relative_error,11630,0.012161989959664738,0.0023816170872656833,0.009041171427816153,0.012167658656835556,0.015261355321854356
4,attention_reconstruction_relative_error,11630,0.008626796601533166,0.0016126184523611764,0.006714319530874491,0.008421727921813726,0.01078746560961008
4,component_sum_relative_error,11630,0.009052618939000296,0.0015254377638483482,0.007281064987182617,0.008835912682116032,0.011049924418330193
5,attention_reconstruction_relative_error,11630,0.00771297002467467,0.0009293626046786065,0.006598290521651506,0.007644218858331442,0.008906403556466103
5,component_sum_relative_error,11630,0.0080888314213466,0.0009080997601448924,0.007011768873780966,0.008013230748474598,0.00925829354673624
6,attention_reconstruction_relative_error,11630,0.006465142522598212,0.0009731114168210278,0.005406575743108988,0.006345904432237148,0.00764623461291194
6,component_sum_relative_error,11630,0.00693506315960737,0.0009200121377597093,0.005947728920727969,0.006812121253460646,0.008030204102396965
7,attention_reconstruction_relative_error,11630,0.007870442515858934,0.0009812887889780074,0.006733248475939035,0.007793653989210725,0.00910071562975645
7,component_sum_relative_error,11630,0.008283835305349449,0.0009466810271289333,0.007170336786657572,0.008202060125768185,0.009485381655395031
8,attention_reconstruction_relative_error,11630,0.0075508137222344215,0.0008253535533307022,0.006567745469510555,0.00749823939986527,0.008588826935738324
8,component_sum_relative_error,11630,0.00798606971196305,0.0007957354554776193,0.007031753472983837,0.007936972193419933,0.00898625236004591
9,attention_reconstruction_relative_error,11630,0.00811863933567371,0.0006932967796373825,0.007278637960553169,0.008093282580375671,0.009000618010759354
9,component_sum_relative_error,11630,0.008518910289542655,0.00066822819083027,0.007731792517006397,0.008466939441859722,0.009365895669907332
10,attention_reconstruction_relative_error,11630,0.008471937159593646,0.001110664526867981,0.007217041216790676,0.008364337030798197,0.009841296821832657
10,component_sum_relative_error,11630,0.008825903683612548,0.0010907575259564476,0.007593994028866291,0.008711685426533222,0.010149977356195451
11,attention_reconstruction_relative_error,11630,0.007578949044960665,0.0008152912953342364,0.006636737380176783,0.0075148637406528,0.008608991280198097
11,component_sum_relative_error,11630,0.00800117550734895,0.0007783168602214765,0.007111612521111965,0.007929510436952114,0.008982312493026256
