model,image_id,response_index,label,category,layer,strategy,token_index,eta,matched_delta_norm,intervention_baseline_target_logit,intervention_baseline_margin,intervention_baseline_margin_vs_capture,predicted_delta_margin,observed_delta_margin,observed_delta_logit
internvl_2_5_8b,54133,129,REAL,cup,8,top_positive_margin,171,0.05,0.03450917825102806,37.75,0.25,0.0,-4.313655663281679e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,top_positive_margin,171,0.1,0.03450917825102806,37.75,0.25,0.0,-8.627311326563359e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,top_positive_margin,171,0.25,0.03450917825102806,37.75,0.25,0.0,-0.00021568278316408396,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,highest_E,152,0.05,0.03450917825102806,37.75,0.25,0.0,-8.193256508093328e-06,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,highest_E,152,0.1,0.03450917825102806,37.75,0.25,0.0,-1.6386513016186656e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,highest_E,152,0.25,0.03450917825102806,37.75,0.25,0.0,-4.0966282540466636e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,highest_I,152,0.05,0.03450917825102806,37.75,0.25,0.0,-8.193256508093328e-06,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,highest_I,152,0.1,0.03450917825102806,37.75,0.25,0.0,-1.6386513016186656e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,highest_I,152,0.25,0.03450917825102806,37.75,0.25,0.0,-4.0966282540466636e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,random,250,0.05,0.03450917825102806,37.75,0.25,0.0,-7.9802586697042e-06,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,random,250,0.1,0.03450917825102806,37.75,0.25,0.0,-1.59605173394084e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,random,250,0.25,0.03450917825102806,37.75,0.25,0.0,-3.9901293348520994e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,most_negative_margin,178,0.05,0.03450917825102806,37.75,0.25,0.0,3.713302139658481e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,most_negative_margin,178,0.1,0.03450917825102806,37.75,0.25,0.0,7.426604279316963e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,most_negative_margin,178,0.25,0.03450917825102806,37.75,0.25,0.0,0.00018566510698292404,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,aggregate_visual_response,-1,0.05,0.8864215612411499,37.75,0.25,0.0,7.956591434776783e-05,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,8,aggregate_visual_response,-1,0.1,0.8864215612411499,37.75,0.25,0.0,0.00015913182869553566,0.0,-0.25
internvl_2_5_8b,54133,129,REAL,cup,8,aggregate_visual_response,-1,0.25,0.8864215612411499,37.75,0.25,0.0,0.00039782957173883915,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,top_positive_margin,198,0.05,1.4651196002960205,37.75,0.25,0.0,-0.0020270146429538726,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,top_positive_margin,198,0.1,1.4651196002960205,37.75,0.25,0.0,-0.004054029285907745,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,top_positive_margin,198,0.25,1.4651196002960205,37.75,0.25,0.0,-0.010135073214769363,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,highest_E,198,0.05,1.4651196002960205,37.75,0.25,0.0,-0.0020270146429538726,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,highest_E,198,0.1,1.4651196002960205,37.75,0.25,0.0,-0.004054029285907745,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,highest_E,198,0.25,1.4651196002960205,37.75,0.25,0.0,-0.010135073214769363,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,highest_I,198,0.05,1.4651196002960205,37.75,0.25,0.0,-0.0020270146429538726,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,highest_I,198,0.1,1.4651196002960205,37.75,0.25,0.0,-0.004054029285907745,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,highest_I,198,0.25,1.4651196002960205,37.75,0.25,0.0,-0.010135073214769363,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,random,223,0.05,1.4651196002960205,37.75,0.25,0.0,0.0008534627035260201,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,random,223,0.1,1.4651196002960205,37.75,0.25,0.0,0.0017069254070520403,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,random,223,0.25,1.4651196002960205,37.75,0.25,0.0,0.0042673135176301,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,most_negative_margin,210,0.05,1.4651196002960205,37.75,0.25,0.0,0.0017883431166410447,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,most_negative_margin,210,0.1,1.4651196002960205,37.75,0.25,0.0,0.0035766862332820893,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,most_negative_margin,210,0.25,1.4651196002960205,37.75,0.25,0.0,0.008941715583205223,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,aggregate_visual_response,-1,0.05,6.4102349281311035,37.75,0.25,0.0,-0.005512623116374016,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,aggregate_visual_response,-1,0.1,6.4102349281311035,37.75,0.25,0.0,-0.011025246232748032,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,16,aggregate_visual_response,-1,0.25,6.4102349281311035,37.75,0.25,0.0,-0.02756311558187008,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,24,top_positive_margin,228,0.05,0.34234365820884705,37.75,0.25,0.0,-0.00013847786467522383,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,24,top_positive_margin,228,0.1,0.34234365820884705,37.75,0.25,0.0,-0.00027695572935044767,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,24,top_positive_margin,228,0.25,0.34234365820884705,37.75,0.25,0.0,-0.0006923893233761191,0.0,0.0
internvl_2_5_8b,54133,129,REAL,cup,24,highest_E,198,0.05,0.34234365820884705,37.75,0.25,0.0,0.0001252568094059825,0.0,0.0
