feature,label,layer,n,mean,std,ci95_low,ci95_high
N,REAL,1,9993,0.026843661124642162,0.013869287710700187,0.026571727892219347,0.027115594357064978
N,HALL,1,1766,0.026911153558521434,0.01686420055761959,0.026124603296355978,0.02769770382068689
N,REAL,2,9993,0.012783754240690896,0.007875459128781712,0.012629341187737128,0.012938167293644663
N,HALL,2,1766,0.014243498449435295,0.010419268368170646,0.013757541333439417,0.014729455565431173
N,REAL,3,9993,0.006893474749463686,0.007517154202225869,0.006746086932333398,0.007040862566593973
N,HALL,3,1766,0.006488730875911805,0.006496082753031358,0.006185752055481639,0.00679170969634197
N,REAL,4,9993,0.015514463931867303,0.011864825172045918,0.015281831923038412,0.015747095940696194
N,HALL,4,1766,0.014334940182723818,0.012246831997498583,0.013763745071196485,0.01490613529425115
N,REAL,5,9993,0.05018714520338217,0.036924026712035866,0.049463180847943516,0.05091110955882082
N,HALL,5,1766,0.04428726393283299,0.04021391376450016,0.04241167758018638,0.046162850285479604
N,REAL,6,9993,0.12672311278319354,0.08724913824202084,0.1250124308301504,0.12843379473623667
N,HALL,6,1766,0.09947097049245562,0.07968142844597303,0.09575461001513783,0.10318733096977342
N,REAL,7,9993,0.0981786587726361,0.06405066194416524,0.09692282618017642,0.09943449136509577
N,HALL,7,1766,0.07985394369570342,0.059479678194387216,0.07707979757964727,0.08262808981175958
N,REAL,8,9993,0.18277527773330624,0.0762290433363067,0.1812806652779782,0.18426989018863427
N,HALL,8,1766,0.17296222095733185,0.08651529306402911,0.16892712743431942,0.17699731448034428
N,REAL,9,9993,0.09955605331677479,0.05471268589077761,0.09848330914712759,0.10062879748642199
N,HALL,9,1766,0.08946719423615683,0.05454008299488826,0.0869234319966374,0.09201095647567625
N,REAL,10,9993,0.2570957966811674,0.08516617851466227,0.2554259550353904,0.2587656383269444
N,HALL,10,1766,0.2519422109225092,0.10295706678398563,0.24714026922393625,0.25674415262108213
N,REAL,11,9993,0.1416766693280449,0.06319382851620413,0.14043763655173827,0.14291570210435153
N,HALL,11,1766,0.13589763839434862,0.06851669144862237,0.13270200386441686,0.1390932729242804
N,REAL,12,9993,0.22535095815043077,0.07742451722022789,0.223832906201719,0.22686901009914254
N,HALL,12,1766,0.21604453999072415,0.08817557137290993,0.21193201069868986,0.22015706928275844
N,REAL,13,9993,0.33881535163891274,0.11318113613132337,0.33659622454028515,0.34103447873754034
N,HALL,13,1766,0.35452188221507813,0.13209129825049487,0.34836111314015394,0.3606826512900023
N,REAL,14,9993,0.12800598331429508,0.04960470543309869,0.12703339062077146,0.1289785760078187
N,HALL,14,1766,0.11820458874870028,0.05268003249419088,0.11574757969999863,0.12066159779740193
N,REAL,15,9993,0.2294635074562638,0.085930447320697,0.22777868089625036,0.2311483340162772
N,HALL,15,1766,0.24030599615295098,0.09158195578157026,0.23603459229461196,0.24457740001129
N,REAL,16,9993,0.5159380842061011,0.14408713493931571,0.5131129874043121,0.5187631810078901
