layer,metric,count,mean,std,q10,median,q90
1,pearson,11630,0.980849490374301,0.025887603524636493,0.9689872145652771,0.9842626750469208,0.9935791909694671
1,spearman,11630,0.9837854545944636,0.030265325421542692,0.9740713953971862,0.9871224164962769,0.9941905498504638
1,top16_overlap,11630,0.9188843508168529,0.06238770613831774,0.875,0.9375,1.0
1,top1_overlap,11630,0.7456577815993122,0.4354908200406808,0.0,1.0,1.0
1,top32_overlap,11630,0.9163343723129836,0.0508353240544951,0.84375,0.9375,0.96875
1,top5_overlap,11630,0.8958899458471496,0.12232468841620103,0.800000011920929,1.0,1.0
2,pearson,11630,0.9846498822561135,0.007325369047013253,0.9745424568653107,0.9861213862895966,0.9926388323307037
2,spearman,11630,0.993704943162864,0.0028250017536370665,0.990043580532074,0.9942886829376221,0.9966455101966858
2,top16_overlap,11630,0.9251612209802236,0.051042188904946675,0.875,0.9375,1.0
2,top1_overlap,11630,0.7645743766122098,0.4242645392208269,0.0,1.0,1.0
2,top32_overlap,11630,0.936774505588994,0.03378543474797703,0.90625,0.9375,0.96875
2,top5_overlap,11630,0.8968873663506729,0.11925077933218164,0.800000011920929,1.0,1.0
3,pearson,11630,0.9953284223173983,0.005171565554657357,0.9908363342285156,0.9966600835323334,0.9989834725856781
3,spearman,11630,0.9965205565210262,0.002486040728769326,0.9937548160552978,0.9972531199455261,0.998489511013031
3,top16_overlap,11630,0.9537403267411866,0.04372714564516294,0.875,0.9375,1.0
3,top1_overlap,11630,0.9108340498710232,0.2849831283893375,1.0,1.0,1.0
3,top32_overlap,11630,0.9599473344797936,0.02915828304460164,0.9375,0.96875,1.0
3,top5_overlap,11630,0.9378331937222572,0.09819233900178052,0.800000011920929,1.0,1.0
4,pearson,11630,0.9909034944205887,0.0057105877013348,0.9830359578132629,0.9920580387115479,0.997101652622223
4,spearman,11630,0.9962227379414713,0.0014774653209862286,0.9943619966506958,0.996473491191864,0.9977992177009583
4,top16_overlap,11630,0.9478020206362855,0.0443611215590546,0.875,0.9375,1.0
4,top1_overlap,11630,0.8459157351676698,0.36102950594571986,0.0,1.0,1.0
4,top32_overlap,11630,0.9599097162510748,0.02680264518019656,0.9375,0.96875,1.0
4,top5_overlap,11630,0.9044196101374803,0.11410906318448175,0.800000011920929,1.0,1.0
5,pearson,11630,0.9953604098905906,0.003492408138224566,0.991126149892807,0.9962076842784882,0.998628568649292
5,spearman,11630,0.9962633702023114,0.0017475696535565102,0.9941138744354248,0.9966447949409485,0.9979694485664368
5,top16_overlap,11630,0.9452386070507308,0.045054865631386276,0.875,0.9375,1.0
5,top1_overlap,11630,0.9042132416165091,0.2942985818889953,1.0,1.0,1.0
5,top32_overlap,11630,0.9610678202923474,0.027084496766809223,0.9375,0.96875,1.0
5,top5_overlap,11630,0.9239724894766139,0.10501461880771165,0.800000011920929,1.0,1.0
6,pearson,11630,0.9942748110097539,0.0058557098576174915,0.9880792796611786,0.9960126876831055,0.9986489355564118
6,spearman,11630,0.9976926697961032,0.0009740981927008899,0.9964793562889099,0.9978964924812317,0.9986761212348938
6,top16_overlap,11630,0.943889724849527,0.047859105359256734,0.875,0.9375,1.0
6,top1_overlap,11630,0.8852106620808254,0.3187675419788723,0.0,1.0,1.0
6,top32_overlap,11630,0.9595926483233018,0.029316438786083202,0.9375,0.96875,1.0
6,top5_overlap,11630,0.9169045620838938,0.111217968808862,0.800000011920929,1.0,1.0
7,pearson,11630,0.9932635355436484,0.005944361843728756,0.9865951478481293,0.9946856498718262,0.9986447155475616
7,spearman,11630,0.9944401906209062,0.0024359284823214683,0.9911942839622497,0.9949971437454224,0.9969115853309631
7,top16_overlap,11630,0.9275096732588134,0.051686698929597916,0.875,0.9375,1.0
7,top1_overlap,11630,0.8844368013757523,0.31970039998095146,0.0,1.0,1.0
7,top32_overlap,11630,0.9423500644883921,0.03246103075747333,0.90625,0.9375,0.96875
7,top5_overlap,11630,0.9034737804073357,0.11918310392156406,0.800000011920929,1.0,1.0
8,pearson,11630,0.9940152908181283,0.005921926017484832,0.9871646523475647,0.9958557188510895,0.9986645340919494
8,spearman,11630,0.995712533375362,0.0018809524170602906,0.9933544158935547,0.9960936307907104,0.9976590991020202
8,top16_overlap,11630,0.9392519346517627,0.04976993875907137,0.875,0.9375,1.0
8,top1_overlap,11630,0.8938091143594153,0.3080817772076969,0.0,1.0,1.0
8,top32_overlap,11630,0.9521469260533104,0.030817224963976632,0.90625,0.96875,1.0
8,top5_overlap,11630,0.916423048808056,0.11129009050343387,0.800000011920929,1.0,1.0
9,pearson,11630,0.9952858130478798,0.0037139232938050953,0.9914263188838959,0.9962005913257599,0.9984129190444946
9,spearman,11630,0.9961891813772256,0.001727038330249536,0.9939452171325683,0.9965031743049622,0.9980474829673767
9,top16_overlap,11630,0.9414767841788478,0.0476673850614955,0.875,0.9375,1.0
9,top1_overlap,11630,0.887274290627687,0.31625721148903757,0.0,1.0,1.0
9,top32_overlap,11630,0.9533426483233018,0.029668912551796704,0.90625,0.96875,1.0
9,top5_overlap,11630,0.9169905466053984,0.11132851015798773,0.800000011920929,1.0,1.0
10,pearson,11630,0.9950022375286395,0.003646400220066263,0.9904319763183593,0.9958782494068146,0.9985569238662719
10,spearman,11630,0.99731476288465,0.0010077617715123779,0.9960516452789306,0.9974995255470276,0.9983599781990051
10,top16_overlap,11630,0.943207222699914,0.047179072059038554,0.875,0.9375,1.0
10,top1_overlap,11630,0.9106620808254514,0.28523088081782166,1.0,1.0,1.0
10,top32_overlap,11630,0.954890369733448,0.02903011911247436,0.90625,0.96875,1.0
10,top5_overlap,11630,0.9273774763734199,0.10427780458285411,0.800000011920929,1.0,1.0
11,pearson,11630,0.9956359612101229,0.0032987138970991363,0.9916122019290924,0.9964068531990051,0.9988520383834839
11,spearman,11630,0.996687179849974,0.001591212606933935,0.9945683479309082,0.9970725178718567,0.9982664227485657
11,top16_overlap,11630,0.9401977644024075,0.049163833834851435,0.875,0.9375,1.0
11,top1_overlap,11630,0.9214961306964746,0.2689628446605597,1.0,1.0,1.0
11,top32_overlap,11630,0.9502901977644024,0.031066471335403707,0.90625,0.96875,1.0
11,top5_overlap,11630,0.9303009499738879,0.1041288357122307,0.800000011920929,1.0,1.0
12,pearson,11630,0.9962682171413229,0.002711133431840391,0.9927418529987335,0.9969297647476196,0.9989394128322602
12,spearman,11630,0.9975063665202232,0.0009909647256988532,0.9962771534919739,0.9977183938026428,0.9985044598579407
12,top16_overlap,11630,0.9529288478073946,0.04386332380865152,0.875,0.9375,1.0
12,top1_overlap,11630,0.9158211521926053,0.27765584702868074,1.0,1.0,1.0
12,top32_overlap,11630,0.9628681212381771,0.02652819651048297,0.9375,0.96875,1.0
12,top5_overlap,11630,0.9382803132179371,0.09836915784828287,0.800000011920929,1.0,1.0
13,pearson,11630,0.9947845215389468,0.004045962011089657,0.9895730197429657,0.9958733320236206,0.9985683262348175
13,spearman,11630,0.9979434292734644,0.0009495060143147032,0.9967377781867981,0.9981597065925598,0.9988763928413391
13,top16_overlap,11630,0.9469153052450558,0.047769992573926744,0.875,0.9375,1.0
13,top1_overlap,11630,0.9123817712811694,0.28273888079817616,1.0,1.0,1.0
13,top32_overlap,11630,0.9595684651762683,0.028652609236996137,0.9375,0.96875,1.0
13,top5_overlap,11630,0.9251074850764238,0.10679759640645414,0.800000011920929,1.0,1.0
14,pearson,11630,0.997739938544694,0.0017574947298770317,0.9955190002918244,0.9981942176818848,0.9994137346744537
14,spearman,11630,0.9979096558518381,0.0008186495465205716,0.996859872341156,0.9980735182762146,0.9987562298774719
14,top16_overlap,11630,0.957609630266552,0.04129869670120854,0.9375,0.9375,1.0
14,top1_overlap,11630,0.9429062768701634,0.2320216151762809,1.0,1.0,1.0
14,top32_overlap,11630,0.964179385210662,0.0254741490872621,0.9375,0.96875,1.0
14,top5_overlap,11630,0.9518658670057845,0.08858032869574013,0.800000011920929,1.0,1.0
15,pearson,11630,0.996408572964697,0.0026055184370703,0.9931193292140961,0.9969464838504791,0.9990741848945618
15,spearman,11630,0.9963935986122794,0.0013907360548148183,0.9945632696151734,0.9966705441474915,0.9978879809379577
15,top16_overlap,11630,0.9531921754084265,0.04380432677871822,0.875,0.9375,1.0
15,top1_overlap,11630,0.9010318142734308,0.2986192959950186,1.0,1.0,1.0
15,top32_overlap,11630,0.9629567927773001,0.026916783503377978,0.9375,0.96875,1.0
15,top5_overlap,11630,0.9347721448948131,0.1004196406987334,0.800000011920929,1.0,1.0
16,pearson,11630,0.9920087424722706,0.005986131996609235,0.9846221506595612,0.9934784770011902,0.9978108108043671
16,spearman,11630,0.9975268777853851,0.0010653855748901618,0.9961897492408752,0.997731626033783,0.9986346364021301
16,top16_overlap,11630,0.9362800945829751,0.05368441335695405,0.875,0.9375,1.0
16,top1_overlap,11630,0.8640584694754944,0.3427264664468744,0.0,1.0,1.0
16,top32_overlap,11630,0.9536355331040413,0.03170402650993717,0.90625,0.96875,1.0
16,top5_overlap,11630,0.9026655259016046,0.12029533380464114,0.800000011920929,1.0,1.0
17,pearson,11630,0.9967043036596589,0.0027085627647571763,0.9937134921550751,0.9972988665103912,0.9990664899349213
17,spearman,11630,0.9979888738021703,0.0008451574508130327,0.9969057202339172,0.9981639981269836,0.9988570809364319
17,top16_overlap,11630,0.955615864144454,0.04297230868951634,0.875,0.9375,1.0
17,top1_overlap,11630,0.9214961306964746,0.2689628446605597,1.0,1.0,1.0
17,top32_overlap,11630,0.9638865004299226,0.02671322667542262,0.9375,0.96875,1.0
17,top5_overlap,11630,0.9392089460009865,0.09705053127632053,0.800000011920929,1.0,1.0
18,pearson,11630,0.9954750376176137,0.004689213058184272,0.9907778084278107,0.9966734349727631,0.9991175889968872
18,spearman,11630,0.9961473042813233,0.0015396645624261413,0.9941205263137818,0.9964227080345154,0.9977992177009583
18,top16_overlap,11630,0.9548312553740327,0.04468434489061753,0.875,0.9375,1.0
18,top1_overlap,11630,0.9081685296646603,0.2887879003548959,1.0,1.0,1.0
18,top32_overlap,11630,0.9625644883920894,0.02812806075246577,0.9375,0.96875,1.0
18,top5_overlap,11630,0.9375580432644612,0.09934204647862238,0.800000011920929,1.0,1.0
19,pearson,11630,0.9892873943672033,0.00844007719463464,0.978395801782608,0.9913659691810608,0.9976265132427216
19,spearman,11630,0.9959599923441764,0.001782495750659508,0.9937554597854614,0.9963214993476868,0.9977706789970398
19,top16_overlap,11630,0.9304761392949269,0.05251275865821878,0.875,0.9375,1.0
19,top1_overlap,11630,0.8649183147033533,0.3418108008739108,0.0,1.0,1.0
19,top32_overlap,11630,0.9449967755803955,0.03319744471628536,0.90625,0.9375,0.96875
19,top5_overlap,11630,0.9051246831694862,0.1162004342911015,0.800000011920929,1.0,1.0
20,pearson,11630,0.9821066216569673,0.019118959059331225,0.9629538178443908,0.9878767132759094,0.9962883234024048
20,spearman,11630,0.9949592665363157,0.002653138716705178,0.991874635219574,0.9955325126647949,0.9974845767021179
20,top16_overlap,11630,0.9135049441100602,0.062405327068920914,0.8125,0.9375,1.0
20,top1_overlap,11630,0.7904557179707653,0.4069833852850597,0.0,1.0,1.0
20,top32_overlap,11630,0.934735060189166,0.03948804222357345,0.875,0.9375,0.96875
20,top5_overlap,11630,0.8682889154986483,0.13914272797345378,0.6000000238418579,0.800000011920929,1.0
21,pearson,11630,0.9931965119041253,0.0059498042291531595,0.9861921668052673,0.9949059784412384,0.9982651352882386
21,spearman,11630,0.9967583940035294,0.001485052105798691,0.9949652433395386,0.9970946907997131,0.9982026934623718
21,top16_overlap,11630,0.9367422613929492,0.05080000886802091,0.875,0.9375,1.0
21,top1_overlap,11630,0.8687016337059329,0.33772637637971964,0.0,1.0,1.0
21,top32_overlap,11630,0.9488311478933792,0.03175633646653946,0.90625,0.9375,1.0
21,top5_overlap,11630,0.9116939003136479,0.11392686437248832,0.800000011920929,1.0,1.0
22,pearson,11630,0.9846962151297801,0.016094302927787567,0.9632335305213928,0.9903546571731567,0.997882628440857
22,spearman,11630,0.9945729551956968,0.003254163042134592,0.9905388951301575,0.9954395294189453,0.9975447297096253
22,top16_overlap,11630,0.907201203783319,0.0657087077987396,0.8125,0.9375,1.0
22,top1_overlap,11630,0.8369733447979364,0.3693899902483703,0.0,1.0,1.0
22,top32_overlap,11630,0.9251558469475495,0.04432253313448171,0.875,0.9375,0.96875
22,top5_overlap,11630,0.877386077499195,0.13616555679587314,0.800000011920929,0.800000011920929,1.0
23,pearson,11630,0.9950644607750998,0.0054317685277950715,0.9890838682651519,0.9967083036899567,0.9992940485477447
23,spearman,11630,0.9944653441448819,0.003790104948514245,0.9897037625312806,0.9955064058303833,0.9979200959205627
23,top16_overlap,11630,0.951719690455718,0.046175164820104926,0.875,0.9375,1.0
23,top1_overlap,11630,0.9078245915735168,0.2892734044254574,1.0,1.0,1.0
23,top32_overlap,11630,0.9565912510748066,0.03196780557155556,0.90625,0.96875,1.0
23,top5_overlap,11630,0.9356491869621408,0.10137482896636904,0.800000011920929,1.0,1.0
24,pearson,11630,0.9947991120743526,0.008099739397147128,0.9851674497127533,0.9980650544166565,0.9997152149677276
24,spearman,11630,0.9955392844955776,0.0023494388264051745,0.9925930976867676,0.9960922002792358,0.9978207468986511
24,top16_overlap,11630,0.9463886500429922,0.05242523095880354,0.875,0.9375,1.0
24,top1_overlap,11630,0.9256233877901978,0.26238279624623817,1.0,1.0,1.0
24,top32_overlap,11630,0.9530470765262253,0.03366305220054683,0.90625,0.96875,1.0
24,top5_overlap,11630,0.9361650940437616,0.10437091922145515,0.800000011920929,1.0,1.0
25,pearson,11630,0.9889553613531518,0.01675489077973047,0.9725874900817871,0.9948871433734894,0.9990855753421783
25,spearman,11630,0.9986028369192613,0.0013690875022996458,0.9974601149559021,0.9989729523658752,0.9994993805885315
25,top16_overlap,11630,0.9442551590713671,0.0569350194280329,0.875,0.9375,1.0
25,top1_overlap,11630,0.8651762682717111,0.34153520036907953,0.0,1.0,1.0
25,top32_overlap,11630,0.9613311478933791,0.03494580696253466,0.90625,0.96875,1.0
25,top5_overlap,11630,0.9080309596870444,0.1250519720072834,0.800000011920929,1.0,1.0
26,pearson,11630,0.9959944705868833,0.007522829367656407,0.9903839707374573,0.9984168410301208,0.9996467232704163
26,spearman,11630,0.9983640378800734,0.001620057910084894,0.9966589570045471,0.9988953471183777,0.99948650598526
26,top16_overlap,11630,0.9682609630266552,0.04037251623107462,0.9375,1.0,1.0
26,top1_overlap,11630,0.9152192605331041,0.27855513939315907,1.0,1.0,1.0
26,top32_overlap,11630,0.9753116938950989,0.025117353727367762,0.9375,0.96875,1.0
26,top5_overlap,11630,0.94830610795797,0.09487359475771012,0.800000011920929,1.0,1.0
27,pearson,11630,0.9915507473570462,0.017003737608630696,0.9759096443653107,0.9979287087917328,0.999652099609375
27,spearman,11630,0.9989911335660585,0.0009658631149151728,0.9981410384178162,0.9992626309394836,0.9996209740638733
27,top16_overlap,11630,0.9575236457437661,0.05091551640327582,0.875,0.9375,1.0
27,top1_overlap,11630,0.8927773000859845,0.30939617408294573,0.0,1.0,1.0
27,top32_overlap,11630,0.9714800085984523,0.029299113769357347,0.9375,0.96875,1.0
27,top5_overlap,11630,0.9294754984774983,0.1145764130929891,0.800000011920929,1.0,1.0
28,pearson,11630,0.9958938885022112,0.007229685660390127,0.9886421918869018,0.9986478984355927,0.9997961103916169
28,spearman,11630,0.9935324840779358,0.0035772635834445624,0.9890841364860534,0.9943437576293945,0.9970152974128723
28,top16_overlap,11630,0.9539015477214101,0.05030097913036944,0.875,0.9375,1.0
28,top1_overlap,11630,0.9404987102321583,0.23656053407913397,1.0,1.0,1.0
28,top32_overlap,11630,0.9514563628546862,0.037939816609514704,0.90625,0.96875,1.0
28,top5_overlap,11630,0.9499398137845566,0.09387746816638831,0.800000011920929,1.0,1.0
29,pearson,11630,0.9911660725406194,0.009813168982878729,0.9806953132152557,0.9940792322158813,0.9985330879688263
29,spearman,11630,0.9965054996292445,0.0019216106843657885,0.9941494941711426,0.996981680393219,0.998306405544281
29,top16_overlap,11630,0.9482749355116079,0.047123214521463945,0.875,0.9375,1.0
29,top1_overlap,11630,0.870335339638865,0.33593412481402735,0.0,1.0,1.0
29,top32_overlap,11630,0.9599957007738606,0.028720310342031857,0.9375,0.96875,1.0
29,top5_overlap,11630,0.9195872790297863,0.11139620535139122,0.800000011920929,1.0,1.0
30,pearson,11630,0.9828833879321583,0.020197131554866563,0.9586019396781922,0.9901755154132843,0.9979324638843536
30,spearman,11630,0.9939271782557716,0.003369150024147045,0.9901036620140076,0.9947253465652466,0.9969452023506165
30,top16_overlap,11630,0.9327762252794497,0.059087187190935864,0.875,0.9375,1.0
30,top1_overlap,11630,0.8204643164230438,0.38380023697167154,0.0,1.0,1.0
30,top32_overlap,11630,0.9500537403267412,0.03495738197244827,0.90625,0.96875,1.0
30,top5_overlap,11630,0.8877214165630263,0.13204737301298683,0.800000011920929,1.0,1.0
31,pearson,11630,0.9903979116129855,0.01457057911782124,0.9778183400630951,0.9951010346412659,0.9988907098770141
31,spearman,11630,0.9856676991654181,0.008723117970609122,0.9765282988548278,0.9875848293304443,0.993221664428711
31,top16_overlap,11630,0.945743766122098,0.051373235052032916,0.875,0.9375,1.0
31,top1_overlap,11630,0.8724849527085125,0.3335490368832404,0.0,1.0,1.0
31,top32_overlap,11630,0.9496936801375753,0.03569674009901302,0.90625,0.96875,1.0
31,top5_overlap,11630,0.9176956196181854,0.11519851832619125,0.800000011920929,1.0,1.0
32,pearson,11630,0.9712114337130241,0.03228270329019884,0.9346693873405456,0.9820263087749481,0.994864535331726
32,spearman,11630,0.949120675210592,0.021155717891525257,0.9205212950706482,0.9534226655960083,0.9719368696212769
32,top16_overlap,11630,0.8589316423043852,0.09101925384533566,0.75,0.875,0.9375
32,top1_overlap,11630,0.8206362854686157,0.3836565813861251,0.0,1.0,1.0
32,top32_overlap,11630,0.8545088134135855,0.06695076280913033,0.75,0.875,0.9375
32,top5_overlap,11630,0.8589337996273644,0.15019813677353516,0.6000000238418579,0.800000011920929,1.0
