method,layer,metric,count,mean,std,q10,median,q90
JFFN,1,cosine,16510,0.9136204558925005,0.06664443917758146,0.8239682853221894,0.9313768446445465,0.9783580839633942
JFFN,1,js,16510,0.025864432002357104,0.020287118729308707,0.007066993415355683,0.019927259534597397,0.05391999483108521
JFFN,1,top1_agreement,16510,0.5145972138098123,0.4997868759271201,0.0,1.0,1.0
JFFN,1,top32_overlap,16510,0.7269495760145367,0.1060794399784028,0.59375,0.71875,0.875
JFFN,1,total_variation,16510,0.1701260617572582,0.06867333289055222,0.09323866441845893,0.1585671305656433,0.2669503390789032
JFFN,2,cosine,16510,0.8933691488656761,0.08914600103344475,0.773027527332306,0.9200379252433777,0.9755300641059875
JFFN,2,js,16510,0.03656868537691061,0.020700393199305694,0.016110930964350702,0.03194897621870041,0.06286467835307122
JFFN,2,top1_agreement,16510,0.5088431253785585,0.4999217930172069,0.0,1.0,1.0
JFFN,2,top32_overlap,16510,0.7410338431253786,0.08713673365156037,0.625,0.75,0.84375
JFFN,2,total_variation,16510,0.2061800357958427,0.06238700257750425,0.1344299241900444,0.19770153611898422,0.28993714451789854
JFFN,3,cosine,16510,0.7539660401876986,0.20997764212229164,0.4158234268426895,0.8265177309513092,0.9584755420684814
JFFN,3,js,16510,0.09181003904924573,0.0685562822252999,0.027998633868992328,0.06994308531284332,0.19002039879560473
JFFN,3,top1_agreement,16510,0.4576620230163537,0.4982042710625154,0.0,0.0,1.0
JFFN,3,top32_overlap,16510,0.6898640975166566,0.11432357165438298,0.53125,0.6875,0.8125
JFFN,3,total_variation,16510,0.33101021722613466,0.13138813707273891,0.18431485444307327,0.3038441985845566,0.5229480385780335
JFFN,4,cosine,16510,0.7710189541313303,0.1581166302724211,0.5445095777511597,0.811089426279068,0.9361855506896972
JFFN,4,js,16510,0.0809286595982184,0.048255824786022763,0.03348690867424011,0.06896576285362244,0.14526980221271515
JFFN,4,top1_agreement,16510,0.3696547546941248,0.4827112149372037,0.0,0.0,1.0
JFFN,4,top32_overlap,16510,0.7147107813446396,0.09993307030526596,0.59375,0.71875,0.84375
JFFN,4,total_variation,16510,0.31663799832204415,0.09940109735897491,0.20349934101104736,0.30213695764541626,0.4538028955459595
JFFN,5,cosine,16510,0.6841305473825016,0.19164726273451219,0.3999154895544052,0.7187841534614563,0.9080385565757751
JFFN,5,js,16510,0.10019543519734926,0.0586194033904294,0.03749443516135216,0.08792410045862198,0.18305866718292235
JFFN,5,top1_agreement,16510,0.25124167171411266,0.4337272116300876,0.0,0.0,1.0
JFFN,5,top32_overlap,16510,0.6617674894003635,0.1232137689223711,0.5,0.6875,0.8125
JFFN,5,total_variation,16510,0.35022028801090643,0.11126933307315798,0.21639019548892974,0.3392898291349411,0.5039631605148316
JFFN,6,cosine,16510,0.6909188790069718,0.18387981033696255,0.4263833940029144,0.7206872403621674,0.9095930218696594
JFFN,6,js,16510,0.09814357882665119,0.05932279889334533,0.033784377947449686,0.08602693676948547,0.17892168015241622
JFFN,6,top1_agreement,16510,0.21005451241671713,0.40734704396876675,0.0,0.0,1.0
JFFN,6,top32_overlap,16510,0.6633668988491823,0.12746372344942633,0.5,0.6875,0.8125
JFFN,6,total_variation,16510,0.3489595955766868,0.11478105496976132,0.20737268030643463,0.3392016738653183,0.5028286039829254
JFFN,7,cosine,16510,0.5455906115752672,0.25385052177555323,0.17085688263177873,0.5789304077625275,0.866315633058548
JFFN,7,js,16510,0.13769338570653925,0.09227595637253934,0.03953582867980004,0.11214349046349525,0.27867162227630615
JFFN,7,top1_agreement,16510,0.11047849788007268,0.3134852458828572,0.0,0.0,1.0
JFFN,7,top32_overlap,16510,0.5639460932768019,0.1524132679801567,0.34375,0.5625,0.75
JFFN,7,total_variation,16510,0.4031657586340143,0.1474311698058476,0.2238646611571312,0.3833315670490265,0.6178711652755738
JFFN,8,cosine,16510,0.4755564315689627,0.23044952520454615,0.16904690265655517,0.46788686513900757,0.7946163952350617
JFFN,8,js,16510,0.1735970381944345,0.09112394313771408,0.06451781019568444,0.1612299233675003,0.3033573627471924
JFFN,8,top1_agreement,16510,0.07849788007268323,0.2689534586072056,0.0,0.0,0.0
JFFN,8,top32_overlap,16510,0.47582336462749847,0.1774078215364628,0.25,0.46875,0.71875
JFFN,8,total_variation,16510,0.4681689318068673,0.13776852200063003,0.28812357485294343,0.4668339043855667,0.6519533216953278
JFFN,9,cosine,16510,0.5969103922994118,0.19183366988350062,0.33384101688861845,0.603510707616806,0.8511448681354523
JFFN,9,js,16510,0.11661663631880954,0.0610720153408892,0.04320100471377373,0.10877992957830429,0.1999429538846016
JFFN,9,top1_agreement,16510,0.08600847970926712,0.2803765702182829,0.0,0.0,0.0
JFFN,9,top32_overlap,16510,0.48369738037553,0.16480618921320914,0.28125,0.46875,0.6875
JFFN,9,total_variation,16510,0.3802776742940921,0.11044175566269282,0.23572644144296648,0.3800005465745926,0.5233798563480377
JFFN,10,cosine,16510,0.33761175719418673,0.23442376584128635,0.08246861249208451,0.27816154062747955,0.702575010061264
JFFN,10,js,16510,0.24244475030737378,0.10936224543290966,0.0951079398393631,0.24205289036035538,0.38989414572715764
JFFN,10,top1_agreement,16510,0.05384615384615385,0.2257138577095571,0.0,0.0,0.0
JFFN,10,top32_overlap,16510,0.3506681556632344,0.20204005908903658,0.09375,0.34375,0.625
JFFN,10,total_variation,16510,0.5628021767993612,0.1490898823354725,0.35638687312602996,0.5800618529319763,0.7453953146934509
JFFN,11,cosine,16510,0.3060675643384739,0.22707764684749265,0.06629883497953415,0.2456689104437828,0.6544905364513398
JFFN,11,js,16510,0.25317680265075854,0.11047760426016517,0.10463263392448427,0.2528668940067291,0.4003392934799195
JFFN,11,top1_agreement,16510,0.04554815263476681,0.2085030417675646,0.0,0.0,0.0
JFFN,11,top32_overlap,16510,0.31495495154451847,0.19733522324996297,0.0625,0.28125,0.59375
JFFN,11,total_variation,16510,0.5747433131582119,0.14578875126949148,0.3722047805786133,0.590400755405426,0.751864093542099
JFFN,12,cosine,16510,0.30931431480324056,0.22833360639272565,0.06938017383217812,0.24572637677192688,0.665117084980011
JFFN,12,js,16510,0.2652578032782007,0.1132034024948592,0.11032959818840027,0.2675098180770874,0.41491814851760866
JFFN,12,top1_agreement,16510,0.04760751059963658,0.21293434559540195,0.0,0.0,0.0
JFFN,12,top32_overlap,16510,0.32514195941853424,0.2070299415474971,0.0625,0.3125,0.625
JFFN,12,total_variation,16510,0.5927202821296862,0.14891137315489655,0.382425794005394,0.6117408275604248,0.7724458754062653
JFFN,13,cosine,16510,0.2547316718678882,0.22792795896182308,0.035993662476539616,0.17655453085899353,0.615278309583664
JFFN,13,js,16510,0.31293616696598764,0.1292853644264874,0.12960495203733446,0.3216242492198944,0.4787108302116394
JFFN,13,top1_agreement,16510,0.04136886735311932,0.19914186944748546,0.0,0.0,0.0
JFFN,13,top32_overlap,16510,0.29884728952150214,0.21294897144789193,0.03125,0.28125,0.625
JFFN,13,total_variation,16510,0.6481471582317554,0.15919967763130055,0.41774572134017945,0.6760734915733337,0.831351238489151
JFFN,14,cosine,16510,0.31088197672664036,0.23157723815654174,0.07259941920638086,0.2419731393456459,0.6795008599758149
JFFN,14,js,16510,0.24143626451129033,0.10461259878015097,0.09648710861802101,0.24290728569030762,0.37918156683444976
JFFN,14,top1_agreement,16510,0.055542095699576015,0.22903530580431294,0.0,0.0,0.0
JFFN,14,top32_overlap,16510,0.3717500757116899,0.19817560933249784,0.125,0.34375,0.65625
JFFN,14,total_variation,16510,0.5571896700052006,0.14091206345190624,0.35469307005405426,0.5744368135929108,0.726523357629776
JFFN,15,cosine,16510,0.26121135941486034,0.23181387215171517,0.04793609380722046,0.17515502125024796,0.6365859866142275
JFFN,15,js,16510,0.29789813497153955,0.12095552056991092,0.12017731741070747,0.31207096576690674,0.4470162093639374
