feature,display,seed,input_dimensions,auroc,accuracy,real_f1,hall_f1,hall_aupr,best_epoch
union_i_only,Union I only,43,32,0.8310070709120623,0.8542629147417051,0.9175576146353053,0.37251356238698013,0.4908716881711242,99
union_i_only,Union I only,44,32,0.8232745959860291,0.8538429231415372,0.9171428571428571,0.3807829181494662,0.47365420444460216,99
union_i_only,Union I only,45,32,0.828047061085417,0.8458630827383452,0.9129300118623962,0.3290676416819013,0.46538043216221936,97
union_r_only,Union R only,43,32,0.8358095767065785,0.8542629147417051,0.918448883666275,0.3155818540433925,0.49005303176025483,99
union_r_only,Union R only,44,32,0.8275350341262298,0.8546829063418732,0.9191588785046729,0.2821576763485477,0.4716234532847208,69
union_r_only,Union R only,45,32,0.8353576311376478,0.8530029399412011,0.918338777414839,0.2647058823529412,0.49063171552143936,78
union_s_only,Union S only,43,32,0.8489640633177744,0.8601427971440572,0.9214066556525844,0.3657142857142857,0.5295187652695935,99
union_s_only,Union S only,44,32,0.8494326981617766,0.8593028139437211,0.9208972845336482,0.36432637571157495,0.5165579141114439,93
union_s_only,Union S only,45,32,0.8470748373797037,0.8567828643427131,0.9188288502737444,0.39215686274509803,0.5184586801261233,98
union_i_r_s,Union I + R + S,43,96,0.8576064375206948,0.8588828223435532,0.920114122681883,0.39568345323741005,0.5218551196185017,98
union_i_r_s,Union I + R + S,44,96,0.8577946925434989,0.8534229315413692,0.9146072914117935,0.482962962962963,0.5199603339624506,96
union_i_r_s,Union I + R + S,45,96,0.8478318628969379,0.8563628727425452,0.9181034482758621,0.41638225255972694,0.5190132248082953,74
old_risk_ev,Original risk + EV,43,64,0.8484900879057496,0.8521629567408652,0.9141463414634147,0.46827794561933533,0.5003743391089998,99
old_risk_ev,Original risk + EV,44,64,0.843684911827222,0.8542629147417051,0.9164056853770176,0.4320785597381342,0.5062959239965342,100
old_risk_ev,Original risk + EV,45,64,0.8542986232015637,0.8521629567408652,0.9133004926108375,0.4985754985754986,0.5018097914605555,99
old_risk_ev_union_i,Original risk + EV + Union I,43,96,0.8533046099783173,0.8576228475430492,0.918763479511143,0.4244482173174873,0.526623270599319,98
old_risk_ev_union_i,Original risk + EV + Union I,44,96,0.8502404590752273,0.8572028559428811,0.9181511795859413,0.4407894736842105,0.5233264809336678,99
old_risk_ev_union_i,Original risk + EV + Union I,45,96,0.8461489163987482,0.8563628727425452,0.9177489177489178,0.4337748344370861,0.5105173230856735,85
