feature,display,seed,input_dimensions,auroc,accuracy,real_f1,hall_f1,hall_aupr,best_epoch
old_risk_only,Original risk only,43,32,0.7605242568599597,0.8378832423351533,0.908226343319068,0.3057553956834532,0.3738427151312453,81
old_risk_only,Original risk only,44,32,0.7656498670198562,0.8315833683326334,0.9040440296721703,0.31217838765008576,0.37193421381944997,99
old_risk_only,Original risk only,45,32,0.759841999295045,0.8446031079378412,0.9136724218385441,0.22268907563025211,0.3697058216668215,73
old_risk_union_s,Original risk + Union S,43,64,0.8525462493190775,0.8555228895422091,0.9167876149008225,0.45222929936305734,0.5243939547913634,100
old_risk_union_s,Original risk + Union S,44,64,0.8520949713211496,0.8588828223435532,0.9182481751824818,0.48466257668711654,0.5369959138612826,99
old_risk_union_s,Original risk + Union S,45,64,0.836902390438247,0.8500629987400252,0.9121338912133892,0.4892703862660944,0.5080149069999612,98
jffn_risk_only,P_JFFN risk only,43,32,0.7411326543691188,0.8244435111297774,0.899663946231397,0.2986577181208054,0.3233147833163343,99
jffn_risk_only,P_JFFN risk only,44,32,0.7391072439464661,0.8168836623267535,0.8956438487314504,0.2534246575342466,0.33457125314050473,95
jffn_risk_only,P_JFFN risk only,45,32,0.7329909584183373,0.8143637127257455,0.8935965334617236,0.2730263157894737,0.31117842980610155,99
jffn_risk_union_s,P_JFFN risk + Union S,43,64,0.8419298676607244,0.8542629147417051,0.9149301299338073,0.49194729136163984,0.4963708243918065,99
jffn_risk_union_s,P_JFFN risk + Union S,44,64,0.8516550420302704,0.8576228475430492,0.9175383118462661,0.4792626728110599,0.51470265943197,99
jffn_risk_union_s,P_JFFN risk + Union S,45,64,0.8506777180820952,0.8509029819403612,0.9128406579916524,0.4847605224963715,0.5139421254860879,100
