model,scope,label,layer,n_mentions,mean,median,q25,q75
qwen2_5_vl_7b,all,REAL,1,7801,0.7585010185232225,0.7876444458961487,0.7105651497840881,0.8193075060844421
qwen2_5_vl_7b,all,REAL,2,7801,0.6043506387070561,0.6758072972297668,0.41879400610923767,0.7378474473953247
qwen2_5_vl_7b,all,REAL,3,7801,0.5151318689635619,0.5161144733428955,0.47584962844848633,0.5527954697608948
qwen2_5_vl_7b,all,REAL,4,7801,0.45336276380668283,0.4470561444759369,0.411875456571579,0.4917551875114441
qwen2_5_vl_7b,all,REAL,5,7801,0.6060420389305917,0.5910770297050476,0.5419142842292786,0.6540632843971252
qwen2_5_vl_7b,all,REAL,6,7801,0.6479043908003675,0.6621177196502686,0.538824200630188,0.750568687915802
qwen2_5_vl_7b,all,REAL,7,7801,0.6658494854039099,0.6598742604255676,0.6177409887313843,0.703595757484436
qwen2_5_vl_7b,all,REAL,8,7801,0.735009330688356,0.7525046467781067,0.6664539575576782,0.8184377551078796
qwen2_5_vl_7b,all,REAL,9,7801,0.6700328991109324,0.6807472109794617,0.580635130405426,0.7626601457595825
qwen2_5_vl_7b,all,REAL,10,7801,0.7058612216613092,0.722158670425415,0.5879273414611816,0.8115322589874268
qwen2_5_vl_7b,all,REAL,11,7801,0.7085865347672083,0.7088759541511536,0.6494831442832947,0.7654744982719421
qwen2_5_vl_7b,all,REAL,12,7801,0.8280643617788991,0.8596778512001038,0.7458939552307129,0.9234856963157654
qwen2_5_vl_7b,all,REAL,13,7801,0.7174302167983226,0.7188622355461121,0.6486311554908752,0.7798182964324951
qwen2_5_vl_7b,all,REAL,14,7801,0.668714843018974,0.6788591742515564,0.5798555016517639,0.7525705695152283
qwen2_5_vl_7b,all,REAL,15,7801,0.6836064762602156,0.679042398929596,0.613158643245697,0.7441999912261963
qwen2_5_vl_7b,all,REAL,16,7801,0.6743675018904867,0.6724644899368286,0.6249871253967285,0.719245970249176
qwen2_5_vl_7b,all,REAL,17,7801,0.7211907418580136,0.7105017900466919,0.6268348693847656,0.8078052401542664
qwen2_5_vl_7b,all,REAL,18,7801,0.7164859427403004,0.7053295373916626,0.6512284874916077,0.7795323133468628
qwen2_5_vl_7b,all,REAL,19,7801,0.6194925149111179,0.6165780425071716,0.5974555015563965,0.6356587409973145
qwen2_5_vl_7b,all,REAL,20,7801,0.5856639116700681,0.5795215964317322,0.5518460869789124,0.61487877368927
qwen2_5_vl_7b,all,REAL,21,7801,0.714508445809062,0.7085511088371277,0.5932884216308594,0.8322417140007019
qwen2_5_vl_7b,all,REAL,22,7801,0.7353710611039836,0.7550121545791626,0.6091260313987732,0.8623257875442505
qwen2_5_vl_7b,all,REAL,23,7801,0.73281996435973,0.7408042550086975,0.6473053097724915,0.8220019340515137
qwen2_5_vl_7b,all,REAL,24,7801,0.9276722606298725,0.9480263590812683,0.9033148884773254,0.9692152142524719
qwen2_5_vl_7b,all,REAL,25,7801,0.8597040430519339,0.8766593337059021,0.8277326822280884,0.9094017744064331
