model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen2_5_vl_7b,legacy_visual,43,56,21,41,0.8722931920859947,0.4696970720112692,0.8800863464651915,0.41442087486195867
qwen2_5_vl_7b,legacy_visual,44,56,48,68,0.8829516539440203,0.5086005812077301,0.8858376378074166,0.4344872734239223
qwen2_5_vl_7b,legacy_visual,45,56,37,57,0.8821986809991171,0.5080131034240245,0.8826921594325803,0.4227116300596141
qwen2_5_vl_7b,legacy_plus_prompt_kappa,43,84,21,41,0.8816664070208237,0.4499074799808322,0.8929458021740808,0.47327589353776783
qwen2_5_vl_7b,legacy_plus_prompt_kappa,44,84,22,42,0.878940125668588,0.4764587398233933,0.8867011024593323,0.4418043375051043
qwen2_5_vl_7b,legacy_plus_prompt_kappa,45,84,25,45,0.8839123435633796,0.46483196907835495,0.8892760774034385,0.4510808477946968
qwen2_5_vl_7b,legacy_plus_generation_kappa,43,84,21,41,0.8682686815184089,0.44515683555635244,0.8862385321100917,0.4573223743241592
qwen2_5_vl_7b,legacy_plus_generation_kappa,44,84,12,32,0.8596484395284831,0.4366753005601754,0.8753372908796546,0.4307158862212732
qwen2_5_vl_7b,legacy_plus_generation_kappa,45,84,17,37,0.8641013657371345,0.44927999005482633,0.8783131601264359,0.4506863513123043
qwen2_5_vl_7b,legacy_plus_b1_residual_balance,43,84,21,41,0.8746949161343927,0.4662897907565075,0.8872870249017039,0.5043030738213861
qwen2_5_vl_7b,legacy_plus_b1_residual_balance,44,84,28,48,0.8796671340291842,0.4735892017129546,0.8910646827538354,0.5040715264206832
qwen2_5_vl_7b,legacy_plus_b1_residual_balance,45,84,21,41,0.8753959599106819,0.4525817817490694,0.8891218872870248,0.49149390078804767
qwen2_5_vl_7b,legacy_plus_b1_delta_cos_rg,43,84,21,41,0.8758633224282079,0.46425448157354815,0.9018734099144246,0.49574410731663954
qwen2_5_vl_7b,legacy_plus_b1_delta_cos_rg,44,84,22,42,0.873487562964117,0.4794165622960744,0.8955978721763935,0.44998306391719867
qwen2_5_vl_7b,legacy_plus_b1_delta_cos_rg,45,84,25,45,0.8796930986134913,0.48225279469945354,0.8980957520622928,0.4790689394413488
qwen2_5_vl_7b,legacy_plus_visual_context_change,43,84,21,41,0.8789790725450486,0.49200090536808466,0.8916968622311309,0.4658390444621265
qwen2_5_vl_7b,legacy_plus_visual_context_change,44,84,22,42,0.8796152048605702,0.4975300044466704,0.8899853519389408,0.4491493693158961
qwen2_5_vl_7b,legacy_plus_visual_context_change,45,84,28,48,0.8796541517370307,0.5077554564241638,0.8870711587387248,0.4596415526612193
qwen2_5_vl_7b,legacy_plus_five,43,196,12,32,0.8686711325751675,0.4584133910511215,0.8880117184488474,0.5046448047127707
qwen2_5_vl_7b,legacy_plus_five,44,196,9,29,0.8699823440826713,0.4565346726559923,0.887641662169455,0.4829090296942785
qwen2_5_vl_7b,legacy_plus_five,45,196,12,32,0.8710079451627979,0.451752297206275,0.8961683756071236,0.5272061212973234
