model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen3_vl_8b,legacy_visual,43,72,26,46,0.885634156647777,0.6488320107592992,0.8992132231404959,0.6745740583716069
qwen3_vl_8b,legacy_visual,44,72,40,60,0.8875414599697842,0.6503931488097012,0.8990280991735538,0.6825531871070599
qwen3_vl_8b,legacy_visual,45,72,37,57,0.8894632344854333,0.6445731971020154,0.8973719008264462,0.6779402409633642
qwen3_vl_8b,legacy_plus_prompt_kappa,43,108,24,44,0.901491690640611,0.6617167874303125,0.9177355371900826,0.7176331401699017
qwen3_vl_8b,legacy_plus_prompt_kappa,44,108,26,46,0.9031066758510509,0.6575743610330486,0.9179008264462811,0.7120112330341181
qwen3_vl_8b,legacy_plus_prompt_kappa,45,108,27,47,0.898151739148052,0.6517888737176186,0.9221851239669421,0.7279985939547557
qwen3_vl_8b,legacy_plus_generation_kappa,43,108,24,44,0.8958884444624531,0.6606542602744317,0.9064793388429753,0.7028172684785459
qwen3_vl_8b,legacy_plus_generation_kappa,44,108,27,47,0.8952719716133066,0.6593225801225154,0.9118247933884296,0.7008609595085912
qwen3_vl_8b,legacy_plus_generation_kappa,45,108,27,47,0.8958971271786381,0.6588912724925698,0.9093652892561983,0.6905723095241565
qwen3_vl_8b,legacy_plus_b1_residual_balance,43,108,24,44,0.8972313712324247,0.6632332958376622,0.9136826446280992,0.6913417084724431
qwen3_vl_8b,legacy_plus_b1_residual_balance,44,108,28,48,0.8987392696099146,0.6788363310225174,0.909309090909091,0.6811266248611401
qwen3_vl_8b,legacy_plus_b1_residual_balance,45,108,29,49,0.8987797889521119,0.6723284714959865,0.9154165289256198,0.6825348512340512
qwen3_vl_8b,legacy_plus_b1_delta_cos_rg,43,108,24,44,0.9044293429499239,0.669917007991259,0.9107933884297521,0.6927850404824469
qwen3_vl_8b,legacy_plus_b1_delta_cos_rg,44,108,24,44,0.9038939087851723,0.6733658538810399,0.9130413223140497,0.6890581004957214
qwen3_vl_8b,legacy_plus_b1_delta_cos_rg,45,108,28,48,0.9061774631418698,0.6753586040063185,0.9135239669421488,0.6955377884778061
qwen3_vl_8b,legacy_plus_visual_context_change,43,108,24,44,0.8999548498758372,0.6731167617747016,0.9093057851239669,0.6843078898372117
qwen3_vl_8b,legacy_plus_visual_context_change,44,108,18,38,0.8958710790300828,0.659082879453692,0.9057917355371902,0.6695290434329613
qwen3_vl_8b,legacy_plus_visual_context_change,45,108,22,42,0.8999780037856642,0.6694864655203727,0.9114016528925619,0.6891129374216879
qwen3_vl_8b,legacy_plus_five,43,252,14,34,0.9117618967682931,0.6782855925987836,0.9286578512396695,0.7050652217060128
qwen3_vl_8b,legacy_plus_five,44,252,8,28,0.9101425701997604,0.6812255095158873,0.9285355371900825,0.7066161943313871
qwen3_vl_8b,legacy_plus_five,45,252,14,34,0.909722905584144,0.681974384241585,0.9264892561983471,0.7052914348093614
