model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen2_5_vl_7b,legacy_visual,43,56,21,41,0.8722931920859947,0.4696970720112692,0.8800863464651915,0.41442087486195867
qwen2_5_vl_7b,legacy_visual,44,56,48,68,0.8829516539440203,0.5086005812077301,0.8858376378074166,0.4344872734239223
qwen2_5_vl_7b,legacy_visual,45,56,37,57,0.8821986809991171,0.5080131034240245,0.8826921594325803,0.4227116300596141
qwen2_5_vl_7b,legacy_plus_prompt_kappa,43,84,21,41,0.8816664070208237,0.4499074799808322,0.8929458021740808,0.47327589353776783
qwen2_5_vl_7b,legacy_plus_prompt_kappa,44,84,22,42,0.878940125668588,0.4764587398233933,0.8867011024593323,0.4418043375051043
qwen2_5_vl_7b,legacy_plus_prompt_kappa,45,84,25,45,0.8839123435633796,0.46483196907835495,0.8892760774034385,0.4510808477946968
qwen2_5_vl_7b,legacy_plus_generation_kappa,43,84,21,41,0.8682686815184089,0.44515683555635244,0.8862385321100917,0.4573223743241592
qwen2_5_vl_7b,legacy_plus_generation_kappa,44,84,12,32,0.8596484395284831,0.4366753005601754,0.8753372908796546,0.4307158862212732
qwen2_5_vl_7b,legacy_plus_generation_kappa,45,84,17,37,0.8641013657371345,0.44927999005482633,0.8783131601264359,0.4506863513123043
qwen2_5_vl_7b,legacy_plus_b1_residual_balance,43,84,21,41,0.8746949161343927,0.4662897907565075,0.8872870249017039,0.5043030738213861
qwen2_5_vl_7b,legacy_plus_b1_residual_balance,44,84,28,48,0.8796671340291842,0.4735892017129546,0.8910646827538354,0.5040715264206832
qwen2_5_vl_7b,legacy_plus_b1_residual_balance,45,84,21,41,0.8753959599106819,0.4525817817490694,0.8891218872870248,0.49149390078804767
qwen2_5_vl_7b,legacy_plus_b1_delta_cos_rg,43,84,21,41,0.8758633224282079,0.46425448157354815,0.9018734099144246,0.49574410731663954
qwen2_5_vl_7b,legacy_plus_b1_delta_cos_rg,44,84,22,42,0.873487562964117,0.4794165622960744,0.8955978721763935,0.44998306391719867
qwen2_5_vl_7b,legacy_plus_b1_delta_cos_rg,45,84,25,45,0.8796930986134913,0.48225279469945354,0.8980957520622928,0.4790689394413488
qwen2_5_vl_7b,legacy_plus_visual_context_change,43,84,21,41,0.8789790725450486,0.49200090536808466,0.8916968622311309,0.4658390444621265
qwen2_5_vl_7b,legacy_plus_visual_context_change,44,84,22,42,0.8796152048605702,0.4975300044466704,0.8899853519389408,0.4491493693158961
qwen2_5_vl_7b,legacy_plus_visual_context_change,45,84,28,48,0.8796541517370307,0.5077554564241638,0.8870711587387248,0.4596415526612193
llava_1_5_7b,legacy_visual,43,64,30,50,0.8982916248702111,0.7223218660079755,0.898829611370328,0.6859410670545592
llava_1_5_7b,legacy_visual,44,64,36,56,0.8991517519314361,0.7155841974905978,0.8986388668799092,0.6897555460295622
llava_1_5_7b,legacy_visual,45,64,19,39,0.8995081217112788,0.7270072944089199,0.8974308184405904,0.6806932695797845
llava_1_5_7b,legacy_plus_prompt_kappa,43,96,32,52,0.9104631927212572,0.7515862555381706,0.9033805792763447,0.6776576303557881
llava_1_5_7b,legacy_plus_prompt_kappa,44,96,42,62,0.9110901395561657,0.754717987409923,0.9064153730277509,0.6943320024926298
llava_1_5_7b,legacy_plus_prompt_kappa,45,96,28,48,0.9118644738926138,0.7564455382943419,0.9080195831010165,0.6902383493800992
llava_1_5_7b,legacy_plus_generation_kappa,43,96,15,35,0.9058589831582282,0.7304188797168811,0.90269830090677,0.6951359643273303
llava_1_5_7b,legacy_plus_generation_kappa,44,96,12,32,0.9039583443324006,0.7300958347968295,0.9031066897516408,0.7001469596743451
llava_1_5_7b,legacy_plus_generation_kappa,45,96,18,38,0.9060129701001354,0.7348588341613698,0.9052537879899444,0.7071593422088409
llava_1_5_7b,legacy_plus_b1_residual_balance,43,96,25,45,0.9133427485349243,0.755144782610979,0.903001535737692,0.6836152896232369
llava_1_5_7b,legacy_plus_b1_residual_balance,44,96,22,42,0.9141368811924748,0.7556511813597734,0.9033659066232356,0.683658474948515
llava_1_5_7b,legacy_plus_b1_residual_balance,45,96,19,39,0.9143612621649685,0.7609008858376525,0.9022116579119837,0.6753694932151904
llava_1_5_7b,legacy_plus_b1_delta_cos_rg,43,96,24,44,0.9101970152931033,0.7537124490524645,0.9065058543885905,0.6946527447367055
llava_1_5_7b,legacy_plus_b1_delta_cos_rg,44,96,28,48,0.910709571828309,0.7456115879604622,0.9094868484119297,0.6978339322885836
llava_1_5_7b,legacy_plus_b1_delta_cos_rg,45,96,29,49,0.911754483219823,0.7520913210400675,0.908178536843032,0.6902497877827874
llava_1_5_7b,legacy_plus_visual_context_change,43,96,20,40,0.910878957464407,0.7484597917537597,0.9060656747953164,0.7057173094267889
llava_1_5_7b,legacy_plus_visual_context_change,44,96,28,48,0.9118292768773208,0.7458258444754179,0.906464281871448,0.693271375514673
llava_1_5_7b,legacy_plus_visual_context_change,45,96,19,39,0.9119304682962884,0.7514254836352725,0.9092557541254611,0.7103949341558333
qwen3_vl_8b,legacy_visual,43,72,26,46,0.885634156647777,0.6488320107592992,0.8992132231404959,0.6745740583716069
qwen3_vl_8b,legacy_visual,44,72,40,60,0.8875414599697842,0.6503931488097012,0.8990280991735538,0.6825531871070599
qwen3_vl_8b,legacy_visual,45,72,37,57,0.8894632344854333,0.6445731971020154,0.8973719008264462,0.6779402409633642
qwen3_vl_8b,legacy_plus_prompt_kappa,43,108,24,44,0.901491690640611,0.6617167874303125,0.9177355371900826,0.7176331401699017
qwen3_vl_8b,legacy_plus_prompt_kappa,44,108,26,46,0.9031066758510509,0.6575743610330486,0.9179008264462811,0.7120112330341181
