signal,split,layer,label,n,mean,median,p10,p90
Q_positive,train,1,HALL,2778,0.6474999785423279,0.6299517154693604,0.3590349555015564,0.9716371893882751
Q_positive,train,2,HALL,2778,0.3780214488506317,0.36179447174072266,0.29772812128067017,0.48991942405700684
Q_positive,train,3,HALL,2778,0.26167526841163635,0.2573277950286865,0.20061910152435303,0.3277340531349182
Q_positive,train,4,HALL,2778,0.2335687279701233,0.21942386031150818,0.1571948528289795,0.3144163489341736
Q_positive,train,5,HALL,2778,0.26478761434555054,0.2398277223110199,0.16500550508499146,0.3693716824054718
Q_positive,train,6,HALL,2778,0.3169945180416107,0.24907848238945007,0.168538436293602,0.5313894748687744
Q_positive,train,7,HALL,2778,0.4711650013923645,0.3373842239379883,0.21635958552360535,0.8577775955200195
Q_positive,train,8,HALL,2778,0.46992552280426025,0.36633509397506714,0.22003060579299927,0.7807626128196716
Q_positive,train,9,HALL,2778,0.5139384269714355,0.4140577018260956,0.23554758727550507,0.8725878596305847
Q_positive,train,10,HALL,2778,0.7023998498916626,0.5748566389083862,0.2967680096626282,1.2908687591552734
Q_positive,train,11,HALL,2778,1.107932686805725,0.9377603530883789,0.4360603392124176,2.0910520553588867
Q_positive,train,12,HALL,2778,2.28717041015625,2.1832263469696045,1.1920183897018433,3.5359318256378174
Q_positive,train,13,HALL,2778,1.3608992099761963,1.2232954502105713,0.5152378678321838,2.414565086364746
Q_positive,train,14,HALL,2778,1.6003851890563965,1.620539665222168,0.7245943546295166,2.380178451538086
Q_positive,train,15,HALL,2778,2.6251344680786133,2.462721347808838,1.0704706907272339,4.398732662200928
Q_positive,train,16,HALL,2778,1.6306122541427612,1.531578779220581,0.6678140163421631,2.743525266647339
Q_positive,train,17,HALL,2778,1.4960418939590454,1.3425805568695068,0.7649756669998169,2.3665237426757812
Q_positive,train,18,HALL,2778,2.6667816638946533,2.6360421180725098,1.2900935411453247,4.052047252655029
Q_positive,train,19,HALL,2778,2.348564624786377,2.3684072494506836,1.2520583868026733,3.3543481826782227
Q_positive,train,20,HALL,2778,2.6050994396209717,2.7005059719085693,1.237907886505127,3.744994640350342
Q_positive,train,21,HALL,2778,4.010215759277344,4.190131187438965,2.0109784603118896,5.467867851257324
Q_positive,train,22,HALL,2778,2.7972073554992676,2.9737801551818848,0.9994064569473267,3.9514966011047363
Q_positive,train,23,HALL,2778,2.7238779067993164,2.8049561977386475,1.1730235815048218,3.7856650352478027
Q_positive,train,24,HALL,2778,1.4994916915893555,1.5109484195709229,0.5926240682601929,2.1804723739624023
Q_positive,train,25,HALL,2778,2.8743834495544434,2.904226541519165,1.3101750612258911,4.126145362854004
Q_positive,train,26,HALL,2778,1.7452943325042725,1.6487748622894287,0.6771063208580017,2.634699583053589
Q_positive,train,27,HALL,2778,2.2906131744384766,2.2737739086151123,1.0403090715408325,3.2286267280578613
Q_positive,train,28,HALL,2778,0.27297747135162354,0.23526762425899506,0.16508913040161133,0.359678715467453
Q_positive,train,29,HALL,2778,1.2085685729980469,1.1333011388778687,0.4885979890823364,1.9411708116531372
Q_positive,train,30,HALL,2778,1.433744192123413,1.3267662525177002,0.756557822227478,2.2146661281585693
Q_positive,train,31,HALL,2778,0.8768704533576965,0.8443653583526611,0.6007118821144104,1.16461181640625
Q_positive,train,32,HALL,2778,11.650735855102539,11.324653625488281,9.535027503967285,13.96584701538086
Q_positive,train,1,REAL,9539,0.7985681891441345,0.6776907444000244,0.4026806652545929,1.3485409021377563
Q_positive,train,2,REAL,9539,0.42370980978012085,0.42479729652404785,0.3214649558067322,0.5213999152183533
Q_positive,train,3,REAL,9539,0.2717793583869934,0.26456230878829956,0.19967013597488403,0.3536677062511444
Q_positive,train,4,REAL,9539,0.34554630517959595,0.29343080520629883,0.1849551796913147,0.573867917060852
Q_positive,train,5,REAL,9539,0.40547290444374084,0.334179162979126,0.19359901547431946,0.7189333438873291
Q_positive,train,6,REAL,9539,0.5951749086380005,0.4719820022583008,0.20283515751361847,1.274478793144226
Q_positive,train,7,REAL,9539,1.1820374727249146,0.950934886932373,0.2866435647010803,2.581392526626587
Q_positive,train,8,REAL,9539,1.0426714420318604,0.894957959651947,0.24911358952522278,2.0160973072052
Q_positive,train,9,REAL,9539,1.0679644346237183,0.9468242526054382,0.30893272161483765,2.038839101791382
Q_positive,train,10,REAL,9539,1.3900508880615234,1.341115951538086,0.4205856919288635,2.438180685043335
Q_positive,train,11,REAL,9539,2.031947612762451,2.0905532836914062,0.6557415723800659,3.2668204307556152
Q_positive,train,12,REAL,9539,2.806861400604248,2.643714189529419,1.4346791505813599,4.431430816650391
