model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_real_auroc
llava_1_5_7b,HALL,1,3487,0.5205382704734802,0.4822899103164673,0.5284593105316162,0.5567449331283569,0.530950547016986
llava_1_5_7b,HALL,2,3487,0.5139949917793274,0.4792734384536743,0.5126145482063293,0.550273060798645,0.5080303159612409
llava_1_5_7b,HALL,3,3487,0.4609421193599701,0.201654851436615,0.39860936999320984,0.7357809543609619,0.5084681000467621
llava_1_5_7b,HALL,4,3487,0.4667080342769623,0.17465636134147644,0.4162724018096924,0.7668859958648682,0.5101073598300703
llava_1_5_7b,HALL,5,3487,0.4765847623348236,0.21049390733242035,0.4445921778678894,0.7567102909088135,0.5161749869110173
llava_1_5_7b,HALL,6,3487,0.4920796751976013,0.26718655228614807,0.49430060386657715,0.7223968505859375,0.5164154065707172
llava_1_5_7b,HALL,7,3487,0.5033912658691406,0.28905045986175537,0.5129544734954834,0.7182475328445435,0.5179753446286512
llava_1_5_7b,HALL,8,3487,0.500292956829071,0.28924715518951416,0.5102246999740601,0.7023004293441772,0.5209599487666663
llava_1_5_7b,HALL,9,3487,0.5142266750335693,0.35061725974082947,0.5145395398139954,0.6755906343460083,0.5191035090925566
llava_1_5_7b,HALL,10,3487,0.5220945477485657,0.37795940041542053,0.532260537147522,0.660041332244873,0.5200200012873467
llava_1_5_7b,HALL,11,3487,0.5249719023704529,0.40544700622558594,0.5343295335769653,0.6446298360824585,0.5340931720050368
llava_1_5_7b,HALL,12,3487,0.538899302482605,0.44293469190597534,0.540105402469635,0.6320722103118896,0.5240897745208417
llava_1_5_7b,HALL,13,3487,0.5401486754417419,0.4225652813911438,0.5501511693000793,0.6572468876838684,0.5257016039535337
llava_1_5_7b,HALL,14,3487,0.5393133759498596,0.450018048286438,0.5360285639762878,0.6238658428192139,0.5176026702099352
llava_1_5_7b,HALL,15,3487,0.5563756823539734,0.46638673543930054,0.5511221885681152,0.64195317029953,0.5405555399107171
llava_1_5_7b,HALL,16,3487,0.5484631657600403,0.4594212472438812,0.5472272634506226,0.6301743984222412,0.5580764818040631
llava_1_5_7b,HALL,17,3487,0.5388519167900085,0.4496650993824005,0.5388635396957397,0.6206410527229309,0.5708994942374952
llava_1_5_7b,HALL,18,3487,0.5747418999671936,0.4859144389629364,0.5683890581130981,0.6566522121429443,0.5898195396624432
llava_1_5_7b,HALL,19,3487,0.5725844502449036,0.4799938499927521,0.5703654885292053,0.6574198007583618,0.6345881108359535
llava_1_5_7b,HALL,20,3487,0.5796287655830383,0.4895176887512207,0.5702358484268188,0.669910192489624,0.6426076150963623
llava_1_5_7b,HALL,21,3487,0.5716202259063721,0.4893808364868164,0.5646032094955444,0.6447513699531555,0.6485724053019527
llava_1_5_7b,HALL,22,3487,0.5858436226844788,0.48997271060943604,0.5775616765022278,0.6772682666778564,0.6421902810496244
llava_1_5_7b,HALL,23,3487,0.5822789072990417,0.48993515968322754,0.5804204344749451,0.6734415292739868,0.6631957634799279
llava_1_5_7b,HALL,24,3487,0.5626115202903748,0.4681928753852844,0.5555298328399658,0.65694260597229,0.6487629211199379
llava_1_5_7b,HALL,25,3487,0.5731028914451599,0.48170626163482666,0.5688366293907166,0.6588951945304871,0.6952082637696768
llava_1_5_7b,HALL,26,3487,0.5436131358146667,0.4679914116859436,0.5392617583274841,0.6192640066146851,0.6464259534267848
llava_1_5_7b,HALL,27,3487,0.5641501545906067,0.4813978672027588,0.5553371906280518,0.6462661027908325,0.698454084825803
llava_1_5_7b,HALL,28,3487,0.5004833340644836,0.4026922583580017,0.49505874514579773,0.5991014838218689,0.5850930424083038
llava_1_5_7b,HALL,29,3487,0.5353302359580994,0.4569087624549866,0.528544545173645,0.6174872517585754,0.6794159607811359
llava_1_5_7b,HALL,30,3487,0.5444944500923157,0.4742673933506012,0.5397065877914429,0.6098207235336304,0.7058241447046659
llava_1_5_7b,HALL,31,3487,0.5197469592094421,0.45138558745384216,0.5140939354896545,0.5864963531494141,0.6492500463119145
llava_1_5_7b,HALL,32,3487,0.5046654343605042,0.4576493799686432,0.501471757888794,0.553457498550415,0.6024582383388324
llava_1_5_7b,REAL,1,11976,0.5250722169876099,0.48910200595855713,0.5344250202178955,0.5610907673835754,0.530950547016986
llava_1_5_7b,REAL,2,11976,0.5142005085945129,0.4848702549934387,0.5167973041534424,0.5455641746520996,0.5080303159612409
llava_1_5_7b,REAL,3,11976,0.4707854986190796,0.20545998215675354,0.4553071856498718,0.731258749961853,0.5084681000467621
llava_1_5_7b,REAL,4,11976,0.47617650032043457,0.19505514204502106,0.47777217626571655,0.7472809553146362,0.5101073598300703
llava_1_5_7b,REAL,5,11976,0.49234437942504883,0.23799331486225128,0.5017796754837036,0.7390401363372803,0.5161749869110173
llava_1_5_7b,REAL,6,11976,0.5063559412956238,0.29561448097229004,0.5305637121200562,0.7093175053596497,0.5164154065707172
llava_1_5_7b,REAL,7,11976,0.5191383957862854,0.3450559973716736,0.5394095778465271,0.6875566244125366,0.5179753446286512
llava_1_5_7b,REAL,8,11976,0.5159337520599365,0.3492538332939148,0.5283068418502808,0.6813150644302368,0.5209599487666663
llava_1_5_7b,REAL,9,11976,0.5267319679260254,0.3870105445384979,0.5347481369972229,0.6604896187782288,0.5191035090925566
llava_1_5_7b,REAL,10,11976,0.5344628095626831,0.4171393811702728,0.5364933609962463,0.6547436714172363,0.5200200012873467
llava_1_5_7b,REAL,11,11976,0.5428503155708313,0.44501879811286926,0.548702597618103,0.6451356410980225,0.5340931720050368
llava_1_5_7b,REAL,12,11976,0.5491857528686523,0.4589117765426636,0.5510719418525696,0.6379868984222412,0.5240897745208417
llava_1_5_7b,REAL,13,11976,0.554667592048645,0.44367003440856934,0.5614160895347595,0.6610472202301025,0.5257016039535337
llava_1_5_7b,REAL,14,11976,0.5462459325790405,0.45230284333229065,0.5491089224815369,0.6346895098686218,0.5176026702099352
llava_1_5_7b,REAL,15,11976,0.5754463076591492,0.4777402877807617,0.5701939463615417,0.6698724627494812,0.5405555399107171
llava_1_5_7b,REAL,16,11976,0.5727996230125427,0.4790128171443939,0.5731428861618042,0.665945827960968,0.5580764818040631
llava_1_5_7b,REAL,17,11976,0.5686060190200806,0.47510334849357605,0.5682973861694336,0.6655299663543701,0.5708994942374952
llava_1_5_7b,REAL,18,11976,0.6140469908714294,0.5195439457893372,0.613499104976654,0.7123563885688782,0.5898195396624432
llava_1_5_7b,REAL,19,11976,0.6327222585678101,0.5433738231658936,0.6381762027740479,0.7352287769317627,0.6345881108359535
llava_1_5_7b,REAL,20,11976,0.6453909873962402,0.5479788780212402,0.6477006673812866,0.7562850117683411,0.6426076150963623
llava_1_5_7b,REAL,21,11976,0.6355888247489929,0.5409714579582214,0.6353359818458557,0.7372316718101501,0.6485724053019527
llava_1_5_7b,REAL,22,11976,0.6534565687179565,0.5526853203773499,0.6543641090393066,0.7642014622688293,0.6421902810496244
llava_1_5_7b,REAL,23,11976,0.6577341556549072,0.5669044256210327,0.6668314933776855,0.7573007941246033,0.6631957634799279
llava_1_5_7b,REAL,24,11976,0.6314451694488525,0.5383915901184082,0.6381412744522095,0.7295922636985779,0.6487629211199379
llava_1_5_7b,REAL,25,11976,0.6643314361572266,0.5708894729614258,0.673242449760437,0.7672106027603149,0.6952082637696768
llava_1_5_7b,REAL,26,11976,0.6008300185203552,0.5224882960319519,0.6038512587547302,0.680524468421936,0.6464259534267848
llava_1_5_7b,REAL,27,11976,0.6486862897872925,0.5660783052444458,0.6572607755661011,0.7355269193649292,0.698454084825803
llava_1_5_7b,REAL,28,11976,0.5395102500915527,0.4514446556568146,0.5383086204528809,0.6241008639335632,0.5850930424083038
llava_1_5_7b,REAL,29,11976,0.6100257039070129,0.530031681060791,0.6136728525161743,0.6918873190879822,0.6794159607811359
llava_1_5_7b,REAL,30,11976,0.6207525134086609,0.5476880669593811,0.6223019361495972,0.6966779232025146,0.7058241447046659
llava_1_5_7b,REAL,31,11976,0.5707455277442932,0.5050890445709229,0.5709731578826904,0.6385036706924438,0.6492500463119145
llava_1_5_7b,REAL,32,11976,0.5311367511749268,0.4811631441116333,0.5277135372161865,0.5808442234992981,0.6024582383388324
