model,label,layer,n_mentions,mean,q25,median,q75,raw_ae_top32_real_auroc
llava_1_5_7b,HALL,1,3487,0.06856384873390198,0.060852356255054474,0.06837433576583862,0.07546818256378174,0.598576777874648
llava_1_5_7b,HALL,2,3487,0.12443781644105911,0.09513693302869797,0.1194629892706871,0.15210552513599396,0.4749535994846016
llava_1_5_7b,HALL,3,3487,0.3817860782146454,0.11488717794418335,0.3100263476371765,0.6527560949325562,0.5060528762333001
llava_1_5_7b,HALL,4,3487,0.4069089889526367,0.10987693816423416,0.3490650951862335,0.7028110027313232,0.49180426381871856
llava_1_5_7b,HALL,5,3487,0.39878880977630615,0.1293697953224182,0.36423251032829285,0.6692538261413574,0.49550603213884037
llava_1_5_7b,HALL,6,3487,0.38065874576568604,0.1499864161014557,0.3711449205875397,0.5962456464767456,0.48988254685453503
llava_1_5_7b,HALL,7,3487,0.38460975885391235,0.16880926489830017,0.38495442271232605,0.5827348232269287,0.4833511660545065
llava_1_5_7b,HALL,8,3487,0.3489832580089569,0.13336001336574554,0.34786173701286316,0.5326776504516602,0.4928420553946053
llava_1_5_7b,HALL,9,3487,0.33018434047698975,0.15983432531356812,0.32697367668151855,0.47406765818595886,0.5034331400589153
llava_1_5_7b,HALL,10,3487,0.3271959125995636,0.17946866154670715,0.3308323621749878,0.447513610124588,0.5035766974154791
llava_1_5_7b,HALL,11,3487,0.31711262464523315,0.19841983914375305,0.31765878200531006,0.41887563467025757,0.524033309425466
llava_1_5_7b,HALL,12,3487,0.31922152638435364,0.22495245933532715,0.31056347489356995,0.39742225408554077,0.5581762894874923
llava_1_5_7b,HALL,13,3487,0.3633323609828949,0.2494552880525589,0.3645331561565399,0.47048959136009216,0.5306242324051602
llava_1_5_7b,HALL,14,3487,0.3124017119407654,0.22507202625274658,0.2995815575122833,0.3815922141075134,0.5507979083106467
llava_1_5_7b,HALL,15,3487,0.3623020052909851,0.2715103030204773,0.3487330377101898,0.43688589334487915,0.5534740736611354
llava_1_5_7b,HALL,16,3487,0.3259434401988983,0.23762813210487366,0.3124706745147705,0.39906075596809387,0.5771834511198096
llava_1_5_7b,HALL,17,3487,0.3038485050201416,0.21970567107200623,0.29427045583724976,0.3727486729621887,0.5914949102870688
llava_1_5_7b,HALL,18,3487,0.373383492231369,0.28124672174453735,0.3596186637878418,0.44657114148139954,0.5562170728034791
llava_1_5_7b,HALL,19,3487,0.398220956325531,0.306039035320282,0.384464830160141,0.4792599081993103,0.6239641839840661
llava_1_5_7b,HALL,20,3487,0.3821551203727722,0.28857195377349854,0.36352118849754333,0.4599916636943817,0.6190303367465262
llava_1_5_7b,HALL,21,3487,0.3441815674304962,0.26713740825653076,0.3317677974700928,0.4039841294288635,0.5937194865785486
llava_1_5_7b,HALL,22,3487,0.3950996398925781,0.3021429777145386,0.3798469305038452,0.47071802616119385,0.5693916151775877
llava_1_5_7b,HALL,23,3487,0.4168485403060913,0.3234784007072449,0.40787360072135925,0.49973586201667786,0.5516935433815724
llava_1_5_7b,HALL,24,3487,0.3965184688568115,0.3034685254096985,0.3855825364589691,0.4780333638191223,0.5527037609297555
llava_1_5_7b,HALL,25,3487,0.37876152992248535,0.28830087184906006,0.3630240857601166,0.45462271571159363,0.6071273725157992
llava_1_5_7b,HALL,26,3487,0.3399515748023987,0.26548874378204346,0.3288692533969879,0.4018520414829254,0.5623228940435119
llava_1_5_7b,HALL,27,3487,0.3426256775856018,0.2607305347919464,0.3264349102973938,0.41211169958114624,0.6396197662507885
llava_1_5_7b,HALL,28,3487,0.3068825304508209,0.20861810445785522,0.2898654043674469,0.4005810618400574,0.564731831984397
llava_1_5_7b,HALL,29,3487,0.31874144077301025,0.2409496009349823,0.3064533472061157,0.3887569010257721,0.6670830787854267
llava_1_5_7b,HALL,30,3487,0.28873491287231445,0.22528377175331116,0.2780247628688812,0.3417961895465851,0.6616726426756582
llava_1_5_7b,HALL,31,3487,0.2677576541900635,0.20089390873908997,0.2580253779888153,0.32596391439437866,0.6098952158211846
llava_1_5_7b,HALL,32,3487,0.20062285661697388,0.15452051162719727,0.19351981580257416,0.24333906173706055,0.5711812689522051
llava_1_5_7b,REAL,1,11976,0.07241292297840118,0.06426364183425903,0.07193699479103088,0.08000969886779785,0.598576777874648
llava_1_5_7b,REAL,2,11976,0.12160808593034744,0.09222939610481262,0.11554703116416931,0.14715760946273804,0.4749535994846016
llava_1_5_7b,REAL,3,11976,0.38872700929641724,0.11729846894741058,0.3698362708091736,0.6455303430557251,0.5060528762333001
llava_1_5_7b,REAL,4,11976,0.4005071222782135,0.1137259304523468,0.39267462491989136,0.6668515801429749,0.49180426381871856
llava_1_5_7b,REAL,5,11976,0.3954147696495056,0.1354278028011322,0.39335885643959045,0.6329478621482849,0.49550603213884037
llava_1_5_7b,REAL,6,11976,0.37153172492980957,0.15707123279571533,0.37920236587524414,0.5651702880859375,0.48988254685453503
llava_1_5_7b,REAL,7,11976,0.3682917654514313,0.19223204255104065,0.3702710270881653,0.5208190679550171,0.4833511660545065
llava_1_5_7b,REAL,8,11976,0.33719179034233093,0.16694863140583038,0.3291254937648773,0.4858878254890442,0.4928420553946053
llava_1_5_7b,REAL,9,11976,0.32858484983444214,0.18724776804447174,0.3259604573249817,0.44785040616989136,0.5034331400589153
llava_1_5_7b,REAL,10,11976,0.3268797993659973,0.204921692609787,0.32328730821609497,0.433350145816803,0.5035766974154791
llava_1_5_7b,REAL,11,11976,0.3277584910392761,0.22773690521717072,0.3255264163017273,0.4188784658908844,0.524033309425466
llava_1_5_7b,REAL,12,11976,0.342516154050827,0.25021225214004517,0.3394276201725006,0.4275333881378174,0.5581762894874923
llava_1_5_7b,REAL,13,11976,0.37904834747314453,0.27132222056388855,0.3800286054611206,0.4800763428211212,0.5306242324051602
