model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,native_vs_fp32_gauss_k64,0.9999997488257605,2.0395848900644016e-10,1.0,3.087096316646579e-05,8.893013000488281e-05,2.429730102448957e-06
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,fp32_trapezoid_vs_gauss_k64,1.0,5.904211770309704e-14,1.0,2.8065378374776415e-06,1.2516975402832031e-06,6.36146251054015e-06
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,native_vs_fp32_gauss_k64,0.9999974254640445,1.2823328514893998e-08,1.0,2.485194935301823e-05,7.614493370056152e-05,1.0139487130800262e-05
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,fp32_trapezoid_vs_gauss_k64,1.0,3.695388970535922e-16,1.0,0.0,0.0,1.0138253855984658e-05
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,native_vs_fp32_gauss_k64,0.9999991836837215,2.0770665535795743e-09,1.0,4.533020943150279e-05,0.0002657771110534668,8.933453500503674e-06
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,fp32_trapezoid_vs_gauss_k64,1.0,7.162501833867871e-16,1.0,2.225806760353841e-07,8.940696716308594e-08,8.963289474195335e-06
llava_1_5_7b,llava_1_5_7b:15345:52:16,16,native_vs_fp32_gauss_k64,0.9999999372064401,1.3745166560245182e-10,1.0,8.523233559844723e-05,7.918477058410645e-05,6.9845646066823974e-06
llava_1_5_7b,llava_1_5_7b:15345:52:16,16,fp32_trapezoid_vs_gauss_k64,1.0,1.682186014232259e-15,1.0,1.9869370808556228e-07,5.960464477539063e-08,7.05797492628335e-06
llava_1_5_7b,llava_1_5_7b:190218:15:32,32,native_vs_fp32_gauss_k64,1.0,1.491313066054217e-10,1.0,2.822432155482921e-05,0.0008583664894104004,4.3828654270328116e-06
llava_1_5_7b,llava_1_5_7b:190218:15:32,32,fp32_trapezoid_vs_gauss_k64,1.0,2.6322306982113964e-15,1.0,0.0,0.0,4.3639288378471974e-06
llava_1_5_7b,llava_1_5_7b:193112:11:24,24,native_vs_fp32_gauss_k64,0.9999994976515211,4.744238453743052e-10,1.0,3.1541202866313254e-05,6.914138793945312e-05,1.2055615115968976e-05
llava_1_5_7b,llava_1_5_7b:193112:11:24,24,fp32_trapezoid_vs_gauss_k64,1.0,1.1590373869644534e-15,1.0,8.59460429023738e-08,5.960464477539063e-08,1.2051387784595136e-05
llava_1_5_7b,llava_1_5_7b:205238:27:24,24,native_vs_fp32_gauss_k64,0.9999993092708412,1.8620042820759028e-10,1.0,2.0329883084260747e-05,7.18235969543457e-06,5.405740466812858e-06
llava_1_5_7b,llava_1_5_7b:205238:27:24,24,fp32_trapezoid_vs_gauss_k64,1.0,1.9477597320657853e-15,1.0,4.7277836717480884e-07,2.086162567138672e-07,5.60363241675077e-06
llava_1_5_7b,llava_1_5_7b:205238:27:32,32,native_vs_fp32_gauss_k64,0.9999996860322007,1.2660405110830498e-10,1.0,2.3484216451347616e-05,0.00035119056701660156,3.5042785384575836e-06
llava_1_5_7b,llava_1_5_7b:205238:27:32,32,fp32_trapezoid_vs_gauss_k64,1.0,2.0187275141521576e-15,1.0,0.0,0.0,3.4881895771832205e-06
llava_1_5_7b,llava_1_5_7b:212675:41:24,24,native_vs_fp32_gauss_k64,0.9999994976515211,4.997584756867219e-10,1.0,4.313565183029436e-05,0.0002415478229522705,9.2155087259016e-06
llava_1_5_7b,llava_1_5_7b:212675:41:24,24,fp32_trapezoid_vs_gauss_k64,1.0,9.57938017544502e-16,1.0,6.486843999250899e-08,2.9802322387695312e-08,9.202431101584807e-06
llava_1_5_7b,llava_1_5_7b:212675:41:32,32,native_vs_fp32_gauss_k64,0.9999996860322007,2.091948650883423e-10,1.0,0.00015036540489517193,0.001326143741607666,4.221368726575747e-06
llava_1_5_7b,llava_1_5_7b:212675:41:32,32,fp32_trapezoid_vs_gauss_k64,1.0,1.7574727309797045e-15,1.0,0.0,0.0,4.217400146444561e-06
llava_1_5_7b,llava_1_5_7b:219174:6:8,8,native_vs_fp32_gauss_k64,0.9999998116193204,5.823470523690424e-10,1.0,4.823156011654331e-06,0.00014340877532958984,3.694193765113596e-06
llava_1_5_7b,llava_1_5_7b:219174:6:8,8,fp32_trapezoid_vs_gauss_k64,1.0,1.1261904473460588e-14,1.0,9.910642345069405e-07,5.364418029785156e-07,4.4749122025677934e-06
llava_1_5_7b,llava_1_5_7b:22341:4:16,16,native_vs_fp32_gauss_k64,0.9999998116193204,2.8590805970909003e-11,1.0,1.6641562812559966e-05,1.531839370727539e-05,1.800847257982241e-06
llava_1_5_7b,llava_1_5_7b:22341:4:16,16,fp32_trapezoid_vs_gauss_k64,1.0,1.30737820656674e-13,1.0,3.6679973345886033e-06,1.7881393432617188e-06,8.353130397154018e-06
llava_1_5_7b,llava_1_5_7b:228552:72:32,32,native_vs_fp32_gauss_k64,0.9999999372064401,2.356289447056698e-10,1.0,3.2525090500781e-05,0.0007769465446472168,3.3118835744971875e-06
llava_1_5_7b,llava_1_5_7b:228552:72:32,32,fp32_trapezoid_vs_gauss_k64,1.0,1.1114173425283512e-15,1.0,0.0,0.0,3.3111252832895843e-06
llava_1_5_7b,llava_1_5_7b:252573:15:24,24,native_vs_fp32_gauss_k64,0.9999987441288023,6.952463181927517e-09,1.0,5.456136265475512e-05,0.00025412440299987793,6.966588898649206e-06
llava_1_5_7b,llava_1_5_7b:252573:15:24,24,fp32_trapezoid_vs_gauss_k64,1.0,2.2326887340452478e-15,1.0,2.1825735903793903e-07,1.1920928955078125e-07,7.075507710396778e-06
llava_1_5_7b,llava_1_5_7b:258136:18:16,16,native_vs_fp32_gauss_k64,0.9999999215080492,5.753446990402447e-11,1.0,1.701376707096853e-05,0.00010251998901367188,7.700928108533844e-06
llava_1_5_7b,llava_1_5_7b:258136:18:16,16,fp32_trapezoid_vs_gauss_k64,1.0,6.525515297964885e-16,1.0,1.676261728489015e-07,2.9802322387695312e-08,7.703496521571651e-06
llava_1_5_7b,llava_1_5_7b:266611:63:16,16,native_vs_fp32_gauss_k64,0.9999994348579611,1.865982511019026e-09,1.0,7.2132735775063845e-06,0.0005514323711395264,1.6984608009806834e-05
llava_1_5_7b,llava_1_5_7b:266611:63:16,16,fp32_trapezoid_vs_gauss_k64,1.0,2.9299022343067326e-16,1.0,0.0,0.0,1.6992205928545445e-05
llava_1_5_7b,llava_1_5_7b:270354:58:32,32,native_vs_fp32_gauss_k64,0.9999999372064401,2.1783556384242953e-10,1.0,1.0268359480272339e-05,0.0008826255798339844,4.200225703243632e-06
llava_1_5_7b,llava_1_5_7b:270354:58:32,32,fp32_trapezoid_vs_gauss_k64,1.0,1.5145561154983982e-15,1.0,0.0,0.0,4.20631886299816e-06
llava_1_5_7b,llava_1_5_7b:292741:34:8,8,native_vs_fp32_gauss_k64,0.9999994348579611,7.58277269930777e-09,1.0,5.72428703348292e-05,0.0003643631935119629,5.791056082671275e-06
llava_1_5_7b,llava_1_5_7b:292741:34:8,8,fp32_trapezoid_vs_gauss_k64,1.0,7.966955329252735e-16,1.0,1.094572605518441e-07,5.960464477539063e-08,5.803174644825049e-06
llava_1_5_7b,llava_1_5_7b:292741:34:16,16,native_vs_fp32_gauss_k64,0.9999996232386407,2.9317649169081166e-10,1.0,4.5249457868567564e-05,5.5789947509765625e-05,2.0820955342060188e-06
llava_1_5_7b,llava_1_5_7b:292741:34:16,16,fp32_trapezoid_vs_gauss_k64,1.0,6.700778944718283e-14,1.0,3.4484039941807833e-06,1.5497207641601562e-06,7.496639682358364e-06
llava_1_5_7b,llava_1_5_7b:292741:7:32,32,native_vs_fp32_gauss_k64,0.9999999372064401,1.0419785995664384e-10,1.0,5.9368355063233025e-05,0.00013256072998046875,2.609833245514892e-06
llava_1_5_7b,llava_1_5_7b:292741:7:32,32,fp32_trapezoid_vs_gauss_k64,1.0,2.5405267843307747e-15,1.0,9.544184995319532e-08,5.960464477539063e-08,2.6611821795086144e-06
llava_1_5_7b,llava_1_5_7b:312341:19:32,32,native_vs_fp32_gauss_k64,0.9999998116193204,1.6481503298680386e-10,1.0,8.588472026086968e-05,0.00034356117248535156,3.61121465175529e-06
llava_1_5_7b,llava_1_5_7b:312341:19:32,32,fp32_trapezoid_vs_gauss_k64,1.0,5.336277924237275e-15,1.0,0.0,0.0,3.6405353966983967e-06
llava_1_5_7b,llava_1_5_7b:31446:9:24,24,native_vs_fp32_gauss_k64,0.9999990580966018,8.712111522114084e-09,1.0,1.1222778113740326e-05,0.003222823143005371,2.7846406737808138e-05
