model,label,layer,n_mentions,mean,q25,median,q75,raw_bounded_strength_real_auroc
llava_1_5_7b,HALL,1,3487,0.4574635326862335,0.39529165625572205,0.452776163816452,0.5042526721954346,0.6912353049469553
llava_1_5_7b,HALL,2,3487,0.4763234257698059,0.4513390064239502,0.471800833940506,0.4982510209083557,0.7177406983932495
llava_1_5_7b,HALL,3,3487,0.4941350817680359,0.4634002447128296,0.4947018325328827,0.5252046585083008,0.5410531655031696
llava_1_5_7b,HALL,4,3487,0.45576566457748413,0.4116811752319336,0.44951510429382324,0.4911643862724304,0.7409559104826611
llava_1_5_7b,HALL,5,3487,0.4452132284641266,0.389904260635376,0.4377062916755676,0.4895647466182709,0.7335684058107612
llava_1_5_7b,HALL,6,3487,0.4378511309623718,0.3749592900276184,0.4182378053665161,0.4736979007720947,0.7435025389657051
llava_1_5_7b,HALL,7,3487,0.38893911242485046,0.3063077926635742,0.35837528109550476,0.4295760989189148,0.7770091133418735
llava_1_5_7b,HALL,8,3487,0.39773890376091003,0.3153614401817322,0.3746076226234436,0.45583000779151917,0.7526662755776347
llava_1_5_7b,HALL,9,3487,0.38789451122283936,0.3086369037628174,0.3682262897491455,0.4437628984451294,0.7643236717196941
llava_1_5_7b,HALL,10,3487,0.3796449601650238,0.299081951379776,0.3644625246524811,0.4471411406993866,0.775516871138319
llava_1_5_7b,HALL,11,3487,0.3680325150489807,0.2886882424354553,0.3613783121109009,0.44373881816864014,0.7807430653295886
llava_1_5_7b,HALL,12,3487,0.4534185826778412,0.41254186630249023,0.4628767967224121,0.5095804929733276,0.6649384947123957
llava_1_5_7b,HALL,13,3487,0.41522523760795593,0.3515949249267578,0.42337310314178467,0.4888293147087097,0.7316982330017076
llava_1_5_7b,HALL,14,3487,0.4659586548805237,0.42010417580604553,0.4869582951068878,0.5371865034103394,0.5564500811200837
llava_1_5_7b,HALL,15,3487,0.4244216978549957,0.36284908652305603,0.44162535667419434,0.5033776760101318,0.6855632089147228
llava_1_5_7b,HALL,16,3487,0.4322343170642853,0.38032567501068115,0.44693443179130554,0.5016409158706665,0.6864842868032213
llava_1_5_7b,HALL,17,3487,0.4173505902290344,0.36019474267959595,0.4215712249279022,0.4789380729198456,0.7257674344003944
llava_1_5_7b,HALL,18,3487,0.45028507709503174,0.4087487459182739,0.4687463641166687,0.5198336243629456,0.6222996609795444
llava_1_5_7b,HALL,19,3487,0.4432096779346466,0.4083821177482605,0.4609614610671997,0.5059640407562256,0.6558301575907767
llava_1_5_7b,HALL,20,3487,0.45499441027641296,0.4267999231815338,0.48738816380500793,0.5256980061531067,0.5657184745171444
llava_1_5_7b,HALL,21,3487,0.46904048323631287,0.4513891935348511,0.5051926374435425,0.5367310047149658,0.49193016086661423
llava_1_5_7b,HALL,22,3487,0.4937146008014679,0.46647265553474426,0.5387179851531982,0.5825880169868469,0.3798790583748512
llava_1_5_7b,HALL,23,3487,0.48934057354927063,0.4779471457004547,0.5273153781890869,0.560152530670166,0.38917267907385367
llava_1_5_7b,HALL,24,3487,0.4948243796825409,0.4726250469684601,0.5280711650848389,0.5677502751350403,0.39895311366447644
