model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_real_auroc
llava_1_5_7b,HALL,1,3487,0.04139351472258568,0.02415148913860321,0.031413543969392776,0.04779098182916641,0.5465034480585299
llava_1_5_7b,HALL,2,3487,0.04224492982029915,0.02981387823820114,0.0373559296131134,0.04955380782485008,0.48611717747702654
llava_1_5_7b,HALL,3,3487,0.09464534372091293,0.054009079933166504,0.09675121307373047,0.12187956273555756,0.4914569962983035
llava_1_5_7b,HALL,4,3487,0.12511934340000153,0.07997789233922958,0.13172465562820435,0.16554495692253113,0.5301233261858771
llava_1_5_7b,HALL,5,3487,0.1339530348777771,0.09027427434921265,0.13913626968860626,0.17489349842071533,0.5064172173809429
llava_1_5_7b,HALL,6,3487,0.13266205787658691,0.08685962855815887,0.13343630731105804,0.1758367121219635,0.48831522139968686
llava_1_5_7b,HALL,7,3487,0.12752629816532135,0.077098548412323,0.12792909145355225,0.17755523324012756,0.41707765497537463
llava_1_5_7b,HALL,8,3487,0.1293601393699646,0.07476776838302612,0.12875866889953613,0.18352138996124268,0.42200856880571197
llava_1_5_7b,HALL,9,3487,0.11068735271692276,0.06589824706315994,0.10778473317623138,0.15310975909233093,0.39738007704540135
llava_1_5_7b,HALL,10,3487,0.10866981744766235,0.06277380138635635,0.10484655946493149,0.15011197328567505,0.3964641236396893
llava_1_5_7b,HALL,11,3487,0.09652633219957352,0.055277019739151,0.0929066389799118,0.1309324949979782,0.39938328286436175
llava_1_5_7b,HALL,12,3487,0.07837475836277008,0.047458965331315994,0.07331404834985733,0.10152418166399002,0.47173065900465494
llava_1_5_7b,HALL,13,3487,0.0973152443766594,0.060615427792072296,0.09403271973133087,0.12871676683425903,0.4036407462664551
llava_1_5_7b,HALL,14,3487,0.0780947133898735,0.04949698969721794,0.07428300380706787,0.10226938873529434,0.4581080596332709
llava_1_5_7b,HALL,15,3487,0.06360417604446411,0.03780221939086914,0.056957125663757324,0.08249102532863617,0.42628765560946963
llava_1_5_7b,HALL,16,3487,0.07374915480613708,0.04769347980618477,0.06798306107521057,0.09301687777042389,0.38532359384671266
llava_1_5_7b,HALL,17,3487,0.0827154591679573,0.05447985976934433,0.07725192606449127,0.10679200291633606,0.36313094356191594
llava_1_5_7b,HALL,18,3487,0.0617271289229393,0.040786027908325195,0.0565590038895607,0.0765983834862709,0.400817994367475
llava_1_5_7b,HALL,19,3487,0.07484406977891922,0.04819753021001816,0.06926967203617096,0.09404256194829941,0.36336771142897595
llava_1_5_7b,HALL,20,3487,0.06100572273135185,0.04200029373168945,0.05502202361822128,0.0743430107831955,0.44282675617940787
llava_1_5_7b,HALL,21,3487,0.059046003967523575,0.04223446547985077,0.054769568145275116,0.07097466289997101,0.4181020965552173
llava_1_5_7b,HALL,22,3487,0.05385957658290863,0.03657037764787674,0.04842172563076019,0.06459495425224304,0.41620349962902575
llava_1_5_7b,HALL,23,3487,0.058509618043899536,0.03852182999253273,0.05194789916276932,0.07091483473777771,0.4507956980781178
llava_1_5_7b,HALL,24,3487,0.063247911632061,0.04061601683497429,0.05761950463056564,0.07867495715618134,0.4207423785531105
llava_1_5_7b,HALL,25,3487,0.059910908341407776,0.04290086030960083,0.054994434118270874,0.07216431200504303,0.38027160812400057
llava_1_5_7b,HALL,26,3487,0.08487362414598465,0.057832054793834686,0.07815656065940857,0.10535551607608795,0.38270462395012755
llava_1_5_7b,HALL,27,3487,0.05960365757346153,0.04125281050801277,0.05435677990317345,0.07093522697687149,0.4412386813585109
llava_1_5_7b,HALL,28,3487,0.09285670518875122,0.05941148102283478,0.0861121416091919,0.12172487378120422,0.35854893756540906
llava_1_5_7b,HALL,29,3487,0.08397720009088516,0.056388840079307556,0.07786311954259872,0.10475075244903564,0.33770406217271554
llava_1_5_7b,HALL,30,3487,0.06577697396278381,0.04363241791725159,0.05989087373018265,0.08137114346027374,0.33995847540602664
llava_1_5_7b,HALL,31,3487,0.0748416930437088,0.052352242171764374,0.06909453868865967,0.09342060983181,0.3537791575886694
llava_1_5_7b,HALL,32,3487,0.09068029373884201,0.07629845291376114,0.08989618718624115,0.1027822494506836,0.525873022691976
llava_1_5_7b,REAL,1,11976,0.044088639318943024,0.026006687432527542,0.03506910055875778,0.052143581211566925,0.5465034480585299
llava_1_5_7b,REAL,2,11976,0.040960319340229034,0.029414266347885132,0.03704655170440674,0.04800647869706154,0.48611717747702654
llava_1_5_7b,REAL,3,11976,0.09216523915529251,0.054184287786483765,0.09414159506559372,0.12159515917301178,0.4914569962983035
llava_1_5_7b,REAL,4,11976,0.13153979182243347,0.08193898946046829,0.13507476449012756,0.17469534277915955,0.5301233261858771
llava_1_5_7b,REAL,5,11976,0.13516314327716827,0.08472351729869843,0.1403653621673584,0.18101899325847626,0.5064172173809429
llava_1_5_7b,REAL,6,11976,0.13013319671154022,0.08041694760322571,0.13207419216632843,0.17771518230438232,0.48831522139968686
llava_1_5_7b,REAL,7,11976,0.11069730669260025,0.06046128273010254,0.10679827630519867,0.1582428514957428,0.41707765497537463
llava_1_5_7b,REAL,8,11976,0.11380353569984436,0.06124076992273331,0.10970427095890045,0.16371211409568787,0.42200856880571197
llava_1_5_7b,REAL,9,11976,0.09336387366056442,0.052151069045066833,0.0845746099948883,0.13093483448028564,0.39738007704540135
llava_1_5_7b,REAL,10,11976,0.09062660485506058,0.049725327640771866,0.0835973471403122,0.12690940499305725,0.3964641236396893
llava_1_5_7b,REAL,11,11976,0.08042322844266891,0.04461497813463211,0.07434722781181335,0.11001568287611008,0.39938328286436175
llava_1_5_7b,REAL,12,11976,0.07543209195137024,0.04390901327133179,0.06797796487808228,0.10060130804777145,0.47173065900465494
llava_1_5_7b,REAL,13,11976,0.08270183950662613,0.047688134014606476,0.0768623799085617,0.1104356124997139,0.4036407462664551
llava_1_5_7b,REAL,14,11976,0.07358016073703766,0.045313507318496704,0.0679093450307846,0.09627925604581833,0.4581080596332709
llava_1_5_7b,REAL,15,11976,0.05547916144132614,0.03220837190747261,0.04915972426533699,0.07204364985227585,0.42628765560946963
llava_1_5_7b,REAL,16,11976,0.06144516542553902,0.03877386823296547,0.055749230086803436,0.07740578055381775,0.38532359384671266
llava_1_5_7b,REAL,17,11976,0.06675843149423599,0.042271267622709274,0.0600196048617363,0.08656132966279984,0.36313094356191594
llava_1_5_7b,REAL,18,11976,0.053305793553590775,0.03328084945678711,0.04723339527845383,0.06548164784908295,0.400817994367475
llava_1_5_7b,REAL,19,11976,0.060294412076473236,0.037694960832595825,0.052973248064517975,0.07432837784290314,0.36336771142897595
llava_1_5_7b,REAL,20,11976,0.056799013167619705,0.03678964450955391,0.050778575241565704,0.0696011558175087,0.44282675617940787
llava_1_5_7b,REAL,21,11976,0.053073614835739136,0.036640048027038574,0.048886433243751526,0.06418640166521072,0.4181020965552173
llava_1_5_7b,REAL,22,11976,0.04781310632824898,0.03087216056883335,0.04257600009441376,0.0586843378841877,0.41620349962902575
llava_1_5_7b,REAL,23,11976,0.05384022369980812,0.03573484718799591,0.0483754463493824,0.06524870544672012,0.4507956980781178
llava_1_5_7b,REAL,24,11976,0.05547105520963669,0.03489945828914642,0.04985090345144272,0.07022032141685486,0.4207423785531105
llava_1_5_7b,REAL,25,11976,0.050634242594242096,0.03502191603183746,0.04677308350801468,0.06137347221374512,0.38027160812400057
llava_1_5_7b,REAL,26,11976,0.07087202370166779,0.047804608941078186,0.06555017828941345,0.0875922292470932,0.38270462395012755
llava_1_5_7b,REAL,27,11976,0.05576800927519798,0.037511322647333145,0.04958447813987732,0.06578899174928665,0.4412386813585109
llava_1_5_7b,REAL,28,11976,0.07258185744285583,0.04787606745958328,0.06661538779735565,0.09091898798942566,0.35854893756540906
llava_1_5_7b,REAL,29,11976,0.06406108289957047,0.039813004434108734,0.05855065584182739,0.08178894221782684,0.33770406217271554
llava_1_5_7b,REAL,30,11976,0.0512249693274498,0.03115192800760269,0.044278863817453384,0.06324247270822525,0.33995847540602664
llava_1_5_7b,REAL,31,11976,0.06121301278471947,0.043209727853536606,0.05515603348612785,0.07355018705129623,0.3537791575886694
llava_1_5_7b,REAL,32,11976,0.0935942754149437,0.07715961337089539,0.09071741998195648,0.10614068061113358,0.525873022691976
