model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ot_real_auroc
llava_1_5_7b,HALL,1,3487,0.018224315717816353,0.013051841408014297,0.017535105347633362,0.022579509764909744,0.5269697817391785
llava_1_5_7b,HALL,2,3487,0.04515553265810013,0.031247880309820175,0.038234345614910126,0.05226639285683632,0.3933915412317801
llava_1_5_7b,HALL,3,3487,0.01657247729599476,0.011633769609034061,0.015609528869390488,0.020579149946570396,0.5127452591829295
llava_1_5_7b,HALL,4,3487,0.026405032724142075,0.016307082027196884,0.024554768577218056,0.034516654908657074,0.6431316054343655
llava_1_5_7b,HALL,5,3487,0.027173079550266266,0.020005229860544205,0.025957195088267326,0.0325370654463768,0.6486123834515413
llava_1_5_7b,HALL,6,3487,0.03412219136953354,0.02812652662396431,0.03269870579242706,0.038555312901735306,0.5048344346661011
llava_1_5_7b,HALL,7,3487,0.04468357935547829,0.038802966475486755,0.044954244047403336,0.050947725772857666,0.2985257389839424
llava_1_5_7b,HALL,8,3487,0.03657087683677673,0.030059408396482468,0.03662034496665001,0.0427180677652359,0.3310628881316787
llava_1_5_7b,HALL,9,3487,0.01898721605539322,0.013949224725365639,0.017869101837277412,0.02271808497607708,0.5056590573365448
llava_1_5_7b,HALL,10,3487,0.01792450062930584,0.01346564944833517,0.016719579696655273,0.02084473893046379,0.5442446766202322
llava_1_5_7b,HALL,11,3487,0.013416889123618603,0.009593306109309196,0.012316483072936535,0.01648065820336342,0.5914155047500603
llava_1_5_7b,HALL,12,3487,0.015221880748867989,0.010950854979455471,0.014132194221019745,0.018079329282045364,0.6803342489395194
llava_1_5_7b,HALL,13,3487,0.015346967615187168,0.010709980502724648,0.014153224416077137,0.018717404454946518,0.5808154881601459
llava_1_5_7b,HALL,14,3487,0.026419851928949356,0.020197689533233643,0.02576017938554287,0.0317048504948616,0.4223000297507356
llava_1_5_7b,HALL,15,3487,0.024381741881370544,0.0181600172072649,0.023370658978819847,0.029200613498687744,0.41100649583269394
llava_1_5_7b,HALL,16,3487,0.01830803044140339,0.013394826091825962,0.017242565751075745,0.021939698606729507,0.42832170410987347
llava_1_5_7b,HALL,17,3487,0.02070293389260769,0.014849051833152771,0.018763592466711998,0.024016061797738075,0.6055137590926045
llava_1_5_7b,HALL,18,3487,0.023125162348151207,0.017143279314041138,0.02214188128709793,0.02822127193212509,0.4316149984703179
llava_1_5_7b,HALL,19,3487,0.017520425841212273,0.01171786431223154,0.015653468668460846,0.020792197436094284,0.6828229516101316
llava_1_5_7b,HALL,20,3487,0.014247913844883442,0.009881574660539627,0.012760523706674576,0.016568049788475037,0.647556021612099
llava_1_5_7b,HALL,21,3487,0.03749428316950798,0.028651177883148193,0.03539227694272995,0.04404117912054062,0.5451576966187417
llava_1_5_7b,HALL,22,3487,0.019677862524986267,0.013398496434092522,0.01733119785785675,0.02286834642291069,0.5340623891890464
llava_1_5_7b,HALL,23,3487,0.024303056299686432,0.013215797021985054,0.01850334368646145,0.02799251116812229,0.53853970248115
llava_1_5_7b,HALL,24,3487,0.013558872975409031,0.006736407987773418,0.009357990697026253,0.014328274875879288,0.609790786524775
llava_1_5_7b,HALL,25,3487,0.023829353973269463,0.012295456603169441,0.018616853281855583,0.02831752970814705,0.4921718377008294
llava_1_5_7b,HALL,26,3487,0.02881142497062683,0.009097225032746792,0.014584844931960106,0.03187180683016777,0.5133287438082359
llava_1_5_7b,HALL,27,3487,0.026358231902122498,0.010687725618481636,0.01664286106824875,0.03113209828734398,0.5463885542809164
llava_1_5_7b,HALL,28,3487,0.01897045411169529,0.013721835799515247,0.017592336982488632,0.022265972569584846,0.4385949032181561
llava_1_5_7b,HALL,29,3487,0.024547046050429344,0.016392119228839874,0.021797696128487587,0.029539577662944794,0.6018796267614093
llava_1_5_7b,HALL,30,3487,0.023326724767684937,0.01266934908926487,0.0173292588442564,0.025485914200544357,0.5500584981261635
llava_1_5_7b,HALL,31,3487,0.039626725018024445,0.030391689389944077,0.03836340829730034,0.04639599472284317,0.4274526014077672
llava_1_5_7b,HALL,32,3487,0.16823044419288635,0.15261733531951904,0.16869601607322693,0.1847926825284958,0.4899409994829541
llava_1_5_7b,REAL,1,11976,0.01912711188197136,0.01312192901968956,0.018307561054825783,0.023956649005413055,0.5269697817391785
llava_1_5_7b,REAL,2,11976,0.03757309168577194,0.02811824530363083,0.03439873084425926,0.041553810238838196,0.3933915412317801
llava_1_5_7b,REAL,3,11976,0.016939332708716393,0.011824935674667358,0.015896420925855637,0.020956164225935936,0.5127452591829295
llava_1_5_7b,REAL,4,11976,0.03354194387793541,0.022508511319756508,0.03225063532590866,0.042941585183143616,0.6431316054343655
llava_1_5_7b,REAL,5,11976,0.03308001905679703,0.02436564490199089,0.032037608325481415,0.04070455580949783,0.6486123834515413
llava_1_5_7b,REAL,6,11976,0.03438258171081543,0.027661025524139404,0.03308507800102234,0.039532020688056946,0.5048344346661011
llava_1_5_7b,REAL,7,11976,0.03613432124257088,0.026774205267429352,0.03645427152514458,0.045041702687740326,0.2985257389839424
llava_1_5_7b,REAL,8,11976,0.030721327289938927,0.02291136048734188,0.029920749366283417,0.03751649707555771,0.3310628881316787
llava_1_5_7b,REAL,9,11976,0.01936856284737587,0.013841208070516586,0.01786678470671177,0.02335183322429657,0.5056590573365448
llava_1_5_7b,REAL,10,11976,0.01897631771862507,0.013764481991529465,0.01797826588153839,0.0230325385928154,0.5442446766202322
llava_1_5_7b,REAL,11,11976,0.015374116599559784,0.010789912194013596,0.014181344769895077,0.01869123987853527,0.5914155047500603
llava_1_5_7b,REAL,12,11976,0.019515356048941612,0.013989616185426712,0.01836162433028221,0.023927493020892143,0.6803342489395194
llava_1_5_7b,REAL,13,11976,0.01721544936299324,0.012195201590657234,0.015909304842352867,0.020722636952996254,0.5808154881601459
llava_1_5_7b,REAL,14,11976,0.024485280737280846,0.018138406798243523,0.02306058630347252,0.029368849471211433,0.4223000297507356
llava_1_5_7b,REAL,15,11976,0.022085679695010185,0.015454396605491638,0.0204152949154377,0.026736268773674965,0.41100649583269394
llava_1_5_7b,REAL,16,11976,0.016744257882237434,0.012039801105856895,0.0156933031976223,0.02020951174199581,0.42832170410987347
llava_1_5_7b,REAL,17,11976,0.02363794855773449,0.01692923717200756,0.02170892059803009,0.028123639523983,0.6055137590926045
llava_1_5_7b,REAL,18,11976,0.021457964554429054,0.01549817156046629,0.020061582326889038,0.025957714766263962,0.4316149984703179
llava_1_5_7b,REAL,19,11976,0.024348421022295952,0.015226341784000397,0.02163970097899437,0.03053225949406624,0.6828229516101316
llava_1_5_7b,REAL,20,11976,0.018894266337156296,0.011674024164676666,0.016144249588251114,0.023067153990268707,0.647556021612099
llava_1_5_7b,REAL,21,11976,0.040615618228912354,0.02887827903032303,0.03766411542892456,0.04889744892716408,0.5451576966187417
llava_1_5_7b,REAL,22,11976,0.021539850160479546,0.013257768005132675,0.018352627754211426,0.025582849979400635,0.5340623891890464
llava_1_5_7b,REAL,23,11976,0.026971150189638138,0.014185064472258091,0.020146846771240234,0.030033279210329056,0.53853970248115
