model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_cosine_js_real_auroc
llava_1_5_7b,HALL,1,3487,0.04427771642804146,0.03540807589888573,0.04158851131796837,0.04906052350997925,0.5465500832465044
llava_1_5_7b,HALL,2,3487,0.09308598190546036,0.07123875617980957,0.0905928909778595,0.11204227805137634,0.4710857883437269
llava_1_5_7b,HALL,3,3487,0.3711063861846924,0.2582990527153015,0.3895111382007599,0.4810493588447571,0.5027670530814041
llava_1_5_7b,HALL,4,3487,0.4061937928199768,0.29806989431381226,0.4370395839214325,0.5199310183525085,0.43813781851055134
llava_1_5_7b,HALL,5,3487,0.3828495442867279,0.283343642950058,0.4060980975627899,0.48676949739456177,0.43819293064668674
llava_1_5_7b,HALL,6,3487,0.347016841173172,0.25784730911254883,0.3621179759502411,0.4375157058238983,0.432947399914062
llava_1_5_7b,HALL,7,3487,0.34886765480041504,0.27134227752685547,0.35827815532684326,0.42601847648620605,0.39926538384100196
llava_1_5_7b,HALL,8,3487,0.3011425733566284,0.20994582772254944,0.3139744699001312,0.3822880685329437,0.43901677506623993
llava_1_5_7b,HALL,9,3487,0.2687795162200928,0.19072777032852173,0.27663812041282654,0.334228515625,0.4860315219867131
llava_1_5_7b,HALL,10,3487,0.26181894540786743,0.19657808542251587,0.2676115930080414,0.3181307315826416,0.4824417140370024
llava_1_5_7b,HALL,11,3487,0.24946828186511993,0.1966339647769928,0.25223326683044434,0.2960889935493469,0.5045961821358039
llava_1_5_7b,HALL,12,3487,0.2404324859380722,0.19534459710121155,0.2353721559047699,0.28016164898872375,0.5976032817954042
llava_1_5_7b,HALL,13,3487,0.28468698263168335,0.2390548288822174,0.2880874574184418,0.3298923373222351,0.5400383263420062
llava_1_5_7b,HALL,14,3487,0.24612325429916382,0.20541590452194214,0.2418253868818283,0.28182685375213623,0.6001593570469492
llava_1_5_7b,HALL,15,3487,0.29207178950309753,0.25134772062301636,0.2872953712940216,0.32715898752212524,0.5523240583068441
llava_1_5_7b,HALL,16,3487,0.25513795018196106,0.21432097256183624,0.24994225800037384,0.2922254800796509,0.5961356562661696
llava_1_5_7b,HALL,17,3487,0.24823400378227234,0.21046847105026245,0.24432028830051422,0.28101643919944763,0.6107262800143831
llava_1_5_7b,HALL,18,3487,0.2929130792617798,0.25448426604270935,0.2906076908111572,0.3286346197128296,0.499747882630762
llava_1_5_7b,HALL,19,3487,0.327663779258728,0.29134541749954224,0.3241412937641144,0.36231720447540283,0.5502957928092108
llava_1_5_7b,HALL,20,3487,0.3180680572986603,0.2803983688354492,0.31332650780677795,0.35148191452026367,0.5607559038352012
llava_1_5_7b,HALL,21,3487,0.2892458140850067,0.2584493160247803,0.28697487711906433,0.3179042339324951,0.48841857311794035
llava_1_5_7b,HALL,22,3487,0.3418949544429779,0.30800819396972656,0.33921730518341064,0.37258225679397583,0.42553051327777436
llava_1_5_7b,HALL,23,3487,0.3555649220943451,0.32141196727752686,0.35446056723594666,0.38959717750549316,0.3784985131337142
llava_1_5_7b,HALL,24,3487,0.33213773369789124,0.29913729429244995,0.3321020305156708,0.3648598790168762,0.40693196928222186
llava_1_5_7b,HALL,25,3487,0.31872525811195374,0.2833450436592102,0.3172033131122589,0.35155171155929565,0.4347661004065295
llava_1_5_7b,HALL,26,3487,0.28743287920951843,0.2573619484901428,0.2858375012874603,0.3164198100566864,0.43694831590338695
llava_1_5_7b,HALL,27,3487,0.28042876720428467,0.24738764762878418,0.27745765447616577,0.3108748197555542,0.5361789801762018
llava_1_5_7b,HALL,28,3487,0.26157867908477783,0.21643060445785522,0.2597692310810089,0.30596381425857544,0.5352000722599966
llava_1_5_7b,HALL,29,3487,0.24851877987384796,0.21514058113098145,0.24719110131263733,0.2800746560096741,0.5908082655129587
llava_1_5_7b,HALL,30,3487,0.22291913628578186,0.19412346184253693,0.22019822895526886,0.24929657578468323,0.5825943900993844
llava_1_5_7b,HALL,31,3487,0.2158307284116745,0.18310269713401794,0.2140558958053589,0.24726249277591705,0.5698721431966314
llava_1_5_7b,HALL,32,3487,0.1597813218832016,0.13146942853927612,0.1583024114370346,0.18673798441886902,0.5708551578829201
llava_1_5_7b,REAL,1,11976,0.045827463269233704,0.03687770664691925,0.043869681656360626,0.05170835554599762,0.5465500832465044
llava_1_5_7b,REAL,2,11976,0.09085928648710251,0.06881288439035416,0.08574904501438141,0.11043048650026321,0.4710857883437269
llava_1_5_7b,REAL,3,11976,0.37420251965522766,0.2654695510864258,0.4039022922515869,0.476595401763916,0.5027670530814041
llava_1_5_7b,REAL,4,11976,0.38560935854911804,0.27407586574554443,0.4148575961589813,0.49418219923973083,0.43813781851055134
llava_1_5_7b,REAL,5,11976,0.36222633719444275,0.261563241481781,0.3820764422416687,0.4570595622062683,0.43819293064668674
llava_1_5_7b,REAL,6,11976,0.32466956973075867,0.23813709616661072,0.3346864581108093,0.40738844871520996,0.432947399914062
llava_1_5_7b,REAL,7,11976,0.3176155686378479,0.25113701820373535,0.31720954179763794,0.38012751936912537,0.39926538384100196
llava_1_5_7b,REAL,8,11976,0.2818770408630371,0.20928919315338135,0.28266429901123047,0.3454975485801697,0.43901677506623993
llava_1_5_7b,REAL,9,11976,0.2653229236602783,0.20493511855602264,0.27055633068084717,0.3190147280693054,0.4860315219867131
llava_1_5_7b,REAL,10,11976,0.2574927806854248,0.20654505491256714,0.25940603017807007,0.3050619661808014,0.4824417140370024
llava_1_5_7b,REAL,11,11976,0.2506944537162781,0.2072160691022873,0.25067925453186035,0.29238203167915344,0.5045961821358039
llava_1_5_7b,REAL,12,11976,0.2603394389152527,0.21728184819221497,0.2605569064617157,0.30222776532173157,0.5976032817954042
llava_1_5_7b,REAL,13,11976,0.29391592741012573,0.2525220811367035,0.29654258489608765,0.3353528380393982,0.5400383263420062
llava_1_5_7b,REAL,14,11976,0.26441168785095215,0.22467055916786194,0.26557135581970215,0.3026445508003235,0.6001593570469492
llava_1_5_7b,REAL,15,11976,0.30283093452453613,0.2613064646720886,0.2984091639518738,0.33887979388237,0.5523240583068441
llava_1_5_7b,REAL,16,11976,0.27332744002342224,0.2358422875404358,0.27042365074157715,0.3080565929412842,0.5961356562661696
llava_1_5_7b,REAL,17,11976,0.2673532962799072,0.23093965649604797,0.26731076836586,0.3011402189731598,0.6107262800143831
llava_1_5_7b,REAL,18,11976,0.292692631483078,0.25510838627815247,0.2905668616294861,0.3281019926071167,0.499747882630762
llava_1_5_7b,REAL,19,11976,0.3359873294830322,0.3013980984687805,0.3352477550506592,0.36935895681381226,0.5502957928092108
llava_1_5_7b,REAL,20,11976,0.3303876519203186,0.2900090217590332,0.3249540328979492,0.3661336600780487,0.5607559038352012
llava_1_5_7b,REAL,21,11976,0.2884279787540436,0.25280076265335083,0.28486478328704834,0.31971555948257446,0.48841857311794035
llava_1_5_7b,REAL,22,11976,0.3299325406551361,0.2907520532608032,0.32452768087387085,0.3632645606994629,0.42553051327777436
llava_1_5_7b,REAL,23,11976,0.3339657187461853,0.2942419946193695,0.32965993881225586,0.3704445958137512,0.3784985131337142
llava_1_5_7b,REAL,24,11976,0.3162877559661865,0.27796855568885803,0.3128345012664795,0.3510516285896301,0.40693196928222186
llava_1_5_7b,REAL,25,11976,0.3080245554447174,0.2688688337802887,0.303017795085907,0.34211206436157227,0.4347661004065295
llava_1_5_7b,REAL,26,11976,0.27807870507240295,0.24524785578250885,0.2749239206314087,0.3083946108818054,0.43694831590338695
llava_1_5_7b,REAL,27,11976,0.2870185673236847,0.25173527002334595,0.283643513917923,0.3196449279785156,0.5361789801762018
llava_1_5_7b,REAL,28,11976,0.26828598976135254,0.2331455796957016,0.26822033524513245,0.3028564155101776,0.5352000722599966
llava_1_5_7b,REAL,29,11976,0.26485714316368103,0.23035769164562225,0.26211172342300415,0.2967779040336609,0.5908082655129587
llava_1_5_7b,REAL,30,11976,0.23575305938720703,0.20360204577445984,0.23271504044532776,0.26507672667503357,0.5825943900993844
llava_1_5_7b,REAL,31,11976,0.2256772220134735,0.1995047926902771,0.225692480802536,0.2523937225341797,0.5698721431966314
llava_1_5_7b,REAL,32,11976,0.1695164144039154,0.14342671632766724,0.16772770881652832,0.19470205903053284,0.5708551578829201
