model,label,layer,n,mean,median,q25,q75
llava_1_5_7b,HALL,1,3487,0.04016276076436043,0.037817489355802536,0.03249023109674454,0.043551914393901825
llava_1_5_7b,HALL,2,3487,0.07728458940982819,0.07425708323717117,0.0581216886639595,0.09380248188972473
llava_1_5_7b,HALL,3,3487,0.3757074475288391,0.39493876695632935,0.26015904545783997,0.4875414967536926
llava_1_5_7b,HALL,4,3487,0.4089193046092987,0.4415767192840576,0.29819950461387634,0.5234864950180054
llava_1_5_7b,HALL,5,3487,0.3879881203174591,0.4104803204536438,0.2866630256175995,0.4914889931678772
llava_1_5_7b,HALL,6,3487,0.3527858257293701,0.36713942885398865,0.2645227611064911,0.44087153673171997
llava_1_5_7b,HALL,7,3487,0.35402342677116394,0.3656010031700134,0.278598427772522,0.42760586738586426
llava_1_5_7b,HALL,8,3487,0.3052540719509125,0.3194948136806488,0.21535980701446533,0.3847081661224365
llava_1_5_7b,HALL,9,3487,0.2738732397556305,0.28212201595306396,0.19957569241523743,0.33940988779067993
llava_1_5_7b,HALL,10,3487,0.2748757004737854,0.28013795614242554,0.21363312005996704,0.32970279455184937
llava_1_5_7b,HALL,11,3487,0.2635084092617035,0.26709240674972534,0.21411243081092834,0.3086816072463989
llava_1_5_7b,HALL,12,3487,0.24713541567325592,0.24380797147750854,0.2057839334011078,0.28242218494415283
llava_1_5_7b,HALL,13,3487,0.304970383644104,0.30912113189697266,0.2638706564903259,0.3496142625808716
llava_1_5_7b,HALL,14,3487,0.2596471905708313,0.2565411329269409,0.22103853523731232,0.2956485450267792
llava_1_5_7b,HALL,15,3487,0.29683226346969604,0.2940230667591095,0.260503888130188,0.32991909980773926
llava_1_5_7b,HALL,16,3487,0.26924675703048706,0.2663857042789459,0.23076364398002625,0.3065492510795593
llava_1_5_7b,HALL,17,3487,0.2596726417541504,0.2560558021068573,0.22327739000320435,0.2917855978012085
llava_1_5_7b,HALL,18,3487,0.29080963134765625,0.29070591926574707,0.2568579912185669,0.3224833607673645
llava_1_5_7b,HALL,19,3487,0.3133639395236969,0.31299832463264465,0.28092890977859497,0.34445786476135254
llava_1_5_7b,HALL,20,3487,0.3110034763813019,0.31027835607528687,0.2789348363876343,0.3429541289806366
llava_1_5_7b,HALL,21,3487,0.2754664123058319,0.27032479643821716,0.2436738908290863,0.30011987686157227
llava_1_5_7b,HALL,22,3487,0.33134371042251587,0.3299371004104614,0.2998812794685364,0.36083877086639404
llava_1_5_7b,HALL,23,3487,0.34892183542251587,0.3490753471851349,0.3178659975528717,0.37936365604400635
llava_1_5_7b,HALL,24,3487,0.34142717719078064,0.3414638042449951,0.30959898233413696,0.3740294277667999
llava_1_5_7b,HALL,25,3487,0.3170097768306732,0.3163221478462219,0.28600838780403137,0.3472682237625122
llava_1_5_7b,HALL,26,3487,0.28451845049858093,0.28120285272598267,0.2516842782497406,0.31146132946014404
llava_1_5_7b,HALL,27,3487,0.28117474913597107,0.27700623869895935,0.24741408228874207,0.3104236125946045
llava_1_5_7b,HALL,28,3487,0.25523641705513,0.25288069248199463,0.20883698761463165,0.2999110221862793
llava_1_5_7b,HALL,29,3487,0.2541213631629944,0.2531813681125641,0.21873170137405396,0.2868737578392029
llava_1_5_7b,HALL,30,3487,0.2297428697347641,0.22749389708042145,0.19962748885154724,0.2570721507072449
