model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_uniform_js_real_auroc
llava_1_5_7b,HALL,1,3487,0.04018573835492134,0.032518211752176285,0.03784608468413353,0.0435953326523304,0.551224365852439
llava_1_5_7b,HALL,2,3487,0.07729184627532959,0.05813199654221535,0.07426158338785172,0.09380577504634857,0.4727286400542218
llava_1_5_7b,HALL,3,3487,0.3758494555950165,0.26024848222732544,0.3950146436691284,0.48772132396698,0.5005377713653096
llava_1_5_7b,HALL,4,3487,0.40901094675064087,0.29825419187545776,0.4416332542896271,0.523622989654541,0.43655782552582467
llava_1_5_7b,HALL,5,3487,0.38808494806289673,0.2867169976234436,0.41058439016342163,0.491659939289093,0.44029639912651997
llava_1_5_7b,HALL,6,3487,0.35289624333381653,0.26471713185310364,0.3671647906303406,0.4410516917705536,0.43828426138195514
llava_1_5_7b,HALL,7,3487,0.35450273752212524,0.2791683077812195,0.36632779240608215,0.42784973978996277,0.42059503769990986
llava_1_5_7b,HALL,8,3487,0.3055941164493561,0.21580231189727783,0.31996068358421326,0.3852241635322571,0.46431981877913175
llava_1_5_7b,HALL,9,3487,0.27438488602638245,0.19994723796844482,0.2828052341938019,0.3397347331047058,0.5113221855239013
llava_1_5_7b,HALL,10,3487,0.2758648991584778,0.2139395922422409,0.281320184469223,0.3313579559326172,0.5168163734025742
llava_1_5_7b,HALL,11,3487,0.26640814542770386,0.21726159751415253,0.26916539669036865,0.31229883432388306,0.5340697167205072
llava_1_5_7b,HALL,12,3487,0.2631188631057739,0.21863502264022827,0.2597586214542389,0.30460456013679504,0.6060554815778196
llava_1_5_7b,HALL,13,3487,0.31239429116249084,0.2690236568450928,0.31650692224502563,0.35842931270599365,0.5484606293171372
llava_1_5_7b,HALL,14,3487,0.2641453444957733,0.22463348507881165,0.261262446641922,0.30103278160095215,0.6001912174410957
llava_1_5_7b,HALL,15,3487,0.3213423490524292,0.27964144945144653,0.31793731451034546,0.35882773995399475,0.5751017137994562
llava_1_5_7b,HALL,16,3487,0.2781040072441101,0.2349829077720642,0.273466557264328,0.31791043281555176,0.6150453210215479
llava_1_5_7b,HALL,17,3487,0.2631290555000305,0.225864440202713,0.25886061787605286,0.29601389169692993,0.664662993897172
llava_1_5_7b,HALL,18,3487,0.31404343247413635,0.27277156710624695,0.31332921981811523,0.35280153155326843,0.545287856086899
llava_1_5_7b,HALL,19,3487,0.33807575702667236,0.3022937774658203,0.3348754346370697,0.3728561997413635,0.6114682524402595
llava_1_5_7b,HALL,20,3487,0.3351253867149353,0.2958947420120239,0.33072489500045776,0.3703293800354004,0.5898842901365295
llava_1_5_7b,HALL,21,3487,0.30499738454818726,0.2720748484134674,0.3020489811897278,0.33506011962890625,0.5396271105445763
llava_1_5_7b,HALL,22,3487,0.3562956154346466,0.32095396518707275,0.3534242808818817,0.38804933428764343,0.4781985345320217
llava_1_5_7b,HALL,23,3487,0.3756940960884094,0.34124886989593506,0.3751946687698364,0.40985536575317383,0.40142645485982
llava_1_5_7b,HALL,24,3487,0.34867241978645325,0.3141917586326599,0.34838637709617615,0.3825438916683197,0.43142897256131607
llava_1_5_7b,HALL,25,3487,0.34108713269233704,0.30447232723236084,0.3402392268180847,0.3758143186569214,0.47324550640330465
llava_1_5_7b,HALL,26,3487,0.28969907760620117,0.2577788531780243,0.28868356347084045,0.3192158341407776,0.46178772562810355
llava_1_5_7b,HALL,27,3487,0.29164567589759827,0.2553100287914276,0.2869824767112732,0.3251171112060547,0.5407429068058687
llava_1_5_7b,HALL,28,3487,0.255561500787735,0.20911774039268494,0.25315383076667786,0.3002050220966339,0.5389790670146334
llava_1_5_7b,HALL,29,3487,0.25820454955101013,0.22089029848575592,0.25585806369781494,0.2917279005050659,0.6231541445380007
llava_1_5_7b,HALL,30,3487,0.23378275334835052,0.20157116651535034,0.2311200499534607,0.2619120180606842,0.6027197665572996
llava_1_5_7b,HALL,31,3487,0.2039051651954651,0.1695835292339325,0.20101800560951233,0.23529359698295593,0.579206544242294
llava_1_5_7b,HALL,32,3487,0.14386668801307678,0.1174299418926239,0.1415005624294281,0.16829240322113037,0.5630696197863656
llava_1_5_7b,REAL,1,11976,0.04156765341758728,0.033717602491378784,0.03968799486756325,0.046295568346977234,0.551224365852439
llava_1_5_7b,REAL,2,11976,0.07567965239286423,0.0559072345495224,0.0703626498579979,0.09243971109390259,0.4727286400542218
llava_1_5_7b,REAL,3,11976,0.3779485523700714,0.26629868149757385,0.40735480189323425,0.4819355309009552,0.5005377713653096
llava_1_5_7b,REAL,4,11976,0.3867875039577484,0.27332422137260437,0.4157353639602661,0.49580082297325134,0.43655782552582467
llava_1_5_7b,REAL,5,11976,0.36819079518318176,0.2682078182697296,0.3878159523010254,0.46122822165489197,0.44029639912651997
llava_1_5_7b,REAL,6,11976,0.3329692482948303,0.25000837445259094,0.34403371810913086,0.4120126962661743,0.43828426138195514
llava_1_5_7b,REAL,7,11976,0.3315713405609131,0.26980069279670715,0.33503955602645874,0.39128392934799194,0.42059503769990986
llava_1_5_7b,REAL,8,11976,0.29559606313705444,0.22674892842769623,0.30055564641952515,0.3568934202194214,0.46431981877913175
llava_1_5_7b,REAL,9,11976,0.2781519591808319,0.2202569842338562,0.28416144847869873,0.3322922885417938,0.5113221855239013
llava_1_5_7b,REAL,10,11976,0.28046002984046936,0.23173880577087402,0.28338778018951416,0.3277891278266907,0.5168163734025742
llava_1_5_7b,REAL,11,11976,0.27439090609550476,0.2320532351732254,0.2758006453514099,0.31587156653404236,0.5340697167205072
llava_1_5_7b,REAL,12,11976,0.28527387976646423,0.24363131821155548,0.28657686710357666,0.32770124077796936,0.6060554815778196
llava_1_5_7b,REAL,13,11976,0.3238063156604767,0.283746600151062,0.32697272300720215,0.36501866579055786,0.5484606293171372
llava_1_5_7b,REAL,14,11976,0.2825791537761688,0.24453052878379822,0.2848653197288513,0.320243775844574,0.6001912174410957
llava_1_5_7b,REAL,15,11976,0.33729591965675354,0.2945682108402252,0.3338533341884613,0.3767593204975128,0.5751017137994562
llava_1_5_7b,REAL,16,11976,0.3010379672050476,0.2633604407310486,0.2992287874221802,0.3376252353191376,0.6150453210215479
llava_1_5_7b,REAL,17,11976,0.2937963306903839,0.25615036487579346,0.29451894760131836,0.3300921618938446,0.664662993897172
llava_1_5_7b,REAL,18,11976,0.3229883015155792,0.2838631868362427,0.3216531276702881,0.36086732149124146,0.545287856086899
llava_1_5_7b,REAL,19,11976,0.35747241973876953,0.3239530622959137,0.3578788638114929,0.39090365171432495,0.6114682524402595
llava_1_5_7b,REAL,20,11976,0.3538126051425934,0.3111226558685303,0.3500511646270752,0.3912407159805298,0.5898842901365295
llava_1_5_7b,REAL,21,11976,0.3126746118068695,0.2753913402557373,0.3090793490409851,0.3456840515136719,0.5396271105445763
llava_1_5_7b,REAL,22,11976,0.3536122441291809,0.31343626976013184,0.3485220968723297,0.3883868157863617,0.4781985345320217
llava_1_5_7b,REAL,23,11976,0.35812249779701233,0.3176978528499603,0.35502293705940247,0.39573249220848083,0.40142645485982
llava_1_5_7b,REAL,24,11976,0.33686789870262146,0.2976157069206238,0.33437711000442505,0.37393489480018616,0.43142897256131607
llava_1_5_7b,REAL,25,11976,0.33688822388648987,0.29574060440063477,0.3337797522544861,0.37465304136276245,0.47324550640330465
llava_1_5_7b,REAL,26,11976,0.28421688079833984,0.25041019916534424,0.28038108348846436,0.31549108028411865,0.46178772562810355
llava_1_5_7b,REAL,27,11976,0.29915231466293335,0.2611173987388611,0.2958889901638031,0.33397388458251953,0.5407429068058687
llava_1_5_7b,REAL,28,11976,0.2634257376194,0.22651070356369019,0.26228106021881104,0.29925256967544556,0.5389790670146334
llava_1_5_7b,REAL,29,11976,0.2825658321380615,0.24326154589653015,0.2789689898490906,0.3198152184486389,0.6231541445380007
llava_1_5_7b,REAL,30,11976,0.25126269459724426,0.21554291248321533,0.24803918600082397,0.2847043573856354,0.6027197665572996
llava_1_5_7b,REAL,31,11976,0.21574898064136505,0.18701906502246857,0.21498937904834747,0.24327348172664642,0.579206544242294
llava_1_5_7b,REAL,32,11976,0.15130598843097687,0.1282268464565277,0.14993523061275482,0.17320282757282257,0.5630696197863656
