feature_set,dimensions,formal_ae_ensemble_auroc,old_ev_ensemble_auroc,old_ev_minus_ae_auroc,auroc_ci95_low,auroc_ci95_high,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,64,0.894778604182233,0.8953162718850722,0.0005376677028392507,-0.007757643504630191,0.008795934634060957,0.662160410750971,0.650049921551847,0.624353549600376,0.6361972807577604,0.8903403859053508,0.8920671152825534,0.8896340097683052
B,32,0.8764845908140427,0.8678639660198642,-0.008620624794178577,-0.021246764460772855,0.003579870871035627,0.6335978519766318,0.637500238834583,0.5331452750352609,0.5799855675953807,0.8666665123307635,0.8605417884714552,0.8676886018498315
F,96,0.9010008490403876,0.8948532641754152,-0.006147584864972355,-0.01062631607680522,-0.0017853476112209734,0.6927728043994694,0.6552835786590588,0.614010343206394,0.6339469490236231,0.8934792887970076,0.8927381870817377,0.8896212770562896
C_JS,64,0.8911758254414632,0.8907990529177299,-0.0003767725237333597,-0.009118356467007998,0.008383240869394654,0.6744714725626902,0.6498386879665131,0.606958157028679,0.6275298673497184,0.881965444577109,0.8853416389199651,0.8857236202804322
D_JS,64,0.8855965825400951,0.8804994464164071,-0.005097136123688006,-0.015601886784984137,0.00540217686553345,0.6486142087696546,0.6396024034173591,0.5345557122708039,0.5811395064422055,0.8751765940342615,0.8782017706572337,0.8770856326971413
E_JS,64,0.8846589919280394,0.8857412724493627,0.0010822805213233089,-0.00837444787653951,0.010568526057194359,0.6616558851638733,0.6353252415664805,0.613540197461213,0.6231973361893256,0.8796648750197502,0.8795988964211241,0.8796151016909621
G_JS,192,0.9025687088972141,0.9023956597657298,-0.00017304913148430412,-0.004401273132236838,0.0041235318384174055,0.706943900956109,0.6588782768568849,0.6582040432534085,0.6584489027272529,0.897398070299618,0.8961230628191498,0.8997093469102628
H_JS,224,0.9053380737606007,0.9044953997290248,-0.0008426740315758963,-0.00490153545705792,0.0032332952471819634,0.6999476321204045,0.646858240292194,0.6690173953925717,0.6577308564357828,0.9000308478886558,0.9013382659088002,0.8985871319739812
C_OT,64,0.890029302600425,0.880489607502577,-0.009539695097848022,-0.018675916502822867,-0.00040421839351900213,0.6593824954996015,0.6288626057886059,0.5919134931828867,0.609653173322847,0.8734035638860932,0.8723140488693062,0.8791492001831194
D_OT,64,0.8969501103405247,0.8842428637489851,-0.012707246591539656,-0.022978975324650257,-0.0029485508493647845,0.6485882601789138,0.6301243781094527,0.5923836389280677,0.6106175457670401,0.8772152748558455,0.8787860285108571,0.8783354641333971
E_OT,64,0.8882119973400207,0.8806157771034585,-0.007596220236562146,-0.01707202703960937,0.0018243449177991337,0.6620834366468061,0.6292496467867036,0.5890926187118006,0.6084030806513293,0.8721369484203623,0.8744887382056021,0.8800714536647929
G_OT,192,0.9045903163095044,0.9038986985432043,-0.0006916177663001122,-0.004510488988377825,0.0033478574846583153,0.7084997451943043,0.6468186362382421,0.6685472496473907,0.6572204779347637,0.8970991409470708,0.8946654566731855,0.9009568633079701
H_OT,224,0.9068185409122294,0.9052732526812488,-0.001545288230980546,-0.005955036593370072,0.002909327781534312,0.7046366196672604,0.6512511410106484,0.6629055007052186,0.656703182382862,0.8984323137710647,0.8999747082038599,0.9038960941248374
