model,case_id,layer,strategy,lambda,finite_effect_norm
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_p_ffn_token,0.0,2.3879799842834473
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_p_ffn_token,0.25,2.472090482711792
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_p_ffn_token,0.5,2.563654899597168
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_p_ffn_token,0.75,2.6612377166748047
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_p_ffn_token,1.0,2.763599157333374
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_p_ffn_token,1.25,2.8696861267089844
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_8_region,0.0,1.0658409595489502
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_8_region,0.25,1.4315451383590698
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_8_region,0.5,1.8642090559005737
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_8_region,0.75,2.3146812915802
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_8_region,1.0,2.763599157333374
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,highest_8_region,1.25,3.202305316925049
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,deterministic_random_region,0.0,2.5419962406158447
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,deterministic_random_region,0.25,2.5942726135253906
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,deterministic_random_region,0.5,2.648737907409668
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,deterministic_random_region,0.75,2.705231189727783
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,deterministic_random_region,1.0,2.763599157333374
llava_1_5_7b,llava_1_5_7b:148197:27:16,16,deterministic_random_region,1.25,2.8236935138702393
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_p_ffn_token,0.0,0.33936092257499695
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_p_ffn_token,0.25,0.3392428159713745
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_p_ffn_token,0.5,0.33954018354415894
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_p_ffn_token,0.75,0.3402499556541443
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_p_ffn_token,1.0,0.34137022495269775
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_p_ffn_token,1.25,0.34289616346359253
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_8_region,0.0,0.27601316571235657
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_8_region,0.25,0.29127806425094604
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_8_region,0.5,0.3073364198207855
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_8_region,0.75,0.3240675628185272
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_8_region,1.0,0.34137022495269775
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,highest_8_region,1.25,0.35915932059288025
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,deterministic_random_region,0.0,0.32156553864479065
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,deterministic_random_region,0.25,0.3264634609222412
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,deterministic_random_region,0.5,0.3313981890678406
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,deterministic_random_region,0.75,0.3363676071166992
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,deterministic_random_region,1.0,0.34137022495269775
llava_1_5_7b,llava_1_5_7b:150129:58:8,8,deterministic_random_region,1.25,0.3464043140411377
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_p_ffn_token,0.0,1.1732995510101318
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_p_ffn_token,0.25,1.1956697702407837
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_p_ffn_token,0.5,1.2198771238327026
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_p_ffn_token,0.75,1.245810627937317
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_p_ffn_token,1.0,1.2733616828918457
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_p_ffn_token,1.25,1.3024241924285889
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_8_region,0.0,0.6877554655075073
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_8_region,0.25,0.7916427850723267
llava_1_5_7b,llava_1_5_7b:150779:56:24,24,highest_8_region,0.5,0.9324894547462463
