model,case_id,layer,strategy,lambda,finite_effect_norm
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_p_ffn_token,0.0,0.3794567286968231
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_p_ffn_token,0.25,0.37967628240585327
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_p_ffn_token,0.5,0.3800390660762787
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_p_ffn_token,0.75,0.3805442452430725
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_p_ffn_token,1.0,0.3811909854412079
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_p_ffn_token,1.25,0.3819788098335266
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_8_region,0.0,0.2947908639907837
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_8_region,0.25,0.31616753339767456
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_8_region,0.5,0.3377150893211365
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_8_region,0.75,0.35939866304397583
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_8_region,1.0,0.3811909854412079
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,highest_8_region,1.25,0.40307119488716125
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,deterministic_random_region,0.0,0.33433982729911804
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,deterministic_random_region,0.25,0.3459625840187073
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,deterministic_random_region,0.5,0.3576505482196808
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,deterministic_random_region,0.75,0.3693956136703491
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,deterministic_random_region,1.0,0.3811909854412079
llava_1_5_7b,llava_1_5_7b:253441:102:8,8,deterministic_random_region,1.25,0.3930310010910034
