feature_set,ae_variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
A,top32,43,fixed_0.5,0.5,0.8902069818090058,0.9659502821764835,0.9028761984160066,0.888797702092737,0.8957816377171216,0.6704941423356641,0.6372155287817939,0.6713681241184767,0.6538461538461539
A,top32,43,train_f1,0.4940117597579956,0.8902069818090058,0.9659502821764835,0.9019118869492935,0.8904390644234714,0.896138756968821,0.6704941423356641,0.6391891891891892,0.6671368124118476,0.6528640441683919
A,top32,44,fixed_0.5,0.5,0.8898059013805153,0.9653948794627072,0.9054621848739496,0.884283955683217,0.8947477683205315,0.6770301728898883,0.6318537859007833,0.6826516220028209,0.656271186440678
A,top32,44,train_f1,0.42207878828048706,0.8898059013805153,0.9653948794627072,0.8852719333068678,0.9150594993844892,0.8999192897497982,0.6770301728898883,0.6698564593301436,0.5923836389280677,0.6287425149700598
A,top32,45,fixed_0.5,0.5,0.8896039142671774,0.9663857726233716,0.9146981627296588,0.8580221583914649,0.8854541604912132,0.6593270492135751,0.5976744186046512,0.7249647390691114,0.6551943913320586
A,top32,45,train_f1,0.46717748045921326,0.8896039142671774,0.9663857726233716,0.9048228766538625,0.8699220352892901,0.8870292887029289,0.6593270492135751,0.6052303860523038,0.685472496473907,0.6428571428571429
A,full,43,fixed_0.5,0.5,0.8851318385515268,0.9632484756037466,0.8936781609195402,0.8933114485022569,0.8934947670839318,0.6714084268740869,0.6338028169014085,0.6346967559943583,0.6342494714587738
A,full,43,train_f1,0.486383855342865,0.8851318385515268,0.9632484756037466,0.8895655704425497,0.8990562166598277,0.8942857142857142,0.6714084268740869,0.6398243045387995,0.616361071932299,0.6278735632183908
A,full,44,fixed_0.5,0.5,0.8909009146138545,0.9663099280950712,0.9122807017543859,0.8748461222814936,0.893171344784248,0.6795236120820473,0.622991347342398,0.7108603667136812,0.6640316205533597
A,full,44,train_f1,0.410518616437912,0.8909009146138545,0.9663099280950712,0.8848605577689242,0.9113664341403365,0.8979179300586214,0.6795236120820473,0.660377358490566,0.5923836389280677,0.6245353159851301
A,full,45,fixed_0.5,0.5,0.8866452950024684,0.9654181149838389,0.9204291461779168,0.8448912597455889,0.8810440735986307,0.6608839240768268,0.5841584158415841,0.7489421720733427,0.6563658838071693
A,full,45,train_f1,0.41744786500930786,0.8866452950024684,0.9654181149838389,0.8955906821963394,0.8834632745178498,0.8894856434620946,0.6608839240768268,0.6172506738544474,0.6459802538787024,0.631288766368022
B,top32,43,fixed_0.5,0.5,0.8594519840748498,0.9541556436762193,0.8453570107288199,0.9376282314320886,0.8891050583657587,0.6135930891520717,0.6568848758465011,0.4104372355430183,0.5052083333333334
B,top32,43,train_f1,0.50345778465271,0.8594519840748498,0.9541556436762193,0.8476968796433878,0.9363972096840377,0.8898420744784559,0.6135930891520717,0.6585903083700441,0.4217207334273625,0.5141874462596733
B,top32,44,fixed_0.5,0.5,0.8652853024568926,0.9555568901179498,0.8847736625514403,0.8822322527697989,0.883501130059585,0.6347611009304862,0.5991620111731844,0.6050775740479548,0.6021052631578947
B,top32,44,train_f1,0.4449944496154785,0.8652853024568926,0.9555568901179498,0.8650855365474339,0.913007796471071,0.8884008784188461,0.6347611009304862,0.6306620209059234,0.5105782792665726,0.5643024162120032
