model,label,layer,n_mentions,spearman,pearson_log
llava_1_5_7b,ALL,1,15463,0.7293690736037914,0.7223257372547686
llava_1_5_7b,ALL,2,15463,0.5696709563098755,0.5723409098545115
llava_1_5_7b,ALL,3,15463,0.9047961430926544,0.9049834751564061
llava_1_5_7b,ALL,4,15463,0.9829282907403777,0.9832382766707324
llava_1_5_7b,ALL,5,15463,0.9852139741816314,0.9864782222107924
llava_1_5_7b,ALL,6,15463,0.9854643261344174,0.9875198631200947
llava_1_5_7b,ALL,7,15463,0.9952310071448315,0.9960267297487225
llava_1_5_7b,ALL,8,15463,0.9947820431740659,0.9950938683805186
llava_1_5_7b,ALL,9,15463,0.9971935208645218,0.9968628442182901
llava_1_5_7b,ALL,10,15463,0.9949290974256035,0.9957620021379839
llava_1_5_7b,ALL,11,15463,0.9940214739484237,0.9961749952043746
llava_1_5_7b,ALL,12,15463,0.9806382473922113,0.9892049063277955
llava_1_5_7b,ALL,13,15463,0.9852106542664585,0.9893103334653318
llava_1_5_7b,ALL,14,15463,0.981264923999122,0.9880216187090778
llava_1_5_7b,ALL,15,15463,0.9855509623111934,0.9905529974704885
llava_1_5_7b,ALL,16,15463,0.9831274842201264,0.9910776588035327
llava_1_5_7b,ALL,17,15463,0.9895595466971434,0.9913202909212995
llava_1_5_7b,ALL,18,15463,0.9687706130379353,0.9842831098735728
llava_1_5_7b,ALL,19,15463,0.9760791673124678,0.9868524318359322
llava_1_5_7b,ALL,20,15463,0.9669841893166445,0.989593954927194
llava_1_5_7b,ALL,21,15463,0.9362282883371846,0.9790691542191834
llava_1_5_7b,ALL,22,15463,0.9752689957112348,0.9881455317679195
llava_1_5_7b,ALL,23,15463,0.9475605920206629,0.9811473596880277
llava_1_5_7b,ALL,24,15463,0.9706501536848782,0.9820753205049101
llava_1_5_7b,ALL,25,15463,0.9560881017049865,0.9771749672208746
llava_1_5_7b,ALL,26,15463,0.9311822643695927,0.954319790710803
llava_1_5_7b,ALL,27,15463,0.9554224588762958,0.9748555707657202
llava_1_5_7b,ALL,28,15463,0.9862503079363133,0.9819358759940658
llava_1_5_7b,ALL,29,15463,0.9579909313548232,0.9606961474460605
llava_1_5_7b,ALL,30,15463,0.9719600154482145,0.9773797081415783
llava_1_5_7b,ALL,31,15463,0.9881070181451731,0.9866484790432888
llava_1_5_7b,ALL,32,15463,0.7179449763395099,0.734600113019587
llava_1_5_7b,REAL,1,11976,0.7011023789309289,0.7048127721031417
llava_1_5_7b,REAL,2,11976,0.5826161683334967,0.5714467576252737
llava_1_5_7b,REAL,3,11976,0.90761832848698,0.9059219471261398
llava_1_5_7b,REAL,4,11976,0.983622794751355,0.9828907099882009
llava_1_5_7b,REAL,5,11976,0.9843556187067272,0.9855471857804782
llava_1_5_7b,REAL,6,11976,0.9863171551263484,0.9870227398466038
llava_1_5_7b,REAL,7,11976,0.9956317030111047,0.9958068209764023
llava_1_5_7b,REAL,8,11976,0.9942006726214409,0.994920210882863
llava_1_5_7b,REAL,9,11976,0.9968627749804727,0.9965531477409597
llava_1_5_7b,REAL,10,11976,0.9927998744991726,0.995131560337058
llava_1_5_7b,REAL,11,11976,0.990369882370732,0.9955871954354955
llava_1_5_7b,REAL,12,11976,0.9808940055058653,0.9891325664511217
llava_1_5_7b,REAL,13,11976,0.9821994251775683,0.9883188697609913
llava_1_5_7b,REAL,14,11976,0.9814768634538157,0.9873998527380686
llava_1_5_7b,REAL,15,11976,0.9849335116289666,0.9913528120814297
llava_1_5_7b,REAL,16,11976,0.9784776332495336,0.9906379766494456
llava_1_5_7b,REAL,17,11976,0.9866850889067543,0.9913660379275405
llava_1_5_7b,REAL,18,11976,0.9653160544603581,0.9832831411862479
llava_1_5_7b,REAL,19,11976,0.9750348888494733,0.987465284871753
llava_1_5_7b,REAL,20,11976,0.9675067584042548,0.9892632473782289
llava_1_5_7b,REAL,21,11976,0.9389313969009045,0.976925544950032
llava_1_5_7b,REAL,22,11976,0.975579770318896,0.9863469283086433
llava_1_5_7b,REAL,23,11976,0.9532227266025313,0.9790671786495198
llava_1_5_7b,REAL,24,11976,0.9730927839758882,0.9805003537628637
llava_1_5_7b,REAL,25,11976,0.9573164291818725,0.9735625873301731
llava_1_5_7b,REAL,26,11976,0.9308784455962279,0.9478213059029691
llava_1_5_7b,REAL,27,11976,0.9588241930602843,0.9727505392828574
llava_1_5_7b,REAL,28,11976,0.9862002314594676,0.9817236763189077
llava_1_5_7b,REAL,29,11976,0.9539544207249732,0.9546231597395962
llava_1_5_7b,REAL,30,11976,0.9710597209659002,0.9752356644427905
llava_1_5_7b,REAL,31,11976,0.9877230066577484,0.9860819975706948
llava_1_5_7b,REAL,32,11976,0.678905473863015,0.71704396502781
llava_1_5_7b,HALL,1,3487,0.5862675728780952,0.6578960088855396
llava_1_5_7b,HALL,2,3487,0.1326526872107306,0.22711790478364036
llava_1_5_7b,HALL,3,3487,0.9081377619816432,0.9116982382231549
llava_1_5_7b,HALL,4,3487,0.9648409389263102,0.9702525925083721
llava_1_5_7b,HALL,5,3487,0.9782203990606825,0.9812488815142549
llava_1_5_7b,HALL,6,3487,0.9677815580291139,0.9786809493494834
llava_1_5_7b,HALL,7,3487,0.9844794800937622,0.9918194462664048
llava_1_5_7b,HALL,8,3487,0.9874308023688353,0.99047547379488
llava_1_5_7b,HALL,9,3487,0.9932123550595237,0.9951802914336422
llava_1_5_7b,HALL,10,3487,0.9933276134108422,0.9944500402133983
llava_1_5_7b,HALL,11,3487,0.9949557525829023,0.99555971860757
llava_1_5_7b,HALL,12,3487,0.9747316564432265,0.9882394572433055
llava_1_5_7b,HALL,13,3487,0.9864959202333384,0.9899478001662799
llava_1_5_7b,HALL,14,3487,0.9802254242909145,0.9902172493718415
llava_1_5_7b,HALL,15,3487,0.9812482111502218,0.9890163695961209
llava_1_5_7b,HALL,16,3487,0.9877658843700969,0.9914374710017583
llava_1_5_7b,HALL,17,3487,0.9837936930881114,0.9866604046795289
llava_1_5_7b,HALL,18,3487,0.9725097693574944,0.9867448980018646
llava_1_5_7b,HALL,19,3487,0.9759033335670378,0.9901830967880965
llava_1_5_7b,HALL,20,3487,0.9700917640494892,0.9923240500520163
llava_1_5_7b,HALL,21,3487,0.9381646613692605,0.9872897519085756
llava_1_5_7b,HALL,22,3487,0.9744569225405015,0.9934880914163585
llava_1_5_7b,HALL,23,3487,0.9337606421391651,0.9891487104051053
llava_1_5_7b,HALL,24,3487,0.9656447473169737,0.9878031480890083
llava_1_5_7b,HALL,25,3487,0.9507270680885224,0.987697792512979
llava_1_5_7b,HALL,26,3487,0.9323469815403982,0.9757890886614659
llava_1_5_7b,HALL,27,3487,0.9415881773098177,0.9819670168275801
llava_1_5_7b,HALL,28,3487,0.9844736118447251,0.9795706203619639
llava_1_5_7b,HALL,29,3487,0.9855564155870975,0.9904764772524993
llava_1_5_7b,HALL,30,3487,0.9747809937898353,0.985548624408567
llava_1_5_7b,HALL,31,3487,0.9865073212028699,0.9879516943062857
llava_1_5_7b,HALL,32,3487,0.5753687853261874,0.6123535548413539
