feature,display,seed,input_dimensions,auroc,accuracy,real_f1,hall_f1,hall_aupr,best_epoch
all_aggregate_s,All-token aggregate S,43,32,0.8634020185978621,0.8239033693579149,0.8895534290271132,0.5658307210031348,0.6174669373853301,100
all_aggregate_s,All-token aggregate S,44,32,0.8656079609545597,0.8321678321678322,0.8939333065488148,0.5981735159817352,0.6273666972942832,72
all_aggregate_s,All-token aggregate S,45,32,0.8642403519321602,0.821360457724094,0.8862808579522461,0.5837037037037037,0.626869564354386,94
all_tokenwise_s,All-token tokenwise S,43,32,0.8788418788158346,0.8401144310235219,0.8988131160732247,0.619227857683573,0.6459791227899465,99
all_tokenwise_s,All-token tokenwise S,44,32,0.8820864053412569,0.8289891926255563,0.8950448692937963,0.5385934819897084,0.6568498076619642,93
all_tokenwise_s,All-token tokenwise S,45,32,0.8785085132648814,0.8391608391608392,0.8982710092480901,0.6160849772382397,0.6502576424578901,100
union_tokenwise_s,Union-TopK tokenwise S,43,32,0.8746172228450318,0.828353464717101,0.890422077922078,0.6041055718475073,0.6219656885096487,99
union_tokenwise_s,Union-TopK tokenwise S,44,32,0.8770685592878478,0.8286713286713286,0.8911331044233488,0.5980611483967189,0.6350479696582881,96
union_tokenwise_s,Union-TopK tokenwise S,45,32,0.8722752719736224,0.8258105530832803,0.8896496173983085,0.5867269984917044,0.6190292339148867,100
union_aggregate_s,Union-TopK aggregate S,43,32,0.8626690195175112,0.8188175460902734,0.8833878887070377,0.594017094017094,0.6024261993544607,99
union_aggregate_s,Union-TopK aggregate S,44,32,0.8634503450275576,0.826128417037508,0.8909272183449651,0.5716523101018011,0.6057837818918755,96
union_aggregate_s,Union-TopK aggregate S,45,32,0.8608088860439638,0.8210425937698665,0.887467519488307,0.5632273079906904,0.6004012797359625,100
