feature,layer,hall_minus_real,cohens_d_hall_minus_real,real_positive_auroc,best_orientation_auroc
I,1,-0.09862771143895205,-1.0566315495262413,0.7795958277323216,0.7795958277323216
I,2,-0.08973264477935439,-0.8559719951156762,0.7406172156951318,0.7406172156951318
I,3,-0.027117017738833016,-0.27238635031491865,0.5737239463153436,0.5737239463153436
I,4,-0.12836478291452508,-0.7377324007832846,0.7247485483346006,0.7247485483346006
I,5,-0.1519340841678004,-0.6556521862798151,0.7136216918111149,0.7136216918111149
I,6,-0.2988066100212792,-0.7332436679951554,0.7445732206215316,0.7445732206215316
I,7,-0.8011155606320715,-0.86941206485797,0.7824540319526349,0.7824540319526349
I,8,-0.696818757637661,-0.8996023014357818,0.7560274813080898,0.7560274813080898
I,9,-0.8135433697136535,-0.8415260076859087,0.7653433480094689,0.7653433480094689
I,10,-0.9254578663009996,-0.9651422676037459,0.7710346369059695,0.7710346369059695
I,11,-1.2121535902611706,-1.018193632135685,0.7737041212718908,0.7737041212718908
I,12,-0.5756640260393704,-0.3703203519163832,0.6065694145196999,0.6065694145196999
I,13,-1.033004327637458,-0.7613531985945559,0.7184515647296889,0.7184515647296889
I,14,-0.20315038859212908,-0.17326749678148679,0.5482196110029063,0.5482196110029063
I,15,-1.2759241351138266,-0.519088514424398,0.657691649909129,0.657691649909129
I,16,-1.0085776571587535,-0.6011446696478532,0.6776757319246082,0.6776757319246082
I,17,-2.056133163542785,-0.8889279313422171,0.7367050681996821,0.7367050681996821
I,18,-1.164895470577453,-0.4744595192950565,0.6456458945996381,0.6456458945996381
I,19,-1.0435077728304023,-0.4141809217074533,0.6369176312667395,0.6369176312667395
I,20,-1.0922701189091741,-0.3109312637526483,0.6018116435528547,0.6018116435528547
I,21,-0.3643403743686573,-0.09973109414249254,0.5389309232172403,0.5389309232172403
I,22,0.7802921172511876,0.21142852021933772,0.42935834626906044,0.5706416537309396
I,23,1.2376283548646594,0.3501024239712853,0.38039010580189153,0.6196098941981085
I,24,0.8212706076448963,0.3365761766702576,0.3940680328250421,0.6059319671749579
I,25,0.7038361467661769,0.18382828871310208,0.4366913973248092,0.5633086026751908
I,26,0.398660224912585,0.1492296853929514,0.44888875590776234,0.5511112440922377
I,27,0.0890697325551244,0.025229260911636468,0.4912417201289109,0.5087582798710891
I,28,-0.39333730870117134,-0.34145250951778555,0.6288987496070431,0.6288987496070431
I,29,-0.5842248966715227,-0.16509184728348422,0.528180979586551,0.528180979586551
I,30,-0.6582137752391661,-0.24037536045780755,0.5604674241897427,0.5604674241897427
I,31,-0.763315759261102,-0.5146893970429556,0.6524410066668085,0.6524410066668085
I,32,-1.5148247649188864,-0.8201427342379249,0.7665523547812574,0.7665523547812574
R,1,-0.1818512131130634,-0.8802220806640021,0.743660871116097,0.743660871116097
R,2,-0.07721963161651041,-0.9390004301748027,0.7653567578709661,0.7653567578709661
R,3,-0.011957659583726965,-0.20624082941588603,0.5498626303366699,0.5498626303366699
R,4,-0.1121529536877735,-0.7173282056174455,0.7350381984693984,0.7350381984693984
R,5,-0.13951885752130427,-0.6315812297774621,0.7184152503458308,0.7184152503458308
R,6,-0.2763805109941517,-0.7200101369970909,0.7407706388783685,0.7407706388783685
R,7,-0.6945002216884132,-0.8626702595135176,0.780190351547182,0.780190351547182
R,8,-0.5765705550524498,-0.8731175005399983,0.744071260770274,0.744071260770274
R,9,-0.5759194643860469,-0.8236882838008963,0.7627398114266963,0.7627398114266963
R,10,-0.7082993059604,-0.9420751637154652,0.7681769355554624,0.7681769355554624
R,11,-0.9585447423928757,-1.003350642017969,0.7731887755053172,0.7731887755053172
R,12,-0.49851147720710776,-0.34111386892058465,0.6105923131034079,0.6105923131034079
R,13,-0.7478982757306878,-0.7157773974688088,0.7081290005687697,0.7081290005687697
R,14,-0.14132762679795596,-0.18523964739935142,0.5426668268187269,0.5426668268187269
R,15,-0.7954269056487804,-0.4577431482658531,0.6532506988932458,0.6532506988932458
R,16,-0.5735841544040219,-0.6731903306611667,0.6952310126418597,0.6952310126418597
R,17,-1.326528793194741,-0.8995849568447731,0.7415758411958224,0.7415758411958224
R,18,-0.5262442602673927,-0.4135243628670366,0.624404099279718,0.624404099279718
R,19,-0.885593364959941,-0.5808636614021729,0.675317859215228,0.675317859215228
R,20,-0.3991057828843929,-0.32636488504254424,0.605373015412337,0.605373015412337
R,21,-0.2200855550656513,-0.12791038296938023,0.5354054347103537,0.5354054347103537
R,22,0.16378316506772084,0.13984632220933715,0.4523291875788667,0.5476708124211334
R,23,0.12540316201011148,0.09261069755617136,0.44208210178123186,0.5579178982187681
R,24,0.1298900131287275,0.1794821976048048,0.43099149977615103,0.569008500223849
R,25,0.06770457057594337,0.048602969600170895,0.46129122550616963,0.5387087744938304
R,26,-0.06270879464077583,-0.04745909450888019,0.48866190223866146,0.5113380977613385
R,27,0.029604518604827934,0.024796163694094833,0.4843527270581695,0.5156472729418304
R,28,-0.08542780417112666,-0.19103594935970092,0.623078043574004,0.623078043574004
R,29,-0.3413856579637633,-0.2261421121301205,0.5435601031908,0.5435601031908
R,30,-0.1643327172588116,-0.19285934323725057,0.5473644569513753,0.5473644569513753
R,31,-0.1920526372905883,-0.48178779202269245,0.6350242665811501,0.6350242665811501
R,32,-2.6606260943523257,-0.6248284293480636,0.7374158866437588,0.7374158866437588
