model,image_id,response_index,layer,method,metric,value
llava_1_5_7b,395405,13,8,WRITE,bbox_mass,0.6442624926567078
llava_1_5_7b,395405,13,8,WRITE,top1_pointing,1.0
llava_1_5_7b,395405,13,8,WRITE,patch_aupr,0.5847949981689453
llava_1_5_7b,395405,13,8,JFFN,bbox_mass,0.6543585658073425
llava_1_5_7b,395405,13,8,JFFN,top1_pointing,1.0
llava_1_5_7b,395405,13,8,JFFN,patch_aupr,0.5987061858177185
llava_1_5_7b,395405,13,8,Q_POSITIVE,bbox_mass,0.7605275511741638
llava_1_5_7b,395405,13,8,Q_POSITIVE,top1_pointing,1.0
llava_1_5_7b,395405,13,8,Q_POSITIVE,patch_aupr,0.6450701951980591
llava_1_5_7b,395405,13,8,LOGIT_MARGIN_POSITIVE,bbox_mass,0.3757009506225586
llava_1_5_7b,395405,13,8,LOGIT_MARGIN_POSITIVE,top1_pointing,0.0
llava_1_5_7b,395405,13,8,LOGIT_MARGIN_POSITIVE,patch_aupr,0.4250949025154114
llava_1_5_7b,395405,13,16,WRITE,bbox_mass,0.7754310369491577
llava_1_5_7b,395405,13,16,WRITE,top1_pointing,1.0
llava_1_5_7b,395405,13,16,WRITE,patch_aupr,0.6579141020774841
llava_1_5_7b,395405,13,16,JFFN,bbox_mass,0.7700209617614746
llava_1_5_7b,395405,13,16,JFFN,top1_pointing,1.0
llava_1_5_7b,395405,13,16,JFFN,patch_aupr,0.6540607213973999
llava_1_5_7b,395405,13,16,Q_POSITIVE,bbox_mass,0.9363914728164673
llava_1_5_7b,395405,13,16,Q_POSITIVE,top1_pointing,1.0
llava_1_5_7b,395405,13,16,Q_POSITIVE,patch_aupr,0.725064754486084
llava_1_5_7b,395405,13,16,LOGIT_MARGIN_POSITIVE,bbox_mass,0.5282904505729675
llava_1_5_7b,395405,13,16,LOGIT_MARGIN_POSITIVE,top1_pointing,1.0
llava_1_5_7b,395405,13,16,LOGIT_MARGIN_POSITIVE,patch_aupr,0.43761810660362244
llava_1_5_7b,395405,13,24,WRITE,bbox_mass,0.7058632373809814
llava_1_5_7b,395405,13,24,WRITE,top1_pointing,1.0
llava_1_5_7b,395405,13,24,WRITE,patch_aupr,0.6113713979721069
llava_1_5_7b,395405,13,24,JFFN,bbox_mass,0.6984792947769165
llava_1_5_7b,395405,13,24,JFFN,top1_pointing,1.0
llava_1_5_7b,395405,13,24,JFFN,patch_aupr,0.6198916435241699
llava_1_5_7b,395405,13,24,Q_POSITIVE,bbox_mass,0.8041470050811768
llava_1_5_7b,395405,13,24,Q_POSITIVE,top1_pointing,1.0
llava_1_5_7b,395405,13,24,Q_POSITIVE,patch_aupr,0.6498821377754211
llava_1_5_7b,395405,13,24,LOGIT_MARGIN_POSITIVE,bbox_mass,0.4877550005912781
llava_1_5_7b,395405,13,24,LOGIT_MARGIN_POSITIVE,top1_pointing,0.0
llava_1_5_7b,395405,13,24,LOGIT_MARGIN_POSITIVE,patch_aupr,0.45963647961616516
llava_1_5_7b,395405,13,32,WRITE,bbox_mass,0.37192052602767944
llava_1_5_7b,395405,13,32,WRITE,top1_pointing,0.0
llava_1_5_7b,395405,13,32,WRITE,patch_aupr,0.44993725419044495
llava_1_5_7b,395405,13,32,JFFN,bbox_mass,0.2927321791648865
llava_1_5_7b,395405,13,32,JFFN,top1_pointing,0.0
llava_1_5_7b,395405,13,32,JFFN,patch_aupr,0.3864341378211975
llava_1_5_7b,395405,13,32,Q_POSITIVE,bbox_mass,0.27983400225639343
llava_1_5_7b,395405,13,32,Q_POSITIVE,top1_pointing,0.0
llava_1_5_7b,395405,13,32,Q_POSITIVE,patch_aupr,0.3716326355934143
llava_1_5_7b,395405,13,32,LOGIT_MARGIN_POSITIVE,bbox_mass,0.5472937822341919
llava_1_5_7b,395405,13,32,LOGIT_MARGIN_POSITIVE,top1_pointing,0.0
llava_1_5_7b,395405,13,32,LOGIT_MARGIN_POSITIVE,patch_aupr,0.6077165603637695
llava_1_5_7b,54133,27,8,WRITE,bbox_mass,0.2450098991394043
llava_1_5_7b,54133,27,8,WRITE,top1_pointing,0.0
llava_1_5_7b,54133,27,8,WRITE,patch_aupr,0.31391263008117676
llava_1_5_7b,54133,27,8,JFFN,bbox_mass,0.2455005645751953
llava_1_5_7b,54133,27,8,JFFN,top1_pointing,0.0
llava_1_5_7b,54133,27,8,JFFN,patch_aupr,0.30746376514434814
llava_1_5_7b,54133,27,8,Q_POSITIVE,bbox_mass,0.27546414732933044
llava_1_5_7b,54133,27,8,Q_POSITIVE,top1_pointing,0.0
llava_1_5_7b,54133,27,8,Q_POSITIVE,patch_aupr,0.3376063108444214
llava_1_5_7b,54133,27,8,LOGIT_MARGIN_POSITIVE,bbox_mass,0.2928929328918457
llava_1_5_7b,54133,27,8,LOGIT_MARGIN_POSITIVE,top1_pointing,0.0
llava_1_5_7b,54133,27,8,LOGIT_MARGIN_POSITIVE,patch_aupr,0.30679574608802795
llava_1_5_7b,54133,27,16,WRITE,bbox_mass,0.5655760765075684
llava_1_5_7b,54133,27,16,WRITE,top1_pointing,1.0
