model,image_id,response_index,layer,method,metric,value
llava_1_5_7b,395405,13,16,WRITE,bbox_mass,0.7754310369491577
llava_1_5_7b,395405,13,16,WRITE,top1_pointing,1.0
llava_1_5_7b,395405,13,16,WRITE,patch_aupr,0.6579141020774841
llava_1_5_7b,395405,13,16,JFFN,bbox_mass,0.7700209617614746
llava_1_5_7b,395405,13,16,JFFN,top1_pointing,1.0
llava_1_5_7b,395405,13,16,JFFN,patch_aupr,0.6540607213973999
llava_1_5_7b,395405,13,16,Q_POSITIVE,bbox_mass,0.9363914728164673
llava_1_5_7b,395405,13,16,Q_POSITIVE,top1_pointing,1.0
llava_1_5_7b,395405,13,16,Q_POSITIVE,patch_aupr,0.725064754486084
llava_1_5_7b,395405,13,16,LOGIT_MARGIN_POSITIVE,bbox_mass,0.5282904505729675
llava_1_5_7b,395405,13,16,LOGIT_MARGIN_POSITIVE,top1_pointing,1.0
llava_1_5_7b,395405,13,16,LOGIT_MARGIN_POSITIVE,patch_aupr,0.43761810660362244
