feature,layer,hall_minus_real,cohens_d_hall_minus_real,real_positive_auroc,best_orientation_auroc
N,1,-0.0060529382391278155,-0.40123365498885166,0.6451263223320745,0.6451263223320745
N,2,-0.002451012436063188,-0.20745229962719072,0.6025246171532435,0.6025246171532435
N,3,0.001919078788168313,0.1437820910289709,0.4337138812564428,0.5662861187435573
N,4,-0.006237462838552289,-0.4409505503324445,0.6546989998542156,0.6546989998542156
N,5,-0.008086371171244406,-0.4183318824348519,0.6487472483443131,0.6487472483443131
N,6,-0.01775685431087933,-0.5763475342163551,0.7171644694608603,0.7171644694608603
N,7,-0.05046572678170167,-0.8097918761378816,0.773790483174551,0.773790483174551
N,8,-0.042293308585947334,-0.8170387333848674,0.745352309628338,0.745352309628338
N,9,-0.04446625653498878,-0.7942589417662943,0.7609976549025783,0.7609976549025783
N,10,-0.053251992328037165,-0.9431604938606649,0.7708171816340836,0.7708171816340836
N,11,-0.0711242013861814,-0.9695878094868411,0.7665256547891692,0.7665256547891692
N,12,-0.01294866224970076,-0.11116742812435285,0.5306225202532011,0.5306225202532011
N,13,-0.05161912094923424,-0.6364750196146735,0.6877501537823759,0.6877501537823759
N,14,0.0071076636542980465,0.11147835768713707,0.4630782571739407,0.5369217428260593
N,15,-0.043545041275103835,-0.32276584387429913,0.6105165593590393,0.6105165593590393
N,16,-0.03724984845363985,-0.49833828472241776,0.6455284385806314,0.6455284385806314
N,17,-0.09877126997545371,-0.8868541890843838,0.7439354978957053,0.7439354978957053
N,18,-0.025625830862988086,-0.23586994147092216,0.5700661192378065,0.5700661192378065
N,19,-0.038358721084530534,-0.32637512884575803,0.6086351917102535,0.6086351917102535
N,20,-0.010441048268921505,-0.09156637438071089,0.5309095751008757,0.5309095751008757
N,21,0.03787730752411267,0.2735087953907126,0.40200607217685536,0.5979939278231446
N,22,0.07627293609279007,0.6005821628963427,0.3142856667354401,0.6857143332645599
N,23,0.08733379397350133,0.6573861586859172,0.29006877391145924,0.7099312260885408
N,24,0.05635472304587702,0.6312367060491453,0.3131009892837965,0.6868990107162035
N,25,0.0679355056260319,0.5094288575578384,0.3364656375172676,0.6635343624827323
N,26,0.03718389493967017,0.3490750426157013,0.3818271879769481,0.6181728120230519
N,27,0.04413233834116598,0.4296459768797944,0.3660731390129461,0.6339268609870539
N,28,-0.010056139928356397,-0.23251035069575005,0.5938472514285813,0.5938472514285813
N,29,-0.00888289163731204,-0.0713437233751413,0.4970563198857326,0.5029436801142674
N,30,-0.0008989196292063517,-0.011099302604775915,0.4961908210839038,0.5038091789160962
N,31,-0.017658515968364014,-0.3710595313226509,0.6118474521933648,0.6118474521933648
N,32,-0.03820572051296911,-0.16584581186579664,0.5533544744589073,0.5533544744589073
S,1,-0.1122772929239384,-0.49786073622021026,0.6399278697917774,0.6399278697917774
S,2,-0.006904148538075083,-0.04942790930943877,0.5206961576340713,0.5206961576340713
S,3,0.005811507929359472,0.09755523327543356,0.44945004242305464,0.5505499575769454
S,4,-0.041019257201213355,-0.5059926790396125,0.6515055850157441,0.6515055850157441
S,5,-0.04630261941839009,-0.5285894136238422,0.6548475499895691,0.6548475499895691
S,6,-0.06160075732369086,-0.5830401004415094,0.6714464441740762,0.6714464441740762
S,7,-0.06127433347388067,-0.6760677568404975,0.6963558485865718,0.6963558485865718
S,8,-0.004379134532361828,-0.0508115739330416,0.5089345596843241,0.5089345596843241
S,9,0.0037804823353098094,0.0679743682562688,0.47331951207644235,0.5266804879235576
S,10,-0.028092840930558305,-0.45261228088010996,0.6350322167133234,0.6350322167133234
S,11,-0.01923321535239164,-0.30036327070333,0.5781795045017863,0.5781795045017863
S,12,-0.024556958057350142,-0.21213273250991452,0.6000440801304358,0.6000440801304358
S,13,-0.018031057468202105,-0.20119576628697333,0.5592387216838801,0.5592387216838801
S,14,-0.0014148410730414618,-0.019009945108592507,0.4960021491218744,0.5039978508781255
S,15,-0.020832853559693443,-0.21976932145719916,0.6225734616158998,0.6225734616158998
S,16,-0.022929081943903695,-0.4159766494293649,0.6213428793348096,0.6213428793348096
S,17,-0.03288319583907573,-0.47116141315076643,0.6509103188692651,0.6509103188692651
S,18,0.006942059903817688,0.12045420229796487,0.4400414201886231,0.5599585798113769
S,19,-0.05208635998651234,-0.6829309392277425,0.7035789986434967,0.7035789986434967
S,20,-0.0014015895225181763,-0.03645108064141649,0.5052181961667337,0.5052181961667337
S,21,-0.0034341294757370133,-0.04745276030551912,0.48186770012637836,0.5181322998736216
S,22,-0.007225993423306432,-0.1662471021263442,0.5436272003906484,0.5436272003906484
S,23,-0.019331262758630063,-0.25771642803997763,0.5928741863805997,0.5928741863805997
S,24,-0.01244842961507564,-0.26203158668816084,0.6019715800973902,0.6019715800973902
S,25,-0.008092733304588207,-0.11650535435619105,0.535943948407282,0.535943948407282
S,26,-0.02508376457411049,-0.20402762347273878,0.5910617358414372,0.5910617358414372
S,27,0.002517229401744675,0.039454553615175435,0.43838827162019284,0.5616117283798072
S,28,0.01193637325681196,0.24076173130519699,0.40125330002323745,0.5987466999767626
S,29,-0.018501593651241516,-0.24560234031366954,0.5339195981102822,0.5339195981102822
S,30,-0.00011628672373983906,-0.0024031708221717834,0.4642710883002982,0.5357289116997018
S,31,0.03704451657255192,0.46873061778248865,0.3601097257127773,0.6398902742872228
S,32,0.03973261029621189,0.14382507134555947,0.4575307650958163,0.5424692349041838
